"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5","DR6","DR7","DR8"
11,"X","high",106,"Y","low",80,"X","high",14,"X","medium",25,"Z","low",282,"Y","high",310,"X","medium",188,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""037C-5FCA-AFF5"",""description"":""archive storage osaka/tokyo dual-region"",""original_region"":""asia1""}","21-05-2024","16:12:00","17:38:00","21-05-2024 17:33","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. You are out of order. I will proceed.",-1.56185982667711,0.701901030109652,-1.2215304679064,1.62995827896606,-1.12624233802908,-0.145710082887701,-0.246705685272981,-0.53594040203048
12,"Y","low",423,"Z","low",125,"Y","medium",390,"Z","low",214,"Z","medium",348,"X","high",417,"X","high",,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FCE0-B059-75F6"",""description"":""autoclass coldline storage turin dual-region"",""original_region"":""europe-west12""}","29-01-2024","18:35:00","20:58:00","29-01-2024 20:50","Amid Inflation","Help Russia","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We cannot possibly move forward, Mr. Chair- man, with this hearingÑÑ",-0.139325726521221,-1.30085450140237,-0.0325786912731826,0.0953841386410385,0.643396032739477,0.447373226324633,1.18450190355264,-1.99321088734337
13,"X","high",170,"Z","low",343,"Z","low",44,"X","medium",247,"Z","high",459,"Y","high",13,"Y","medium",116,"ARCHIVE","north_america","ARCHIVE","{""sku_id"":""E5D5-663B-A9DC"",""description"":""archive storage south carolina dual-region"",""original_region"":""us-east1""}","15-06-2024","19:08:00","19:55:00","15-06-2024 19:54","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I extend a very warm welcomeÑÑ",-0.902069581906368,1.3335972123494,0.962263233832446,0.621740696602508,-0.949629480827721,-0.204706189462481,1.14492425995085,-0.957020506320613
14,"Y","high",381,"X","low",220,"Z","low",275,"Z","medium",195,"Z","medium",65,"X","high",391,"Y","medium",482,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""F6E9-7338-D916"",""description"":""autoclass nearline storage montreal dual-region"",""original_region"":""northamerica-northeast1""}","26-04-2024","18:15:00","18:47:00","26-04-2024 18:46","Assassination Question","International Women","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We have not been given an opportunityÑÑ",-1.89601427714985,-0.268190625740405,0.426722142385562,0.619970599767759,1.80004751252544,-0.742361602379573,0.411838485178272,-0.126828860919286
15,"Y","medium",18,"X","low",391,"X","low",415,"Z","high",266,"Z","medium",31,"Z","high",94,"Y","low",449,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EFEF-E236-E29F"",""description"":""autoclass archive storage zurich"",""original_region"":""europe-west6""}","27-06-2024","12:06:00","14:55:00","27-06-2024 14:48","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To Judge KavanaughÑÑ",-0.394000120052532,0.0945183768676568,0.289658838771354,0.563173243099592,-0.14683130304077,-1.76671363976738,-0.475133589610406,0.52218791212496
16,"Y","low",245,"Z","medium",262,"X","low",229,"X","medium",56,"Z","high",44,"Y","",282,"X","high",341,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E84B-7220-B2AC"",""description"":""autoclass archive storage netherlands dual-region"",""original_region"":""europe-west4""}","02-12-2024","20:26:00","23:15:00","02-12-2024 23:05","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. To have a meaningful hearingÑÑ",1.10907485732917,-0.189033450259689,0.258238950603588,-0.370240161520848,-0.222206267264962,-0.229063706096637,1.0390732690557,-0.418945961755419
17,"X","low",475,"X","medium",32,"Z","high",279,"Y","high",133,"X","medium",133,"X","medium",193,"Z","low",277,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E89C-671A-4ABF"",""description"":""autoclass standard storage finland/netherlands dual-region"",""original_region"":""eur4""}","19-12-2024","09:59:00","11:39:00","19-12-2024 11:35","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To his wife, AshleyÑÑ",-0.159785248929611,0.537356575089669,-2.48171658250355,-1.28802641682443,1.4023625323947,0.239170420551745,1.65837130242449,0.198637575981967
18,"X","medium",96,"Y","medium",332,"Z","high",309,"X","medium",2,"Y","",176,"Z","high",431,"X","low",237,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""C4F8-582D-CDF9"",""description"":""standard storage stockholm"",""original_region"":""europe-north2""}","04-09-2024","12:21:00","14:14:00","04-09-2024 14:06","Amid Inflation","Niger State Television","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. On this nominee.",1.41565305233915,2.09619849301184,-1.33513859474634,0.927258825446995,-0.90667325660394,-0.129270024995696,-0.667184929177213,0.744718257514306
19,"Y","low",15,"Z","medium",304,"Z","high",288,"Y","low",480,"X","low",439,"","low",337,"Y","high",341,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""8A46-D6C4-859E"",""description"":""nearline storage south carolina"",""original_region"":""us-east1""}","20-08-2024","21:43:00","22:33:00","20-08-2024 22:24","Amid Inflation","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Their two daughtersÑÑ",1.02479799153341,-0.113313593587483,0.449486816451883,-0.279781517755034,-1.54326548737317,-0.932937553286232,0.788940333616031,0.0402755271251939
20,"Y","low",144,"Z","low",182,"Y","low",365,"Y","medium",415,"Z","high",260,"Y","high",230,"Y","high",431,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""D4C0-6A6B-742B"",""description"":""autoclass nearline storage melbourne"",""original_region"":""australia-southeast2""}","14-04-2024","14:20:00","15:00:00","14-04-2024 14:55","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, I agree with my colleague, Senator Harris.",-0.236751489380072,-1.19502961339665,0.225145141054762,0.209334385687499,-0.961746854739439,-0.392835003121059,0.886168015436304,-1.41878412112929
21,"X","medium",31,"Z","medium",395,"Z","medium",429,"Y","",126,"X","high",372,"Y","medium",254,"Y","low",213,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FE3D-5C17-7088"",""description"":""durable reduced availability storage las vegas"",""original_region"":""us-west4""}","06-01-2024","14:43:00","16:53:00","06-01-2024 16:46","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And their family and friendsÑÑ",1.85065951052645,2.2542107793763,0.00543130044015258,-0.186101769051813,-1.37346265450515,-1.0861959662873,0.396202621897631,-0.060457233211595
22,"Y","medium",306,"X","high",175,"Y","low",67,"Z","low",18,"Y","high",287,"X","low",353,"X","medium",,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""1A2D-77C9-8F73"",""description"":""archive storage belgium"",""original_region"":""europe-west1""}","22-05-2024","06:00:00","06:31:00","22-05-2024 06:23","New Covid Lockdowns","Beating Forecasts Covid","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, we received 42,000 documentsÑÑ",0.868235978598669,-1.26096600918889,-0.407990372707306,0.0421480043293821,1.69762487342947,-1.38622894696623,-0.276262348541603,0.732786016799241
23,"Y","high",95,"X","low",57,"Z","low",229,"Y","medium",135,"Y","high",476,"Y","",359,"Y","low",456,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC93-7D27-5888"",""description"":""autoclass coldline storage iowa"",""original_region"":""us-central1""}","15-06-2024","21:11:00","23:39:00","15-06-2024 23:29","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Judge KavanaughÕs many law clerksÑÑ",-2.17171138847048,-0.670953973949492,-0.25053593495358,0.582383979016684,0.251244105137728,-2.10201291811611,-0.0801431879483027,-0.173545397969832
24,"Y","high",123,"X","low",60,"X","medium",426,"Z","low",478,"","medium",164,"Z","low",286,"X","high",455,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""37BE-AAB1-0008"",""description"":""nearline storage salt lake city dual-region"",""original_region"":""us-west3""}","25-03-2024","19:38:00","21:50:00","25-03-2024 21:42","Amid Inflation","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR [continuing]. That we have not been able to review last night.",-2.15500941937098,-0.661440446840871,-0.239324287313463,0.57702857722535,0.408528914396071,-1.99806427295331,-0.0428713512388045,-0.206164318006502
25,"Z","low",293,"Z","medium",450,"X","medium",190,"","",405,"X","medium",334,"Z","high",363,"Z","medium",114,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F022-AD5D-C7E1"",""description"":""autoclass standard storage asia multi-region"",""original_region"":""asia""}","17-10-2024","17:26:00","20:32:00","17-10-2024 20:24","Scammers Cnn Epik","Pennsylvania Investigation Abuse","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And everyone else joining us today.",0.887784965609869,0.779689031871657,1.08006677410298,-1.83088730629444,-0.483484747946491,1.26107524507983,0.174474209364822,-0.0420714622472372
26,"Z","low",162,"X","low",188,"X","high",244,"Y","medium",,"Z","",136,"Z","high",394,"Z","low",119,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E7A9-508A-0C4F"",""description"":""autoclass archive storage taiwan dual-region"",""original_region"":""asia-east1""}","02-03-2024","07:31:00","11:18:00","02-03-2024 11:12","Amid Inflation","Point Tally Nba","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. And we believe this hearing should be postponed.",-1.72192225726298,-0.69984945464548,-0.600351917520319,-1.64830004278509,-0.452350266317278,0.180651528080445,-0.350834184186552,0.0350494764639825
27,"X","low",325,"Y","medium",207,"X","low",371,"X","",461,"Y","medium",116,"X","low",15,"Z","low",102,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""FCAE-1D35-0D35"",""description"":""durable reduced availability storage sydney"",""original_region"":""australia-southeast1""}","24-06-2024","11:49:00","13:46:00","24-06-2024 13:38","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I know this is an exciting day for all of you hereÑÑ",0.588257699614779,0.959544096096495,-1.92336352357028,0.326531410973116,-0.313651610367313,1.38831444146141,0.710408277541035,0.448345976123891
28,"Z","low",465,"Z","high",152,"X","high",467,"X","high",88,"Z","high",490,"Z","high",183,"Z","low",13,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""DAFD-61D2-339F"",""description"":""standard storage day0 (alabama)"",""original_region"":""us-east7""}","26-02-2024","18:32:00","19:44:00","26-02-2024 19:35","Scammers Cnn Epik","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman.",0.794935285185962,-1.58779508804629,0.341647213712116,-1.76974295880425,0.537342528792891,1.42121768109859,0.200142855054578,-0.81496468604528
29,"X","medium",465,"Y","low",368,"X","low",125,"Y","high",268,"Y","medium",12,"X","low",,"Z","low",347,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-west1""}","07-05-2024","12:02:00","14:34:00","07-05-2024 14:26","Companies Pulling Russia","Lomachenko","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And you are rightly proud of JudgeÑÑ",0.402305015526009,1.4014515393849,-0.900945019041481,1.46270970496395,0.965283475971635,1.59955030569842,-0.139267929464981,-0.614241644378133
30,"Y","high",364,"Z","low",302,"X","high",477,"Y","medium",396,"Y","high",136,"X","high",160,"X","low",214,"NEARLINE","south_america","OCCASIONAL_ACCESS","{""sku_id"":""0906-3C38-5507"",""description"":""nearline storage sao paulo"",""original_region"":""southamerica-east1""}","22-12-2024","19:44:00","21:15:00","22-12-2024 21:08","Scammers Cnn Epik","Point Tally Nba","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, if we cannot be recognized, I move to adjourn.",-0.735575410707549,-0.0298733425006914,1.65147051671357,0.959731876266044,0.806792400468842,-0.213926173089869,0.641838959167628,-1.42160415939974
31,"Z","high",484,"Y","medium",449,"Y","low",354,"Y","high",9,"X","medium",193,"","high",412,"Z","medium",15,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EB7B-0E58-1CD1"",""description"":""autoclass standard storage madrid"",""original_region"":""europe-southwest1""}","01-09-2024","07:49:00","08:29:00","01-09-2024 08:28","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. The American peopleÑÑ",-0.140174078371263,1.64423606875689,0.924406605930733,0.0174306320706198,1.244727983902,1.94006892602423,-1.29866421666775,0.732224317923197
32,"Z","high",368,"Y","low",447,"Y","low",15,"Z","medium",217,"X","medium",68,"Y","medium",274,"Y","high",102,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""D970-F476-8D81"",""description"":""durable reduced availability storage frankfurt/london dual-region"",""original_region"":""eur7""}","04-06-2024","09:53:00","13:35:00","04-06-2024 13:27","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.]",-1.43173571379778,0.816942325112194,1.22376998482042,0.655381552240389,0.386194388196403,1.89977900219514,-1.40460849475317,-0.0216485719543543
33,"X","medium",33,"Z","low",494,"X","medium",430,"","high",177,"Y","low",385,"X","medium",135,"X","high",266,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""EFF5-EB22-3D38"",""description"":""archive storage turin"",""original_region"":""europe-west12""}","21-03-2024","07:01:00","09:39:00","21-03-2024 09:36","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Will hear directly from Judge Kavanaugh later this afternoon.",0.699644892816842,1.67101092666978,0.727709320537243,0.49088844896688,-1.60770411558698,-0.489555228480976,0.521616922170304,-0.698190207045706
34,"X","medium",477,"Y","low",420,"Y","low",192,"Y","high",88,"X","high",179,"","high",175,"Z","medium",417,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""154C-10C0-5E59"",""description"":""nearline storage columbus"",""original_region"":""us-east5""}","24-01-2024","17:07:00","19:15:00","24-01-2024 19:06","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.] Senator BLUMENTHAL. Mr. Chairman, we have been deniedÑwe have been denied real access to the documents we need to advise and consentÑÑ",0.44973277191731,1.52261916980097,-0.680519539035589,1.49577591408521,1.01056416731265,1.75824004326538,-0.0806573161622673,-0.482659492784662
35,"X","high",283,"X","low",291,"Z","low",141,"Z","low",111,"","high",229,"X","high",,"Z","high",331,"COLDLINE","north_america","RARE_ACCESS","{""sku_id"":""D265-FB5C-710A"",""description"":""coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}","18-11-2024","18:21:00","18:42:00","18-11-2024 18:37","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. Mr. Chairman, regular order is called for.",-1.9895903903227,1.17341456964265,-0.140226537092556,0.277364156961602,0.574286320035139,-0.33237622471623,1.05928731144142,0.282503038687831
36,"X","low",2,"Y","high",173,"Y","medium",263,"Y","high",484,"X","",151,"Y","",62,"X","medium",266,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""0CE5-412C-060A"",""description"":""archive storage doha"",""original_region"":""me-central1""}","28-06-2024","17:54:00","21:49:00","28-06-2024 21:45","Companies Pulling Russia","Help Russia","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL [continuing]. Which turns this hearing into a charade and a mockery of our norms.",0.451883843667813,-0.844145648083826,-1.51205725576973,0.703410049557183,-2.21172050898426,0.424331078899599,0.343705203998402,1.16207423128028
37,"X","low",310,"Z","high",352,"X","low",288,"X","high",255,"X","low",445,"Z","low",154,"Z","low",93,"COLDLINE","asia","RARE_ACCESS","{""sku_id"":""0D26-8387-B0F6"",""description"":""coldline storage jakarta"",""original_region"":""asia-southeast2""}","16-08-2024","20:42:00","20:57:00","16-08-2024 20:51","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. WellÑÑ",1.16976068567515,-0.383846441142305,0.301146689448603,-0.428274977781067,-0.616426598609258,1.02327968605246,1.96753229298824,0.140608152105293
38,"Y","medium",122,"Z","medium",374,"Z","high",269,"Y","high",,"X","high",210,"Z","medium",340,"Z","medium",144,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""C019-C3D4-B615"",""description"":""autoclass standard storage us multi-region"",""original_region"":""us""}","15-04-2024","17:44:00","20:58:00","15-04-2024 20:57","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. And, Mr. Chairman, I, therefore, move to adjourn this hearing.",1.9803582600515,0.927400064759814,0.785349401582566,0.193229807900934,-0.20916533083841,-1.40794780652409,-0.217897168509745,-0.315970205825985
39,"X","medium",267,"X","low",125,"Y","low",27,"X","low",341,"Z","",393,"X","low",453,"Y","low",390,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-east1""}","21-01-2024","08:37:00","10:27:00","21-01-2024 10:19","Amid Inflation","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Okay. [Disturbance in the hearing room.]",-0.577708282691522,0.790110560212728,-1.72922989771157,-0.106704176981514,0.739873042298833,-0.910654111493495,0.319637020925189,-0.546700546024796
40,"Y","medium",328,"Z","high",429,"Y","high",411,"X","medium",295,"Y","medium",311,"X","low",475,"X","low",386,"ARCHIVE","oceania","ARCHIVE","{""sku_id"":""36A3-CA43-0958"",""description"":""archive storage melbourne"",""original_region"":""australia-southeast2""}","18-03-2024","20:32:00","20:48:00","18-03-2024 20:46","Amid Inflation","Warming Caused Humans","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I ask for a roll call vote on my motion to adjourn.",2.18519720869952,-0.621927452463828,1.54589582643242,0.491466260493366,0.85022308213211,-0.335299908098169,0.146744805580082,-0.125736597555131
41,"Z","low",13,"Y","low",145,"X","medium",170,"Z","low",196,"X","low",477,"Y","low",191,"Z","high",434,"STANDARD","south_america","FREQUENT_ACCESS","{""sku_id"":""9C0F-565A-3F33"",""description"":""durable reduced availability storage santiago"",""original_region"":""southamerica-west1""}","20-02-2024","09:42:00","11:55:00","20-02-2024 11:50","Scammers Cnn Epik","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Okay.",-1.14647117824268,-0.780893362247901,-0.968918387102643,-0.186012321383893,-2.06758505057106,0.842624251787964,-1.48083506477334,-0.342424854689279
42,"Y","low",219,"Z","medium",491,"X","high",70,"Y","high",198,"X","high",301,"Z","medium",397,"Z","high",263,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""DE63-2323-DAA5"",""description"":""autoclass standard storage delhi dual-region"",""original_region"":""asia-south2""}","16-03-2024","17:22:00","18:32:00","16-03-2024 18:27","Scammers Cnn Epik","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. I ask for a roll call vote.",1.2776157486472,0.337285183722664,1.23330487307806,-0.203650834378981,-0.469386570895963,0.196082034496359,1.19933267034138,0.276621457957238
43,"X","high",27,"Y","high",425,"X","low",282,"Z","high",268,"Z","low",492,"X","high",198,"X","medium",136,"NEARLINE","asia","OCCASIONAL_ACCESS","{""sku_id"":""0F2C-F97E-8B45"",""description"":""nearline storage osaka"",""original_region"":""asia-northeast2""}","22-02-2024","08:58:00","12:07:00","22-02-2024 12:05","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. We are not in executive session. We will continue as planned.",-0.041852514709923,0.607758534072499,0.48623722057394,1.59771118228341,-1.60526608765903,0.223420789659977,-0.0316541184908677,1.82525941095459
