id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4
54,1,0,2926,26,,S,46,,unknown,65
55,0,1,113509,61.9792,B30,C,49,,unknown,31
56,0,0,19947,35.5,C52,S,4,C,high,82
57,0,0,C.A. 31026,10.5,,S,54,B,,84
58,0,0,2697,7.2292,,C,15,D,high,53
59,1,2,C.A. 34651,27.75,,S,74,,low,
60,5,2,CA 2144,46.9,,S,68,D,,
61,0,0,2669,7.2292,,C,92,,high,82
62,0,0,113572,80,B28,,74,B,unknown,89
63,1,0,36973,83.475,C83,S,36,,,
64,3,2,347088,27.9,,S,,C,high,51
65,0,0,PC 17605,27.7208,,C,,A,,
66,1,1,2661,15.2458,,C,32,B,,
67,0,0,C.A. 29395,10.5,F33,S,,B,,13
68,0,0,S.P. 3464,8.1583,,S,,A,unknown,67
69,4,2,3101281,7.925,,S,7,,medium,92
70,2,0,315151,8.6625,,S,,C,,75
71,0,0,C.A. 33111,10.5,,S,79,D,,48
72,5,2,CA 2144,46.9,,S,18,A,,52
73,0,0,S.O.C. 14879,73.5,,S,,B,,25
74,1,0,2680,14.4542,,C,12,A,high,
75,0,0,1601,56.4958,,S,68,,unknown,24
76,0,0,348123,7.65,F G73,S,47,,unknown,34
77,0,0,349208,7.8958,,S,,,low,26
78,0,0,374746,8.05,,S,22,,low,33
79,0,2,248738,29,,S,,A,,36
80,0,0,364516,12.475,,S,66,C,,8
81,0,0,345767,9,,S,94,C,unknown,
82,0,0,345779,9.5,,S,43,D,low,44
83,0,0,330932,7.7875,,Q,16,D,low,94
84,0,0,113059,47.1,,S,83,D,unknown,
85,0,0,SO/C 14885,10.5,,S,62,C,unknown,66
86,3,0,3101278,15.85,,S,70,,low,
87,1,3,W./C. 6608,34.375,,S,9,B,medium,
88,0,0,SOTON/OQ 392086,8.05,,S,31,A,,49
89,3,2,19950,263,C23 C25 C27,S,,B,,44
90,0,0,343275,8.05,,S,,B,,65
91,0,0,343276,8.05,,S,43,A,,
92,0,0,347466,7.8542,,S,,A,low,31
93,1,0,W.E.P. 5734,61.175,E31,S,,C,medium,
94,1,2,C.A. 2315,20.575,,S,38,B,high,18
95,0,0,364500,7.25,,S,89,,high,
96,0,0,374910,8.05,,S,28,B,,
97,0,0,PC 17754,34.6542,A5,C,23,D,unknown,95
98,0,1,PC 17759,63.3583,D10 D12,C,68,C,unknown,
99,0,1,231919,23,,S,,A,,39
100,1,0,244367,26,,S,13,A,,
101,0,0,349245,7.8958,,S,83,C,high,80
102,0,0,349215,7.8958,,S,,C,,48
103,0,1,35281,77.2875,D26,S,80,B,medium,96
104,0,0,7540,8.6542,,S,0,C,low,
105,2,0,3101276,7.925,,S,79,,medium,70
106,0,0,349207,7.8958,,S,,,,75
107,0,0,343120,7.65,,S,,A,unknown,
108,0,0,312991,7.775,,S,66,B,unknown,
109,0,0,349249,7.8958,,S,,,,58
110,1,0,371110,24.15,,Q,,D,low,
111,0,0,110465,52,C110,S,,D,low,11
112,1,0,2665,14.4542,,C,78,,medium,13
113,0,0,324669,8.05,,S,55,A,,
114,1,0,4136,9.825,,S,45,,unknown,65
115,0,0,2627,14.4583,,C,,A,,28
116,0,0,STON/O 2. 3101294,7.925,,S,,,,73
117,0,0,370369,7.75,,Q,3,,,69
118,1,0,11668,21,,S,13,,medium,
119,0,1,PC 17558,247.5208,B58 B60,C,24,A,,91
120,4,2,347082,31.275,,S,11,,high,88
121,2,0,S.O.C. 14879,73.5,,S,43,C,low,
122,0,0,A4. 54510,8.05,,S,,,medium,76
123,1,0,237736,30.0708,,C,65,D,high,
124,0,0,27267,13,E101,S,47,D,medium,40
125,0,1,35281,77.2875,D26,S,85,C,,
126,1,0,2651,11.2417,,C,56,,,60
127,0,0,370372,7.75,,Q,7,B,unknown,41
128,0,0,C 17369,7.1417,,S,76,D,low,99
129,1,1,2668,22.3583,F E69,C,57,,low,17
130,0,0,347061,6.975,,S,63,,high,9
131,0,0,349241,7.8958,,C,56,A,medium,2
132,0,0,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81
133,1,0,A/5. 3337,14.5,,S,9,,low,40
134,1,0,228414,26,,S,55,,,43
135,0,0,C.A. 29178,13,,S,79,B,unknown,64
136,0,0,SC/PARIS 2133,15.0458,,C,30,D,,
137,0,2,11752,26.2833,D47,S,,A,medium,57
138,1,0,113803,53.1,C123,S,3,C,,5
139,0,0,7534,9.2167,,S,34,B,high,
140,0,0,PC 17593,79.2,B86,C,43,A,low,
141,0,2,2678,15.2458,,C,,D,,45
142,0,0,347081,7.75,,S,21,A,,16
143,1,0,STON/O2. 3101279,15.85,,S,,,unknown,
144,0,0,365222,6.75,,Q,,,,33
145,0,0,231945,11.5,,S,99,D,medium,27
146,1,1,C.A. 33112,36.75,,S,85,A,unknown,29
147,0,0,350043,7.7958,,S,3,,,72
148,2,2,W./C. 6608,34.375,,S,23,C,,10
149,0,2,230080,26,F2,S,,D,unknown,30
150,0,0,244310,13,,S,,A,low,46
151,0,0,S.O.P. 1166,12.525,,S,85,D,,54
152,1,0,113776,66.6,C2,S,28,C,medium,88
153,0,0,A.5. 11206,8.05,,S,91,D,unknown,
154,0,2,A/5. 851,14.5,,S,29,,low,
155,0,0,Fa 265302,7.3125,,S,43,D,unknown,53
156,0,1,PC 17597,61.3792,,C,66,C,low,2
157,0,0,35851,7.7333,,Q,12,,low,61
158,0,0,SOTON/OQ 392090,8.05,,S,55,,high,15
159,0,0,315037,8.6625,,S,50,,high,7
160,8,2,CA. 2343,69.55,,S,78,B,unknown,67
161,0,1,371362,16.1,,S,99,C,,
162,0,0,C.A. 33595,15.75,,S,,,low,
163,0,0,347068,7.775,,S,40,C,,10
164,0,0,315093,8.6625,,S,40,D,,74
165,4,1,3101295,39.6875,,S,41,,,76
166,0,2,363291,20.525,,S,81,A,,
167,0,1,113505,55,E33,S,32,,unknown,83
168,1,4,347088,27.9,,S,16,B,unknown,43
169,0,0,PC 17318,25.925,,S,,C,high,18
170,0,0,1601,56.4958,,S,2,,,
171,0,0,111240,33.5,B19,S,10,B,high,21
172,4,1,382652,29.125,,Q,9,B,high,20
173,1,1,347742,11.1333,,S,,B,high,32
174,0,0,STON/O 2. 3101280,7.925,,S,,D,high,
175,0,0,17764,30.6958,A7,C,69,B,medium,
176,1,1,350404,7.8542,,S,46,,high,
177,3,1,4133,25.4667,,S,71,B,unknown,62
178,0,0,PC 17595,28.7125,C49,C,16,A,unknown,33
179,0,0,250653,13,,S,90,B,high,
180,0,0,LINE,0,,S,50,A,low,51
181,8,2,CA. 2343,69.55,,S,93,A,,
182,0,0,SC/PARIS 2131,15.05,,C,,,medium,43
183,4,2,347077,31.3875,,S,49,A,low,29
184,2,1,230136,39,F4,S,69,,,
185,0,2,315153,22.025,,S,49,D,high,
186,0,0,113767,50,A32,S,44,C,unknown,
187,1,0,370365,15.5,,Q,,B,,
188,0,0,111428,26.55,,S,38,A,,47
189,1,1,364849,15.5,,Q,,D,,
190,0,0,349247,7.8958,,S,,D,high,
191,0,0,234604,13,,S,68,C,,90
192,0,0,28424,13,,S,63,A,unknown,67
193,1,0,350046,7.8542,,S,60,,unknown,
194,1,1,230080,26,F2,S,36,,unknown,96
195,0,0,PC 17610,27.7208,B4,C,95,A,medium,71
196,0,0,PC 17569,146.5208,B80,C,8,D,,5
197,0,0,368703,7.75,,Q,,A,,72
198,0,1,4579,8.4042,,S,,,unknown,
199,0,0,370370,7.75,,Q,33,D,,
200,0,0,248747,13,,S,96,D,,48
201,0,0,345770,9.5,,S,,A,low,51
202,8,2,CA. 2343,69.55,,S,90,,,31
203,0,0,3101264,6.4958,,S,49,C,low,
204,0,0,2628,7.225,,C,,C,unknown,61
205,0,0,A/5 3540,8.05,,S,45,,high,
206,0,1,347054,10.4625,G6,S,26,D,medium,89
207,1,0,3101278,15.85,,S,76,D,high,77
208,0,0,2699,18.7875,,C,,,high,60
209,0,0,367231,7.75,,Q,26,,high,
210,0,0,112277,31,A31,C,77,C,high,33
211,0,0,SOTON/O.Q. 3101311,7.05,,S,26,A,,76
212,0,0,F.C.C. 13528,21,,S,,,medium,31
213,0,0,A/5 21174,7.25,,S,78,A,,26
214,0,0,250646,13,,S,44,D,,86
215,1,0,367229,7.75,,Q,,,,
216,1,0,35273,113.275,D36,C,27,A,low,
217,0,0,STON/O2. 3101283,7.925,,S,,A,unknown,86
218,1,0,243847,27,,S,,A,low,
219,0,0,11813,76.2917,D15,C,44,C,low,
220,0,0,W/C 14208,10.5,,S,90,B,,52
221,0,0,SOTON/OQ 392089,8.05,,S,12,D,low,
222,0,0,220367,13,,S,45,B,medium,
223,0,0,21440,8.05,,S,,,medium,
224,0,0,349234,7.8958,,S,20,C,,
225,1,0,19943,90,C93,S,,C,,79
226,0,0,PP 4348,9.35,,S,30,,high,59
227,0,0,SW/PP 751,10.5,,S,80,,low,
228,0,0,A/5 21173,7.25,,S,57,C,high,40
229,0,0,236171,13,,S,54,,high,38
230,3,1,4133,25.4667,,S,17,,high,42
231,1,0,36973,83.475,C83,S,46,,high,99
232,0,0,347067,7.775,,S,85,C,,
233,0,0,237442,13.5,,S,,D,,15
234,4,2,347077,31.3875,,S,75,C,,4
235,0,0,C.A. 29566,10.5,,S,,,high,51
236,0,0,W./C. 6609,7.55,,S,,,unknown,80
237,1,0,26707,26,,S,,B,high,
238,0,2,C.A. 31921,26.25,,S,43,A,low,56
239,0,0,28665,10.5,,S,30,A,medium,79
240,0,0,SCO/W 1585,12.275,,S,62,,high,51
241,1,0,2665,14.4542,,C,14,,low,90
242,1,0,367230,15.5,,Q,58,,unknown,63
243,0,0,W./C. 14263,10.5,,S,9,B,unknown,73
244,0,0,STON/O 2. 3101275,7.125,,S,64,C,unknown,78
245,0,0,2694,7.225,,C,,D,low,62
246,2,0,19928,90,C78,Q,8,D,high,5
247,0,0,347071,7.775,,S,,B,high,42
248,0,2,250649,14.5,,S,41,B,high,14
249,1,1,11751,52.5542,D35,S,78,,unknown,51
250,1,0,244252,26,,S,4,A,,
251,0,0,362316,7.25,,S,17,C,high,
252,1,1,347054,10.4625,G6,S,49,B,high,
253,0,0,113514,26.55,C87,S,18,,,2
254,1,0,A/5. 3336,16.1,,S,,C,unknown,
255,0,2,370129,20.2125,,S,,B,,50
256,0,2,2650,15.2458,,C,14,,unknown,7
257,0,0,PC 17585,79.2,,C,,C,low,
258,0,0,110152,86.5,B77,S,10,A,,75
259,0,0,PC 17755,512.3292,,C,,,high,70
260,0,1,230433,26,,S,58,A,low,17
261,0,0,384461,7.75,,Q,79,B,medium,
262,4,2,347077,31.3875,,S,17,D,,63
263,1,1,110413,79.65,E67,S,29,A,high,39
264,0,0,112059,0,B94,S,92,,low,0
265,0,0,382649,7.75,,Q,98,C,medium,
266,0,0,C.A. 17248,10.5,,S,58,D,,79
267,4,1,3101295,39.6875,,S,44,,high,3
268,1,0,347083,7.775,,S,34,C,medium,
269,0,1,PC 17582,153.4625,C125,S,61,D,high,38
270,0,0,PC 17760,135.6333,C99,S,,,high,
271,0,0,113798,31,,S,29,A,,47
272,0,0,LINE,0,,S,,D,,42
273,0,1,250644,19.5,,S,15,A,unknown,
274,0,1,PC 17596,29.7,C118,C,95,C,low,5
275,0,0,370375,7.75,,Q,41,B,,3
276,1,0,13502,77.9583,D7,S,48,C,low,9
277,0,0,347073,7.75,,S,,,low,69
278,0,0,239853,0,,S,78,,,78
279,4,1,382652,29.125,,Q,,C,,
280,1,1,C.A. 2673,20.25,,S,,,high,7
281,0,0,336439,7.75,,Q,,B,medium,41
282,0,0,347464,7.8542,,S,,,,98
283,0,0,345778,9.5,,S,67,D,medium,
284,0,0,A/5. 10482,8.05,,S,49,A,low,
285,0,0,113056,26,A19,S,44,B,medium,53
286,0,0,349239,8.6625,,C,,C,high,
287,0,0,345774,9.5,,S,,,high,
288,0,0,349206,7.8958,,S,57,D,medium,47
289,0,0,237798,13,,S,,B,,
290,0,0,370373,7.75,,Q,47,D,high,
291,0,0,19877,78.85,,S,,,,
292,1,0,11967,91.0792,B49,C,26,C,medium,5
293,0,0,SC/Paris 2163,12.875,D,C,95,C,,0
294,0,0,349236,8.85,,S,33,A,unknown,41
295,0,0,349233,7.8958,,S,,A,,
296,0,0,PC 17612,27.7208,,C,,,,
297,0,0,2693,7.2292,,C,84,C,,7
298,1,2,113781,151.55,C22 C26,S,,,high,67
299,0,0,19988,30.5,C106,S,28,A,high,45
300,0,1,PC 17558,247.5208,B58 B60,C,2,,,23
301,0,0,9234,7.75,,Q,36,D,unknown,20
302,2,0,367226,23.25,,Q,82,,unknown,66
303,0,0,LINE,0,,S,0,B,unknown,52
304,0,0,226593,12.35,E101,Q,89,,unknown,
305,0,0,A/5 2466,8.05,,S,,D,unknown,28
306,1,2,113781,151.55,C22 C26,S,14,B,,52
307,0,0,17421,110.8833,,C,,B,low,86
308,1,0,PC 17758,108.9,C65,C,55,C,,31
309,1,0,P/PP 3381,24,,C,31,A,low,39
310,0,0,PC 17485,56.9292,E36,C,,D,low,16
311,0,0,11767,83.1583,C54,C,66,D,unknown,
312,2,2,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3
313,1,1,250651,26,,S,,C,high,24
314,0,0,349243,7.8958,,S,28,C,high,
315,1,1,F.C.C. 13529,26.25,,S,24,,,1
316,0,0,347470,7.8542,,S,,D,,98
317,1,0,244367,26,,S,,,unknown,40
318,0,0,29011,14,,S,,,medium,
319,0,2,36928,164.8667,C7,S,93,C,high,53
320,1,1,16966,134.5,E34,C,,,,
321,0,0,A/5 21172,7.25,,S,,D,low,
322,0,0,349219,7.8958,,S,,D,,88
323,0,0,234818,12.35,,Q,,C,,
324,1,1,248738,29,,S,91,B,,
325,8,2,CA. 2343,69.55,,S,,B,medium,70
326,0,0,PC 17760,135.6333,C32,C,23,B,high,30
327,0,0,345364,6.2375,,S,23,C,unknown,99
328,0,0,28551,13,D,S,3,,high,25
329,1,1,363291,20.525,,S,,C,medium,29
330,0,1,111361,57.9792,B18,C,55,D,medium,71
331,2,0,367226,23.25,,Q,54,,high,78
332,0,0,113043,28.5,C124,S,,C,medium,12
333,0,1,PC 17582,153.4625,C91,S,30,,high,55
334,2,0,345764,18,,S,82,C,,
335,1,0,PC 17611,133.65,,S,,,,61
336,0,0,349225,7.8958,,S,80,,unknown,55
337,1,0,113776,66.6,C2,S,96,,medium,
338,0,0,16966,134.5,E40,C,31,,medium,
339,0,0,7598,8.05,,S,20,,high,65
340,0,0,113784,35.5,T,S,95,,,67
341,1,1,230080,26,F2,S,63,,unknown,
342,3,2,19950,263,C23 C25 C27,S,29,,low,
343,0,0,248740,13,,S,62,B,unknown,72
344,0,0,244361,13,,S,51,C,,77
345,0,0,229236,13,,S,,A,,12
346,0,0,248733,13,F33,S,25,C,high,88
347,0,0,31418,13,,S,99,,unknown,
348,1,0,386525,16.1,,S,,,low,
349,1,1,C.A. 37671,15.9,,S,,,high,48
350,0,0,315088,8.6625,,S,16,B,low,48
351,0,0,7267,9.225,,S,,A,low,91
352,0,0,113510,35,C128,S,,B,unknown,96
353,1,1,2695,7.2292,,C,29,C,high,80
354,1,0,349237,17.8,,S,43,A,medium,65
355,0,0,2647,7.225,,C,96,C,high,10
356,0,0,345783,9.5,,S,99,A,medium,91
357,0,1,113505,55,E33,S,15,D,medium,13
358,0,0,237671,13,,S,89,C,medium,16
359,0,0,330931,7.8792,,Q,,B,medium,6
360,0,0,330980,7.8792,,Q,,C,unknown,94
361,1,4,347088,27.9,,S,84,A,medium,
362,1,0,SC/PARIS 2167,27.7208,,C,,A,medium,
363,0,1,2691,14.4542,,C,22,D,high,8
364,0,0,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41
365,1,0,370365,15.5,,Q,,,medium,72
366,0,0,C 7076,7.25,,S,,B,unknown,99
367,1,0,110813,75.25,D37,C,46,A,medium,
368,0,0,2626,7.2292,,C,31,,high,60
369,0,0,14313,7.75,,Q,,B,unknown,83
370,0,0,PC 17477,69.3,B35,C,77,,,90
371,1,0,11765,55.4417,E50,C,33,C,low,27
372,1,0,3101267,6.4958,,S,66,A,high,
373,0,0,323951,8.05,,S,41,D,,51
374,0,0,PC 17760,135.6333,,C,,C,medium,93
375,3,1,349909,21.075,,S,,,unknown,11
376,1,0,PC 17604,82.1708,,C,9,,,9
377,0,0,C 7077,7.25,,S,,C,high,
378,0,2,113503,211.5,C82,C,74,,high,67
379,0,0,2648,4.0125,,C,37,A,low,17
380,0,0,347069,7.775,,S,,,medium,89
381,0,0,PC 17757,227.525,,C,0,B,high,10
382,0,2,2653,15.7417,,C,,D,low,
383,0,0,STON/O 2. 3101293,7.925,,S,94,B,medium,
384,1,0,113789,52,,S,,,,
385,0,0,349227,7.8958,,S,3,A,unknown,
386,0,0,S.O.C. 14879,73.5,,S,12,B,low,84
387,5,2,CA 2144,46.9,,S,6,B,unknown,10
388,0,0,27849,13,,S,83,A,medium,
389,0,0,367655,7.7292,,Q,89,B,high,61
390,0,0,SC 1748,12,,C,15,,high,2
391,1,2,113760,120,B96 B98,S,74,A,,74
392,0,0,350034,7.7958,,S,17,,unknown,
393,2,0,3101277,7.925,,S,36,C,low,75
394,1,0,35273,113.275,D36,C,59,D,low,
395,0,2,PP 9549,16.7,G6,S,,C,unknown,19
396,0,0,350052,7.7958,,S,87,A,high,
397,0,0,350407,7.8542,,S,4,,unknown,6
398,0,0,28403,26,,S,19,B,medium,53
399,0,0,244278,10.5,,S,,B,,
400,0,0,240929,12.65,,S,31,A,low,
401,0,0,STON/O 2. 3101289,7.925,,S,99,D,medium,20
402,0,0,341826,8.05,,S,77,,low,76
403,1,0,4137,9.825,,S,,C,unknown,69
404,1,0,STON/O2. 3101279,15.85,,S,97,,,
405,0,0,315096,8.6625,,S,,D,unknown,
406,1,0,28664,21,,S,,A,low,6
407,0,0,347064,7.75,,S,43,,low,44
408,1,1,29106,18.75,,S,14,B,,
409,0,0,312992,7.775,,S,,,,11
410,3,1,4133,25.4667,,S,1,B,medium,55
411,0,0,349222,7.8958,,S,17,A,medium,
412,0,0,394140,6.8583,,Q,22,,,
413,1,0,19928,90,C78,Q,27,B,,
414,0,0,239853,0,,S,13,A,low,8
415,0,0,STON/O 2. 3101269,7.925,,S,1,,,67
416,0,0,343095,8.05,,S,67,A,low,33
417,1,1,28220,32.5,,S,96,,low,
418,0,2,250652,13,,S,12,B,,19
419,0,0,28228,13,,S,,,medium,97
420,0,2,345773,24.15,,S,50,C,,25
421,0,0,349254,7.8958,,C,92,A,medium,68
422,0,0,A/5. 13032,7.7333,,Q,69,,medium,
423,0,0,315082,7.875,,S,,D,medium,18
424,1,1,347080,14.4,,S,,A,high,30
425,1,1,370129,20.2125,,S,41,B,,1
426,0,0,A/4. 34244,7.25,,S,,A,low,
427,1,0,2003,26,,S,86,,medium,33
428,0,0,250655,26,,S,80,,low,49
429,0,0,364851,7.75,,Q,2,A,medium,15
430,0,0,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82
431,0,0,110564,26.55,C52,S,8,B,medium,21
432,1,0,376564,16.1,,S,73,C,low,
433,1,0,SC/AH 3085,26,,S,82,B,high,87
434,0,0,STON/O 2. 3101274,7.125,,S,13,,low,71
435,1,0,13507,55.9,E44,S,43,,low,60
436,1,2,113760,120,B96 B98,S,12,D,,
437,2,2,W./C. 6608,34.375,,S,56,A,unknown,
438,2,3,29106,18.75,,S,92,C,unknown,96
439,1,4,19950,263,C23 C25 C27,S,,D,high,
440,0,0,C.A. 18723,10.5,,S,39,A,high,40
441,1,1,F.C.C. 13529,26.25,,S,97,D,high,25
442,0,0,345769,9.5,,S,,,high,
443,1,0,347076,7.775,,S,,B,high,97
444,0,0,230434,13,,S,48,,unknown,69
445,0,0,65306,8.1125,,S,50,C,,3
446,0,2,33638,81.8583,A34,S,66,,low,46
447,0,1,250644,19.5,,S,,,medium,
448,0,0,113794,26.55,,S,,C,unknown,
449,2,1,2666,19.2583,,C,52,D,medium,77
450,0,0,113786,30.5,C104,S,28,B,low,70
451,1,2,C.A. 34651,27.75,,S,,,unknown,6
452,1,0,65303,19.9667,,S,,B,high,55
453,0,0,113051,27.75,C111,C,,D,,
454,1,0,17453,89.1042,C92,C,2,D,medium,48
455,0,0,A/5 2817,8.05,,S,59,,low,
456,0,0,349240,7.8958,,C,,C,medium,
457,0,0,13509,26.55,E38,S,,D,medium,86
458,1,0,17464,51.8625,D21,S,63,B,unknown,46
459,0,0,F.C.C. 13531,10.5,,S,84,,,53
460,0,0,371060,7.75,,Q,10,,low,62
461,0,0,19952,26.55,E12,S,72,A,,65
462,0,0,364506,8.05,,S,,,unknown,63
463,0,0,111320,38.5,E63,S,,A,medium,78
464,0,0,234360,13,,S,,,medium,98
465,0,0,A/S 2816,8.05,,S,0,,high,82
466,0,0,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13
467,0,0,239853,0,,S,16,B,medium,
468,0,0,113792,26.55,,S,59,B,unknown,
469,0,0,36209,7.725,,Q,18,B,high,50
470,2,1,2666,19.2583,,C,93,B,low,52
471,0,0,323592,7.25,,S,,C,,71
472,0,0,315089,8.6625,,S,,D,unknown,
473,1,2,C.A. 34651,27.75,,S,43,C,medium,26
474,0,0,SC/AH Basle 541,13.7917,D,C,46,C,high,45
475,0,0,7553,9.8375,,S,,D,,
476,0,0,110465,52,A14,S,78,D,,31
477,1,0,31027,21,,S,84,,unknown,2
478,1,0,3460,7.0458,,S,1,C,low,97
479,0,0,350060,7.5208,,S,,A,high,
480,0,1,3101298,12.2875,,S,,A,high,60
481,5,2,CA 2144,46.9,,S,,D,low,
482,0,0,239854,0,,S,82,,,27
483,0,0,A/5 3594,8.05,,S,25,D,,34
484,0,0,4134,9.5875,,S,79,,medium,28
485,1,0,11967,91.0792,B49,C,,D,,
486,3,1,4133,25.4667,,S,23,C,low,15
487,1,0,19943,90,C93,S,33,D,,
488,0,0,11771,29.7,B37,C,53,A,,45
489,0,0,A.5. 18509,8.05,,S,76,D,,53
490,1,1,C.A. 37671,15.9,,S,,A,,1
491,1,0,65304,19.9667,,S,93,B,,84
492,0,0,SOTON/OQ 3101317,7.25,,S,,A,low,67
493,0,0,113787,30.5,C30,S,75,B,medium,7
494,0,0,PC 17609,49.5042,,C,,,high,84
495,0,0,A/4 45380,8.05,,S,,B,unknown,3
496,0,0,2627,14.4583,,C,41,,unknown,
497,1,0,36947,78.2667,D20,C,,C,high,46
498,0,0,C.A. 6212,15.1,,S,37,C,low,
499,1,2,113781,151.55,C22 C26,S,92,D,,95
500,0,0,350035,7.7958,,S,,,low,
501,0,0,315086,8.6625,,S,11,B,low,
502,0,0,364846,7.75,,Q,65,D,high,57
503,0,0,330909,7.6292,,Q,96,,,
504,0,0,4135,9.5875,,S,86,,low,72
505,0,0,110152,86.5,B79,S,27,B,low,88
506,1,0,PC 17758,108.9,C65,C,,A,high,
507,0,2,26360,26,,S,,,medium,
508,0,0,111427,26.55,,S,,,high,51
509,0,0,C 4001,22.525,,S,26,A,medium,
510,0,0,1601,56.4958,,S,23,C,high,
511,0,0,382651,7.75,,Q,99,A,,
512,0,0,SOTON/OQ 3101316,8.05,,S,74,C,,70
513,0,0,PC 17473,26.2875,E25,S,84,,medium,51
514,1,0,PC 17603,59.4,,C,81,,high,
515,0,0,349209,7.4958,,S,95,B,high,42
516,0,0,36967,34.0208,D46,S,10,,high,49
517,0,0,C.A. 34260,10.5,F33,S,,,,
518,0,0,371110,24.15,,Q,,A,low,55
519,1,0,226875,26,,S,47,C,,79
520,0,0,349242,7.8958,,S,59,C,high,2
521,0,0,12749,93.5,B73,S,35,A,high,75
522,0,0,349252,7.8958,,S,,C,,50
523,0,0,2624,7.225,,C,19,A,,
524,0,1,111361,57.9792,B18,C,,A,high,47
525,0,0,2700,7.2292,,C,,D,,47
526,0,0,367232,7.75,,Q,,D,,12
527,0,0,W./C. 14258,10.5,,S,,B,high,
528,0,0,PC 17483,221.7792,C95,S,14,D,medium,70
529,0,0,3101296,7.925,,S,91,D,high,
530,2,1,29104,11.5,,S,92,,,9
531,1,1,26360,26,,S,59,A,unknown,21
532,0,0,2641,7.2292,,C,16,,,87
533,1,1,2690,7.2292,,C,15,C,,
534,0,2,2668,22.3583,,C,,,low,50
535,0,0,315084,8.6625,,S,57,,,
536,0,2,F.C.C. 13529,26.25,,S,15,B,unknown,
537,0,0,113050,26.55,B38,S,45,A,,85
538,0,0,PC 17761,106.425,,C,11,D,,89
539,0,0,364498,14.5,,S,,,low,28
540,0,2,13568,49.5,B39,C,2,,unknown,58
541,0,2,WE/P 5735,71,B22,S,70,D,,
542,4,2,347082,31.275,,S,,,,
543,4,2,347082,31.275,,S,19,,high,0
544,1,0,2908,26,,S,17,A,medium,97
545,1,0,PC 17761,106.425,C86,C,83,,high,35
546,0,0,693,26,,S,5,,,
547,1,0,2908,26,,S,42,B,low,61
548,0,0,SC/PARIS 2146,13.8625,,C,,C,,78
