"id","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc"
14,220,"Z","low",275,"Z","medium",195,"Z","medium",65,"X","high",391,"Y","medium",482,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","26-04-2024","18:15:00","18:47:00","26-04-2024 18:46","Assassination Question","International Women","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
15,391,"X","low",415,"Z","high",266,"Z","medium",31,"Z","high",94,"Y","low",449,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","27-06-2024","12:06:00","14:55:00","27-06-2024 14:48","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Proud Judge Kavanaugh"
16,262,"X","low",229,"X","medium",56,"Z","high",44,"Y","low",282,"X","high",341,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","02-12-2024","20:26:00","23:15:00","02-12-2024 23:05","Companies Pulling Russia","Help Russia","Senator","D","Senator Kamala Harris (CA)","Analyze Senator"
17,32,"Z","high",279,"Y","high",133,"X","medium",133,"X","medium",193,"Z","low",277,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","19-12-2024","09:59:00","11:39:00","19-12-2024 11:35","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
18,332,"Z","high",309,"X","medium",2,"Y","medium",176,"Z","high",431,"X","low",237,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","04-09-2024","12:21:00","14:14:00","04-09-2024 14:06","Amid Inflation","Niger State Television","Senator","D","Senator Kamala Harris (CA)","Analyze Senator"
19,304,"Z","high",288,"Y","low",480,"X","low",439,"Y","low",337,"Y","high",341,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","20-08-2024","21:43:00","22:33:00","20-08-2024 22:24","Amid Inflation","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
20,182,"Y","low",365,"Y","medium",415,"Z","high",260,"Y","high",230,"Y","high",431,"STANDARD","oceania","FREQUENT_ACCESS","Original_Region West2 Sku_Id","14-04-2024","14:20:00","15:00:00","14-04-2024 14:55","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
21,395,"Z","medium",429,"Y","medium",126,"X","high",372,"Y","medium",254,"Y","low",213,"STANDARD","north_america","FREQUENT_ACCESS","Europe West12 Sku_Id","06-01-2024","14:43:00","16:53:00","06-01-2024 16:46","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
22,175,"Y","low",67,"Z","low",18,"Y","high",287,"X","low",353,"X","medium",251,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","22-05-2024","06:00:00","06:31:00","22-05-2024 06:23","New Covid Lockdowns","Beating Forecasts Covid","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
23,57,"Z","low",265,"Y","medium",135,"Y","high",476,"Y","low",359,"Y","low",456,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","15-06-2024","21:11:00","23:39:00","15-06-2024 23:29","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Proud Judge Kavanaugh"
24,60,"X","medium",426,"Z","low",478,"Z","medium",164,"Z","low",286,"X","high",455,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","25-03-2024","19:38:00","21:50:00","25-03-2024 21:42","Amid Inflation","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
25,450,"X","medium",190,"Z","medium",405,"X","medium",334,"Z","high",363,"Z","medium",114,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","17-10-2024","17:26:00","20:32:00","17-10-2024 20:24","Scammers Cnn Epik","Pennsylvania Investigation Abuse","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
26,188,"X","high",244,"Y","medium",240,"Z","medium",136,"Z","high",394,"Z","low",119,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","02-03-2024","07:31:00","11:18:00","02-03-2024 11:12","Amid Inflation","Point Tally Nba","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
27,207,"X","low",371,"X","medium",461,"Y","medium",116,"X","low",15,"Z","low",102,"STANDARD","oceania","FREQUENT_ACCESS","Europe West12 Sku_Id","24-06-2024","11:49:00","13:46:00","24-06-2024 13:38","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
28,152,"X","high",467,"X","high",88,"Z","high",490,"Z","high",183,"Z","low",13,"STANDARD","north_america","FREQUENT_ACCESS","Europe West12 Sku_Id","26-02-2024","18:32:00","19:44:00","26-02-2024 19:35","Scammers Cnn Epik","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
29,368,"X","low",125,"Y","high",268,"Y","medium",12,"X","low",254,"Z","low",347,"STANDARD","north_america","FREQUENT_ACCESS","Europe West12 Sku_Id","07-05-2024","12:02:00","14:34:00","07-05-2024 14:26","Companies Pulling Russia","Lomachenko","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
30,302,"X","high",477,"Y","medium",396,"Y","high",136,"X","high",160,"X","low",214,"NEARLINE","south_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","22-12-2024","19:44:00","21:15:00","22-12-2024 21:08","Scammers Cnn Epik","Point Tally Nba","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
31,449,"Y","low",354,"Y","high",9,"X","medium",193,"Y","high",412,"Z","medium",15,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","01-09-2024","07:49:00","08:29:00","01-09-2024 08:28","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
32,447,"Y","low",15,"Z","medium",217,"X","medium",68,"Y","medium",274,"Y","high",102,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","04-06-2024","09:53:00","13:35:00","04-06-2024 13:27","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
33,494,"X","medium",430,"Z","high",177,"Y","low",385,"X","medium",135,"X","high",266,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","21-03-2024","07:01:00","09:39:00","21-03-2024 09:36","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Proud Judge Kavanaugh"
34,256,"Y","low",192,"Y","high",88,"X","high",179,"Y","high",175,"Z","medium",417,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","24-01-2024","17:07:00","19:15:00","24-01-2024 19:06","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
35,291,"Z","low",141,"Z","low",111,"Z","high",229,"X","high",254,"Z","high",331,"COLDLINE","north_america","RARE_ACCESS","Europe West12 Sku_Id","18-11-2024","18:21:00","18:42:00","18-11-2024 18:37","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator John Cornyn (TX)","Chairman Ask Question"
36,173,"Y","medium",263,"Y","high",484,"X","medium",151,"Y","low",62,"X","medium",266,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","28-06-2024","17:54:00","21:49:00","28-06-2024 21:45","Companies Pulling Russia","Help Russia","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
37,352,"X","low",288,"X","high",255,"X","low",445,"Z","low",154,"Z","low",93,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","16-08-2024","20:42:00","20:57:00","16-08-2024 20:51","Companies Pulling Russia","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
38,374,"Z","high",269,"Y","high",240,"X","high",210,"Z","medium",340,"Z","medium",144,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","15-04-2024","17:44:00","20:58:00","15-04-2024 20:57","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
39,125,"Y","low",27,"X","low",341,"Z","medium",393,"X","low",453,"Y","low",390,"STANDARD","north_america","FREQUENT_ACCESS","Europe West12 Sku_Id","21-01-2024","08:37:00","10:27:00","21-01-2024 10:19","Amid Inflation","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
40,429,"Y","high",411,"X","medium",295,"Y","medium",311,"X","low",475,"X","low",386,"ARCHIVE","oceania","ARCHIVE","Storage Johannesburg Original_Region","18-03-2024","20:32:00","20:48:00","18-03-2024 20:46","Amid Inflation","Warming Caused Humans","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
41,145,"X","medium",170,"Z","low",196,"X","low",477,"Y","low",191,"Z","high",434,"STANDARD","south_america","FREQUENT_ACCESS","Europe West12 Sku_Id","20-02-2024","09:42:00","11:55:00","20-02-2024 11:50","Scammers Cnn Epik","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
42,491,"X","high",70,"Y","high",198,"X","high",301,"Z","medium",397,"Z","high",263,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","16-03-2024","17:22:00","18:32:00","16-03-2024 18:27","Scammers Cnn Epik","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
43,425,"X","low",282,"Z","high",268,"Z","low",492,"X","high",198,"X","medium",136,"NEARLINE","asia","OCCASIONAL_ACCESS","Europe West12 Sku_Id","22-02-2024","08:58:00","12:07:00","22-02-2024 12:05","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
44,9,"Z","low",311,"Z","medium",464,"Z","medium",349,"Y","low",403,"X","medium",251,"STANDARD","asia","FREQUENT_ACCESS","Europe West12 Sku_Id","30-07-2024","08:52:00","10:43:00","30-07-2024 10:33","New Covid Lockdowns","Coronavirus Pandemic Late","Senator","D","Senator Cory Booker (NJ)","Analyze Senator"
45,199,"X","low",51,"X","low",379,"X","medium",245,"X","low",455,"X","high",251,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","11-02-2024","10:16:00","10:47:00","11-02-2024 10:45","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
46,194,"Y","low",471,"Z","medium",200,"Y","medium",78,"Y","low",222,"X","high",90,"NEARLINE","asia","OCCASIONAL_ACCESS","Europe West12 Sku_Id","04-08-2024","10:17:00","13:16:00","04-08-2024 13:09","New Covid Lockdowns","Coronavirus Pandemic Late","Senator","D","Senator Cory Booker (NJ)","Analyze Senator"
47,411,"Z","medium",300,"Z","medium",123,"X","medium",394,"Y","low",300,"Y","low",423,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","27-07-2024","20:38:00","23:25:00","27-07-2024 23:16","New Covid Lockdowns","Coronavirus Pandemic Late","Senator","R","Senator John Cornyn (TX)","Chairman Ask Question"
48,256,"Y","medium",498,"X","high",54,"Z","medium",22,"X","medium",433,"Z","medium",497,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","21-11-2024","19:12:00","22:52:00","21-11-2024 22:50","Making Racism","Turned Movie Different","Senator","D","Senator Cory Booker (NJ)","Analyze Senator"
49,25,"X","high",335,"X","low",97,"Z","medium",95,"Z","high",68,"Z","low",251,"NEARLINE","oceania","OCCASIONAL_ACCESS","Europe West12 Sku_Id","25-06-2024","15:15:00","17:24:00","25-06-2024 17:19","Scammers Cnn Epik","Rwigara Mother Adeline","Senator","R","Senator John Cornyn (TX)","Chairman Ask Question"
50,420,"Z","high",5,"Z","medium",68,"Y","low",395,"Z","low",123,"Z","medium",329,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","10-02-2024","08:27:00","12:01:00","10-02-2024 11:51","Smitten Aussie Tennis","Said Alicia Keys","Senator","D","Senator Cory Booker (NJ)","Analyze Senator"
51,256,"X","high",104,"Z","medium",402,"Z","medium",177,"Y","high",313,"X","low",204,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","27-04-2024","11:40:00","13:58:00","27-04-2024 13:49","Bob Baffert Suspended","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
52,184,"Z","medium",486,"X","high",287,"X","medium",108,"Z","high",89,"X","low",427,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","30-06-2024","09:23:00","10:52:00","30-06-2024 10:48","Reunion Netflix Cnn","Niger State Television","Senator","D","Senator Cory Booker (NJ)","Analyze Senator"
53,85,"Z","medium",279,"Y","low",18,"Z","medium",98,"X","low",397,"X","high",80,"STANDARD","asia","FREQUENT_ACCESS","Europe West12 Sku_Id","21-04-2024","17:14:00","19:55:00","21-04-2024 19:53","Voice Cnn Masai","Actor Bob Odenkirk","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
54,78,"Y","high",61,"Z","medium",463,"X","high",157,"Z","low",133,"Z","low",379,"COLDLINE","north_america","RARE_ACCESS","Europe West12 Sku_Id","16-04-2024","16:06:00","16:57:00","16-04-2024 16:55","Reunion Netflix Cnn","Said Alicia Keys","Senator","D","Senator Cory Booker (NJ)","Analyze Senator"
55,263,"X","high",37,"Z","high",75,"Z","medium",418,"Y","high",168,"X","high",200,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","02-04-2024","10:13:00","14:05:00","02-04-2024 13:58","Smitten Aussie Tennis","Coronavirus Pandemic Late","Senator","D","Senator Sheldon Whitehouse (RI)","Chairman Ask Question"
56,42,"Y","medium",268,"Z","medium",322,"Z","medium",227,"Y","high",405,"Z","medium",251,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","26-06-2024","09:39:00","13:02:00","26-06-2024 12:55","Bob Baffert Suspended","Actor Bob Odenkirk","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
57,40,"X","high",297,"Y","low",6,"Z","high",476,"Y","low",263,"Y","low",231,"STANDARD","asia","FREQUENT_ACCESS","Europe West12 Sku_Id","25-11-2024","16:28:00","17:31:00","25-11-2024 17:30","Voice Cnn Masai","Said Alicia Keys","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
58,392,"Z","low",123,"X","low",294,"X","high",245,"Y","low",395,"Y","low",4,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","13-12-2024","07:50:00","11:17:00","13-12-2024 11:10","Reunion Netflix Cnn","Turned Movie Different","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
59,171,"Z","high",97,"Y","low",240,"Z","high",134,"Y","medium",313,"Z","high",251,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","17-09-2024","18:20:00","19:20:00","17-09-2024 19:15","Reunion Netflix Cnn","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Analyze Senator"
60,324,"Z","high",265,"Z","high",454,"Z","low",81,"Z","high",257,"X","high",333,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","05-12-2024","13:49:00","16:44:00","05-12-2024 16:40","Abortion Travel","Said Alicia Keys","Senator","D","Senator Mazie Hirono (HI)","Executive Privilege Limit"
61,493,"Z","medium",217,"Z","high",300,"Z","high",471,"X","high",255,"X","high",300,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","30-12-2024","18:16:00","19:40:00","30-12-2024 19:37","Bob Baffert Suspended","Said Alicia Keys","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
62,25,"X","medium",18,"Y","low",240,"X","medium",451,"Z","medium",401,"X","low",50,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","05-10-2024","18:24:00","21:29:00","05-10-2024 21:19","Making Racism","Turned Movie Different","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
63,397,"X","low",28,"X","high",265,"X","high",61,"X","medium",499,"X","high",389,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","11-11-2024","14:37:00","17:50:00","11-11-2024 17:41","Reunion Netflix Cnn","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
64,54,"Y","medium",119,"Y","medium",316,"Y","high",160,"X","low",12,"Z","low",480,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","13-10-2024","19:00:00","19:42:00","13-10-2024 19:37","Bob Baffert Suspended","Actor Bob Odenkirk","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
65,380,"Y","low",265,"X","medium",207,"Y","high",371,"Y","medium",253,"Y","medium",407,"STANDARD","south_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","18-06-2024","15:54:00","16:52:00","18-06-2024 16:48","Reunion Netflix Cnn","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
66,153,"Z","high",150,"Z","low",240,"X","low",491,"Y","medium",391,"X","low",124,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","11-04-2024","06:57:00","08:46:00","11-04-2024 08:44","Abortion Travel","Said Alicia Keys","Senator","D","Senator Mazie Hirono (HI)","Analyze Senator"
67,67,"Y","low",265,"Y","low",264,"X","medium",451,"Y","low",321,"X","low",90,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","10-12-2024","07:58:00","11:57:00","10-12-2024 11:47","Reunion Netflix Cnn","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
68,256,"Z","low",457,"Y","high",484,"Z","high",142,"Y","medium",241,"X","low",183,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","08-07-2024","15:14:00","18:03:00","08-07-2024 17:55","Assassination Question","Said Alicia Keys","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
69,182,"Y","medium",265,"Y","medium",240,"Z","medium",448,"Z","medium",396,"Z","high",11,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","11-02-2024","20:39:00","21:50:00","11-02-2024 21:45","Abortion Travel","Said Alicia Keys","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
70,364,"X","high",291,"Y","high",364,"X","high",362,"Y","low",234,"X","low",275,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","21-10-2024","18:44:00","20:31:00","21-10-2024 20:26","Voice Cnn Masai","International Women","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
71,340,"X","high",122,"Z","medium",413,"X","high",231,"Y","high",68,"Z","low",229,"STANDARD","asia","FREQUENT_ACCESS","Original_Region West2 Sku_Id","24-01-2024","20:17:00","22:52:00","24-01-2024 22:51","Basketball Legend Says","Point Tally Nba","Chairman","R","Senator Chuck Grassley (IA)","Analyze Senator"
72,364,"Y","medium",354,"Z","low",359,"Z","low",188,"Y","high",136,"X","low",251,"COLDLINE","oceania","RARE_ACCESS","Europe West12 Sku_Id","07-10-2024","13:44:00","16:56:00","07-10-2024 16:46","Reunion Netflix Cnn","Turned Movie Different","Senator","R","Senator Orrin Hatch (UT)","Kozinski Phone Senator"
73,10,"X","low",473,"Y","medium",490,"X","low",406,"Z","high",21,"Y","low",494,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","13-04-2024","19:18:00","20:18:00","13-04-2024 20:16","Basketball Legend Says","Point Tally Nba","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
74,487,"Y","high",338,"Y","high",217,"X","medium",418,"Y","high",351,"Y","medium",327,"STANDARD","north_america","FREQUENT_ACCESS","Original_Region West2 Sku_Id","28-07-2024","21:38:00","00:28:00","29-07-2024 00:19","Reunion Netflix Cnn","Turned Movie Different","Senator","D","Senator Sheldon Whitehouse (RI)","Executive Privilege Limit"
75,216,"Y","medium",147,"Y","low",270,"Z","medium",457,"Y","medium",486,"X","low",208,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","17-08-2024","17:22:00","19:06:00","17-08-2024 19:00","Reunion Netflix Cnn","Turned Movie Different","Senator","D","Senator Patrick Leahy (VT)","Executive Privilege Limit"
76,55,"X","medium",196,"X","high",76,"X","medium",231,"X","low",189,"Y","low",391,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","07-11-2024","17:28:00","18:59:00","07-11-2024 18:50","Reunion Netflix Cnn","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Kavanaugh Dissents President"
77,464,"Y","high",464,"Y","low",187,"X","high",133,"Y","medium",366,"X","medium",184,"STANDARD","europe","FREQUENT_ACCESS","Original_Region West2 Sku_Id","15-12-2024","21:42:00","01:31:00","16-12-2024 01:28","Golf Black Professional","Point Tally Nba","Nominee","R","Brett M. Kavanaugh","Proud Judge Kavanaugh"
78,396,"Z","medium",265,"Y","low",79,"X","low",435,"Y","high",491,"X","high",378,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","07-11-2024","14:26:00","15:23:00","07-11-2024 15:17","Basketball Legend Says","Point Tally Nba","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
79,41,"X","medium",110,"Z","medium",395,"Y","medium",151,"Y","high",196,"X","low",466,"STANDARD","north_america","FREQUENT_ACCESS","Europe West12 Sku_Id","18-06-2024","18:02:00","19:21:00","18-06-2024 19:12","Basketball Legend Says","Point Tally Nba","Nominee","R","Brett M. Kavanaugh","Proud Judge Kavanaugh"
80,218,"Y","high",53,"Y","low",391,"Z","low",376,"Y","low",441,"X","medium",454,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","15-05-2024","08:42:00","09:47:00","15-05-2024 09:40","Bob Baffert Suspended","Lomachenko","Chairman","R","Senator Chuck Grassley (IA)","Analyze Senator"
81,453,"Z","low",320,"Y","medium",96,"Z","low",254,"X","medium",8,"Z","medium",259,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","25-06-2024","15:05:00","19:05:00","25-06-2024 19:00","Assassination Question","Actor Bob Odenkirk","Senator","D","Senator Kamala Harris (CA)","Senator Blumenthal Chair"
