id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1
57,0,0,C.A. 31026,10.5,,S,54
58,0,0,2697,7.2292,,C,15
59,1,2,C.A. 34651,27.75,,S,74
60,5,2,CA 2144,46.9,,S,68
61,0,0,2669,7.2292,,C,92
62,0,0,113572,80,B28,,74
63,1,0,36973,83.475,C83,S,36
64,3,2,347088,27.9,,S,
65,0,0,PC 17605,27.7208,,C,
66,1,1,2661,15.2458,,C,32
67,0,0,C.A. 29395,10.5,F33,S,
68,0,0,S.P. 3464,8.1583,,S,
69,4,2,3101281,7.925,,S,7
70,2,0,315151,8.6625,,S,
71,0,0,C.A. 33111,10.5,,S,79
72,5,2,CA 2144,46.9,,S,18
73,0,0,S.O.C. 14879,73.5,,S,
74,1,0,2680,14.4542,,C,12
75,0,0,1601,56.4958,,S,68
76,0,0,348123,7.65,F G73,S,47
77,0,0,349208,7.8958,,S,
78,0,0,374746,8.05,,S,22
79,0,2,248738,29,,S,
80,0,0,364516,12.475,,S,66
81,0,0,345767,9,,S,94
82,0,0,345779,9.5,,S,43
83,0,0,330932,7.7875,,Q,16
84,0,0,113059,47.1,,S,83
85,0,0,SO/C 14885,10.5,,S,62
86,3,0,3101278,15.85,,S,70
87,1,3,W./C. 6608,34.375,,S,9
88,0,0,SOTON/OQ 392086,8.05,,S,31
89,3,2,19950,263,C23 C25 C27,S,
90,0,0,343275,8.05,,S,
91,0,0,343276,8.05,,S,43
92,0,0,347466,7.8542,,S,
93,1,0,W.E.P. 5734,61.175,E31,S,
94,1,2,C.A. 2315,20.575,,S,38
95,0,0,364500,7.25,,S,89
96,0,0,374910,8.05,,S,28
97,0,0,PC 17754,34.6542,A5,C,23
98,0,1,PC 17759,63.3583,D10 D12,C,68
99,0,1,231919,23,,S,
100,1,0,244367,26,,S,13
101,0,0,349245,7.8958,,S,83
102,0,0,349215,7.8958,,S,
103,0,1,35281,77.2875,D26,S,80
104,0,0,7540,8.6542,,S,0
105,2,0,3101276,7.925,,S,79
106,0,0,349207,7.8958,,S,
107,0,0,343120,7.65,,S,
108,0,0,312991,7.775,,S,66
109,0,0,349249,7.8958,,S,
110,1,0,371110,24.15,,Q,
111,0,0,110465,52,C110,S,
112,1,0,2665,14.4542,,C,78
113,0,0,324669,8.05,,S,55
114,1,0,4136,9.825,,S,45
115,0,0,2627,14.4583,,C,
116,0,0,STON/O 2. 3101294,7.925,,S,
117,0,0,370369,7.75,,Q,3
118,1,0,11668,21,,S,13
119,0,1,PC 17558,247.5208,B58 B60,C,24
120,4,2,347082,31.275,,S,11
121,2,0,S.O.C. 14879,73.5,,S,43
122,0,0,A4. 54510,8.05,,S,
123,1,0,237736,30.0708,,C,65
124,0,0,27267,13,E101,S,47
125,0,1,35281,77.2875,D26,S,85
126,1,0,2651,11.2417,,C,56
127,0,0,370372,7.75,,Q,7
128,0,0,C 17369,7.1417,,S,76
129,1,1,2668,22.3583,F E69,C,57
130,0,0,347061,6.975,,S,63
131,0,0,349241,7.8958,,C,56
132,0,0,SOTON/O.Q. 3101307,7.05,,S,55
133,1,0,A/5. 3337,14.5,,S,9
134,1,0,228414,26,,S,55
135,0,0,C.A. 29178,13,,S,79
136,0,0,SC/PARIS 2133,15.0458,,C,30
137,0,2,11752,26.2833,D47,S,
138,1,0,113803,53.1,C123,S,3
139,0,0,7534,9.2167,,S,34
140,0,0,PC 17593,79.2,B86,C,43
141,0,2,2678,15.2458,,C,
142,0,0,347081,7.75,,S,21
143,1,0,STON/O2. 3101279,15.85,,S,
144,0,0,365222,6.75,,Q,
145,0,0,231945,11.5,,S,99
146,1,1,C.A. 33112,36.75,,S,85
147,0,0,350043,7.7958,,S,3
148,2,2,W./C. 6608,34.375,,S,23
149,0,2,230080,26,F2,S,
150,0,0,244310,13,,S,
151,0,0,S.O.P. 1166,12.525,,S,85
152,1,0,113776,66.6,C2,S,28
153,0,0,A.5. 11206,8.05,,S,91
154,0,2,A/5. 851,14.5,,S,29
155,0,0,Fa 265302,7.3125,,S,43
156,0,1,PC 17597,61.3792,,C,66
157,0,0,35851,7.7333,,Q,12
158,0,0,SOTON/OQ 392090,8.05,,S,55
159,0,0,315037,8.6625,,S,50
160,8,2,CA. 2343,69.55,,S,78
161,0,1,371362,16.1,,S,99
162,0,0,C.A. 33595,15.75,,S,
163,0,0,347068,7.775,,S,40
164,0,0,315093,8.6625,,S,40
165,4,1,3101295,39.6875,,S,41
166,0,2,363291,20.525,,S,81
167,0,1,113505,55,E33,S,32
168,1,4,347088,27.9,,S,16
169,0,0,PC 17318,25.925,,S,
170,0,0,1601,56.4958,,S,2
171,0,0,111240,33.5,B19,S,10
172,4,1,382652,29.125,,Q,9
173,1,1,347742,11.1333,,S,
174,0,0,STON/O 2. 3101280,7.925,,S,
175,0,0,17764,30.6958,A7,C,69
176,1,1,350404,7.8542,,S,46
177,3,1,4133,25.4667,,S,71
178,0,0,PC 17595,28.7125,C49,C,16
179,0,0,250653,13,,S,90
180,0,0,LINE,0,,S,50
181,8,2,CA. 2343,69.55,,S,93
182,0,0,SC/PARIS 2131,15.05,,C,
183,4,2,347077,31.3875,,S,49
184,2,1,230136,39,F4,S,69
185,0,2,315153,22.025,,S,49
186,0,0,113767,50,A32,S,44
187,1,0,370365,15.5,,Q,
188,0,0,111428,26.55,,S,38
189,1,1,364849,15.5,,Q,
190,0,0,349247,7.8958,,S,
191,0,0,234604,13,,S,68
192,0,0,28424,13,,S,63
193,1,0,350046,7.8542,,S,60
194,1,1,230080,26,F2,S,36
195,0,0,PC 17610,27.7208,B4,C,95
196,0,0,PC 17569,146.5208,B80,C,8
197,0,0,368703,7.75,,Q,
198,0,1,4579,8.4042,,S,
199,0,0,370370,7.75,,Q,33
200,0,0,248747,13,,S,96
201,0,0,345770,9.5,,S,
202,8,2,CA. 2343,69.55,,S,90
203,0,0,3101264,6.4958,,S,49
204,0,0,2628,7.225,,C,
205,0,0,A/5 3540,8.05,,S,45
206,0,1,347054,10.4625,G6,S,26
207,1,0,3101278,15.85,,S,76
208,0,0,2699,18.7875,,C,
209,0,0,367231,7.75,,Q,26
210,0,0,112277,31,A31,C,77
211,0,0,SOTON/O.Q. 3101311,7.05,,S,26
212,0,0,F.C.C. 13528,21,,S,
213,0,0,A/5 21174,7.25,,S,78
214,0,0,250646,13,,S,44
215,1,0,367229,7.75,,Q,
216,1,0,35273,113.275,D36,C,27
217,0,0,STON/O2. 3101283,7.925,,S,
218,1,0,243847,27,,S,
219,0,0,11813,76.2917,D15,C,44
220,0,0,W/C 14208,10.5,,S,90
221,0,0,SOTON/OQ 392089,8.05,,S,12
222,0,0,220367,13,,S,45
223,0,0,21440,8.05,,S,
224,0,0,349234,7.8958,,S,20
225,1,0,19943,90,C93,S,
226,0,0,PP 4348,9.35,,S,30
227,0,0,SW/PP 751,10.5,,S,80
228,0,0,A/5 21173,7.25,,S,57
229,0,0,236171,13,,S,54
230,3,1,4133,25.4667,,S,17
231,1,0,36973,83.475,C83,S,46
232,0,0,347067,7.775,,S,85
233,0,0,237442,13.5,,S,
234,4,2,347077,31.3875,,S,75
235,0,0,C.A. 29566,10.5,,S,
236,0,0,W./C. 6609,7.55,,S,
237,1,0,26707,26,,S,
238,0,2,C.A. 31921,26.25,,S,43
239,0,0,28665,10.5,,S,30
240,0,0,SCO/W 1585,12.275,,S,62
241,1,0,2665,14.4542,,C,14
242,1,0,367230,15.5,,Q,58
243,0,0,W./C. 14263,10.5,,S,9
244,0,0,STON/O 2. 3101275,7.125,,S,64
245,0,0,2694,7.225,,C,
246,2,0,19928,90,C78,Q,8
247,0,0,347071,7.775,,S,
248,0,2,250649,14.5,,S,41
249,1,1,11751,52.5542,D35,S,78
250,1,0,244252,26,,S,4
251,0,0,362316,7.25,,S,17
252,1,1,347054,10.4625,G6,S,49
253,0,0,113514,26.55,C87,S,18
254,1,0,A/5. 3336,16.1,,S,
255,0,2,370129,20.2125,,S,
256,0,2,2650,15.2458,,C,14
257,0,0,PC 17585,79.2,,C,
258,0,0,110152,86.5,B77,S,10
259,0,0,PC 17755,512.3292,,C,
260,0,1,230433,26,,S,58
261,0,0,384461,7.75,,Q,79
262,4,2,347077,31.3875,,S,17
263,1,1,110413,79.65,E67,S,29
264,0,0,112059,0,B94,S,92
265,0,0,382649,7.75,,Q,98
266,0,0,C.A. 17248,10.5,,S,58
267,4,1,3101295,39.6875,,S,44
268,1,0,347083,7.775,,S,34
269,0,1,PC 17582,153.4625,C125,S,61
270,0,0,PC 17760,135.6333,C99,S,
271,0,0,113798,31,,S,29
272,0,0,LINE,0,,S,
273,0,1,250644,19.5,,S,15
274,0,1,PC 17596,29.7,C118,C,95
275,0,0,370375,7.75,,Q,41
276,1,0,13502,77.9583,D7,S,48
277,0,0,347073,7.75,,S,
278,0,0,239853,0,,S,78
279,4,1,382652,29.125,,Q,
280,1,1,C.A. 2673,20.25,,S,
281,0,0,336439,7.75,,Q,
282,0,0,347464,7.8542,,S,
283,0,0,345778,9.5,,S,67
284,0,0,A/5. 10482,8.05,,S,49
285,0,0,113056,26,A19,S,44
286,0,0,349239,8.6625,,C,
287,0,0,345774,9.5,,S,
288,0,0,349206,7.8958,,S,57
289,0,0,237798,13,,S,
290,0,0,370373,7.75,,Q,47
291,0,0,19877,78.85,,S,
292,1,0,11967,91.0792,B49,C,26
293,0,0,SC/Paris 2163,12.875,D,C,95
294,0,0,349236,8.85,,S,33
295,0,0,349233,7.8958,,S,
296,0,0,PC 17612,27.7208,,C,
297,0,0,2693,7.2292,,C,84
298,1,2,113781,151.55,C22 C26,S,
299,0,0,19988,30.5,C106,S,28
300,0,1,PC 17558,247.5208,B58 B60,C,2
301,0,0,9234,7.75,,Q,36
302,2,0,367226,23.25,,Q,82
303,0,0,LINE,0,,S,0
304,0,0,226593,12.35,E101,Q,89
305,0,0,A/5 2466,8.05,,S,
306,1,2,113781,151.55,C22 C26,S,14
307,0,0,17421,110.8833,,C,
308,1,0,PC 17758,108.9,C65,C,55
309,1,0,P/PP 3381,24,,C,31
310,0,0,PC 17485,56.9292,E36,C,
311,0,0,11767,83.1583,C54,C,66
312,2,2,PC 17608,262.375,B57 B59 B63 B66,C,67
313,1,1,250651,26,,S,
314,0,0,349243,7.8958,,S,28
315,1,1,F.C.C. 13529,26.25,,S,24
316,0,0,347470,7.8542,,S,
317,1,0,244367,26,,S,
318,0,0,29011,14,,S,
319,0,2,36928,164.8667,C7,S,93
320,1,1,16966,134.5,E34,C,
321,0,0,A/5 21172,7.25,,S,
322,0,0,349219,7.8958,,S,
323,0,0,234818,12.35,,Q,
324,1,1,248738,29,,S,91
325,8,2,CA. 2343,69.55,,S,
326,0,0,PC 17760,135.6333,C32,C,23
327,0,0,345364,6.2375,,S,23
328,0,0,28551,13,D,S,3
329,1,1,363291,20.525,,S,
330,0,1,111361,57.9792,B18,C,55
331,2,0,367226,23.25,,Q,54
332,0,0,113043,28.5,C124,S,
333,0,1,PC 17582,153.4625,C91,S,30
334,2,0,345764,18,,S,82
335,1,0,PC 17611,133.65,,S,
336,0,0,349225,7.8958,,S,80
337,1,0,113776,66.6,C2,S,96
338,0,0,16966,134.5,E40,C,31
339,0,0,7598,8.05,,S,20
340,0,0,113784,35.5,T,S,95
341,1,1,230080,26,F2,S,63
342,3,2,19950,263,C23 C25 C27,S,29
343,0,0,248740,13,,S,62
344,0,0,244361,13,,S,51
345,0,0,229236,13,,S,
346,0,0,248733,13,F33,S,25
347,0,0,31418,13,,S,99
348,1,0,386525,16.1,,S,
349,1,1,C.A. 37671,15.9,,S,
350,0,0,315088,8.6625,,S,16
351,0,0,7267,9.225,,S,
352,0,0,113510,35,C128,S,
353,1,1,2695,7.2292,,C,29
354,1,0,349237,17.8,,S,43
355,0,0,2647,7.225,,C,96
356,0,0,345783,9.5,,S,99
357,0,1,113505,55,E33,S,15
358,0,0,237671,13,,S,89
359,0,0,330931,7.8792,,Q,
360,0,0,330980,7.8792,,Q,
361,1,4,347088,27.9,,S,84
362,1,0,SC/PARIS 2167,27.7208,,C,
363,0,1,2691,14.4542,,C,22
364,0,0,SOTON/O.Q. 3101310,7.05,,S,89
365,1,0,370365,15.5,,Q,
366,0,0,C 7076,7.25,,S,
367,1,0,110813,75.25,D37,C,46
368,0,0,2626,7.2292,,C,31
369,0,0,14313,7.75,,Q,
370,0,0,PC 17477,69.3,B35,C,77
371,1,0,11765,55.4417,E50,C,33
372,1,0,3101267,6.4958,,S,66
373,0,0,323951,8.05,,S,41
374,0,0,PC 17760,135.6333,,C,
375,3,1,349909,21.075,,S,
376,1,0,PC 17604,82.1708,,C,9
377,0,0,C 7077,7.25,,S,
378,0,2,113503,211.5,C82,C,74
379,0,0,2648,4.0125,,C,37
380,0,0,347069,7.775,,S,
381,0,0,PC 17757,227.525,,C,0
382,0,2,2653,15.7417,,C,
383,0,0,STON/O 2. 3101293,7.925,,S,94
384,1,0,113789,52,,S,
385,0,0,349227,7.8958,,S,3
386,0,0,S.O.C. 14879,73.5,,S,12
387,5,2,CA 2144,46.9,,S,6
388,0,0,27849,13,,S,83
389,0,0,367655,7.7292,,Q,89
390,0,0,SC 1748,12,,C,15
391,1,2,113760,120,B96 B98,S,74
392,0,0,350034,7.7958,,S,17
393,2,0,3101277,7.925,,S,36
394,1,0,35273,113.275,D36,C,59
395,0,2,PP 9549,16.7,G6,S,
396,0,0,350052,7.7958,,S,87
397,0,0,350407,7.8542,,S,4
398,0,0,28403,26,,S,19
399,0,0,244278,10.5,,S,
400,0,0,240929,12.65,,S,31
401,0,0,STON/O 2. 3101289,7.925,,S,99
402,0,0,341826,8.05,,S,77
403,1,0,4137,9.825,,S,
404,1,0,STON/O2. 3101279,15.85,,S,97
405,0,0,315096,8.6625,,S,
406,1,0,28664,21,,S,
407,0,0,347064,7.75,,S,43
408,1,1,29106,18.75,,S,14
409,0,0,312992,7.775,,S,
410,3,1,4133,25.4667,,S,1
411,0,0,349222,7.8958,,S,17
412,0,0,394140,6.8583,,Q,22
413,1,0,19928,90,C78,Q,27
414,0,0,239853,0,,S,13
415,0,0,STON/O 2. 3101269,7.925,,S,1
416,0,0,343095,8.05,,S,67
417,1,1,28220,32.5,,S,96
418,0,2,250652,13,,S,12
419,0,0,28228,13,,S,
420,0,2,345773,24.15,,S,50
421,0,0,349254,7.8958,,C,92
422,0,0,A/5. 13032,7.7333,,Q,69
423,0,0,315082,7.875,,S,
424,1,1,347080,14.4,,S,
425,1,1,370129,20.2125,,S,41
426,0,0,A/4. 34244,7.25,,S,
427,1,0,2003,26,,S,86
428,0,0,250655,26,,S,80
429,0,0,364851,7.75,,Q,2
430,0,0,SOTON/O.Q. 392078,8.05,E10,S,71
431,0,0,110564,26.55,C52,S,8
432,1,0,376564,16.1,,S,73
433,1,0,SC/AH 3085,26,,S,82
434,0,0,STON/O 2. 3101274,7.125,,S,13
435,1,0,13507,55.9,E44,S,43
436,1,2,113760,120,B96 B98,S,12
437,2,2,W./C. 6608,34.375,,S,56
438,2,3,29106,18.75,,S,92
439,1,4,19950,263,C23 C25 C27,S,
440,0,0,C.A. 18723,10.5,,S,39
441,1,1,F.C.C. 13529,26.25,,S,97
442,0,0,345769,9.5,,S,
443,1,0,347076,7.775,,S,
444,0,0,230434,13,,S,48
445,0,0,65306,8.1125,,S,50
446,0,2,33638,81.8583,A34,S,66
447,0,1,250644,19.5,,S,
448,0,0,113794,26.55,,S,
449,2,1,2666,19.2583,,C,52
450,0,0,113786,30.5,C104,S,28
451,1,2,C.A. 34651,27.75,,S,
452,1,0,65303,19.9667,,S,
453,0,0,113051,27.75,C111,C,
454,1,0,17453,89.1042,C92,C,2
455,0,0,A/5 2817,8.05,,S,59
456,0,0,349240,7.8958,,C,
457,0,0,13509,26.55,E38,S,
458,1,0,17464,51.8625,D21,S,63
459,0,0,F.C.C. 13531,10.5,,S,84
460,0,0,371060,7.75,,Q,10
461,0,0,19952,26.55,E12,S,72
462,0,0,364506,8.05,,S,
463,0,0,111320,38.5,E63,S,
464,0,0,234360,13,,S,
465,0,0,A/S 2816,8.05,,S,0
466,0,0,SOTON/O.Q. 3101306,7.05,,S,96
467,0,0,239853,0,,S,16
468,0,0,113792,26.55,,S,59
469,0,0,36209,7.725,,Q,18
470,2,1,2666,19.2583,,C,93
471,0,0,323592,7.25,,S,
472,0,0,315089,8.6625,,S,
473,1,2,C.A. 34651,27.75,,S,43
474,0,0,SC/AH Basle 541,13.7917,D,C,46
475,0,0,7553,9.8375,,S,
476,0,0,110465,52,A14,S,78
477,1,0,31027,21,,S,84
478,1,0,3460,7.0458,,S,1
479,0,0,350060,7.5208,,S,
480,0,1,3101298,12.2875,,S,
481,5,2,CA 2144,46.9,,S,
482,0,0,239854,0,,S,82
483,0,0,A/5 3594,8.05,,S,25
484,0,0,4134,9.5875,,S,79
485,1,0,11967,91.0792,B49,C,
486,3,1,4133,25.4667,,S,23
487,1,0,19943,90,C93,S,33
488,0,0,11771,29.7,B37,C,53
489,0,0,A.5. 18509,8.05,,S,76
490,1,1,C.A. 37671,15.9,,S,
491,1,0,65304,19.9667,,S,93
492,0,0,SOTON/OQ 3101317,7.25,,S,
493,0,0,113787,30.5,C30,S,75
494,0,0,PC 17609,49.5042,,C,
495,0,0,A/4 45380,8.05,,S,
496,0,0,2627,14.4583,,C,41
497,1,0,36947,78.2667,D20,C,
498,0,0,C.A. 6212,15.1,,S,37
499,1,2,113781,151.55,C22 C26,S,92
500,0,0,350035,7.7958,,S,
501,0,0,315086,8.6625,,S,11
502,0,0,364846,7.75,,Q,65
503,0,0,330909,7.6292,,Q,96
504,0,0,4135,9.5875,,S,86
505,0,0,110152,86.5,B79,S,27
506,1,0,PC 17758,108.9,C65,C,
507,0,2,26360,26,,S,
508,0,0,111427,26.55,,S,
509,0,0,C 4001,22.525,,S,26
510,0,0,1601,56.4958,,S,23
511,0,0,382651,7.75,,Q,99
512,0,0,SOTON/OQ 3101316,8.05,,S,74
513,0,0,PC 17473,26.2875,E25,S,84
514,1,0,PC 17603,59.4,,C,81
515,0,0,349209,7.4958,,S,95
516,0,0,36967,34.0208,D46,S,10
517,0,0,C.A. 34260,10.5,F33,S,
518,0,0,371110,24.15,,Q,
519,1,0,226875,26,,S,47
520,0,0,349242,7.8958,,S,59
521,0,0,12749,93.5,B73,S,35
522,0,0,349252,7.8958,,S,
523,0,0,2624,7.225,,C,19
524,0,1,111361,57.9792,B18,C,
525,0,0,2700,7.2292,,C,
526,0,0,367232,7.75,,Q,
527,0,0,W./C. 14258,10.5,,S,
528,0,0,PC 17483,221.7792,C95,S,14
529,0,0,3101296,7.925,,S,91
530,2,1,29104,11.5,,S,92
531,1,1,26360,26,,S,59
532,0,0,2641,7.2292,,C,16
533,1,1,2690,7.2292,,C,15
534,0,2,2668,22.3583,,C,
535,0,0,315084,8.6625,,S,57
536,0,2,F.C.C. 13529,26.25,,S,15
537,0,0,113050,26.55,B38,S,45
538,0,0,PC 17761,106.425,,C,11
539,0,0,364498,14.5,,S,
540,0,2,13568,49.5,B39,C,2
541,0,2,WE/P 5735,71,B22,S,70
542,4,2,347082,31.275,,S,
543,4,2,347082,31.275,,S,19
544,1,0,2908,26,,S,17
545,1,0,PC 17761,106.425,C86,C,83
546,0,0,693,26,,S,5
547,1,0,2908,26,,S,42
548,0,0,SC/PARIS 2146,13.8625,,C,
549,1,1,363291,20.525,,S,51
550,1,1,C.A. 33112,36.75,,S,68
551,0,2,17421,110.8833,C70,C,80
552,0,0,244358,26,,S,
553,0,0,330979,7.8292,,Q,82
554,0,0,2620,7.225,,C,
555,0,0,347085,7.775,,S,
556,0,0,113807,26.55,,S,50
557,1,0,11755,39.6,A16,C,
558,0,0,PC 17757,227.525,,C,
559,1,1,110413,79.65,E67,S,79
560,1,0,345572,17.4,,S,85
561,0,0,372622,7.75,,Q,53
562,0,0,349251,7.8958,,S,4
563,0,0,218629,13.5,,S,49
564,0,0,SOTON/OQ 392082,8.05,,S,18
565,0,0,SOTON/O.Q. 392087,8.05,,S,88
566,2,0,A/4 48871,24.15,,S,23
567,0,0,349205,7.8958,,S,22
568,0,4,349909,21.075,,S,24
569,0,0,2686,7.2292,,C,64
570,0,0,350417,7.8542,,S,
571,0,0,S.W./PP 752,10.5,,S,94
572,2,0,11769,51.4792,C101,S,41
573,0,0,PC 17474,26.3875,E25,S,
574,0,0,14312,7.75,,Q,4
575,0,0,A/4. 20589,8.05,,S,0
576,0,0,358585,14.5,,S,37
577,0,0,243880,13,,S,92
578,1,0,13507,55.9,E44,S,52
579,1,0,2689,14.4583,,C,89
580,0,0,STON/O 2. 3101286,7.925,,S,10
581,1,1,237789,30,,S,9
582,1,1,17421,110.8833,C68,C,83
583,0,0,28403,26,,S,10
584,0,0,13049,40.125,A10,C,5
585,0,0,3411,8.7125,,C,40
586,0,2,110413,79.65,E68,S,92
587,0,0,237565,15,,S,68
588,1,1,13567,79.2,B41,C,9
589,0,0,14973,8.05,,S,83
590,0,0,A./5. 3235,8.05,,S,84
591,0,0,STON/O 2. 3101273,7.125,,S,80
592,1,0,36947,78.2667,D20,C,90
593,0,0,A/5 3902,7.25,,S,23
594,0,2,364848,7.75,,Q,
595,1,0,SC/AH 29037,26,,S,
596,1,1,345773,24.15,,S,80
597,0,0,248727,33,,S,57
598,0,0,LINE,0,,S,77
599,0,0,2664,7.225,,C,
600,1,0,PC 17485,56.9292,A20,C,64
601,2,1,243847,27,,S,
602,0,0,349214,7.8958,,S,77
603,0,0,113796,42.4,,S,73
604,0,0,364511,8.05,,S,
605,0,0,111426,26.55,,C,82
606,1,0,349910,15.55,,S,
607,0,0,349246,7.8958,,S,
608,0,0,113804,30.5,,S,
609,1,2,SC/Paris 2123,41.5792,,C,
610,0,0,PC 17582,153.4625,C125,S,85
611,1,5,347082,31.275,,S,83
612,0,0,SOTON/O.Q. 3101305,7.05,,S,
613,1,0,367230,15.5,,Q,78
614,0,0,370377,7.75,,Q,38
615,0,0,364512,8.05,,S,68
616,1,2,220845,65,,S,63
617,1,1,347080,14.4,,S,
618,1,0,A/5. 3336,16.1,,S,26
619,2,1,230136,39,F4,S,6
620,0,0,31028,10.5,,S,13
621,1,0,2659,14.4542,,C,43
622,1,0,11753,52.5542,D19,S,47
623,1,1,2653,15.7417,,C,
624,0,0,350029,7.8542,,S,41
625,0,0,54636,16.1,,S,60
626,0,0,36963,32.3208,D50,S,23
627,0,0,219533,12.35,,Q,33
628,0,0,13502,77.9583,D9,S,36
629,0,0,349224,7.8958,,S,50
630,0,0,334912,7.7333,,Q,36
631,0,0,27042,30,A23,S,73
632,0,0,347743,7.0542,,S,32
633,0,0,13214,30.5,B50,C,43
634,0,0,112052,0,,S,37
635,3,2,347088,27.9,,S,
636,0,0,237668,13,,S,68
637,0,0,STON/O 2. 3101292,7.925,,S,23
638,1,1,C.A. 31921,26.25,,S,29
639,0,5,3101295,39.6875,,S,79
640,1,0,376564,16.1,,S,94
641,0,0,350050,7.8542,,S,67
642,0,0,PC 17477,69.3,B35,C,91
643,3,2,347088,27.9,,S,85
644,0,0,1601,56.4958,,S,48
645,2,1,2666,19.2583,,C,
646,1,0,PC 17572,76.7292,D33,C,32
647,0,0,349231,7.8958,,S,
648,0,0,13213,35.5,A26,C,
649,0,0,S.O./P.P. 751,7.55,,S,96
650,0,0,CA. 2314,7.55,,S,84
651,0,0,349221,7.8958,,S,
652,0,1,231919,23,,S,65
653,0,0,8475,8.4333,,S,20
654,0,0,330919,7.8292,,Q,
655,0,0,365226,6.75,,Q,
656,2,0,S.O.C. 14879,73.5,,S,53
657,0,0,349223,7.8958,,S,76
658,1,1,364849,15.5,,Q,63
659,0,0,29751,13,,S,
660,0,2,35273,113.275,D48,C,28
661,2,0,PC 17611,133.65,,S,
662,0,0,2623,7.225,,C,73
663,0,0,5727,25.5875,E58,S,3
664,0,0,349210,7.4958,,S,
665,1,0,STON/O 2. 3101285,7.925,,S,
666,2,0,S.O.C. 14879,73.5,,S,69
667,0,0,234686,13,,S,50
668,0,0,312993,7.775,,S,86
669,0,0,A/5 3536,8.05,,S,91
670,1,0,19996,52,C126,S,
671,1,1,29750,39,,S,
672,1,0,F.C. 12750,52,B71,S,61
673,0,0,C.A. 24580,10.5,,S,
674,0,0,244270,13,,S,9
675,0,0,239856,0,,S,62
676,0,0,349912,7.775,,S,
677,0,0,342826,8.05,,S,58
678,0,0,4138,9.8417,,S,
679,1,6,CA 2144,46.9,,S,52
680,0,1,PC 17755,512.3292,B51 B53 B55,C,93
681,0,0,330935,8.1375,,Q,72
682,0,0,PC 17572,76.7292,D49,C,13
683,0,0,6563,9.225,,S,95
684,5,2,CA 2144,46.9,,S,95
685,1,1,29750,39,,S,16
686,1,2,SC/Paris 2123,41.5792,,C,80
687,4,1,3101295,39.6875,,S,
688,0,0,349228,10.1708,,S,59
689,0,0,350036,7.7958,,S,44
690,0,1,24160,211.3375,B5,S,78
691,1,0,17474,57,B20,S,99
692,0,1,349256,13.4167,,C,79
693,0,0,1601,56.4958,,S,
694,0,0,2672,7.225,,C,94
695,0,0,113800,26.55,,S,9
696,0,0,248731,13.5,,S,25
697,0,0,363592,8.05,,S,72
698,0,0,35852,7.7333,,Q,59
699,1,1,17421,110.8833,C68,C,5
700,0,0,348121,7.65,F G63,S,9
701,1,0,PC 17757,227.525,C62 C64,C,52
702,0,0,PC 17475,26.2875,E24,S,61
703,0,1,2691,14.4542,,C,16
704,0,0,36864,7.7417,,Q,17
705,1,0,350025,7.8542,,S,
