id,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24
26,5,347077,31.3875,,S,high,41,,low,,D,low,,Z,162,X,,188,X,high
27,0,2631,7.225,,C,medium,31,B,medium,14,D,low,80,X,325,Y,medium,207,X,low
28,2,19950,263,C23 C25 C27,S,low,42,D,high,56,A,high,,Z,465,,high,152,X,high
29,0,330959,7.8792,,Q,high,,B,medium,80,D,,,Y,465,Y,low,368,,low
30,0,349216,7.8958,,S,high,73,C,medium,31,A,unknown,31,Z,364,Z,low,302,X,
31,0,PC 17601,27.7208,,C,,,A,,45,,unknown,5,,484,Y,medium,449,Y,low
32,0,PC 17569,146.5208,B78,C,,25,,,,D,high,,,368,Y,low,447,Y,low
33,0,335677,7.75,,Q,medium,,D,high,70,A,,12,Y,33,Z,low,494,X,medium
34,0,C.A. 24579,10.5,,S,high,,,high,86,A,high,8,Y,477,Y,low,,Y,low
35,0,PC 17604,82.1708,,C,,65,D,high,,,medium,70,Y,283,X,low,291,Z,low
36,0,113789,52,,S,,69,,unknown,,,high,43,X,2,Y,high,173,Y,medium
37,0,2677,7.2292,,C,medium,66,B,low,4,D,low,,Z,310,Z,high,352,X,low
38,0,A./5. 2152,8.05,,S,,60,D,medium,,C,unknown,,,122,Z,medium,374,Z,high
39,0,345764,18,,S,,,B,high,94,C,unknown,,X,267,X,,125,Y,low
40,0,2651,11.2417,,C,unknown,,,,8,D,medium,61,Y,328,,high,429,Y,high
41,0,7546,9.475,,S,low,90,A,unknown,,,medium,53,X,13,Y,low,145,X,medium
42,0,11668,21,,S,unknown,38,B,,83,,medium,58,Y,219,Z,medium,491,X,high
43,0,349253,7.8958,,C,medium,51,B,low,,D,,70,Y,27,Y,high,425,X,low
44,2,SC/Paris 2123,41.5792,,C,,18,,medium,17,,,38,X,,Y,medium,9,Z,low
45,0,330958,7.8792,,Q,low,35,A,medium,2,A,medium,,Z,105,Z,medium,199,X,low
46,0,S.C./A.4. 23567,8.05,,S,low,,D,unknown,,A,high,,Z,390,Y,,194,Y,low
47,0,370371,15.5,,Q,unknown,64,A,medium,59,B,,14,Z,206,Z,medium,411,Z,medium
48,0,14311,7.75,,Q,,21,,,84,A,medium,21,Y,23,Y,medium,,Y,medium
49,0,2662,21.6792,,C,,54,C,,88,,low,8,Y,373,Z,high,25,X,high
50,0,349237,17.8,,S,,,A,medium,45,,high,,Z,271,X,high,420,Z,high
51,1,3101295,39.6875,,S,unknown,12,,high,42,B,,43,Z,70,Z,medium,,X,high
52,0,A/4. 39886,7.8,,S,medium,6,D,high,93,B,unknown,,Z,281,Z,medium,184,Z,medium
53,0,PC 17572,76.7292,D33,C,unknown,,D,,,,low,92,X,124,,low,85,Z,medium
54,0,2926,26,,S,unknown,65,A,medium,20,,,,Z,317,X,low,78,Y,high
55,1,113509,61.9792,B30,C,unknown,31,C,low,,,medium,55,Y,473,Z,high,263,X,
56,0,19947,35.5,C52,S,high,82,,low,71,B,high,,Z,,X,low,42,Y,medium
57,0,C.A. 31026,10.5,,S,,84,,,23,D,low,,Z,372,Y,high,40,X,high
58,0,2697,7.2292,,C,high,53,C,high,97,A,low,76,X,11,X,low,392,Z,low
59,2,C.A. 34651,27.75,,S,low,,C,,29,B,,90,X,203,Y,,171,Z,high
60,2,CA 2144,46.9,,S,,,C,unknown,,,,96,X,444,Z,,324,Z,high
61,0,2669,7.2292,,C,high,82,,,49,C,,38,Y,37,Y,high,493,Z,medium
62,0,113572,80,B28,,unknown,89,,low,69,,,48,Z,464,X,medium,25,X,medium
63,0,36973,83.475,C83,S,,,,high,90,D,unknown,,X,46,Y,high,397,X,low
64,2,347088,27.9,,S,high,51,C,,39,,,5,X,240,X,medium,54,Y,medium
65,0,PC 17605,27.7208,,C,,,A,high,,D,medium,11,Y,90,Y,high,380,Y,low
66,1,2661,15.2458,,C,,,A,medium,75,,,4,Y,10,X,low,153,Z,high
67,0,C.A. 29395,10.5,F33,S,,13,C,unknown,,A,,73,X,,Y,,67,Y,low
68,0,S.P. 3464,8.1583,,S,unknown,67,,high,,,,22,Y,290,X,,,Z,low
69,2,3101281,7.925,,S,medium,92,A,,75,A,low,,Z,361,X,high,182,Y,medium
70,0,315151,8.6625,,S,,75,,medium,70,,high,37,X,157,X,high,364,X,high
71,0,C.A. 33111,10.5,,S,,48,D,unknown,,C,low,79,,246,Z,medium,340,X,high
72,2,CA 2144,46.9,,S,,52,C,high,,B,,11,X,91,Z,medium,364,Y,medium
73,0,S.O.C. 14879,73.5,,S,,25,D,high,1,,medium,32,X,364,Z,medium,10,X,low
74,0,2680,14.4542,,C,high,,D,medium,,,unknown,,Y,,Z,high,487,Y,high
75,0,1601,56.4958,,S,unknown,24,D,,,C,low,,X,430,Y,low,216,Y,medium
76,0,348123,7.65,F G73,S,unknown,34,A,unknown,,A,,56,Y,89,X,low,55,X,medium
77,0,349208,7.8958,,S,low,26,,medium,,A,,16,X,332,Z,medium,464,Y,high
78,0,374746,8.05,,S,low,33,,low,30,,,66,Z,165,Z,low,396,Z,medium
79,2,248738,29,,S,,36,A,medium,89,C,high,96,Y,,Y,low,41,X,medium
80,0,364516,12.475,,S,,8,,,70,,low,4,X,140,X,medium,218,Y,
81,0,345767,9,,S,unknown,,,,56,,medium,8,X,474,Y,low,453,Z,low
82,0,345779,9.5,,S,low,44,,low,88,B,high,95,Y,418,Y,low,341,X,high
83,0,330932,7.7875,,Q,low,94,,low,9,C,unknown,,Y,233,Z,medium,97,Z,high
84,0,113059,47.1,,S,unknown,,A,medium,64,,unknown,91,,247,X,high,350,Y,medium
85,0,SO/C 14885,10.5,,S,unknown,66,B,medium,15,D,,70,X,176,Y,medium,94,X,medium
86,0,3101278,15.85,,S,low,,,low,23,A,medium,,Y,213,Z,high,175,Z,low
87,3,W./C. 6608,34.375,,S,medium,,B,medium,18,D,,,Y,232,Z,low,97,Y,low
88,0,SOTON/OQ 392086,8.05,,S,,49,,,54,,,51,X,72,X,low,346,Z,high
89,2,19950,263,C23 C25 C27,S,,44,A,low,62,C,,36,Y,161,Y,,465,Y,medium
90,0,343275,8.05,,S,,65,,medium,75,A,medium,83,X,437,Y,high,22,Z,high
91,0,343276,8.05,,S,,,B,,,C,unknown,4,Z,489,Y,low,301,Z,low
92,0,347466,7.8542,,S,low,31,B,,93,,medium,,Z,27,X,low,124,,
93,0,W.E.P. 5734,61.175,E31,S,medium,,D,,37,C,,55,X,366,X,low,375,Y,high
94,2,C.A. 2315,20.575,,S,high,18,,,,B,high,97,X,119,X,high,69,Z,medium
95,0,364500,7.25,,S,high,,,high,3,C,,99,X,326,Z,medium,183,X,low
96,0,374910,8.05,,S,,,,,12,C,medium,59,Z,310,Y,medium,102,Y,
97,0,PC 17754,34.6542,A5,C,unknown,95,A,unknown,,B,high,42,Z,439,X,low,436,Y,
98,1,PC 17759,63.3583,D10 D12,C,unknown,,,,41,D,unknown,27,X,351,Z,high,41,X,low
99,1,231919,23,,S,,39,C,,,C,unknown,99,Y,411,Y,low,290,Z,low
100,0,244367,26,,S,,,B,unknown,12,,unknown,,X,400,Y,low,60,Z,low
101,0,349245,7.8958,,S,high,80,B,,26,,high,12,Z,323,X,high,299,Z,high
102,0,349215,7.8958,,S,,48,B,low,98,D,,50,X,205,Y,high,383,Y,medium
103,1,35281,77.2875,D26,S,medium,96,,unknown,2,B,high,39,X,168,Y,medium,376,Y,low
104,0,7540,8.6542,,S,low,,B,,42,C,,49,Z,173,,high,16,Y,high
105,0,3101276,7.925,,S,medium,70,,,19,A,unknown,,,179,Y,medium,386,Z,high
106,0,349207,7.8958,,S,,75,C,high,53,B,unknown,26,Y,144,Y,medium,148,Z,high
107,0,343120,7.65,,S,unknown,,A,unknown,97,C,unknown,,Z,155,Z,medium,340,X,low
108,0,312991,7.775,,S,unknown,,,low,22,D,high,,X,284,Z,,481,Y,low
109,0,349249,7.8958,,S,,58,C,low,37,C,,32,X,135,Y,high,59,X,high
110,0,371110,24.15,,Q,low,,,unknown,44,,medium,0,Y,174,,medium,181,Z,high
111,0,110465,52,C110,S,low,11,,high,79,B,,67,Y,354,X,low,433,Y,high
112,0,2665,14.4542,,C,medium,13,A,low,,C,unknown,85,,164,X,medium,70,Y,medium
113,0,324669,8.05,,S,,,C,unknown,,,unknown,,Z,53,X,medium,,X,medium
114,0,4136,9.825,,S,unknown,65,B,,48,A,medium,16,Z,8,Y,medium,274,X,low
115,0,2627,14.4583,,C,,28,C,medium,,A,,76,X,382,X,medium,498,Z,low
116,0,STON/O 2. 3101294,7.925,,S,,73,A,medium,0,C,,14,Z,474,X,medium,147,Z,low
117,0,370369,7.75,,Q,,69,,high,80,D,low,62,X,341,Z,high,,Y,medium
118,0,11668,21,,S,medium,,,low,24,,,70,Y,30,X,high,397,Z,medium
119,1,PC 17558,247.5208,B58 B60,C,,91,B,medium,,D,,15,Y,281,Z,high,59,,medium
120,2,347082,31.275,,S,high,88,,,97,,medium,11,Y,135,X,,163,Y,medium
121,0,S.O.C. 14879,73.5,,S,low,,C,low,63,C,unknown,7,X,,Y,low,158,X,medium
122,0,A4. 54510,8.05,,S,medium,76,,unknown,,D,,70,Y,460,X,low,200,Y,high
123,0,237736,30.0708,,C,high,,,low,60,,high,61,X,412,Y,high,286,X,medium
124,0,27267,13,E101,S,medium,40,A,unknown,21,,low,11,Z,367,X,high,110,X,high
125,1,35281,77.2875,D26,S,,,D,low,69,C,unknown,50,X,250,X,low,195,Y,high
126,0,2651,11.2417,,C,,60,A,medium,61,C,,79,Y,289,Z,low,458,X,medium
127,0,370372,7.75,,Q,unknown,41,C,low,,,,23,X,457,Z,high,414,Z,high
128,0,C 17369,7.1417,,S,low,99,,,7,B,,60,X,330,Y,low,478,X,low
129,1,2668,22.3583,F E69,C,low,17,D,high,64,D,high,29,Y,289,Z,low,341,Z,medium
130,0,347061,6.975,,S,high,9,,low,,,unknown,,Z,48,Z,high,291,X,low
131,0,349241,7.8958,,C,medium,2,A,high,77,A,,,Y,,Z,low,106,Z,low
132,0,SOTON/O.Q. 3101307,7.05,,S,high,81,D,,12,B,,35,Z,404,Z,low,79,Y,low
133,0,A/5. 3337,14.5,,S,low,40,C,medium,53,,high,49,Z,182,X,high,,Z,low
134,0,228414,26,,S,,43,,low,81,B,unknown,20,Y,125,X,low,202,Y,medium
135,0,C.A. 29178,13,,S,unknown,64,C,high,89,,medium,39,Z,483,Y,high,393,,high
136,0,SC/PARIS 2133,15.0458,,C,,,A,,93,,,62,Y,478,Y,medium,4,X,
137,2,11752,26.2833,D47,S,medium,57,C,low,,,,38,Y,210,Z,medium,445,Y,
138,0,113803,53.1,C123,S,,5,,,,B,low,,Z,115,X,high,85,Y,low
139,0,7534,9.2167,,S,high,,B,medium,57,C,,,Y,398,X,,197,Z,medium
140,0,PC 17593,79.2,B86,C,low,,,low,46,D,,13,Z,312,X,low,178,X,medium
141,2,2678,15.2458,,C,,45,B,unknown,23,,medium,,X,450,Z,low,462,X,low
142,0,347081,7.75,,S,,16,,high,,C,low,46,Y,272,Z,medium,360,X,low
143,0,STON/O2. 3101279,15.85,,S,unknown,,,unknown,14,A,,60,Y,275,Z,high,17,X,medium
144,0,365222,6.75,,Q,,33,D,medium,,A,unknown,73,X,,Z,low,426,Z,high
145,0,231945,11.5,,S,medium,27,,,,,low,,Z,301,Z,medium,338,X,medium
146,1,C.A. 33112,36.75,,S,unknown,29,A,,,A,,97,X,181,Y,medium,34,Z,medium
147,0,350043,7.7958,,S,,72,A,low,10,,low,42,X,102,,low,390,X,high
148,2,W./C. 6608,34.375,,S,,10,B,medium,26,B,,88,X,390,X,,16,Z,medium
149,2,230080,26,F2,S,unknown,30,D,unknown,,D,high,41,Z,172,Y,low,212,,high
150,0,244310,13,,S,low,46,B,medium,,,low,40,X,106,X,low,81,X,high
151,0,S.O.P. 1166,12.525,,S,,54,,unknown,44,B,high,60,X,480,Z,medium,5,Y,low
152,0,113776,66.6,C2,S,medium,88,B,medium,4,C,,19,Z,481,Y,high,279,Z,medium
153,0,A.5. 11206,8.05,,S,unknown,,,medium,1,A,high,60,X,247,,medium,343,Z,medium
154,2,A/5. 851,14.5,,S,low,,,,,D,unknown,,X,147,Y,medium,239,X,low
155,0,Fa 265302,7.3125,,S,unknown,53,,,44,C,,,X,80,Z,high,171,Y,low
156,1,PC 17597,61.3792,,C,low,2,A,,7,C,unknown,7,Y,313,Z,high,256,Y,medium
157,0,35851,7.7333,,Q,low,61,D,low,83,,low,69,X,305,Y,high,75,Y,medium
158,0,SOTON/OQ 392090,8.05,,S,high,15,D,medium,,D,low,3,Z,309,Z,high,24,Z,
159,0,315037,8.6625,,S,high,7,A,high,34,D,medium,10,X,,Z,high,78,Y,high
160,2,CA. 2343,69.55,,S,unknown,67,C,,45,A,medium,28,Y,235,Z,high,27,,high
161,1,371362,16.1,,S,,,D,unknown,,C,low,,X,341,,high,384,Y,low
162,0,C.A. 33595,15.75,,S,low,,,,93,,medium,0,X,327,X,high,304,Z,low
163,0,347068,7.775,,S,,10,B,high,78,B,unknown,,X,397,Y,,93,Z,medium
164,0,315093,8.6625,,S,,74,D,,19,,high,78,Z,371,X,low,,Z,medium
165,1,3101295,39.6875,,S,,76,C,medium,73,,high,45,Z,17,X,medium,242,X,high
166,2,363291,20.525,,S,,,,,17,B,low,19,X,309,Y,high,55,X,high
167,1,113505,55,E33,S,unknown,83,A,high,45,C,low,42,X,487,,high,485,X,high
168,4,347088,27.9,,S,unknown,43,C,low,,,medium,69,Z,279,X,medium,468,X,low
169,0,PC 17318,25.925,,S,high,18,,unknown,3,A,,73,Y,264,Z,,379,Z,medium
170,0,1601,56.4958,,S,,,,,,A,unknown,,X,303,X,low,404,Z,low
171,0,111240,33.5,B19,S,high,21,A,medium,22,,,16,X,279,Y,medium,273,X,medium
172,1,382652,29.125,,Q,high,20,B,medium,,A,,95,Y,200,Z,medium,401,Y,low
173,1,347742,11.1333,,S,high,32,D,unknown,49,D,medium,,Y,496,X,medium,264,X,high
174,0,STON/O 2. 3101280,7.925,,S,high,,,medium,2,C,high,98,Y,35,Y,low,83,X,medium
175,0,17764,30.6958,A7,C,medium,,B,medium,,,low,,X,407,Z,low,83,Y,high
176,1,350404,7.8542,,S,high,,,low,,B,,11,Y,79,Z,medium,427,X,low
177,1,4133,25.4667,,S,unknown,62,B,medium,95,B,,,X,103,Z,medium,223,Z,high
178,0,PC 17595,28.7125,C49,C,unknown,33,C,low,,,,32,Y,303,Y,high,364,Z,medium
179,0,250653,13,,S,high,,B,,19,,unknown,,X,318,Z,low,72,Y,low
180,0,LINE,0,,S,low,51,,unknown,60,,,71,X,463,Y,medium,223,X,
181,2,CA. 2343,69.55,,S,,,C,,36,,high,,Z,147,Y,high,41,Y,low
182,0,SC/PARIS 2131,15.05,,C,medium,43,D,unknown,60,A,,58,Y,12,Z,low,110,Z,low
183,2,347077,31.3875,,S,low,29,B,unknown,,C,unknown,,Y,127,Z,low,,X,low
184,1,230136,39,F4,S,,,,,29,C,low,61,X,272,Y,low,104,Z,high
185,2,315153,22.025,,S,high,,A,high,65,C,unknown,39,X,178,Z,medium,303,X,high
186,0,113767,50,A32,S,unknown,,D,high,26,B,unknown,,Z,126,Y,high,2,X,medium
187,0,370365,15.5,,Q,,,,medium,90,A,,71,Z,457,X,medium,96,Y,high
188,0,111428,26.55,,S,,47,A,,94,B,unknown,29,Y,280,Y,medium,345,Y,low
189,1,364849,15.5,,Q,,,A,medium,,B,high,19,X,336,Z,high,74,X,low
190,0,349247,7.8958,,S,high,,A,low,72,,,70,Y,374,Y,medium,277,Z,low
191,0,234604,13,,S,,90,B,high,,D,low,,X,204,Y,medium,433,Z,high
192,0,28424,13,,S,unknown,67,D,low,,B,low,44,X,367,Z,high,390,Y,high
193,0,350046,7.8542,,S,unknown,,A,,73,,low,,X,481,Z,low,61,Y,high
194,1,230080,26,F2,S,unknown,96,D,,93,C,low,18,Y,362,Y,high,73,X,high
195,0,PC 17610,27.7208,B4,C,medium,71,,high,22,D,unknown,81,Y,148,Z,low,352,Y,low
196,0,PC 17569,146.5208,B80,C,,5,C,medium,,B,low,98,Y,389,Y,medium,173,X,
197,0,368703,7.75,,Q,,72,B,medium,,,,,Z,,Y,low,,X,medium
198,1,4579,8.4042,,S,unknown,,D,low,33,A,,14,X,36,Z,medium,238,Z,high
199,0,370370,7.75,,Q,,,,medium,23,C,,,X,222,X,medium,289,Y,high
200,0,248747,13,,S,,48,B,high,,A,unknown,86,Z,,X,low,224,Z,medium
201,0,345770,9.5,,S,low,51,A,,33,A,unknown,8,X,234,X,high,11,X,low
202,2,CA. 2343,69.55,,S,,31,D,medium,72,,,,X,130,Z,high,47,Y,high
203,0,3101264,6.4958,,S,low,,B,,37,,unknown,,Z,136,X,low,,X,high
204,0,2628,7.225,,C,unknown,61,B,high,37,A,,3,,460,Z,medium,132,X,high
205,0,A/5 3540,8.05,,S,high,,C,high,94,,low,,,145,Z,high,408,,low
206,1,347054,10.4625,G6,S,medium,89,C,low,,D,,7,Z,391,Z,high,485,,low
207,0,3101278,15.85,,S,high,77,C,high,92,C,medium,17,Y,,Z,low,237,Y,high
208,0,2699,18.7875,,C,high,60,B,low,71,,high,48,X,53,Z,low,13,Z,high
209,0,367231,7.75,,Q,high,,A,medium,,D,unknown,,Z,31,X,medium,35,Z,high
210,0,112277,31,A31,C,high,33,,high,,B,,,X,121,Z,medium,407,X,medium
211,0,SOTON/O.Q. 3101311,7.05,,S,,76,A,,93,D,low,,Z,420,X,,171,Y,high
212,0,F.C.C. 13528,21,,S,medium,31,,high,94,,medium,20,Y,227,Y,medium,440,Z,low
213,0,A/5 21174,7.25,,S,,26,,unknown,4,,,87,Z,347,Z,medium,253,X,high
214,0,250646,13,,S,,86,C,,35,A,unknown,,Z,481,X,medium,439,Z,medium
215,0,367229,7.75,,Q,,,D,unknown,41,,,,Z,24,X,medium,,Y,low
216,0,35273,113.275,D36,C,low,,A,,,A,,72,X,54,Z,high,429,X,high
217,0,STON/O2. 3101283,7.925,,S,unknown,86,D,medium,77,A,low,48,Z,460,,high,273,Z,medium
218,0,243847,27,,S,low,,D,unknown,69,,,41,X,283,X,high,218,Z,low
219,0,11813,76.2917,D15,C,low,,C,medium,21,D,unknown,75,X,308,X,low,264,X,high
220,0,W/C 14208,10.5,,S,,52,C,low,,,low,,Y,170,X,medium,163,Z,
221,0,SOTON/OQ 392089,8.05,,S,low,,,,,,,82,X,413,Y,low,301,Z,low
222,0,220367,13,,S,medium,,A,,44,D,,68,Y,323,,high,385,Y,high
223,0,21440,8.05,,S,medium,,,,,A,low,76,X,128,Y,medium,405,Y,high
224,0,349234,7.8958,,S,,,,,,,low,42,Y,324,X,low,489,X,low
225,0,19943,90,C93,S,,79,,high,92,,medium,38,Y,1,Z,high,,Y,medium
226,0,PP 4348,9.35,,S,high,59,A,low,90,D,high,57,Y,120,Y,medium,384,Z,high
227,0,SW/PP 751,10.5,,S,low,,A,high,1,,high,64,,101,X,low,444,Z,low
228,0,A/5 21173,7.25,,S,high,40,A,high,,C,high,92,Z,392,Y,low,8,Y,high
229,0,236171,13,,S,high,38,C,unknown,,A,,85,X,367,X,high,237,X,medium
230,1,4133,25.4667,,S,high,42,C,,82,C,medium,5,Z,45,Y,low,350,Z,
231,0,36973,83.475,C83,S,high,99,,,80,C,medium,15,Y,453,Z,medium,228,Z,high
232,0,347067,7.775,,S,,,A,low,,D,medium,94,Y,,Y,high,50,X,medium
233,0,237442,13.5,,S,,15,A,high,6,,,,Y,217,Z,low,327,Z,medium
234,2,347077,31.3875,,S,,4,A,unknown,,A,low,,X,105,Z,low,203,,medium
235,0,C.A. 29566,10.5,,S,high,51,,low,,A,,5,Z,210,Y,low,308,Z,medium
236,0,W./C. 6609,7.55,,S,unknown,80,,medium,,D,unknown,,X,294,,high,0,Z,high
237,0,26707,26,,S,high,,B,,8,A,,40,Z,315,Z,medium,5,Y,medium
238,2,C.A. 31921,26.25,,S,low,56,,,,D,,,X,173,Y,low,301,,medium
239,0,28665,10.5,,S,medium,79,B,,43,B,medium,77,Z,50,Z,low,491,X,high
240,0,SCO/W 1585,12.275,,S,high,51,D,medium,76,,high,89,Y,304,Y,high,319,X,high
241,0,2665,14.4542,,C,low,90,,medium,31,D,high,,Y,352,Z,low,471,X,medium
242,0,367230,15.5,,Q,unknown,63,,unknown,,C,,,Z,133,X,low,423,Z,medium
243,0,W./C. 14263,10.5,,S,unknown,73,B,,,C,low,54,X,319,Y,medium,140,Y,medium
244,0,STON/O 2. 3101275,7.125,,S,unknown,78,A,low,,D,,54,Y,284,X,medium,51,X,medium
245,0,2694,7.225,,C,low,62,D,unknown,29,D,high,3,Z,250,X,medium,279,,medium
246,0,19928,90,C78,Q,high,5,,medium,25,C,low,,X,4,Y,high,310,Z,
247,0,347071,7.775,,S,high,42,,unknown,,B,high,,X,153,X,low,385,Y,medium
248,2,250649,14.5,,S,high,14,A,,28,D,,,Y,187,X,medium,260,Z,medium
249,1,11751,52.5542,D35,S,unknown,51,B,,68,C,,,X,416,Z,low,,X,low
250,0,244252,26,,S,,,,low,,,high,44,Z,413,X,medium,421,X,high
251,0,362316,7.25,,S,high,,C,unknown,,,,,Z,436,Z,low,292,Y,high
252,1,347054,10.4625,G6,S,high,,A,high,,C,,,X,231,X,high,275,Y,low
253,0,113514,26.55,C87,S,,2,C,medium,,B,low,70,X,163,Y,high,9,Z,low
254,0,A/5. 3336,16.1,,S,unknown,,D,unknown,58,D,medium,63,Z,249,X,high,390,Z,medium
255,2,370129,20.2125,,S,,50,D,unknown,,,high,10,Y,395,X,low,340,X,high
256,2,2650,15.2458,,C,unknown,7,,,25,,medium,29,Z,,Z,low,448,,medium
257,0,PC 17585,79.2,,C,low,,,,98,C,unknown,84,Z,300,X,high,46,X,high
258,0,110152,86.5,B77,S,,75,C,high,20,C,unknown,,Y,217,Z,medium,73,Y,low
259,0,PC 17755,512.3292,,C,high,70,A,medium,13,C,unknown,,X,348,Y,low,335,Z,medium
260,1,230433,26,,S,low,17,A,,82,D,low,52,Y,433,Y,medium,244,Z,high
261,0,384461,7.75,,Q,medium,,D,,89,B,,11,Y,333,Z,high,293,X,high
262,2,347077,31.3875,,S,,63,,,9,D,low,12,Y,201,,high,217,Y,low
263,1,110413,79.65,E67,S,high,39,,,59,,high,98,X,419,Y,low,320,Z,high
264,0,112059,0,B94,S,low,0,,,,A,medium,3,X,471,Y,,329,,low
265,0,382649,7.75,,Q,medium,,,,22,C,,2,,398,Y,,94,Z,low
266,0,C.A. 17248,10.5,,S,,79,C,medium,,A,,1,Y,438,Z,medium,380,Y,high
267,1,3101295,39.6875,,S,high,3,C,low,68,D,low,62,Y,132,Y,high,246,X,high
268,0,347083,7.775,,S,medium,,D,unknown,57,,high,,X,210,X,high,287,X,low
269,1,PC 17582,153.4625,C125,S,high,38,D,high,51,,high,,Z,124,Z,medium,308,Z,high
270,0,PC 17760,135.6333,C99,S,high,,A,high,88,C,high,79,Z,182,Y,medium,372,Y,high
271,0,113798,31,,S,,47,,low,,B,medium,71,Z,366,Z,medium,150,Z,low
272,0,LINE,0,,S,,42,A,low,62,B,,,Z,338,Y,medium,3,Y,low
273,1,250644,19.5,,S,unknown,,B,low,31,D,,7,Y,1,X,low,90,Y,low
274,1,PC 17596,29.7,C118,C,low,5,B,,97,,,48,X,377,Z,high,482,Z,high
275,0,370375,7.75,,Q,,3,D,unknown,25,D,unknown,8,Y,96,,medium,111,Z,medium
276,0,13502,77.9583,D7,S,low,9,,medium,,B,medium,11,Y,92,X,low,124,X,medium
277,0,347073,7.75,,S,low,69,,high,63,,low,46,Z,271,Z,medium,429,Z,medium
278,0,239853,0,,S,,78,,,,C,unknown,,X,120,X,medium,117,X,medium
279,1,382652,29.125,,Q,,,B,unknown,75,A,medium,99,X,481,Z,high,232,Z,medium
280,1,C.A. 2673,20.25,,S,high,7,,medium,24,A,low,,X,73,Y,high,185,X,low
281,0,336439,7.75,,Q,medium,41,,medium,26,,low,27,X,75,Y,medium,,,medium
282,0,347464,7.8542,,S,,98,,,34,,medium,32,Y,380,X,high,297,X,low
283,0,345778,9.5,,S,medium,,D,low,68,A,low,,X,143,X,low,257,Z,high
284,0,A/5. 10482,8.05,,S,low,,A,unknown,39,C,,,X,357,Z,high,250,Z,low
285,0,113056,26,A19,S,medium,53,C,,56,A,high,51,Y,340,Y,medium,417,,low
286,0,349239,8.6625,,C,high,,B,medium,55,D,,76,Z,94,,medium,290,Y,medium
287,0,345774,9.5,,S,high,,,high,19,D,,84,Y,289,Y,,254,Z,medium
288,0,349206,7.8958,,S,medium,47,C,high,23,,low,5,X,268,Z,low,443,X,medium
289,0,237798,13,,S,,,,,30,A,unknown,28,X,47,X,high,46,Y,high
290,0,370373,7.75,,Q,high,,,high,,B,,25,Z,382,Z,,416,Z,
291,0,19877,78.85,,S,,,D,unknown,,,,55,Y,428,Z,high,98,Y,medium
