id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10
86,3,0,3101278,15.85,,S,70,,low,,,low,23,A,medium,
87,1,3,W./C. 6608,34.375,,S,9,B,medium,,B,medium,18,D,,
88,0,0,SOTON/OQ 392086,8.05,,S,31,A,,49,,,54,,,51
89,3,2,19950,263,C23 C25 C27,S,,B,,44,A,low,62,C,,36
90,0,0,343275,8.05,,S,,B,,65,,medium,75,A,medium,83
91,0,0,343276,8.05,,S,43,A,,,B,,,C,unknown,4
92,0,0,347466,7.8542,,S,,A,low,31,B,,93,,medium,
93,1,0,W.E.P. 5734,61.175,E31,S,,C,medium,,D,,37,C,,55
94,1,2,C.A. 2315,20.575,,S,38,B,high,18,,,,B,high,97
95,0,0,364500,7.25,,S,89,,high,,,high,3,C,,99
96,0,0,374910,8.05,,S,28,B,,,,,12,C,medium,59
97,0,0,PC 17754,34.6542,A5,C,23,D,unknown,95,A,unknown,,B,high,42
98,0,1,PC 17759,63.3583,D10 D12,C,68,C,unknown,,,,41,D,unknown,27
99,0,1,231919,23,,S,,A,,39,C,,,C,unknown,99
100,1,0,244367,26,,S,13,A,,,B,unknown,12,,unknown,
101,0,0,349245,7.8958,,S,83,C,high,80,B,,26,,high,12
102,0,0,349215,7.8958,,S,,C,,48,B,low,98,D,,50
103,0,1,35281,77.2875,D26,S,80,B,medium,96,,unknown,2,B,high,39
104,0,0,7540,8.6542,,S,0,C,low,,B,,42,C,,49
105,2,0,3101276,7.925,,S,79,,medium,70,,,19,A,unknown,
106,0,0,349207,7.8958,,S,,,,75,C,high,53,B,unknown,26
107,0,0,343120,7.65,,S,,A,unknown,,A,unknown,97,C,unknown,
108,0,0,312991,7.775,,S,66,B,unknown,,,low,22,D,high,
109,0,0,349249,7.8958,,S,,,,58,C,low,37,C,,32
110,1,0,371110,24.15,,Q,,D,low,,,unknown,44,,medium,0
111,0,0,110465,52,C110,S,,D,low,11,,high,79,B,,67
112,1,0,2665,14.4542,,C,78,,medium,13,A,low,,C,unknown,85
113,0,0,324669,8.05,,S,55,A,,,C,unknown,,,unknown,
114,1,0,4136,9.825,,S,45,,unknown,65,B,,48,A,medium,16
115,0,0,2627,14.4583,,C,,A,,28,C,medium,,A,,76
116,0,0,STON/O 2. 3101294,7.925,,S,,,,73,A,medium,0,C,,14
117,0,0,370369,7.75,,Q,3,,,69,,high,80,D,low,62
118,1,0,11668,21,,S,13,,medium,,,low,24,,,70
119,0,1,PC 17558,247.5208,B58 B60,C,24,A,,91,B,medium,,D,,15
120,4,2,347082,31.275,,S,11,,high,88,,,97,,medium,11
121,2,0,S.O.C. 14879,73.5,,S,43,C,low,,C,low,63,C,unknown,7
122,0,0,A4. 54510,8.05,,S,,,medium,76,,unknown,,D,,70
123,1,0,237736,30.0708,,C,65,D,high,,,low,60,,high,61
124,0,0,27267,13,E101,S,47,D,medium,40,A,unknown,21,,low,11
125,0,1,35281,77.2875,D26,S,85,C,,,D,low,69,C,unknown,50
126,1,0,2651,11.2417,,C,56,,,60,A,medium,61,C,,79
127,0,0,370372,7.75,,Q,7,B,unknown,41,C,low,,,,23
128,0,0,C 17369,7.1417,,S,76,D,low,99,,,7,B,,60
129,1,1,2668,22.3583,F E69,C,57,,low,17,D,high,64,D,high,29
130,0,0,347061,6.975,,S,63,,high,9,,low,,,unknown,
131,0,0,349241,7.8958,,C,56,A,medium,2,A,high,77,A,,
132,0,0,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81,D,,12,B,,35
133,1,0,A/5. 3337,14.5,,S,9,,low,40,C,medium,53,,high,49
134,1,0,228414,26,,S,55,,,43,,low,81,B,unknown,20
135,0,0,C.A. 29178,13,,S,79,B,unknown,64,C,high,89,,medium,39
136,0,0,SC/PARIS 2133,15.0458,,C,30,D,,,A,,93,,,62
137,0,2,11752,26.2833,D47,S,,A,medium,57,C,low,,,,38
138,1,0,113803,53.1,C123,S,3,C,,5,,,,B,low,
139,0,0,7534,9.2167,,S,34,B,high,,B,medium,57,C,,
140,0,0,PC 17593,79.2,B86,C,43,A,low,,,low,46,D,,13
141,0,2,2678,15.2458,,C,,D,,45,B,unknown,23,,medium,
142,0,0,347081,7.75,,S,21,A,,16,,high,,C,low,46
143,1,0,STON/O2. 3101279,15.85,,S,,,unknown,,,unknown,14,A,,60
144,0,0,365222,6.75,,Q,,,,33,D,medium,,A,unknown,73
145,0,0,231945,11.5,,S,99,D,medium,27,,,,,low,
146,1,1,C.A. 33112,36.75,,S,85,A,unknown,29,A,,,A,,97
147,0,0,350043,7.7958,,S,3,,,72,A,low,10,,low,42
148,2,2,W./C. 6608,34.375,,S,23,C,,10,B,medium,26,B,,88
149,0,2,230080,26,F2,S,,D,unknown,30,D,unknown,,D,high,41
150,0,0,244310,13,,S,,A,low,46,B,medium,,,low,40
151,0,0,S.O.P. 1166,12.525,,S,85,D,,54,,unknown,44,B,high,60
152,1,0,113776,66.6,C2,S,28,C,medium,88,B,medium,4,C,,19
153,0,0,A.5. 11206,8.05,,S,91,D,unknown,,,medium,1,A,high,60
154,0,2,A/5. 851,14.5,,S,29,,low,,,,,D,unknown,
155,0,0,Fa 265302,7.3125,,S,43,D,unknown,53,,,44,C,,
156,0,1,PC 17597,61.3792,,C,66,C,low,2,A,,7,C,unknown,7
157,0,0,35851,7.7333,,Q,12,,low,61,D,low,83,,low,69
158,0,0,SOTON/OQ 392090,8.05,,S,55,,high,15,D,medium,,D,low,3
159,0,0,315037,8.6625,,S,50,,high,7,A,high,34,D,medium,10
160,8,2,CA. 2343,69.55,,S,78,B,unknown,67,C,,45,A,medium,28
161,0,1,371362,16.1,,S,99,C,,,D,unknown,,C,low,
162,0,0,C.A. 33595,15.75,,S,,,low,,,,93,,medium,0
163,0,0,347068,7.775,,S,40,C,,10,B,high,78,B,unknown,
164,0,0,315093,8.6625,,S,40,D,,74,D,,19,,high,78
165,4,1,3101295,39.6875,,S,41,,,76,C,medium,73,,high,45
166,0,2,363291,20.525,,S,81,A,,,,,17,B,low,19
167,0,1,113505,55,E33,S,32,,unknown,83,A,high,45,C,low,42
168,1,4,347088,27.9,,S,16,B,unknown,43,C,low,,,medium,69
169,0,0,PC 17318,25.925,,S,,C,high,18,,unknown,3,A,,73
170,0,0,1601,56.4958,,S,2,,,,,,,A,unknown,
171,0,0,111240,33.5,B19,S,10,B,high,21,A,medium,22,,,16
172,4,1,382652,29.125,,Q,9,B,high,20,B,medium,,A,,95
173,1,1,347742,11.1333,,S,,B,high,32,D,unknown,49,D,medium,
174,0,0,STON/O 2. 3101280,7.925,,S,,D,high,,,medium,2,C,high,98
175,0,0,17764,30.6958,A7,C,69,B,medium,,B,medium,,,low,
176,1,1,350404,7.8542,,S,46,,high,,,low,,B,,11
177,3,1,4133,25.4667,,S,71,B,unknown,62,B,medium,95,B,,
178,0,0,PC 17595,28.7125,C49,C,16,A,unknown,33,C,low,,,,32
179,0,0,250653,13,,S,90,B,high,,B,,19,,unknown,
180,0,0,LINE,0,,S,50,A,low,51,,unknown,60,,,71
181,8,2,CA. 2343,69.55,,S,93,A,,,C,,36,,high,
182,0,0,SC/PARIS 2131,15.05,,C,,,medium,43,D,unknown,60,A,,58
183,4,2,347077,31.3875,,S,49,A,low,29,B,unknown,,C,unknown,
184,2,1,230136,39,F4,S,69,,,,,,29,C,low,61
185,0,2,315153,22.025,,S,49,D,high,,A,high,65,C,unknown,39
186,0,0,113767,50,A32,S,44,C,unknown,,D,high,26,B,unknown,
187,1,0,370365,15.5,,Q,,B,,,,medium,90,A,,71
188,0,0,111428,26.55,,S,38,A,,47,A,,94,B,unknown,29
189,1,1,364849,15.5,,Q,,D,,,A,medium,,B,high,19
190,0,0,349247,7.8958,,S,,D,high,,A,low,72,,,70
191,0,0,234604,13,,S,68,C,,90,B,high,,D,low,
192,0,0,28424,13,,S,63,A,unknown,67,D,low,,B,low,44
193,1,0,350046,7.8542,,S,60,,unknown,,A,,73,,low,
194,1,1,230080,26,F2,S,36,,unknown,96,D,,93,C,low,18
195,0,0,PC 17610,27.7208,B4,C,95,A,medium,71,,high,22,D,unknown,81
196,0,0,PC 17569,146.5208,B80,C,8,D,,5,C,medium,,B,low,98
197,0,0,368703,7.75,,Q,,A,,72,B,medium,,,,
198,0,1,4579,8.4042,,S,,,unknown,,D,low,33,A,,14
199,0,0,370370,7.75,,Q,33,D,,,,medium,23,C,,
200,0,0,248747,13,,S,96,D,,48,B,high,,A,unknown,86
201,0,0,345770,9.5,,S,,A,low,51,A,,33,A,unknown,8
202,8,2,CA. 2343,69.55,,S,90,,,31,D,medium,72,,,
203,0,0,3101264,6.4958,,S,49,C,low,,B,,37,,unknown,
204,0,0,2628,7.225,,C,,C,unknown,61,B,high,37,A,,3
205,0,0,A/5 3540,8.05,,S,45,,high,,C,high,94,,low,
206,0,1,347054,10.4625,G6,S,26,D,medium,89,C,low,,D,,7
207,1,0,3101278,15.85,,S,76,D,high,77,C,high,92,C,medium,17
208,0,0,2699,18.7875,,C,,,high,60,B,low,71,,high,48
209,0,0,367231,7.75,,Q,26,,high,,A,medium,,D,unknown,
210,0,0,112277,31,A31,C,77,C,high,33,,high,,B,,
211,0,0,SOTON/O.Q. 3101311,7.05,,S,26,A,,76,A,,93,D,low,
212,0,0,F.C.C. 13528,21,,S,,,medium,31,,high,94,,medium,20
213,0,0,A/5 21174,7.25,,S,78,A,,26,,unknown,4,,,87
214,0,0,250646,13,,S,44,D,,86,C,,35,A,unknown,
215,1,0,367229,7.75,,Q,,,,,D,unknown,41,,,
216,1,0,35273,113.275,D36,C,27,A,low,,A,,,A,,72
217,0,0,STON/O2. 3101283,7.925,,S,,A,unknown,86,D,medium,77,A,low,48
218,1,0,243847,27,,S,,A,low,,D,unknown,69,,,41
219,0,0,11813,76.2917,D15,C,44,C,low,,C,medium,21,D,unknown,75
220,0,0,W/C 14208,10.5,,S,90,B,,52,C,low,,,low,
221,0,0,SOTON/OQ 392089,8.05,,S,12,D,low,,,,,,,82
222,0,0,220367,13,,S,45,B,medium,,A,,44,D,,68
223,0,0,21440,8.05,,S,,,medium,,,,,A,low,76
224,0,0,349234,7.8958,,S,20,C,,,,,,,low,42
225,1,0,19943,90,C93,S,,C,,79,,high,92,,medium,38
226,0,0,PP 4348,9.35,,S,30,,high,59,A,low,90,D,high,57
227,0,0,SW/PP 751,10.5,,S,80,,low,,A,high,1,,high,64
228,0,0,A/5 21173,7.25,,S,57,C,high,40,A,high,,C,high,92
229,0,0,236171,13,,S,54,,high,38,C,unknown,,A,,85
230,3,1,4133,25.4667,,S,17,,high,42,C,,82,C,medium,5
231,1,0,36973,83.475,C83,S,46,,high,99,,,80,C,medium,15
232,0,0,347067,7.775,,S,85,C,,,A,low,,D,medium,94
233,0,0,237442,13.5,,S,,D,,15,A,high,6,,,
234,4,2,347077,31.3875,,S,75,C,,4,A,unknown,,A,low,
235,0,0,C.A. 29566,10.5,,S,,,high,51,,low,,A,,5
236,0,0,W./C. 6609,7.55,,S,,,unknown,80,,medium,,D,unknown,
237,1,0,26707,26,,S,,B,high,,B,,8,A,,40
238,0,2,C.A. 31921,26.25,,S,43,A,low,56,,,,D,,
239,0,0,28665,10.5,,S,30,A,medium,79,B,,43,B,medium,77
240,0,0,SCO/W 1585,12.275,,S,62,,high,51,D,medium,76,,high,89
241,1,0,2665,14.4542,,C,14,,low,90,,medium,31,D,high,
242,1,0,367230,15.5,,Q,58,,unknown,63,,unknown,,C,,
243,0,0,W./C. 14263,10.5,,S,9,B,unknown,73,B,,,C,low,54
244,0,0,STON/O 2. 3101275,7.125,,S,64,C,unknown,78,A,low,,D,,54
245,0,0,2694,7.225,,C,,D,low,62,D,unknown,29,D,high,3
246,2,0,19928,90,C78,Q,8,D,high,5,,medium,25,C,low,
247,0,0,347071,7.775,,S,,B,high,42,,unknown,,B,high,
248,0,2,250649,14.5,,S,41,B,high,14,A,,28,D,,
249,1,1,11751,52.5542,D35,S,78,,unknown,51,B,,68,C,,
250,1,0,244252,26,,S,4,A,,,,low,,,high,44
251,0,0,362316,7.25,,S,17,C,high,,C,unknown,,,,
252,1,1,347054,10.4625,G6,S,49,B,high,,A,high,,C,,
253,0,0,113514,26.55,C87,S,18,,,2,C,medium,,B,low,70
254,1,0,A/5. 3336,16.1,,S,,C,unknown,,D,unknown,58,D,medium,63
255,0,2,370129,20.2125,,S,,B,,50,D,unknown,,,high,10
256,0,2,2650,15.2458,,C,14,,unknown,7,,,25,,medium,29
257,0,0,PC 17585,79.2,,C,,C,low,,,,98,C,unknown,84
258,0,0,110152,86.5,B77,S,10,A,,75,C,high,20,C,unknown,
259,0,0,PC 17755,512.3292,,C,,,high,70,A,medium,13,C,unknown,
260,0,1,230433,26,,S,58,A,low,17,A,,82,D,low,52
261,0,0,384461,7.75,,Q,79,B,medium,,D,,89,B,,11
262,4,2,347077,31.3875,,S,17,D,,63,,,9,D,low,12
263,1,1,110413,79.65,E67,S,29,A,high,39,,,59,,high,98
264,0,0,112059,0,B94,S,92,,low,0,,,,A,medium,3
265,0,0,382649,7.75,,Q,98,C,medium,,,,22,C,,2
266,0,0,C.A. 17248,10.5,,S,58,D,,79,C,medium,,A,,1
267,4,1,3101295,39.6875,,S,44,,high,3,C,low,68,D,low,62
268,1,0,347083,7.775,,S,34,C,medium,,D,unknown,57,,high,
269,0,1,PC 17582,153.4625,C125,S,61,D,high,38,D,high,51,,high,
270,0,0,PC 17760,135.6333,C99,S,,,high,,A,high,88,C,high,79
271,0,0,113798,31,,S,29,A,,47,,low,,B,medium,71
272,0,0,LINE,0,,S,,D,,42,A,low,62,B,,
273,0,1,250644,19.5,,S,15,A,unknown,,B,low,31,D,,7
274,0,1,PC 17596,29.7,C118,C,95,C,low,5,B,,97,,,48
275,0,0,370375,7.75,,Q,41,B,,3,D,unknown,25,D,unknown,8
276,1,0,13502,77.9583,D7,S,48,C,low,9,,medium,,B,medium,11
277,0,0,347073,7.75,,S,,,low,69,,high,63,,low,46
278,0,0,239853,0,,S,78,,,78,,,,C,unknown,
279,4,1,382652,29.125,,Q,,C,,,B,unknown,75,A,medium,99
280,1,1,C.A. 2673,20.25,,S,,,high,7,,medium,24,A,low,
281,0,0,336439,7.75,,Q,,B,medium,41,,medium,26,,low,27
282,0,0,347464,7.8542,,S,,,,98,,,34,,medium,32
283,0,0,345778,9.5,,S,67,D,medium,,D,low,68,A,low,
284,0,0,A/5. 10482,8.05,,S,49,A,low,,A,unknown,39,C,,
285,0,0,113056,26,A19,S,44,B,medium,53,C,,56,A,high,51
286,0,0,349239,8.6625,,C,,C,high,,B,medium,55,D,,76
287,0,0,345774,9.5,,S,,,high,,,high,19,D,,84
288,0,0,349206,7.8958,,S,57,D,medium,47,C,high,23,,low,5
289,0,0,237798,13,,S,,B,,,,,30,A,unknown,28
290,0,0,370373,7.75,,Q,47,D,high,,,high,,B,,25
291,0,0,19877,78.85,,S,,,,,D,unknown,,,,55
292,1,0,11967,91.0792,B49,C,26,C,medium,5,,,,,high,
293,0,0,SC/Paris 2163,12.875,D,C,95,C,,0,,,,C,,
294,0,0,349236,8.85,,S,33,A,unknown,41,A,,67,C,,91
295,0,0,349233,7.8958,,S,,A,,,D,,,C,unknown,33
296,0,0,PC 17612,27.7208,,C,,,,,,unknown,68,,high,
297,0,0,2693,7.2292,,C,84,C,,7,B,medium,,A,medium,43
298,1,2,113781,151.55,C22 C26,S,,,high,67,D,,,,unknown,
299,0,0,19988,30.5,C106,S,28,A,high,45,,high,89,,medium,88
300,0,1,PC 17558,247.5208,B58 B60,C,2,,,23,,,20,D,,
301,0,0,9234,7.75,,Q,36,D,unknown,20,D,medium,16,C,low,33
302,2,0,367226,23.25,,Q,82,,unknown,66,D,unknown,39,B,low,
303,0,0,LINE,0,,S,0,B,unknown,52,B,unknown,83,C,unknown,38
304,0,0,226593,12.35,E101,Q,89,,unknown,,B,medium,96,C,,
305,0,0,A/5 2466,8.05,,S,,D,unknown,28,,medium,,,,30
306,1,2,113781,151.55,C22 C26,S,14,B,,52,A,,,B,,10
307,0,0,17421,110.8833,,C,,B,low,86,C,,23,C,,
308,1,0,PC 17758,108.9,C65,C,55,C,,31,,medium,59,A,,65
309,1,0,P/PP 3381,24,,C,31,A,low,39,D,,18,A,high,93
310,0,0,PC 17485,56.9292,E36,C,,D,low,16,,low,53,A,,0
311,0,0,11767,83.1583,C54,C,66,D,unknown,,C,,,,medium,63
312,2,2,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3,C,medium,7,A,low,56
313,1,1,250651,26,,S,,C,high,24,C,unknown,96,B,unknown,62
314,0,0,349243,7.8958,,S,28,C,high,,A,unknown,89,,unknown,98
315,1,1,F.C.C. 13529,26.25,,S,24,,,1,B,unknown,,B,medium,39
316,0,0,347470,7.8542,,S,,D,,98,,,62,A,,
317,1,0,244367,26,,S,,,unknown,40,B,,,D,low,1
318,0,0,29011,14,,S,,,medium,,D,high,57,B,,
319,0,2,36928,164.8667,C7,S,93,C,high,53,,unknown,,A,,17
320,1,1,16966,134.5,E34,C,,,,,B,low,53,,,
321,0,0,A/5 21172,7.25,,S,,D,low,,,high,,,low,
322,0,0,349219,7.8958,,S,,D,,88,A,low,39,,,27
323,0,0,234818,12.35,,Q,,C,,,B,,84,,low,11
324,1,1,248738,29,,S,91,B,,,B,medium,25,,high,
325,8,2,CA. 2343,69.55,,S,,B,medium,70,D,high,96,B,high,65
326,0,0,PC 17760,135.6333,C32,C,23,B,high,30,,unknown,75,,,28
327,0,0,345364,6.2375,,S,23,C,unknown,99,A,low,89,B,low,13
328,0,0,28551,13,D,S,3,,high,25,,high,50,,medium,57
329,1,1,363291,20.525,,S,,C,medium,29,,low,22,A,low,
330,0,1,111361,57.9792,B18,C,55,D,medium,71,A,low,3,D,high,
331,2,0,367226,23.25,,Q,54,,high,78,C,,53,,low,38
332,0,0,113043,28.5,C124,S,,C,medium,12,C,high,39,D,high,
333,0,1,PC 17582,153.4625,C91,S,30,,high,55,,low,11,C,unknown,24
334,2,0,345764,18,,S,82,C,,,B,medium,,D,high,28
335,1,0,PC 17611,133.65,,S,,,,61,,,97,,,14
336,0,0,349225,7.8958,,S,80,,unknown,55,,medium,,D,,
337,1,0,113776,66.6,C2,S,96,,medium,,B,unknown,,C,,14
338,0,0,16966,134.5,E40,C,31,,medium,,,,,D,,68
339,0,0,7598,8.05,,S,20,,high,65,,,,,,
340,0,0,113784,35.5,T,S,95,,,67,D,,62,,unknown,
341,1,1,230080,26,F2,S,63,,unknown,,C,high,41,C,unknown,
342,3,2,19950,263,C23 C25 C27,S,29,,low,,,medium,,A,medium,63
343,0,0,248740,13,,S,62,B,unknown,72,B,,18,,medium,75
344,0,0,244361,13,,S,51,C,,77,,medium,66,A,low,56
345,0,0,229236,13,,S,,A,,12,B,low,98,A,,
346,0,0,248733,13,F33,S,25,C,high,88,,low,85,,high,25
347,0,0,31418,13,,S,99,,unknown,,,medium,4,,,
348,1,0,386525,16.1,,S,,,low,,C,unknown,11,A,medium,
349,1,1,C.A. 37671,15.9,,S,,,high,48,,low,62,B,low,
350,0,0,315088,8.6625,,S,16,B,low,48,,,92,B,low,49
351,0,0,7267,9.225,,S,,A,low,91,,medium,84,C,,90
352,0,0,113510,35,C128,S,,B,unknown,96,A,high,90,,low,27
353,1,1,2695,7.2292,,C,29,C,high,80,A,low,14,C,,51
354,1,0,349237,17.8,,S,43,A,medium,65,B,low,51,B,,
355,0,0,2647,7.225,,C,96,C,high,10,B,low,72,D,,63
356,0,0,345783,9.5,,S,99,A,medium,91,C,medium,62,B,,
357,0,1,113505,55,E33,S,15,D,medium,13,A,,77,B,high,41
358,0,0,237671,13,,S,89,C,medium,16,B,unknown,21,A,medium,0
359,0,0,330931,7.8792,,Q,,B,medium,6,D,,45,D,,
360,0,0,330980,7.8792,,Q,,C,unknown,94,D,,44,,low,
361,1,4,347088,27.9,,S,84,A,medium,,D,,93,B,high,
362,1,0,SC/PARIS 2167,27.7208,,C,,A,medium,,,,20,B,unknown,
363,0,1,2691,14.4542,,C,22,D,high,8,A,medium,32,D,high,14
364,0,0,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41,,medium,,,medium,
365,1,0,370365,15.5,,Q,,,medium,72,A,high,15,A,high,79
366,0,0,C 7076,7.25,,S,,B,unknown,99,,,,A,unknown,45
367,1,0,110813,75.25,D37,C,46,A,medium,,,medium,84,C,low,5
368,0,0,2626,7.2292,,C,31,,high,60,D,medium,,A,high,6
369,0,0,14313,7.75,,Q,,B,unknown,83,C,high,70,,low,67
370,0,0,PC 17477,69.3,B35,C,77,,,90,B,high,59,A,,
371,1,0,11765,55.4417,E50,C,33,C,low,27,B,low,,D,unknown,
372,1,0,3101267,6.4958,,S,66,A,high,,D,,30,D,medium,40
373,0,0,323951,8.05,,S,41,D,,51,D,high,99,,,49
374,0,0,PC 17760,135.6333,,C,,C,medium,93,C,high,,,medium,16
375,3,1,349909,21.075,,S,,,unknown,11,D,,71,B,low,
376,1,0,PC 17604,82.1708,,C,9,,,9,B,high,,,,76
377,0,0,C 7077,7.25,,S,,C,high,,B,high,,C,,42
378,0,2,113503,211.5,C82,C,74,,high,67,D,medium,,,low,49
379,0,0,2648,4.0125,,C,37,A,low,17,B,high,84,C,low,
