id,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
111,S,,D,low,11,,high,79,B,,67,Y,low,26,Z,low,411,Z,medium,354
112,C,78,,medium,13,A,low,,C,unknown,85,,low,174,Z,low,469,Z,low,164
113,S,55,A,,,C,unknown,,,unknown,,Z,high,70,Y,high,342,Y,low,53
114,S,45,,unknown,65,B,,48,A,medium,16,Z,medium,0,X,medium,214,X,,8
115,C,,A,,28,C,medium,,A,,76,X,low,3,X,high,190,,low,382
116,S,,,,73,A,medium,0,C,,14,Z,high,46,Z,,,Z,low,474
117,Q,3,,,69,,high,80,D,low,62,X,high,469,Y,low,,X,high,341
118,S,13,,medium,,,low,24,,,70,Y,medium,385,Z,low,111,Y,medium,30
119,C,24,A,,91,B,medium,,D,,15,Y,medium,494,Y,,317,Y,high,281
120,S,11,,high,88,,,97,,medium,11,Y,high,42,Z,low,,Z,high,135
121,S,43,C,low,,C,low,63,C,unknown,7,X,low,498,Y,high,248,Z,high,
122,S,,,medium,76,,unknown,,D,,70,Y,low,299,Z,medium,237,Y,medium,460
123,C,65,D,high,,,low,60,,high,61,X,medium,397,Y,medium,38,Y,high,412
124,S,47,D,medium,40,A,unknown,21,,low,11,Z,medium,428,X,low,,Y,medium,367
125,S,85,C,,,D,low,69,C,unknown,50,X,low,131,X,medium,477,Z,,250
126,C,56,,,60,A,medium,61,C,,79,Y,low,370,X,medium,122,X,high,289
127,Q,7,B,unknown,41,C,low,,,,23,X,high,323,Y,low,157,Z,low,457
128,S,76,D,low,99,,,7,B,,60,X,medium,206,Z,low,315,Z,low,330
129,C,57,,low,17,D,high,64,D,high,29,Y,high,245,Y,medium,1,X,low,289
130,S,63,,high,9,,low,,,unknown,,Z,medium,104,Z,,51,X,high,48
131,C,56,A,medium,2,A,high,77,A,,,Y,medium,92,X,high,450,Y,medium,
132,S,55,A,high,81,D,,12,B,,35,Z,medium,461,Y,medium,86,Z,low,404
133,S,9,,low,40,C,medium,53,,high,49,Z,medium,365,,low,288,Y,high,182
134,S,55,,,43,,low,81,B,unknown,20,Y,high,283,X,high,441,X,low,125
135,S,79,B,unknown,64,C,high,89,,medium,39,Z,high,347,Y,medium,366,Y,low,483
136,C,30,D,,,A,,93,,,62,Y,high,202,Y,high,135,Y,medium,478
137,S,,A,medium,57,C,low,,,,38,Y,high,124,Y,low,76,Z,high,210
138,S,3,C,,5,,,,B,low,,Z,low,471,Y,low,358,,high,115
139,S,34,B,high,,B,medium,57,C,,,Y,medium,494,X,low,202,X,high,398
140,C,43,A,low,,,low,46,D,,13,Z,high,107,Z,high,483,,high,312
141,C,,D,,45,B,unknown,23,,medium,,X,medium,400,X,low,322,X,low,450
142,S,21,A,,16,,high,,C,low,46,Y,medium,221,Z,high,5,X,medium,272
143,S,,,unknown,,,unknown,14,A,,60,Y,low,353,Z,high,125,,high,275
144,Q,,,,33,D,medium,,A,unknown,73,X,low,54,X,medium,372,X,high,
145,S,99,D,medium,27,,,,,low,,Z,high,239,X,high,350,X,medium,301
146,S,85,A,unknown,29,A,,,A,,97,X,low,62,Y,high,370,Z,low,181
147,S,3,,,72,A,low,10,,low,42,X,medium,407,Z,high,116,Y,high,102
148,S,23,C,,10,B,medium,26,B,,88,X,medium,199,Y,high,124,Z,medium,390
149,S,,D,unknown,30,D,unknown,,D,high,41,Z,high,131,Y,medium,104,Y,medium,172
150,S,,A,low,46,B,medium,,,low,40,X,high,349,Z,low,347,X,high,106
151,S,85,D,,54,,unknown,44,B,high,60,X,medium,477,Y,low,5,Z,medium,480
152,S,28,C,medium,88,B,medium,4,C,,19,Z,low,169,Z,medium,407,Y,medium,481
153,S,91,D,unknown,,,medium,1,A,high,60,X,,358,Z,medium,140,Z,low,247
154,S,29,,low,,,,,D,unknown,,X,high,344,X,medium,244,X,low,147
155,S,43,D,unknown,53,,,44,C,,,X,medium,244,Y,low,123,Z,medium,80
156,C,66,C,low,2,A,,7,C,unknown,7,Y,medium,402,X,medium,212,Z,high,313
157,Q,12,,low,61,D,low,83,,low,69,X,high,63,,medium,382,,high,305
158,S,55,,high,15,D,medium,,D,low,3,Z,medium,438,X,high,99,Z,medium,309
159,S,50,,high,7,A,high,34,D,medium,10,X,,202,X,high,284,Z,high,
160,S,78,B,unknown,67,C,,45,A,medium,28,Y,medium,22,X,medium,28,Z,low,235
161,S,99,C,,,D,unknown,,C,low,,X,high,,Z,high,88,X,,341
162,S,,,low,,,,93,,medium,0,X,medium,386,Y,low,342,Z,medium,327
163,S,40,C,,10,B,high,78,B,unknown,,X,,408,Y,high,284,Z,low,397
164,S,40,D,,74,D,,19,,high,78,Z,medium,73,,high,305,Y,low,371
165,S,41,,,76,C,medium,73,,high,45,Z,high,375,Z,low,112,Y,high,17
166,S,81,A,,,,,17,B,low,19,X,high,349,Y,,103,X,medium,309
167,S,32,,unknown,83,A,high,45,C,low,42,X,high,451,Y,medium,,Y,low,487
168,S,16,B,unknown,43,C,low,,,medium,69,Z,high,185,Y,low,64,Z,high,279
169,S,,C,high,18,,unknown,3,A,,73,Y,high,463,Y,medium,,Z,low,264
170,S,2,,,,,,,A,unknown,,X,medium,353,,high,133,X,medium,303
171,S,10,B,high,21,A,medium,22,,,16,X,medium,,X,high,359,X,high,279
172,Q,9,B,high,20,B,medium,,A,,95,Y,medium,106,X,,78,X,low,200
173,S,,B,high,32,D,unknown,49,D,medium,,Y,high,451,X,medium,325,Y,high,496
174,S,,D,high,,,medium,2,C,high,98,Y,medium,322,Y,medium,101,X,,35
175,C,69,B,medium,,B,medium,,,low,,X,low,59,Z,high,140,Z,high,407
176,S,46,,high,,,low,,B,,11,Y,low,62,Y,medium,206,Z,high,79
177,S,71,B,unknown,62,B,medium,95,B,,,X,,413,X,medium,,X,high,103
178,C,16,A,unknown,33,C,low,,,,32,Y,medium,84,Y,high,62,Z,low,303
179,S,90,B,high,,B,,19,,unknown,,X,high,109,Z,medium,376,Z,low,318
180,S,50,A,low,51,,unknown,60,,,71,X,high,307,Y,low,172,Z,low,463
181,S,93,A,,,C,,36,,high,,Z,high,431,X,low,283,Z,low,147
182,C,,,medium,43,D,unknown,60,A,,58,Y,high,168,X,,323,Y,,12
183,S,49,A,low,29,B,unknown,,C,unknown,,Y,low,332,Y,medium,311,Z,low,127
184,S,69,,,,,,29,C,low,61,X,high,351,Z,medium,313,X,medium,272
185,S,49,D,high,,A,high,65,C,unknown,39,X,high,300,X,low,487,Z,medium,178
186,S,44,C,unknown,,D,high,26,B,unknown,,Z,high,342,Z,high,315,Y,medium,126
187,Q,,B,,,,medium,90,A,,71,Z,,,Z,low,174,Z,medium,457
188,S,38,A,,47,A,,94,B,unknown,29,Y,low,310,X,low,,Z,low,280
189,Q,,D,,,A,medium,,B,high,19,X,high,1,,high,400,Y,low,336
190,S,,D,high,,A,low,72,,,70,Y,low,365,X,low,210,X,high,374
191,S,68,C,,90,B,high,,D,low,,X,high,396,Y,high,,X,medium,204
192,S,63,A,unknown,67,D,low,,B,low,44,X,high,396,X,high,407,Z,medium,367
193,S,60,,unknown,,A,,73,,low,,X,high,14,Z,high,117,Z,medium,481
194,S,36,,unknown,96,D,,93,C,low,18,Y,medium,455,X,high,111,Y,,362
195,C,95,A,medium,71,,high,22,D,unknown,81,Y,high,217,Y,medium,26,Z,high,148
196,C,8,D,,5,C,medium,,B,low,98,Y,high,40,Z,medium,,Z,medium,389
197,Q,,A,,72,B,medium,,,,,Z,high,267,X,medium,308,Y,,
198,S,,,unknown,,D,low,33,A,,14,X,medium,285,X,medium,251,Z,high,36
199,Q,33,D,,,,medium,23,C,,,X,medium,201,Z,high,148,Z,low,222
200,S,96,D,,48,B,high,,A,unknown,86,Z,high,374,X,medium,105,Y,high,
201,S,,A,low,51,A,,33,A,unknown,8,X,low,271,,medium,347,X,medium,234
202,S,90,,,31,D,medium,72,,,,X,low,108,X,high,42,Z,low,130
203,S,49,C,low,,B,,37,,unknown,,Z,medium,310,X,low,350,Y,high,136
204,C,,C,unknown,61,B,high,37,A,,3,,medium,131,Y,medium,452,Y,high,460
205,S,45,,high,,C,high,94,,low,,,high,59,Y,high,227,Z,low,145
206,S,26,D,medium,89,C,low,,D,,7,Z,high,133,Y,high,247,Z,high,391
207,S,76,D,high,77,C,high,92,C,medium,17,Y,low,452,Z,low,,X,low,
208,C,,,high,60,B,low,71,,high,48,X,,286,X,low,47,Z,,53
209,Q,26,,high,,A,medium,,D,unknown,,Z,high,158,Y,low,313,X,high,31
210,C,77,C,high,33,,high,,B,,,X,medium,183,,high,182,Y,high,121
211,S,26,A,,76,A,,93,D,low,,Z,low,429,Z,low,234,Z,high,420
212,S,,,medium,31,,high,94,,medium,20,Y,medium,333,Y,low,11,X,medium,227
213,S,78,A,,26,,unknown,4,,,87,Z,high,386,Z,medium,438,X,low,347
214,S,44,D,,86,C,,35,A,unknown,,Z,medium,305,X,high,166,Z,medium,481
215,Q,,,,,D,unknown,41,,,,Z,medium,496,Y,low,37,Y,medium,24
216,C,27,A,low,,A,,,A,,72,X,medium,328,X,low,,Z,low,54
217,S,,A,unknown,86,D,medium,77,A,low,48,Z,high,200,X,low,489,Y,medium,460
218,S,,A,low,,D,unknown,69,,,41,X,medium,126,Z,low,259,,low,283
219,C,44,C,low,,C,medium,21,D,unknown,75,X,high,23,Z,low,16,Y,,308
220,S,90,B,,52,C,low,,,low,,Y,high,383,X,low,495,Z,low,170
221,S,12,D,low,,,,,,,82,X,medium,466,Y,medium,104,Y,low,413
222,S,45,B,medium,,A,,44,D,,68,Y,medium,332,Z,low,,,low,323
223,S,,,medium,,,,,A,low,76,X,high,243,X,medium,354,Y,high,128
224,S,20,C,,,,,,,low,42,Y,low,65,Z,medium,165,Y,high,324
225,S,,C,,79,,high,92,,medium,38,Y,low,321,X,medium,42,Y,medium,1
226,S,30,,high,59,A,low,90,D,high,57,Y,low,,Y,medium,341,Y,medium,120
227,S,80,,low,,A,high,1,,high,64,,,311,Z,medium,131,Z,low,101
228,S,57,C,high,40,A,high,,C,high,92,Z,high,150,Z,high,430,X,high,392
229,S,54,,high,38,C,unknown,,A,,85,X,high,432,X,low,76,Y,high,367
230,S,17,,high,42,C,,82,C,medium,5,Z,low,468,X,medium,453,,high,45
231,S,46,,high,99,,,80,C,medium,15,Y,low,117,X,medium,361,Z,medium,453
232,S,85,C,,,A,low,,D,medium,94,Y,low,163,Y,medium,119,Y,low,
233,S,,D,,15,A,high,6,,,,Y,low,,X,low,289,Y,,217
234,S,75,C,,4,A,unknown,,A,low,,X,,9,Z,low,469,X,medium,105
235,S,,,high,51,,low,,A,,5,Z,medium,258,X,high,32,Y,,210
236,S,,,unknown,80,,medium,,D,unknown,,X,high,70,Y,high,409,X,low,294
237,S,,B,high,,B,,8,A,,40,Z,low,216,Z,medium,230,X,low,315
238,S,43,A,low,56,,,,D,,,X,high,16,Y,low,474,Z,high,173
239,S,30,A,medium,79,B,,43,B,medium,77,Z,high,70,Y,medium,104,Y,low,50
240,S,62,,high,51,D,medium,76,,high,89,Y,low,201,X,low,359,Z,high,304
241,C,14,,low,90,,medium,31,D,high,,Y,low,,Z,low,483,X,high,352
242,Q,58,,unknown,63,,unknown,,C,,,Z,medium,398,,low,171,Z,low,133
243,S,9,B,unknown,73,B,,,C,low,54,X,high,289,Z,low,53,Y,medium,319
244,S,64,C,unknown,78,A,low,,D,,54,Y,high,225,X,low,196,X,low,284
245,C,,D,low,62,D,unknown,29,D,high,3,Z,high,236,Y,low,299,Y,high,250
246,Q,8,D,high,5,,medium,25,C,low,,X,low,419,Z,medium,315,Z,medium,4
247,S,,B,high,42,,unknown,,B,high,,X,high,422,Z,high,240,Z,low,153
248,S,41,B,high,14,A,,28,D,,,Y,high,23,,low,466,,high,187
249,S,78,,unknown,51,B,,68,C,,,X,,342,Z,low,289,Z,high,416
250,S,4,A,,,,low,,,high,44,Z,low,234,X,low,320,X,high,413
251,S,17,C,high,,C,unknown,,,,,Z,low,391,Z,medium,478,X,medium,436
252,S,49,B,high,,A,high,,C,,,X,low,393,Y,high,469,Z,high,231
253,S,18,,,2,C,medium,,B,low,70,X,high,354,,low,170,Y,medium,163
254,S,,C,unknown,,D,unknown,58,D,medium,63,Z,low,337,Y,low,143,Y,medium,249
255,S,,B,,50,D,unknown,,,high,10,Y,high,105,Y,low,374,Z,medium,395
256,C,14,,unknown,7,,,25,,medium,29,Z,low,426,Z,medium,262,Z,low,
257,C,,C,low,,,,98,C,unknown,84,Z,high,350,Z,medium,223,Z,medium,300
258,S,10,A,,75,C,high,20,C,unknown,,Y,high,136,Z,medium,349,,high,217
259,C,,,high,70,A,medium,13,C,unknown,,X,medium,116,X,low,330,Z,low,348
260,S,58,A,low,17,A,,82,D,low,52,Y,medium,250,Y,high,456,X,medium,433
261,Q,79,B,medium,,D,,89,B,,11,Y,low,171,Z,medium,182,,low,333
262,S,17,D,,63,,,9,D,low,12,Y,low,338,,high,,Y,medium,201
263,S,29,A,high,39,,,59,,high,98,X,high,203,Y,high,113,Y,high,419
264,S,92,,low,0,,,,A,medium,3,X,high,84,Z,low,468,X,high,471
265,Q,98,C,medium,,,,22,C,,2,,high,197,Y,low,41,Z,low,398
266,S,58,D,,79,C,medium,,A,,1,Y,medium,407,X,high,375,X,high,438
267,S,44,,high,3,C,low,68,D,low,62,Y,low,415,Z,high,50,Y,low,132
268,S,34,C,medium,,D,unknown,57,,high,,X,low,155,Y,medium,440,X,low,210
269,S,61,D,high,38,D,high,51,,high,,Z,high,397,Y,low,479,Z,high,124
270,S,,,high,,A,high,88,C,high,79,Z,low,46,X,low,408,X,low,182
271,S,29,A,,47,,low,,B,medium,71,Z,low,492,X,high,394,Z,low,366
272,S,,D,,42,A,low,62,B,,,Z,low,382,Y,high,239,Z,low,338
273,S,15,A,unknown,,B,low,31,D,,7,Y,medium,20,Z,,122,Y,medium,1
274,C,95,C,low,5,B,,97,,,48,X,high,352,X,,492,X,medium,377
275,Q,41,B,,3,D,unknown,25,D,unknown,8,Y,medium,247,Z,low,264,X,high,96
276,S,48,C,low,9,,medium,,B,medium,11,Y,high,441,Z,low,408,Y,high,92
277,S,,,low,69,,high,63,,low,46,Z,medium,119,,medium,357,Y,high,271
278,S,78,,,78,,,,C,unknown,,X,high,446,Z,medium,350,Y,medium,120
279,Q,,C,,,B,unknown,75,A,medium,99,X,,435,Z,,176,X,low,481
280,S,,,high,7,,medium,24,A,low,,X,medium,139,Z,low,213,,high,73
281,Q,,B,medium,41,,medium,26,,low,27,X,low,216,,high,,X,medium,75
282,S,,,,98,,,34,,medium,32,Y,high,320,Z,medium,,Y,low,380
283,S,67,D,medium,,D,low,68,A,low,,X,medium,120,Z,,359,X,medium,143
284,S,49,A,low,,A,unknown,39,C,,,X,low,499,X,high,99,Y,medium,357
285,S,44,B,medium,53,C,,56,A,high,51,Y,low,,Y,medium,113,Y,medium,340
286,C,,C,high,,B,medium,55,D,,76,Z,medium,121,,medium,24,Z,medium,94
287,S,,,high,,,high,19,D,,84,Y,medium,250,Y,low,,Y,high,289
288,S,57,D,medium,47,C,high,23,,low,5,X,low,236,X,high,334,X,low,268
289,S,,B,,,,,30,A,unknown,28,X,medium,25,Z,high,105,X,high,47
290,Q,47,D,high,,,high,,B,,25,Z,,455,,low,355,Z,low,382
291,S,,,,,D,unknown,,,,55,Y,high,120,Z,high,1,Z,low,428
292,C,26,C,medium,5,,,,,high,,Y,low,51,X,high,433,X,high,473
293,C,95,C,,0,,,,C,,,Z,,259,X,medium,345,Z,low,43
294,S,33,A,unknown,41,A,,67,C,,91,Y,high,464,Y,high,341,Y,high,89
295,S,,A,,,D,,,C,unknown,33,Y,low,1,X,medium,353,,high,412
296,C,,,,,,unknown,68,,high,,Z,low,244,Y,,179,Y,,152
297,C,84,C,,7,B,medium,,A,medium,43,X,,455,Y,low,497,Z,medium,312
298,S,,,high,67,D,,,,unknown,,Y,high,446,X,low,,X,high,174
299,S,28,A,high,45,,high,89,,medium,88,Y,high,85,Z,medium,90,Z,high,108
300,C,2,,,23,,,20,D,,,X,medium,,X,low,461,X,medium,312
301,Q,36,D,unknown,20,D,medium,16,C,low,33,,high,417,Z,high,369,Z,low,102
302,Q,82,,unknown,66,D,unknown,39,B,low,,Z,medium,335,X,low,155,X,medium,68
303,S,0,B,unknown,52,B,unknown,83,C,unknown,38,X,high,328,Y,high,473,X,low,265
304,Q,89,,unknown,,B,medium,96,C,,,Y,high,386,Z,medium,124,X,low,96
305,S,,D,unknown,28,,medium,,,,30,Y,high,226,X,high,322,Z,high,96
306,S,14,B,,52,A,,,B,,10,X,medium,33,Z,high,335,Y,medium,390
307,C,,B,low,86,C,,23,C,,,X,medium,319,X,high,481,Z,high,264
308,C,55,C,,31,,medium,59,A,,65,,low,313,Z,medium,285,X,high,271
309,C,31,A,low,39,D,,18,A,high,93,Z,high,425,Z,high,497,Z,low,71
310,C,,D,low,16,,low,53,A,,0,Y,low,461,X,low,142,Z,high,80
311,C,66,D,unknown,,C,,,,medium,63,Y,medium,168,Y,medium,400,Y,high,195
312,C,67,,unknown,3,C,medium,7,A,low,56,Y,medium,478,Z,low,122,Z,low,
313,S,,C,high,24,C,unknown,96,B,unknown,62,Z,,4,X,low,499,X,medium,225
314,S,28,C,high,,A,unknown,89,,unknown,98,Z,high,484,X,medium,381,X,high,67
315,S,24,,,1,B,unknown,,B,medium,39,X,high,,X,low,312,X,low,449
316,S,,D,,98,,,62,A,,,Y,high,322,,medium,33,X,,181
317,S,,,unknown,40,B,,,D,low,1,Y,,341,Z,medium,,Z,medium,408
318,S,,,medium,,D,high,57,B,,,X,medium,316,Y,,72,Y,high,200
319,S,93,C,high,53,,unknown,,A,,17,,medium,495,Y,medium,458,Y,low,236
320,C,,,,,B,low,53,,,,X,high,276,Z,high,189,Z,high,56
321,S,,D,low,,,high,,,low,,Z,medium,65,X,medium,415,Z,high,338
322,S,,D,,88,A,low,39,,,27,X,medium,303,Z,low,453,Y,low,29
