"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15"
77,7.8958,"","S",NA,"","low",26,"","medium",NA,"A","",16,"X","low",296,"X","high"
78,8.05,"","S",22,"","low",33,"","low",30,"","",66,"Z","low",446,"Z","high"
80,12.475,"","S",66,"C","",8,"","",70,"","low",4,"X","medium",368,"Y","low"
81,9,"","S",94,"C","unknown",NA,"","",56,"","medium",8,"X","medium",484,"Z","medium"
82,9.5,"","S",43,"D","low",44,"","low",88,"B","high",95,"Y","medium",109,"X","low"
88,8.05,"","S",31,"A","",49,"","",54,"","",51,"X","medium",97,"Y","high"
90,8.05,"","S",NA,"B","",65,"","medium",75,"A","medium",83,"X","low",357,"Z","medium"
91,8.05,"","S",43,"A","",NA,"B","",NA,"C","unknown",4,"Z","high",131,"Z","high"
93,61.175,"E31","S",NA,"C","medium",NA,"D","",37,"C","",55,"X","medium",337,"Y","medium"
94,20.575,"","S",38,"B","high",18,"","",NA,"B","high",97,"X","medium",140,"Y","low"
95,7.25,"","S",89,"","high",NA,"","high",3,"C","",99,"X","medium",413,"X","high"
96,8.05,"","S",28,"B","",NA,"","",12,"C","medium",59,"Z","high",449,"Y","low"
98,63.3583,"D10 D12","C",68,"C","unknown",NA,"","",41,"D","unknown",27,"X","low",369,"Z","medium"
101,7.8958,"","S",83,"C","high",80,"B","",26,"","high",12,"Z","medium",122,"Z","low"
102,7.8958,"","S",NA,"C","",48,"B","low",98,"D","",50,"X","medium",440,"X","high"
103,77.2875,"D26","S",80,"B","medium",96,"","unknown",2,"B","high",39,"X","medium",393,"X","high"
106,7.8958,"","S",NA,"","",75,"C","high",53,"B","unknown",26,"Y","high",316,"Z","high"
109,7.8958,"","S",NA,"","",58,"C","low",37,"C","",32,"X","high",117,"Y","medium"
111,52,"C110","S",NA,"D","low",11,"","high",79,"B","",67,"Y","low",26,"Z","low"
114,9.825,"","S",45,"","unknown",65,"B","",48,"A","medium",16,"Z","medium",0,"X","medium"
115,14.4583,"","C",NA,"A","",28,"C","medium",NA,"A","",76,"X","low",3,"X","high"
117,7.75,"","Q",3,"","",69,"","high",80,"D","low",62,"X","high",469,"Y","low"
118,21,"","S",13,"","medium",NA,"","low",24,"","",70,"Y","medium",385,"Z","low"
120,31.275,"","S",11,"","high",88,"","",97,"","medium",11,"Y","high",42,"Z","low"
121,73.5,"","S",43,"C","low",NA,"C","low",63,"C","unknown",7,"X","low",498,"Y","high"
122,8.05,"","S",NA,"","medium",76,"","unknown",NA,"D","",70,"Y","low",299,"Z","medium"
123,30.0708,"","C",65,"D","high",NA,"","low",60,"","high",61,"X","medium",397,"Y","medium"
124,13,"E101","S",47,"D","medium",40,"A","unknown",21,"","low",11,"Z","medium",428,"X","low"
125,77.2875,"D26","S",85,"C","",NA,"D","low",69,"C","unknown",50,"X","low",131,"X","medium"
126,11.2417,"","C",56,"","",60,"A","medium",61,"C","",79,"Y","low",370,"X","medium"
127,7.75,"","Q",7,"B","unknown",41,"C","low",NA,"","",23,"X","high",323,"Y","low"
128,7.1417,"","S",76,"D","low",99,"","",7,"B","",60,"X","medium",206,"Z","low"
129,22.3583,"F E69","C",57,"","low",17,"D","high",64,"D","high",29,"Y","high",245,"Y","medium"
132,7.05,"","S",55,"A","high",81,"D","",12,"B","",35,"Z","medium",461,"Y","medium"
134,26,"","S",55,"","",43,"","low",81,"B","unknown",20,"Y","high",283,"X","high"
135,13,"","S",79,"B","unknown",64,"C","high",89,"","medium",39,"Z","high",347,"Y","medium"
136,15.0458,"","C",30,"D","",NA,"A","",93,"","",62,"Y","high",202,"Y","high"
137,26.2833,"D47","S",NA,"A","medium",57,"C","low",NA,"","",38,"Y","high",124,"Y","low"
140,79.2,"B86","C",43,"A","low",NA,"","low",46,"D","",13,"Z","high",107,"Z","high"
142,7.75,"","S",21,"A","",16,"","high",NA,"C","low",46,"Y","medium",221,"Z","high"
143,15.85,"","S",NA,"","unknown",NA,"","unknown",14,"A","",60,"Y","low",353,"Z","high"
144,6.75,"","Q",NA,"","",33,"D","medium",NA,"A","unknown",73,"X","low",54,"X","medium"
146,36.75,"","S",85,"A","unknown",29,"A","",NA,"A","",97,"X","low",62,"Y","high"
147,7.7958,"","S",3,"","",72,"A","low",10,"","low",42,"X","medium",407,"Z","high"
148,34.375,"","S",23,"C","",10,"B","medium",26,"B","",88,"X","medium",199,"Y","high"
149,26,"F2","S",NA,"D","unknown",30,"D","unknown",NA,"D","high",41,"Z","high",131,"Y","medium"
150,13,"","S",NA,"A","low",46,"B","medium",NA,"","low",40,"X","high",349,"Z","low"
151,12.525,"","S",85,"D","",54,"","unknown",44,"B","high",60,"X","medium",477,"Y","low"
152,66.6,"C2","S",28,"C","medium",88,"B","medium",4,"C","",19,"Z","low",169,"Z","medium"
156,61.3792,"","C",66,"C","low",2,"A","",7,"C","unknown",7,"Y","medium",402,"X","medium"
158,8.05,"","S",55,"","high",15,"D","medium",NA,"D","low",3,"Z","medium",438,"X","high"
160,69.55,"","S",78,"B","unknown",67,"C","",45,"A","medium",28,"Y","medium",22,"X","medium"
162,15.75,"","S",NA,"","low",NA,"","",93,"","medium",0,"X","medium",386,"Y","low"
165,39.6875,"","S",41,"","",76,"C","medium",73,"","high",45,"Z","high",375,"Z","low"
167,55,"E33","S",32,"","unknown",83,"A","high",45,"C","low",42,"X","high",451,"Y","medium"
168,27.9,"","S",16,"B","unknown",43,"C","low",NA,"","medium",69,"Z","high",185,"Y","low"
169,25.925,"","S",NA,"C","high",18,"","unknown",3,"A","",73,"Y","high",463,"Y","medium"
174,7.925,"","S",NA,"D","high",NA,"","medium",2,"C","high",98,"Y","medium",322,"Y","medium"
176,7.8542,"","S",46,"","high",NA,"","low",NA,"B","",11,"Y","low",62,"Y","medium"
178,28.7125,"C49","C",16,"A","unknown",33,"C","low",NA,"","",32,"Y","medium",84,"Y","high"
180,0,"","S",50,"A","low",51,"","unknown",60,"","",71,"X","high",307,"Y","low"
184,39,"F4","S",69,"","",NA,"","",29,"C","low",61,"X","high",351,"Z","medium"
185,22.025,"","S",49,"D","high",NA,"A","high",65,"C","unknown",39,"X","high",300,"X","low"
188,26.55,"","S",38,"A","",47,"A","",94,"B","unknown",29,"Y","low",310,"X","low"
190,7.8958,"","S",NA,"D","high",NA,"A","low",72,"","",70,"Y","low",365,"X","low"
192,13,"","S",63,"A","unknown",67,"D","low",NA,"B","low",44,"X","high",396,"X","high"
194,26,"F2","S",36,"","unknown",96,"D","",93,"C","low",18,"Y","medium",455,"X","high"
195,27.7208,"B4","C",95,"A","medium",71,"","high",22,"D","unknown",81,"Y","high",217,"Y","medium"
196,146.5208,"B80","C",8,"D","",5,"C","medium",NA,"B","low",98,"Y","high",40,"Z","medium"
198,8.4042,"","S",NA,"","unknown",NA,"D","low",33,"A","",14,"X","medium",285,"X","medium"
200,13,"","S",96,"D","",48,"B","high",NA,"A","unknown",86,"Z","high",374,"X","medium"
206,10.4625,"G6","S",26,"D","medium",89,"C","low",NA,"D","",7,"Z","high",133,"Y","high"
207,15.85,"","S",76,"D","high",77,"C","high",92,"C","medium",17,"Y","low",452,"Z","low"
212,21,"","S",NA,"","medium",31,"","high",94,"","medium",20,"Y","medium",333,"Y","low"
213,7.25,"","S",78,"A","",26,"","unknown",4,"","",87,"Z","high",386,"Z","medium"
216,113.275,"D36","C",27,"A","low",NA,"A","",NA,"A","",72,"X","medium",328,"X","low"
217,7.925,"","S",NA,"A","unknown",86,"D","medium",77,"A","low",48,"Z","high",200,"X","low"
218,27,"","S",NA,"A","low",NA,"D","unknown",69,"","",41,"X","medium",126,"Z","low"
219,76.2917,"D15","C",44,"C","low",NA,"C","medium",21,"D","unknown",75,"X","high",23,"Z","low"
221,8.05,"","S",12,"D","low",NA,"","",NA,"","",82,"X","medium",466,"Y","medium"
222,13,"","S",45,"B","medium",NA,"A","",44,"D","",68,"Y","medium",332,"Z","low"
223,8.05,"","S",NA,"","medium",NA,"","",NA,"A","low",76,"X","high",243,"X","medium"
224,7.8958,"","S",20,"C","",NA,"","",NA,"","low",42,"Y","low",65,"Z","medium"
225,90,"C93","S",NA,"C","",79,"","high",92,"","medium",38,"Y","low",321,"X","medium"
228,7.25,"","S",57,"C","high",40,"A","high",NA,"C","high",92,"Z","high",150,"Z","high"
229,13,"","S",54,"","high",38,"C","unknown",NA,"A","",85,"X","high",432,"X","low"
230,25.4667,"","S",17,"","high",42,"C","",82,"C","medium",5,"Z","low",468,"X","medium"
231,83.475,"C83","S",46,"","high",99,"","",80,"C","medium",15,"Y","low",117,"X","medium"
232,7.775,"","S",85,"C","",NA,"A","low",NA,"D","medium",94,"Y","low",163,"Y","medium"
235,10.5,"","S",NA,"","high",51,"","low",NA,"A","",5,"Z","medium",258,"X","high"
237,26,"","S",NA,"B","high",NA,"B","",8,"A","",40,"Z","low",216,"Z","medium"
239,10.5,"","S",30,"A","medium",79,"B","",43,"B","medium",77,"Z","high",70,"Y","medium"
240,12.275,"","S",62,"","high",51,"D","medium",76,"","high",89,"Y","low",201,"X","low"
243,10.5,"","S",9,"B","unknown",73,"B","",NA,"C","low",54,"X","high",289,"Z","low"
244,7.125,"","S",64,"C","unknown",78,"A","low",NA,"D","",54,"Y","high",225,"X","low"
245,7.225,"","C",NA,"D","low",62,"D","unknown",29,"D","high",3,"Z","high",236,"Y","low"
250,26,"","S",4,"A","",NA,"","low",NA,"","high",44,"Z","low",234,"X","low"
254,16.1,"","S",NA,"C","unknown",NA,"D","unknown",58,"D","medium",63,"Z","low",337,"Y","low"
255,20.2125,"","S",NA,"B","",50,"D","unknown",NA,"","high",10,"Y","high",105,"Y","low"
256,15.2458,"","C",14,"","unknown",7,"","",25,"","medium",29,"Z","low",426,"Z","medium"
257,79.2,"","C",NA,"C","low",NA,"","",98,"C","unknown",84,"Z","high",350,"Z","medium"
260,26,"","S",58,"A","low",17,"A","",82,"D","low",52,"Y","medium",250,"Y","high"
261,7.75,"","Q",79,"B","medium",NA,"D","",89,"B","",11,"Y","low",171,"Z","medium"
263,79.65,"E67","S",29,"A","high",39,"","",59,"","high",98,"X","high",203,"Y","high"
264,0,"B94","S",92,"","low",0,"","",NA,"A","medium",3,"X","high",84,"Z","low"
266,10.5,"","S",58,"D","",79,"C","medium",NA,"A","",1,"Y","medium",407,"X","high"
267,39.6875,"","S",44,"","high",3,"C","low",68,"D","low",62,"Y","low",415,"Z","high"
270,135.6333,"C99","S",NA,"","high",NA,"A","high",88,"C","high",79,"Z","low",46,"X","low"
271,31,"","S",29,"A","",47,"","low",NA,"B","medium",71,"Z","low",492,"X","high"
275,7.75,"","Q",41,"B","",3,"D","unknown",25,"D","unknown",8,"Y","medium",247,"Z","low"
276,77.9583,"D7","S",48,"C","low",9,"","medium",NA,"B","medium",11,"Y","high",441,"Z","low"
282,7.8542,"","S",NA,"","",98,"","",34,"","medium",32,"Y","high",320,"Z","medium"
287,9.5,"","S",NA,"","high",NA,"","high",19,"D","",84,"Y","medium",250,"Y","low"
288,7.8958,"","S",57,"D","medium",47,"C","high",23,"","low",5,"X","low",236,"X","high"
289,13,"","S",NA,"B","",NA,"","",30,"A","unknown",28,"X","medium",25,"Z","high"
291,78.85,"","S",NA,"","",NA,"D","unknown",NA,"","",55,"Y","high",120,"Z","high"
294,8.85,"","S",33,"A","unknown",41,"A","",67,"C","",91,"Y","high",464,"Y","high"
295,7.8958,"","S",NA,"A","",NA,"D","",NA,"C","unknown",33,"Y","low",1,"X","medium"
299,30.5,"C106","S",28,"A","high",45,"","high",89,"","medium",88,"Y","high",85,"Z","medium"
303,0,"","S",0,"B","unknown",52,"B","unknown",83,"C","unknown",38,"X","high",328,"Y","high"
305,8.05,"","S",NA,"D","unknown",28,"","medium",NA,"","",30,"Y","high",226,"X","high"
306,151.55,"C22 C26","S",14,"B","",52,"A","",NA,"B","",10,"X","medium",33,"Z","high"
309,24,"","C",31,"A","low",39,"D","",18,"A","high",93,"Z","high",425,"Z","high"
310,56.9292,"E36","C",NA,"D","low",16,"","low",53,"A","",0,"Y","low",461,"X","low"
311,83.1583,"C54","C",66,"D","unknown",NA,"C","",NA,"","medium",63,"Y","medium",168,"Y","medium"
312,262.375,"B57 B59 B63 B66","C",67,"","unknown",3,"C","medium",7,"A","low",56,"Y","medium",478,"Z","low"
314,7.8958,"","S",28,"C","high",NA,"A","unknown",89,"","unknown",98,"Z","high",484,"X","medium"
322,7.8958,"","S",NA,"D","",88,"A","low",39,"","",27,"X","medium",303,"Z","low"
323,12.35,"","Q",NA,"C","",NA,"B","",84,"","low",11,"Y","low",145,"X","medium"
326,135.6333,"C32","C",23,"B","high",30,"","unknown",75,"","",28,"X","low",21,"Y","medium"
327,6.2375,"","S",23,"C","unknown",99,"A","low",89,"B","low",13,"X","high",318,"Y","low"
328,13,"D","S",3,"","high",25,"","high",50,"","medium",57,"Y","high",44,"X","low"
333,153.4625,"C91","S",30,"","high",55,"","low",11,"C","unknown",24,"Y","high",149,"X","low"
334,18,"","S",82,"C","",NA,"B","medium",NA,"D","high",28,"X","high",150,"Y","medium"
335,133.65,"","S",NA,"","",61,"","",97,"","",14,"Y","medium",287,"Z","low"
338,134.5,"E40","C",31,"","medium",NA,"","",NA,"D","",68,"Z","high",400,"Z","medium"
342,263,"C23 C25 C27","S",29,"","low",NA,"","medium",NA,"A","medium",63,"Y","high",313,"Z","high"
343,13,"","S",62,"B","unknown",72,"B","",18,"","medium",75,"X","high",308,"Y","low"
344,13,"","S",51,"C","",77,"","medium",66,"A","low",56,"Z","medium",472,"X","high"
346,13,"F33","S",25,"C","high",88,"","low",85,"","high",25,"Z","low",441,"Y","low"
350,8.6625,"","S",16,"B","low",48,"","",92,"B","low",49,"Z","medium",76,"Z","high"
351,9.225,"","S",NA,"A","low",91,"","medium",84,"C","",90,"X","high",55,"Z","medium"
352,35,"C128","S",NA,"B","unknown",96,"A","high",90,"","low",27,"X","low",105,"X","low"
353,7.2292,"","C",29,"C","high",80,"A","low",14,"C","",51,"Z","low",135,"Z","medium"
355,7.225,"","C",96,"C","high",10,"B","low",72,"D","",63,"Y","medium",364,"Z","high"
357,55,"E33","S",15,"D","medium",13,"A","",77,"B","high",41,"X","medium",100,"Z","low"
358,13,"","S",89,"C","medium",16,"B","unknown",21,"A","medium",0,"X","medium",141,"Z","medium"
363,14.4542,"","C",22,"D","high",8,"A","medium",32,"D","high",14,"X","low",161,"X","medium"
365,15.5,"","Q",NA,"","medium",72,"A","high",15,"A","high",79,"Z","high",299,"Y","medium"
366,7.25,"","S",NA,"B","unknown",99,"","",NA,"A","unknown",45,"X","medium",492,"X","low"
367,75.25,"D37","C",46,"A","medium",NA,"","medium",84,"C","low",5,"X","low",291,"Y","medium"
368,7.2292,"","C",31,"","high",60,"D","medium",NA,"A","high",6,"X","low",476,"X","medium"
372,6.4958,"","S",66,"A","high",NA,"D","",30,"D","medium",40,"X","high",395,"Z","low"
373,8.05,"","S",41,"D","",51,"D","high",99,"","",49,"X","high",127,"Y","medium"
374,135.6333,"","C",NA,"C","medium",93,"C","high",NA,"","medium",16,"Z","medium",488,"Z","medium"
376,82.1708,"","C",9,"","",9,"B","high",NA,"","",76,"X","high",300,"Z","medium"
378,211.5,"C82","C",74,"","high",67,"D","medium",NA,"","low",49,"Z","medium",440,"Z","high"
381,227.525,"","C",0,"B","high",10,"B","medium",28,"B","",98,"Z","high",497,"X","high"
382,15.7417,"","C",NA,"D","low",NA,"B","low",96,"","unknown",81,"X","high",277,"Z","high"
385,7.8958,"","S",3,"A","unknown",NA,"B","",13,"","medium",72,"X","medium",258,"X","medium"
386,73.5,"","S",12,"B","low",84,"B","medium",97,"B","",33,"Z","low",18,"Y","medium"
387,46.9,"","S",6,"B","unknown",10,"C","high",NA,"C","unknown",51,"Y","low",144,"Y","high"
388,13,"","S",83,"A","medium",NA,"A","unknown",NA,"","low",14,"Z","high",43,"Z","medium"
392,7.7958,"","S",17,"","unknown",NA,"C","",23,"A","unknown",60,"X","medium",147,"X","medium"
394,113.275,"D36","C",59,"D","low",NA,"C","unknown",NA,"","",50,"X","medium",26,"X","high"
397,7.8542,"","S",4,"","unknown",6,"A","",16,"A","",1,"Y","medium",394,"Y","low"
400,12.65,"","S",31,"A","low",NA,"","medium",NA,"A","",36,"Z","high",306,"X","high"
401,7.925,"","S",99,"D","medium",20,"","medium",79,"A","high",87,"Z","medium",344,"Z","medium"
402,8.05,"","S",77,"","low",76,"D","",NA,"C","unknown",64,"Z","medium",336,"Y","low"
403,9.825,"","S",NA,"C","unknown",69,"","",94,"B","low",60,"Y","medium",370,"X","medium"
405,8.6625,"","S",NA,"D","unknown",NA,"D","unknown",94,"C","low",50,"X","low",214,"Y","low"
409,7.775,"","S",NA,"","",11,"D","medium",10,"C","medium",17,"Z","low",332,"Z","medium"
410,25.4667,"","S",1,"B","medium",55,"B","high",NA,"","medium",67,"Z","high",151,"Y","medium"
412,6.8583,"","Q",22,"","",NA,"","",26,"","unknown",31,"X","medium",258,"X","high"
413,90,"C78","Q",27,"B","",NA,"","high",41,"A","",91,"X","high",348,"Z","medium"
415,7.925,"","S",1,"","",67,"C","high",80,"A","unknown",90,"Y","medium",346,"Y","high"
417,32.5,"","S",96,"","low",NA,"","high",15,"","unknown",68,"X","medium",9,"Y","high"
421,7.8958,"","C",92,"A","medium",68,"D","",NA,"C","high",96,"Z","high",42,"Z","high"
422,7.7333,"","Q",69,"","medium",NA,"B","",NA,"B","medium",11,"Z","medium",263,"X","low"
425,20.2125,"","S",41,"B","",1,"B","",NA,"D","unknown",67,"X","medium",108,"Z","high"
426,7.25,"","S",NA,"A","low",NA,"C","",20,"B","",55,"Z","medium",72,"Z","low"
428,26,"","S",80,"","low",49,"A","unknown",92,"","low",9,"Z","medium",134,"Z","high"
430,8.05,"E10","S",71,"A","",82,"","high",60,"C","high",83,"X","low",492,"X","medium"
432,16.1,"","S",73,"C","low",NA,"","unknown",NA,"A","low",27,"Y","high",489,"Y","low"
433,26,"","S",82,"B","high",87,"C","high",0,"","unknown",86,"Y","medium",293,"Z","medium"
435,55.9,"E44","S",43,"","low",60,"B","",NA,"","unknown",56,"Z","medium",471,"Y","low"
440,10.5,"","S",39,"A","high",40,"A","high",66,"","",47,"Y","high",242,"X","medium"
442,9.5,"","S",NA,"","high",NA,"","unknown",37,"","high",65,"Z","medium",111,"Z","low"
443,7.775,"","S",NA,"B","high",97,"D","medium",88,"A","unknown",41,"Y","medium",185,"Z","low"
446,81.8583,"A34","S",66,"","low",46,"A","high",95,"","unknown",86,"Z","medium",37,"Y","high"
448,26.55,"","S",NA,"C","unknown",NA,"D","medium",99,"","unknown",87,"Y","medium",51,"Z","low"
451,27.75,"","S",NA,"","unknown",6,"","",NA,"C","",2,"Z","low",428,"X","low"
453,27.75,"C111","C",NA,"D","",NA,"","",NA,"A","unknown",5,"Y","medium",162,"Z","medium"
456,7.8958,"","C",NA,"C","medium",NA,"D","medium",15,"C","low",76,"Y","high",235,"Z","low"
457,26.55,"E38","S",NA,"D","medium",86,"D","high",78,"D","low",70,"Z","high",221,"Y","medium"
458,51.8625,"D21","S",63,"B","unknown",46,"B","low",NA,"D","",84,"X","medium",328,"X","low"
459,10.5,"","S",84,"","",53,"A","",49,"D","unknown",0,"Y","low",232,"Y","high"
461,26.55,"E12","S",72,"A","",65,"A","high",3,"D","low",31,"Z","low",233,"Y","low"
464,13,"","S",NA,"","medium",98,"C","low",39,"A","",68,"X","medium",365,"Z","low"
465,8.05,"","S",0,"","high",82,"A","high",12,"C","",41,"Y","medium",70,"Z","high"
466,7.05,"","S",96,"B","high",13,"","unknown",13,"D","medium",61,"Z","low",143,"Z","medium"
467,0,"","S",16,"B","medium",NA,"C","unknown",NA,"","",46,"Y","low",155,"Y","low"
468,26.55,"","S",59,"B","unknown",NA,"","unknown",NA,"D","",62,"Y","low",322,"Z","medium"
469,7.725,"","Q",18,"B","high",50,"B","",60,"","medium",45,"Y","medium",64,"X","high"
471,7.25,"","S",NA,"C","",71,"","high",6,"C","",20,"Z","medium",337,"Y","high"
472,8.6625,"","S",NA,"D","unknown",NA,"B","low",NA,"B","",38,"Y","medium",463,"Y","low"
476,52,"A14","S",78,"D","",31,"C","high",NA,"B","medium",18,"Y","medium",387,"Y","medium"
477,21,"","S",84,"","unknown",2,"","unknown",NA,"C","low",50,"X","low",121,"Z","low"
480,12.2875,"","S",NA,"A","high",60,"","",75,"A","",32,"X","low",68,"Y","medium"
481,46.9,"","S",NA,"D","low",NA,"A","medium",0,"B","",4,"Z","high",39,"Z","medium"
482,0,"","S",82,"","",27,"","medium",NA,"A","",5,"Y","low",327,"Z","low"
484,9.5875,"","S",79,"","medium",28,"B","high",36,"","high",72,"X","high",99,"Y","low"
485,91.0792,"B49","C",NA,"D","",NA,"","medium",NA,"","unknown",86,"Z","high",439,"Z","high"
486,25.4667,"","S",23,"C","low",15,"B","low",NA,"C","medium",49,"Z","medium",138,"X","high"
488,29.7,"B37","C",53,"A","",45,"","medium",82,"C","low",92,"Y","high",261,"X","low"
489,8.05,"","S",76,"D","",53,"B","",41,"","",27,"Y","low",296,"Y","medium"
490,15.9,"","S",NA,"A","",1,"","high",93,"A","unknown",15,"X","medium",370,"Y","medium"
492,7.25,"","S",NA,"A","low",67,"","low",66,"D","high",35,"Z","medium",360,"X","medium"
493,30.5,"C30","S",75,"B","medium",7,"B","medium",58,"A","unknown",73,"X","high",453,"Y","high"
496,14.4583,"","C",41,"","unknown",NA,"A","",NA,"D","",34,"Y","medium",279,"Y","medium"
499,151.55,"C22 C26","S",92,"D","",95,"A","high",66,"A","medium",66,"Z","low",483,"Y","low"
500,7.7958,"","S",NA,"","low",NA,"C","unknown",73,"","unknown",43,"Z","low",443,"X","medium"
503,7.6292,"","Q",96,"","",NA,"","high",86,"C","high",65,"Z","low",397,"Z","medium"
504,9.5875,"","S",86,"","low",72,"B","high",48,"A","",81,"X","low",114,"Z","medium"
506,108.9,"C65","C",NA,"A","high",NA,"C","low",15,"C","unknown",85,"Z","low",265,"Y","medium"
509,22.525,"","S",26,"A","medium",NA,"","unknown",NA,"","high",95,"Z","high",368,"X","high"
510,56.4958,"","S",23,"C","high",NA,"C","unknown",NA,"","unknown",56,"Z","low",488,"X","medium"
511,7.75,"","Q",99,"A","",NA,"B","high",NA,"D","high",27,"X","medium",394,"Y","low"
513,26.2875,"E25","S",84,"","medium",51,"B","",66,"C","medium",62,"Y","medium",170,"Y","high"
517,10.5,"F33","S",NA,"","",NA,"C","high",85,"A","",54,"X","medium",489,"X","low"
521,93.5,"B73","S",35,"A","high",75,"A","high",79,"B","",93,"X","high",183,"Y","low"
522,7.8958,"","S",NA,"C","",50,"","medium",NA,"","medium",67,"Y","medium",22,"X","high"
524,57.9792,"B18","C",NA,"A","high",47,"C","",NA,"","unknown",37,"Z","high",179,"Z","medium"
525,7.2292,"","C",NA,"D","",47,"C","medium",6,"","low",69,"Y","high",306,"X","low"
527,10.5,"","S",NA,"B","high",NA,"B","",NA,"","unknown",71,"X","low",274,"Y","medium"
528,221.7792,"C95","S",14,"D","medium",70,"C","unknown",NA,"D","unknown",55,"Z","high",203,"Z","high"
529,7.925,"","S",91,"D","high",NA,"","high",10,"C","low",22,"Y","medium",251,"Z","low"
530,11.5,"","S",92,"","",9,"A","unknown",50,"A","unknown",89,"Y","low",72,"Z","low"
531,26,"","S",59,"A","unknown",21,"B","",57,"A","high",62,"Z","low",90,"X","medium"
534,22.3583,"","C",NA,"","low",50,"","unknown",16,"","medium",41,"Z","medium",261,"Z","medium"
536,26.25,"","S",15,"B","unknown",NA,"C","unknown",40,"D","unknown",49,"Z","low",490,"Y","medium"
544,26,"","S",17,"A","medium",97,"D","",74,"A","high",53,"X","medium",380,"Z","medium"
549,20.525,"","S",51,"B","",NA,"C","",NA,"C","",87,"Y","high",334,"Y","high"
553,7.8292,"","Q",82,"D","high",15,"","medium",79,"D","",66,"X","high",405,"Y","low"
554,7.225,"","C",NA,"C","",90,"C","low",41,"C","high",13,"Z","medium",22,"X","high"
556,26.55,"","S",50,"C","low",NA,"C","medium",67,"C","",99,"Y","low",419,"X","low"
