id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol4_quantile_bin,ExtraCol7_quantile_bin,ExtraCol10_quantile_bin,ExtraCol13_quantile_bin,ExtraCol3_freq,ExtraCol5_freq,ExtraCol6_freq,ExtraCol2_freq
14,A,high,64,C,medium,NA,A,NA,81,Y,high,75,Z,high,477,Y,high,ExtraCol4_3,NA,ExtraCol10_5,ExtraCol13_1,452,152,165,441
15,C,high,51,C,medium,71,NA,NA,86,Z,medium,100,Z,high,320,Y,medium,ExtraCol4_2,ExtraCol7_4,ExtraCol10_5,ExtraCol13_1,452,152,165,153
16,A,unknown,81,C,NA,NA,NA,unknown,NA,X,low,483,Z,medium,478,Y,low,ExtraCol4_4,NA,NA,ExtraCol13_5,145,152,0,441
17,D,high,51,D,medium,NA,NA,NA,NA,Z,low,188,X,high,391,X,low,ExtraCol4_2,NA,NA,ExtraCol13_2,452,448,165,155
18,C,unknown,96,D,unknown,72,A,NA,NA,Z,medium,286,Y,low,120,X,medium,ExtraCol4_4,ExtraCol7_4,NA,ExtraCol13_3,145,448,159,153
19,C,high,51,B,low,33,D,unknown,53,Y,low,217,Z,NA,15,Y,low,ExtraCol4_2,ExtraCol7_2,ExtraCol10_3,ExtraCol13_2,452,147,140,153
20,D,low,32,D,low,96,A,medium,70,Z,medium,129,Y,low,490,Y,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_4,ExtraCol13_2,157,448,140,155
21,A,low,72,C,unknown,86,B,NA,72,Y,medium,253,Y,low,213,X,medium,ExtraCol4_4,ExtraCol7_5,ExtraCol10_4,ExtraCol13_3,157,152,159,441
22,D,high,89,C,unknown,59,B,NA,96,Z,medium,388,Z,NA,436,Y,medium,ExtraCol4_4,ExtraCol7_3,ExtraCol10_5,ExtraCol13_4,452,152,159,155
23,B,high,51,B,unknown,NA,C,NA,57,Z,high,5,Y,medium,144,Y,high,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_1,452,147,159,142
24,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,180,Y,high,ExtraCol4_4,ExtraCol7_3,ExtraCol10_2,ExtraCol13_5,137,147,165,441
25,A,high,19,C,medium,69,NA,NA,NA,Z,low,92,X,NA,412,Z,low,ExtraCol4_1,ExtraCol7_4,NA,ExtraCol13_1,452,152,165,441
26,A,high,41,D,low,NA,D,low,NA,Z,high,458,Z,high,262,Z,low,ExtraCol4_2,NA,NA,ExtraCol13_5,452,448,140,441
27,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,338,X,low,ExtraCol4_2,ExtraCol7_1,ExtraCol10_5,ExtraCol13_5,137,147,165,441
28,A,low,42,D,high,56,A,high,NA,Z,low,466,Y,low,160,Z,low,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_5,157,448,162,441
29,A,high,51,B,medium,80,D,NA,NA,Y,medium,325,Y,high,307,X,medium,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_4,452,147,165,441
30,A,high,73,C,medium,31,A,unknown,31,Z,NA,452,NA,high,243,Y,high,ExtraCol4_4,ExtraCol7_2,ExtraCol10_2,ExtraCol13_5,452,152,165,441
31,D,high,51,A,NA,45,NA,unknown,5,NA,medium,429,X,low,465,Z,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_1,ExtraCol13_5,452,144,0,155
32,A,high,25,D,NA,NA,D,high,NA,NA,medium,319,X,low,246,Z,high,ExtraCol4_1,NA,NA,ExtraCol13_3,452,448,0,441
33,B,medium,51,D,high,70,A,NA,12,Y,high,445,Z,high,44,X,medium,ExtraCol4_2,ExtraCol7_4,ExtraCol10_1,ExtraCol13_5,137,448,162,142
34,C,high,51,D,high,86,A,high,8,Y,medium,171,X,high,368,X,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_1,ExtraCol13_2,452,448,162,153
35,B,high,65,D,high,NA,NA,medium,70,Y,high,417,X,high,476,X,high,ExtraCol4_3,NA,ExtraCol10_4,ExtraCol13_5,452,448,162,142
36,C,high,69,D,unknown,NA,NA,high,43,X,medium,462,Z,NA,NA,X,low,ExtraCol4_3,NA,ExtraCol10_3,ExtraCol13_5,452,448,159,153
37,D,medium,66,B,low,4,D,low,NA,Z,medium,NA,X,low,50,X,NA,ExtraCol4_3,ExtraCol7_1,NA,NA,137,147,140,155
38,A,high,60,D,medium,NA,C,unknown,NA,NA,low,61,Y,NA,499,NA,medium,ExtraCol4_3,NA,NA,ExtraCol13_1,452,448,165,441
39,A,high,51,B,high,94,C,unknown,NA,X,low,107,X,medium,173,X,medium,ExtraCol4_2,ExtraCol7_5,NA,ExtraCol13_1,452,147,162,441
40,D,unknown,51,D,NA,8,D,medium,61,Y,medium,NA,Z,high,416,Y,medium,ExtraCol4_2,ExtraCol7_1,ExtraCol10_4,NA,145,448,0,155
41,C,low,90,A,unknown,NA,NA,medium,53,X,low,266,X,high,315,Z,NA,ExtraCol4_4,NA,ExtraCol10_3,ExtraCol13_3,157,144,159,153
42,C,unknown,38,B,NA,83,NA,medium,58,Y,high,216,Y,low,NA,Y,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_3,ExtraCol13_2,145,147,0,153
43,B,medium,51,B,low,NA,D,NA,70,Y,low,413,Y,low,170,X,high,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_5,137,147,140,142
44,A,high,18,D,medium,17,NA,NA,38,X,low,141,Z,low,303,Y,high,ExtraCol4_1,ExtraCol7_1,ExtraCol10_2,ExtraCol13_2,452,448,165,441
45,C,low,35,A,medium,2,A,medium,NA,Z,high,82,X,low,341,Y,high,ExtraCol4_2,ExtraCol7_1,NA,ExtraCol13_1,157,144,165,153
46,C,low,51,D,unknown,NA,A,high,NA,Z,low,307,Y,NA,77,Z,high,ExtraCol4_2,NA,NA,ExtraCol13_3,157,448,159,153
47,A,unknown,64,A,medium,59,B,NA,14,Z,low,69,NA,low,387,NA,medium,ExtraCol4_3,ExtraCol7_3,ExtraCol10_1,ExtraCol13_1,145,144,165,441
48,C,high,21,D,NA,84,A,medium,21,Y,low,452,X,high,71,X,low,ExtraCol4_1,ExtraCol7_5,ExtraCol10_2,ExtraCol13_5,452,448,0,153
49,C,high,54,C,NA,88,NA,low,8,Y,high,40,X,medium,414,Z,low,ExtraCol4_3,ExtraCol7_5,ExtraCol10_1,ExtraCol13_1,452,152,0,153
50,A,high,51,A,medium,45,NA,high,NA,Z,high,245,Z,low,63,NA,high,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_3,452,144,165,441
51,B,unknown,12,D,high,42,B,NA,43,Z,low,474,Y,NA,89,X,low,ExtraCol4_1,ExtraCol7_3,ExtraCol10_3,ExtraCol13_5,145,448,162,142
52,A,medium,6,D,high,93,B,unknown,NA,Z,medium,276,Y,medium,NA,Y,medium,ExtraCol4_1,ExtraCol7_5,NA,ExtraCol13_3,137,448,162,441
53,A,unknown,51,D,NA,NA,NA,low,92,X,medium,404,NA,low,91,X,low,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_4,145,448,0,441
54,A,unknown,65,A,medium,20,NA,NA,NA,Z,high,211,NA,low,38,Y,low,ExtraCol4_3,ExtraCol7_1,NA,ExtraCol13_2,145,144,165,441
55,A,unknown,31,C,low,NA,NA,medium,55,Y,medium,377,Z,medium,26,X,low,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_4,145,152,140,441
56,C,high,82,D,low,71,B,high,NA,Z,medium,353,Z,low,143,X,low,ExtraCol4_4,ExtraCol7_4,NA,ExtraCol13_4,452,448,140,153
57,B,high,84,D,NA,23,D,low,NA,Z,medium,256,Y,medium,245,Y,low,ExtraCol4_4,ExtraCol7_2,NA,ExtraCol13_3,452,448,0,142
58,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,22,X,medium,ExtraCol4_3,ExtraCol7_5,ExtraCol10_4,ExtraCol13_1,452,152,162,155
59,A,low,51,C,NA,29,B,NA,90,X,medium,485,Y,low,68,X,high,ExtraCol4_2,ExtraCol7_2,ExtraCol10_5,ExtraCol13_5,157,152,0,441
60,D,high,51,C,unknown,NA,NA,NA,96,X,medium,NA,X,low,305,Y,low,ExtraCol4_2,NA,ExtraCol10_5,NA,452,152,159,155
61,A,high,82,D,NA,49,C,NA,38,Y,high,178,Z,NA,159,Y,high,ExtraCol4_4,ExtraCol7_3,ExtraCol10_2,ExtraCol13_2,452,448,0,441
62,B,unknown,89,D,low,69,NA,NA,48,Z,medium,320,X,medium,NA,Z,medium,ExtraCol4_4,ExtraCol7_4,ExtraCol10_3,ExtraCol13_3,145,448,140,142
63,A,high,51,D,high,90,D,unknown,NA,X,high,384,Z,low,420,X,high,ExtraCol4_2,ExtraCol7_5,NA,ExtraCol13_4,452,448,162,441
64,C,high,51,C,NA,39,NA,NA,5,X,medium,267,Y,low,15,Y,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_3,452,152,0,153
65,A,high,51,A,high,NA,D,medium,11,Y,high,200,Y,low,474,X,high,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_2,452,144,162,441
66,B,high,51,A,medium,75,NA,NA,4,Y,high,203,NA,high,341,X,high,ExtraCol4_2,ExtraCol7_4,ExtraCol10_1,ExtraCol13_2,452,144,165,142
67,B,high,13,C,unknown,NA,A,NA,73,X,low,487,X,high,411,X,high,ExtraCol4_1,NA,ExtraCol10_4,ExtraCol13_5,452,152,159,142
68,A,unknown,67,D,high,NA,NA,NA,22,Y,medium,166,NA,medium,239,Z,medium,ExtraCol4_3,NA,ExtraCol10_2,ExtraCol13_2,145,448,162,441
69,A,medium,92,A,NA,75,A,low,NA,Z,high,427,Z,medium,0,Z,high,ExtraCol4_4,ExtraCol7_4,NA,ExtraCol13_5,137,144,0,441
70,C,high,75,D,medium,70,NA,high,37,X,medium,25,X,low,442,Y,high,ExtraCol4_4,ExtraCol7_4,ExtraCol10_2,ExtraCol13_1,452,448,165,153
71,D,high,48,D,unknown,NA,C,low,79,NA,high,329,X,low,284,Y,low,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_4,452,448,159,155
72,A,high,52,C,high,NA,B,NA,11,X,medium,340,X,high,18,Z,high,ExtraCol4_3,NA,ExtraCol10_1,ExtraCol13_4,452,152,162,441
73,B,high,25,D,high,1,NA,medium,32,X,NA,337,Z,low,NA,Y,low,ExtraCol4_1,ExtraCol7_1,ExtraCol10_2,ExtraCol13_4,452,448,162,142
74,A,high,51,D,medium,NA,NA,unknown,NA,Y,medium,210,Y,high,103,Y,medium,ExtraCol4_2,NA,NA,ExtraCol13_2,452,448,165,441
75,A,unknown,24,D,NA,NA,C,low,NA,X,medium,345,X,low,187,Y,low,ExtraCol4_1,NA,NA,ExtraCol13_4,145,448,0,441
76,A,unknown,34,A,unknown,NA,A,NA,56,Y,low,222,NA,low,221,Y,high,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_3,145,144,159,441
77,A,low,26,D,medium,NA,A,NA,16,X,low,296,X,high,213,Y,high,ExtraCol4_1,NA,ExtraCol10_1,ExtraCol13_3,157,448,165,441
78,A,low,33,D,low,30,NA,NA,66,Z,low,446,Z,high,434,Y,high,ExtraCol4_2,ExtraCol7_2,ExtraCol10_4,ExtraCol13_5,157,448,140,441
79,A,high,36,A,medium,89,C,high,96,Y,high,336,Z,NA,471,X,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_5,ExtraCol13_4,452,144,165,441
80,C,high,8,D,NA,70,NA,low,4,X,medium,368,Y,low,339,Z,low,ExtraCol4_1,ExtraCol7_4,ExtraCol10_1,ExtraCol13_4,452,448,0,153
81,C,unknown,51,D,NA,56,NA,medium,8,X,medium,484,Z,medium,316,Z,medium,ExtraCol4_2,ExtraCol7_3,ExtraCol10_1,ExtraCol13_5,145,448,0,153
82,D,low,44,D,low,88,B,high,95,Y,medium,109,X,low,NA,Y,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_5,ExtraCol13_1,157,448,140,155
83,D,low,94,D,low,9,C,unknown,NA,Y,medium,293,Y,low,133,Z,medium,ExtraCol4_4,ExtraCol7_1,NA,ExtraCol13_3,157,448,140,155
84,D,unknown,51,A,medium,64,NA,unknown,91,NA,high,328,NA,medium,279,X,low,ExtraCol4_2,ExtraCol7_4,ExtraCol10_5,ExtraCol13_4,145,144,165,155
85,C,unknown,66,B,medium,15,D,NA,70,X,medium,NA,Z,low,321,Y,NA,ExtraCol4_3,ExtraCol7_1,ExtraCol10_4,NA,145,147,165,153
86,A,low,51,D,low,23,A,medium,NA,Y,medium,66,Y,low,NA,Z,medium,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_1,157,448,140,441
87,B,medium,51,B,medium,18,D,NA,NA,Y,medium,380,Z,medium,NA,Z,medium,ExtraCol4_2,ExtraCol7_1,NA,ExtraCol13_4,137,147,165,142
88,A,high,49,D,NA,54,NA,NA,51,X,medium,97,Y,high,NA,Z,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_3,ExtraCol13_1,452,448,0,441
89,B,high,44,A,low,62,C,NA,36,Y,medium,204,NA,low,29,Z,high,ExtraCol4_2,ExtraCol7_4,ExtraCol10_2,ExtraCol13_2,452,144,140,142
90,B,high,65,D,medium,75,A,medium,83,X,low,357,Z,medium,161,Y,low,ExtraCol4_3,ExtraCol7_4,ExtraCol10_5,ExtraCol13_4,452,448,165,142
91,A,high,51,B,NA,NA,C,unknown,4,Z,high,131,Z,high,407,NA,medium,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_2,452,147,0,441
92,A,low,31,B,NA,93,NA,medium,NA,Z,medium,62,NA,high,NA,Y,high,ExtraCol4_2,ExtraCol7_5,NA,ExtraCol13_1,157,147,0,441
93,C,medium,51,D,NA,37,C,NA,55,X,medium,337,Y,medium,108,NA,high,ExtraCol4_2,ExtraCol7_2,ExtraCol10_3,ExtraCol13_4,137,448,0,153
94,B,high,18,D,NA,NA,B,high,97,X,medium,140,Y,low,436,Z,medium,ExtraCol4_1,NA,ExtraCol10_5,ExtraCol13_2,452,448,0,142
95,A,high,51,D,high,3,C,NA,99,X,medium,413,X,high,76,Y,low,ExtraCol4_2,ExtraCol7_1,ExtraCol10_5,ExtraCol13_5,452,448,162,441
96,B,high,51,D,NA,12,C,medium,59,Z,high,449,Y,low,79,X,medium,ExtraCol4_2,ExtraCol7_1,ExtraCol10_3,ExtraCol13_5,452,448,0,142
97,D,unknown,95,A,unknown,NA,B,high,42,Z,low,174,Z,NA,449,Z,high,ExtraCol4_4,NA,ExtraCol10_3,ExtraCol13_2,145,144,159,155
98,C,unknown,51,D,NA,41,D,unknown,27,X,low,369,Z,medium,NA,X,low,ExtraCol4_2,ExtraCol7_3,ExtraCol10_2,ExtraCol13_4,145,448,0,153
99,A,high,39,C,NA,NA,C,unknown,99,Y,high,NA,Y,low,0,Y,NA,ExtraCol4_2,NA,ExtraCol10_5,NA,452,152,0,441
100,A,high,51,B,unknown,12,NA,unknown,NA,X,high,464,Y,low,216,X,medium,ExtraCol4_2,ExtraCol7_1,NA,ExtraCol13_5,452,147,159,441
101,C,high,80,B,NA,26,NA,high,12,Z,medium,122,Z,low,370,X,low,ExtraCol4_4,ExtraCol7_2,ExtraCol10_1,ExtraCol13_2,452,147,0,153
102,C,high,48,B,low,98,D,NA,50,X,medium,440,X,high,378,X,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_3,ExtraCol13_5,452,147,140,153
103,B,medium,96,D,unknown,2,B,high,39,X,medium,393,X,high,43,X,NA,ExtraCol4_4,ExtraCol7_1,ExtraCol10_2,ExtraCol13_4,137,448,159,142
104,C,low,51,B,NA,42,C,NA,49,Z,high,156,NA,high,140,X,medium,ExtraCol4_2,ExtraCol7_3,ExtraCol10_3,ExtraCol13_2,157,147,0,153
105,A,medium,70,D,NA,19,A,unknown,NA,NA,medium,412,X,low,308,X,high,ExtraCol4_4,ExtraCol7_1,NA,ExtraCol13_5,137,448,0,441
106,A,high,75,C,high,53,B,unknown,26,Y,high,316,Z,high,330,Z,medium,ExtraCol4_4,ExtraCol7_3,ExtraCol10_2,ExtraCol13_3,452,152,162,441
107,A,unknown,51,A,unknown,97,C,unknown,NA,Z,medium,334,X,medium,310,Z,high,ExtraCol4_2,ExtraCol7_5,NA,ExtraCol13_4,145,144,159,441
108,B,unknown,51,D,low,22,D,high,NA,X,medium,189,X,high,168,X,medium,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_2,145,448,140,142
109,A,high,58,C,low,37,C,NA,32,X,high,117,Y,medium,431,Y,high,ExtraCol4_3,ExtraCol7_2,ExtraCol10_2,ExtraCol13_2,452,152,140,441
110,D,low,51,D,unknown,44,NA,medium,0,Y,NA,348,Y,low,39,NA,low,ExtraCol4_2,ExtraCol7_3,ExtraCol10_1,ExtraCol13_4,157,448,159,155
111,D,low,11,D,high,79,B,NA,67,Y,low,26,Z,low,411,Z,medium,ExtraCol4_1,ExtraCol7_4,ExtraCol10_4,ExtraCol13_1,157,448,162,155
112,A,medium,13,A,low,NA,C,unknown,85,NA,low,174,Z,low,469,Z,low,ExtraCol4_1,NA,ExtraCol10_5,ExtraCol13_2,137,144,140,441
113,A,high,51,C,unknown,NA,NA,unknown,NA,Z,high,70,Y,high,342,Y,low,ExtraCol4_2,NA,NA,ExtraCol13_1,452,152,159,441
114,A,unknown,65,B,NA,48,A,medium,16,Z,medium,0,X,medium,214,X,NA,ExtraCol4_3,ExtraCol7_3,ExtraCol10_1,ExtraCol13_1,145,147,0,441
115,A,high,28,C,medium,NA,A,NA,76,X,low,3,X,high,190,NA,low,ExtraCol4_1,NA,ExtraCol10_4,ExtraCol13_1,452,152,165,441
116,A,high,73,A,medium,0,C,NA,14,Z,high,46,Z,NA,NA,Z,low,ExtraCol4_4,ExtraCol7_1,ExtraCol10_1,ExtraCol13_1,452,144,165,441
117,A,high,69,D,high,80,D,low,62,X,high,469,Y,low,NA,X,high,ExtraCol4_3,ExtraCol7_4,ExtraCol10_4,ExtraCol13_5,452,448,162,441
118,A,medium,51,D,low,24,NA,NA,70,Y,medium,385,Z,low,111,Y,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_4,ExtraCol13_4,137,448,140,441
119,A,high,91,B,medium,NA,D,NA,15,Y,medium,494,Y,NA,317,Y,high,ExtraCol4_4,NA,ExtraCol10_1,ExtraCol13_5,452,147,165,441
120,A,high,88,D,NA,97,NA,medium,11,Y,high,42,Z,low,NA,Z,high,ExtraCol4_4,ExtraCol7_5,ExtraCol10_1,ExtraCol13_1,452,448,0,441
121,C,low,51,C,low,63,C,unknown,7,X,low,498,Y,high,248,Z,high,ExtraCol4_2,ExtraCol7_4,ExtraCol10_1,ExtraCol13_5,157,152,140,153
122,A,medium,76,D,unknown,NA,D,NA,70,Y,low,299,Z,medium,237,Y,medium,ExtraCol4_4,NA,ExtraCol10_4,ExtraCol13_3,137,448,159,441
123,D,high,51,D,low,60,NA,high,61,X,medium,397,Y,medium,38,Y,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_4,ExtraCol13_4,452,448,140,155
124,D,medium,40,A,unknown,21,NA,low,11,Z,medium,428,X,low,NA,Y,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_5,137,144,159,155
125,C,high,51,D,low,69,C,unknown,50,X,low,131,X,medium,477,Z,NA,ExtraCol4_2,ExtraCol7_4,ExtraCol10_3,ExtraCol13_2,452,448,140,153
126,A,high,60,A,medium,61,C,NA,79,Y,low,370,X,medium,122,X,high,ExtraCol4_3,ExtraCol7_4,ExtraCol10_5,ExtraCol13_4,452,144,165,441
127,B,unknown,41,C,low,NA,NA,NA,23,X,high,323,Y,low,157,Z,low,ExtraCol4_2,NA,ExtraCol10_2,ExtraCol13_4,145,152,140,142
128,D,low,99,D,NA,7,B,NA,60,X,medium,206,Z,low,315,Z,low,ExtraCol4_4,ExtraCol7_1,ExtraCol10_4,ExtraCol13_2,157,448,0,155
129,A,low,17,D,high,64,D,high,29,Y,high,245,Y,medium,1,X,low,ExtraCol4_1,ExtraCol7_4,ExtraCol10_2,ExtraCol13_3,157,448,162,441
130,A,high,9,D,low,NA,NA,unknown,NA,Z,medium,104,Z,NA,51,X,high,ExtraCol4_1,NA,NA,ExtraCol13_1,452,448,140,441
131,A,medium,2,A,high,77,A,NA,NA,Y,medium,92,X,high,450,Y,medium,ExtraCol4_1,ExtraCol7_4,NA,ExtraCol13_1,137,144,162,441
132,A,high,81,D,NA,12,B,NA,35,Z,medium,461,Y,medium,86,Z,low,ExtraCol4_4,ExtraCol7_1,ExtraCol10_2,ExtraCol13_5,452,448,0,441
133,A,low,40,C,medium,53,NA,high,49,Z,medium,365,NA,low,288,Y,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_3,ExtraCol13_4,157,152,165,441
134,A,high,43,D,low,81,B,unknown,20,Y,high,283,X,high,441,X,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_2,ExtraCol13_3,452,448,140,441
135,B,unknown,64,C,high,89,NA,medium,39,Z,high,347,Y,medium,366,Y,low,ExtraCol4_3,ExtraCol7_5,ExtraCol10_2,ExtraCol13_4,145,152,162,142
136,D,high,51,A,NA,93,NA,NA,62,Y,high,202,Y,high,135,Y,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_4,ExtraCol13_2,452,144,0,155
137,A,medium,57,C,low,NA,NA,NA,38,Y,high,124,Y,low,76,Z,high,ExtraCol4_3,NA,ExtraCol10_2,ExtraCol13_2,137,152,140,441
138,C,high,5,D,NA,NA,B,low,NA,Z,low,471,Y,low,358,NA,high,ExtraCol4_1,NA,NA,ExtraCol13_5,452,448,0,153
139,B,high,51,B,medium,57,C,NA,NA,Y,medium,494,X,low,202,X,high,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_5,452,147,165,142
140,A,low,51,D,low,46,D,NA,13,Z,high,107,Z,high,483,NA,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_1,ExtraCol13_1,157,448,140,441
141,D,high,45,B,unknown,23,NA,medium,NA,X,medium,400,X,low,322,X,low,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_4,452,147,159,155
142,A,high,16,D,high,NA,C,low,46,Y,medium,221,Z,high,5,X,medium,ExtraCol4_1,NA,ExtraCol10_3,ExtraCol13_2,452,448,162,441
143,A,unknown,51,D,unknown,14,A,NA,60,Y,low,353,Z,high,125,NA,high,ExtraCol4_2,ExtraCol7_1,ExtraCol10_4,ExtraCol13_4,145,448,159,441
144,A,high,33,D,medium,NA,A,unknown,73,X,low,54,X,medium,372,X,high,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_1,452,448,165,441
145,D,medium,27,D,NA,NA,NA,low,NA,Z,high,239,X,high,350,X,medium,ExtraCol4_1,NA,NA,ExtraCol13_3,137,448,0,155
146,A,unknown,29,A,NA,NA,A,NA,97,X,low,62,Y,high,370,Z,low,ExtraCol4_1,NA,ExtraCol10_5,ExtraCol13_1,145,144,0,441
147,A,high,72,A,low,10,NA,low,42,X,medium,407,Z,high,116,Y,high,ExtraCol4_4,ExtraCol7_1,ExtraCol10_3,ExtraCol13_4,452,144,140,441
148,C,high,10,B,medium,26,B,NA,88,X,medium,199,Y,high,124,Z,medium,ExtraCol4_1,ExtraCol7_2,ExtraCol10_5,ExtraCol13_2,452,147,165,153
149,D,unknown,30,D,unknown,NA,D,high,41,Z,high,131,Y,medium,104,Y,medium,ExtraCol4_1,NA,ExtraCol10_3,ExtraCol13_2,145,448,159,155
150,A,low,46,B,medium,NA,NA,low,40,X,high,349,Z,low,347,X,high,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_4,157,147,165,441
151,D,high,54,D,unknown,44,B,high,60,X,medium,477,Y,low,5,Z,medium,ExtraCol4_3,ExtraCol7_3,ExtraCol10_4,ExtraCol13_5,452,448,159,155
152,C,medium,88,B,medium,4,C,NA,19,Z,low,169,Z,medium,407,Y,medium,ExtraCol4_4,ExtraCol7_1,ExtraCol10_2,ExtraCol13_2,137,147,165,153
153,D,unknown,51,D,medium,1,A,high,60,X,NA,358,Z,medium,140,Z,low,ExtraCol4_2,ExtraCol7_1,ExtraCol10_4,ExtraCol13_4,145,448,165,155
154,A,low,51,D,NA,NA,D,unknown,NA,X,high,344,X,medium,244,X,low,ExtraCol4_2,NA,NA,ExtraCol13_4,157,448,0,441
155,D,unknown,53,D,NA,44,C,NA,NA,X,medium,244,Y,low,123,Z,medium,ExtraCol4_3,ExtraCol7_3,NA,ExtraCol13_3,145,448,0,155
156,C,low,2,A,NA,7,C,unknown,7,Y,medium,402,X,medium,212,Z,high,ExtraCol4_1,ExtraCol7_1,ExtraCol10_1,ExtraCol13_4,157,144,0,153
157,A,low,61,D,low,83,NA,low,69,X,high,63,NA,medium,382,NA,high,ExtraCol4_3,ExtraCol7_5,ExtraCol10_4,ExtraCol13_1,157,448,140,441
