id,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
11,low,80,X,high,14,X,medium,25,Z,low,282,Y,high,310,X,medium,188,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""037C-5FCA-AFF5"",""description"":""archive storage osaka/tokyo dual-region"",""original_region"":""asia1""}",21-05-2024,16:12:00,17:38:00,21-05-2024 17:33,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
12,low,125,Y,medium,390,Z,low,214,Z,medium,348,X,high,417,X,high,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FCE0-B059-75F6"",""description"":""autoclass coldline storage turin dual-region"",""original_region"":""europe-west12""}",29-01-2024,18:35:00,20:58:00,29-01-2024 20:50,Amid Inflation,Help Russia,Senator,D,Senator Kamala Harris (CA),Analyze Senator
13,low,343,Z,low,44,X,medium,247,Z,high,459,Y,high,13,Y,medium,116,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""E5D5-663B-A9DC"",""description"":""archive storage south carolina dual-region"",""original_region"":""us-east1""}",15-06-2024,19:08:00,19:55:00,15-06-2024 19:54,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
14,low,220,Z,low,275,Z,medium,195,Z,medium,65,X,high,391,Y,medium,482,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""F6E9-7338-D916"",""description"":""autoclass nearline storage montreal dual-region"",""original_region"":""northamerica-northeast1""}",26-04-2024,18:15:00,18:47:00,26-04-2024 18:46,Assassination Question,International Women,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
15,low,391,X,low,415,Z,high,266,Z,medium,31,Z,high,94,Y,low,449,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""EFEF-E236-E29F"",""description"":""autoclass archive storage zurich"",""original_region"":""europe-west6""}",27-06-2024,12:06:00,14:55:00,27-06-2024 14:48,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Proud Judge Kavanaugh
16,medium,262,X,low,229,X,medium,56,Z,high,44,Y,low,282,X,high,341,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""E84B-7220-B2AC"",""description"":""autoclass archive storage netherlands dual-region"",""original_region"":""europe-west4""}",02-12-2024,20:26:00,23:15:00,02-12-2024 23:05,Companies Pulling Russia,Help Russia,Senator,D,Senator Kamala Harris (CA),Analyze Senator
17,medium,32,Z,high,279,Y,high,133,X,medium,133,X,medium,193,Z,low,277,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""E89C-671A-4ABF"",""description"":""autoclass standard storage finland/netherlands dual-region"",""original_region"":""eur4""}",19-12-2024,09:59:00,11:39:00,19-12-2024 11:35,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
18,medium,332,Z,high,309,X,medium,2,Y,medium,176,Z,high,431,X,low,237,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""C4F8-582D-CDF9"",""description"":""standard storage stockholm"",""original_region"":""europe-north2""}",04-09-2024,12:21:00,14:14:00,04-09-2024 14:06,Amid Inflation,Niger State Television,Senator,D,Senator Kamala Harris (CA),Analyze Senator
19,medium,304,Z,high,288,Y,low,480,X,low,439,Y,low,337,Y,high,341,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""8A46-D6C4-859E"",""description"":""nearline storage south carolina"",""original_region"":""us-east1""}",20-08-2024,21:43:00,22:33:00,20-08-2024 22:24,Amid Inflation,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
20,low,182,Y,low,365,Y,medium,415,Z,high,260,Y,high,230,Y,high,431,STANDARD,oceania,FREQUENT_ACCESS,"{""sku_id"":""D4C0-6A6B-742B"",""description"":""autoclass nearline storage melbourne"",""original_region"":""australia-southeast2""}",14-04-2024,14:20:00,15:00:00,14-04-2024 14:55,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
21,medium,395,Z,medium,429,Y,medium,126,X,high,372,Y,medium,254,Y,low,213,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FE3D-5C17-7088"",""description"":""durable reduced availability storage las vegas"",""original_region"":""us-west4""}",06-01-2024,14:43:00,16:53:00,06-01-2024 16:46,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
22,high,175,Y,low,67,Z,low,18,Y,high,287,X,low,353,X,medium,40,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""1A2D-77C9-8F73"",""description"":""archive storage belgium"",""original_region"":""europe-west1""}",22-05-2024,06:00:00,06:31:00,22-05-2024 06:23,New Covid Lockdowns,Beating Forecasts Covid,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
23,low,57,Z,low,229,Y,medium,135,Y,high,476,Y,low,359,Y,low,456,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FC93-7D27-5888"",""description"":""autoclass coldline storage iowa"",""original_region"":""us-central1""}",15-06-2024,21:11:00,23:39:00,15-06-2024 23:29,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Proud Judge Kavanaugh
24,low,60,X,medium,426,Z,low,478,Z,medium,164,Z,low,286,X,high,455,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""37BE-AAB1-0008"",""description"":""nearline storage salt lake city dual-region"",""original_region"":""us-west3""}",25-03-2024,19:38:00,21:50:00,25-03-2024 21:42,Amid Inflation,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
25,medium,450,X,medium,190,Z,medium,405,X,medium,334,Z,high,363,Z,medium,114,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""F022-AD5D-C7E1"",""description"":""autoclass standard storage asia multi-region"",""original_region"":""asia""}",17-10-2024,17:26:00,20:32:00,17-10-2024 20:24,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
26,low,188,X,high,244,Y,medium,68,Z,medium,136,Z,high,394,Z,low,119,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""E7A9-508A-0C4F"",""description"":""autoclass archive storage taiwan dual-region"",""original_region"":""asia-east1""}",02-03-2024,07:31:00,11:18:00,02-03-2024 11:12,Amid Inflation,Point Tally Nba,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
27,medium,207,X,low,371,X,medium,461,Y,medium,116,X,low,15,Z,low,102,STANDARD,oceania,FREQUENT_ACCESS,"{""sku_id"":""FCAE-1D35-0D35"",""description"":""durable reduced availability storage sydney"",""original_region"":""australia-southeast1""}",24-06-2024,11:49:00,13:46:00,24-06-2024 13:38,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
28,high,152,X,high,467,X,high,88,Z,high,490,Z,high,183,Z,low,13,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""DAFD-61D2-339F"",""description"":""standard storage day0 (alabama)"",""original_region"":""us-east7""}",26-02-2024,18:32:00,19:44:00,26-02-2024 19:35,Scammers Cnn Epik,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
29,low,368,X,low,125,Y,high,268,Y,medium,12,X,low,236,Z,low,347,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-west1""}",07-05-2024,12:02:00,14:34:00,07-05-2024 14:26,Companies Pulling Russia,Lomachenko,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
30,low,302,X,high,477,Y,medium,396,Y,high,136,X,high,160,X,low,214,NEARLINE,south_america,OCCASIONAL_ACCESS,"{""sku_id"":""0906-3C38-5507"",""description"":""nearline storage sao paulo"",""original_region"":""southamerica-east1""}",22-12-2024,19:44:00,21:15:00,22-12-2024 21:08,Scammers Cnn Epik,Point Tally Nba,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
31,medium,449,Y,low,354,Y,high,9,X,medium,193,Y,high,412,Z,medium,15,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""EB7B-0E58-1CD1"",""description"":""autoclass standard storage madrid"",""original_region"":""europe-southwest1""}",01-09-2024,07:49:00,08:29:00,01-09-2024 08:28,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
32,low,447,Y,low,15,Z,medium,217,X,medium,68,Y,medium,274,Y,high,102,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""D970-F476-8D81"",""description"":""durable reduced availability storage frankfurt/london dual-region"",""original_region"":""eur7""}",04-06-2024,09:53:00,13:35:00,04-06-2024 13:27,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
33,low,494,X,medium,430,Z,high,177,Y,low,385,X,medium,135,X,high,266,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""EFF5-EB22-3D38"",""description"":""archive storage turin"",""original_region"":""europe-west12""}",21-03-2024,07:01:00,09:39:00,21-03-2024 09:36,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Proud Judge Kavanaugh
34,low,420,Y,low,192,Y,high,88,X,high,179,Y,high,175,Z,medium,417,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""154C-10C0-5E59"",""description"":""nearline storage columbus"",""original_region"":""us-east5""}",24-01-2024,17:07:00,19:15:00,24-01-2024 19:06,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
35,low,291,Z,low,141,Z,low,111,Z,high,229,X,high,236,Z,high,331,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""D265-FB5C-710A"",""description"":""coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}",18-11-2024,18:21:00,18:42:00,18-11-2024 18:37,Amid Inflation,Beating Forecasts Covid,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
36,high,173,Y,medium,263,Y,high,484,X,medium,151,Y,low,62,X,medium,266,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""0CE5-412C-060A"",""description"":""archive storage doha"",""original_region"":""me-central1""}",28-06-2024,17:54:00,21:49:00,28-06-2024 21:45,Companies Pulling Russia,Help Russia,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
37,high,352,X,low,288,X,high,255,X,low,445,Z,low,154,Z,low,93,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""0D26-8387-B0F6"",""description"":""coldline storage jakarta"",""original_region"":""asia-southeast2""}",16-08-2024,20:42:00,20:57:00,16-08-2024 20:51,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
38,medium,374,Z,high,269,Y,high,68,X,high,210,Z,medium,340,Z,medium,144,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""C019-C3D4-B615"",""description"":""autoclass standard storage us multi-region"",""original_region"":""us""}",15-04-2024,17:44:00,20:58:00,15-04-2024 20:57,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
39,low,125,Y,low,27,X,low,341,Z,medium,393,X,low,453,Y,low,390,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-east1""}",21-01-2024,08:37:00,10:27:00,21-01-2024 10:19,Amid Inflation,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
40,high,429,Y,high,411,X,medium,295,Y,medium,311,X,low,475,X,low,386,ARCHIVE,oceania,ARCHIVE,"{""sku_id"":""36A3-CA43-0958"",""description"":""archive storage melbourne"",""original_region"":""australia-southeast2""}",18-03-2024,20:32:00,20:48:00,18-03-2024 20:46,Amid Inflation,Warming Caused Humans,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
41,low,145,X,medium,170,Z,low,196,X,low,477,Y,low,191,Z,high,434,STANDARD,south_america,FREQUENT_ACCESS,"{""sku_id"":""9C0F-565A-3F33"",""description"":""durable reduced availability storage santiago"",""original_region"":""southamerica-west1""}",20-02-2024,09:42:00,11:55:00,20-02-2024 11:50,Scammers Cnn Epik,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
42,medium,491,X,high,70,Y,high,198,X,high,301,Z,medium,397,Z,high,263,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""DE63-2323-DAA5"",""description"":""autoclass standard storage delhi dual-region"",""original_region"":""asia-south2""}",16-03-2024,17:22:00,18:32:00,16-03-2024 18:27,Scammers Cnn Epik,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
43,high,425,X,low,282,Z,high,268,Z,low,492,X,high,198,X,medium,136,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""0F2C-F97E-8B45"",""description"":""nearline storage osaka"",""original_region"":""asia-northeast2""}",22-02-2024,08:58:00,12:07:00,22-02-2024 12:05,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
44,medium,9,Z,low,311,Z,medium,464,Z,medium,349,Y,low,403,X,medium,251,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""C8FB-7775-3633"",""description"":""durable reduced availability storage osaka"",""original_region"":""asia-northeast2""}",30-07-2024,08:52:00,10:43:00,30-07-2024 10:33,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,D,Senator Cory Booker (NJ),Analyze Senator
45,medium,199,X,low,51,X,low,379,X,medium,279,X,low,455,X,high,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""F917-1411-ED88"",""description"":""autoclass coldline storage warsaw"",""original_region"":""europe-central2""}",11-02-2024,10:16:00,10:47:00,11-02-2024 10:45,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
46,low,194,Y,low,471,Z,medium,200,Y,medium,78,Y,low,222,X,high,90,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""2385-5DEA-497F"",""description"":""nearline storage taiwan dual-region"",""original_region"":""asia-east1""}",04-08-2024,10:17:00,13:16:00,04-08-2024 13:09,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,D,Senator Cory Booker (NJ),Analyze Senator
47,medium,411,Z,medium,300,Z,medium,123,X,medium,394,Y,low,300,Y,low,423,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FE6B-A761-8CCC"",""description"":""autoclass archive storage frankfurt dual-region"",""original_region"":""europe-west3""}",27-07-2024,20:38:00,23:25:00,27-07-2024 23:16,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
48,medium,420,Y,medium,498,X,high,54,Z,medium,22,X,medium,433,Z,medium,497,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""D581-7186-3A43"",""description"":""archive storage columbus"",""original_region"":""us-east5""}",21-11-2024,19:12:00,22:52:00,21-11-2024 22:50,Making Racism,Turned Movie Different,Senator,D,Senator Cory Booker (NJ),Analyze Senator
49,high,25,X,high,335,X,low,97,Z,medium,95,Z,high,68,Z,low,40,NEARLINE,oceania,OCCASIONAL_ACCESS,"{""sku_id"":""581D-AFA6-17B6"",""description"":""nearline storage sydney"",""original_region"":""australia-southeast1""}",25-06-2024,15:15:00,17:24:00,25-06-2024 17:19,Scammers Cnn Epik,Rwigara Mother Adeline,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
50,high,420,Z,high,5,Z,medium,68,Y,low,395,Z,low,123,Z,medium,329,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""F886-1E84-F8DB"",""description"":""autoclass nearline storage finland dual-region"",""original_region"":""europe-north1""}",10-02-2024,08:27:00,12:01:00,10-02-2024 11:51,Smitten Aussie Tennis,Said Alicia Keys,Senator,D,Senator Cory Booker (NJ),Analyze Senator
51,medium,420,X,high,104,Z,medium,402,Z,medium,177,Y,high,313,X,low,204,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""EA16-97BB-483F"",""description"":""autoclass archive storage berlin"",""original_region"":""europe-west10""}",27-04-2024,11:40:00,13:58:00,27-04-2024 13:49,Bob Baffert Suspended,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
52,medium,184,Z,medium,486,X,high,287,X,medium,108,Z,high,89,X,low,427,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""DD64-0A7B-7023"",""description"":""autoclass standard storage northern virginia dual-region"",""original_region"":""us-east4""}",30-06-2024,09:23:00,10:52:00,30-06-2024 10:48,Reunion Netflix Cnn,Niger State Television,Senator,D,Senator Cory Booker (NJ),Analyze Senator
53,low,85,Z,medium,279,Y,low,18,Z,medium,98,X,low,397,X,high,80,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""DB0A-37C5-4E19"",""description"":""standard storage jakarta"",""original_region"":""asia-southeast2""}",21-04-2024,17:14:00,19:55:00,21-04-2024 19:53,Voice Cnn Masai,Actor Bob Odenkirk,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
54,low,78,Y,high,61,Z,medium,463,X,high,157,Z,low,133,Z,low,379,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""FEB9-18BF-B058"",""description"":""coldline storage northern virginia dual-region"",""original_region"":""us-east4""}",16-04-2024,16:06:00,16:57:00,16-04-2024 16:55,Reunion Netflix Cnn,Said Alicia Keys,Senator,D,Senator Cory Booker (NJ),Analyze Senator
55,high,263,X,high,37,Z,high,75,Z,medium,418,Y,high,168,X,high,200,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""ED0C-C037-FDC1"",""description"":""autoclass archive storage milan dual-region"",""original_region"":""europe-west8""}",02-04-2024,10:13:00,14:05:00,02-04-2024 13:58,Smitten Aussie Tennis,Coronavirus Pandemic Late,Senator,D,Senator Sheldon Whitehouse (RI),Chairman Ask Question
56,low,42,Y,medium,268,Z,medium,322,Z,medium,227,Y,high,405,Z,medium,251,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""EC4B-C190-470D"",""description"":""archive storage iowa"",""original_region"":""us-central1""}",26-06-2024,09:39:00,13:02:00,26-06-2024 12:55,Bob Baffert Suspended,Actor Bob Odenkirk,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
57,high,40,X,high,297,Y,low,6,Z,high,476,Y,low,263,Y,low,231,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""96DE-B911-9FF7"",""description"":""standard storage dammam"",""original_region"":""me-central2""}",25-11-2024,16:28:00,17:31:00,25-11-2024 17:30,Voice Cnn Masai,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
58,low,392,Z,low,123,X,low,294,X,high,279,Y,low,395,Y,low,4,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""6158-49AD-35B1"",""description"":""archive storage montreal"",""original_region"":""northamerica-northeast1""}",13-12-2024,07:50:00,11:17:00,13-12-2024 11:10,Reunion Netflix Cnn,Turned Movie Different,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
59,low,171,Z,high,97,Y,low,68,Z,high,134,Y,medium,313,Z,high,40,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""EBC7-E450-00FC"",""description"":""autoclass standard storage singapore"",""original_region"":""asia-southeast1""}",17-09-2024,18:20:00,19:20:00,17-09-2024 19:15,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
60,low,324,Z,high,229,Z,high,454,Z,low,81,Z,high,257,X,high,333,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""D78D-ECDE-752A"",""description"":""nearline storage belgium"",""original_region"":""europe-west1""}",05-12-2024,13:49:00,16:44:00,05-12-2024 16:40,Abortion Travel,Said Alicia Keys,Senator,D,Senator Mazie Hirono (HI),Executive Privilege Limit
61,high,493,Z,medium,217,Z,high,300,Z,high,471,X,high,255,X,high,300,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""81E6-58F6-12C7"",""description"":""coldline storage mumbai"",""original_region"":""asia-south1""}",30-12-2024,18:16:00,19:40:00,30-12-2024 19:37,Bob Baffert Suspended,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
62,medium,25,X,medium,18,Y,low,68,X,medium,451,Z,medium,401,X,low,50,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""A3BF-20BC-C5F3"",""description"":""archive storage warsaw"",""original_region"":""europe-central2""}",05-10-2024,18:24:00,21:29:00,05-10-2024 21:19,Making Racism,Turned Movie Different,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
63,high,397,X,low,28,X,high,265,X,high,61,X,medium,499,X,high,389,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""1EA2-2E06-552E"",""description"":""archive storage us multi-region"",""original_region"":""us""}",11-11-2024,14:37:00,17:50:00,11-11-2024 17:41,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
64,medium,54,Y,medium,119,Y,medium,316,Y,high,160,X,low,12,Z,low,480,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""9583-3470-6088"",""description"":""archive storage las vegas dual-region"",""original_region"":""us-west4""}",13-10-2024,19:00:00,19:42:00,13-10-2024 19:37,Bob Baffert Suspended,Actor Bob Odenkirk,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
65,high,380,Y,low,229,X,medium,207,Y,high,371,Y,medium,253,Y,medium,407,STANDARD,south_america,FREQUENT_ACCESS,"{""sku_id"":""B11D-9FCF-1A1B"",""description"":""autoclass standard storage sao paulo"",""original_region"":""southamerica-east1""}",18-06-2024,15:54:00,16:52:00,18-06-2024 16:48,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
66,low,153,Z,high,150,Z,low,68,X,low,491,Y,medium,391,X,low,124,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""27BA-920D-EFFE"",""description"":""coldline storage turin dual-region"",""original_region"":""europe-west12""}",11-04-2024,06:57:00,08:46:00,11-04-2024 08:44,Abortion Travel,Said Alicia Keys,Senator,D,Senator Mazie Hirono (HI),Analyze Senator
