"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5"
11,"X","high",106,"Y","low",80,"X","high",14,"X","medium",25,"Z","low",282,"Y","high",310,"X","medium",188,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""037C-5FCA-AFF5"",""description"":""archive storage osaka/tokyo dual-region"",""original_region"":""asia1""}","21-05-2024","16:12:00","17:38:00","21-05-2024 17:33","Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN","Japanese authorities ordered crypto exchanges on Monday not to process transactions involving crypto assets subject to asset-freeze sanctions against Russia and Belarus over the war in Ukraine.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. You are out of order. I will proceed.",-1.27749101228285,0.0911452053316201,0.99009217601421,-2.11484019316893,-1.16327113545938
12,"Y","low",423,"Z","low",125,"Y","medium",390,"Z","low",214,"Z","medium",348,"X","high",417,"X","high",,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FCE0-B059-75F6"",""description"":""autoclass coldline storage turin dual-region"",""original_region"":""europe-west12""}","29-01-2024","18:35:00","20:58:00","29-01-2024 20:50","Why potassium iodide pills are suddenly in high demand  - CNN","As Russia's assault in Ukraine intensifies, fear of radioactive fallout from accidental or intentional attacks on Ukraine's nuclear plants, or from the use of a nuclear bomb, has triggered surging demand for potassium iodide pills.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We cannot possibly move forward, Mr. Chair- man, with this hearingÑÑ",-0.871816078725464,-0.279759771016254,-1.47060983044452,0.115020635008906,0.438933040885817
13,"X","high",170,"Z","low",343,"Z","low",44,"X","medium",247,"Z","high",459,"Y","high",13,"Y","medium",116,"ARCHIVE","north_america","ARCHIVE","{""sku_id"":""E5D5-663B-A9DC"",""description"":""archive storage south carolina dual-region"",""original_region"":""us-east1""}","15-06-2024","19:08:00","19:55:00","15-06-2024 19:54","Russian internet users are learning to beat Putin's internet crackdown - CNN","A digital Iron Curtain may be descending on Russia, as President Vladimir Putin struggles to control the narrative about his war in Ukraine. The Kremlin has already moved to block Facebook and Twitter, and its latest step in that direction came Friday as the government announced plans to block Instagram in the country, as well. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I extend a very warm welcomeÑÑ",-0.0910391729358525,0.242179716589694,1.84536678667922,-0.608728435370469,-0.183638902977401
14,"Y","high",381,"X","low",220,"Z","low",275,"Z","medium",195,"Z","medium",65,"X","high",391,"Y","medium",482,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""F6E9-7338-D916"",""description"":""autoclass nearline storage montreal dual-region"",""original_region"":""northamerica-northeast1""}","26-04-2024","18:15:00","18:47:00","26-04-2024 18:46","Meta says it doesn't allow calls for assassinating heads of state - CNN","Meta, the parent company of Facebook and Instagram, issued a reminder on Sunday that it prohibits calls on its platforms for the assassination of high-ranking world leaders, following intense scrutiny of the company's decision last week to relax hate speech policies in Ukraine.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We have not been given an opportunityÑÑ",-1.28237807348149,-0.247578617550433,0.517944162767951,-0.538294325006736,2.34803800630192
15,"Y","medium",18,"X","low",391,"X","low",415,"Z","high",266,"Z","medium",31,"Z","high",94,"Y","low",449,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EFEF-E236-E29F"",""description"":""autoclass archive storage zurich"",""original_region"":""europe-west6""}","27-06-2024","12:06:00","14:55:00","27-06-2024 14:48","Citi expands its exit from Russia - CNN","Citigroup, the major US bank with the biggest footprint in Russia, said Monday it will expand its exit from Russia to go beyond the long-planned sale of its consumer bank there.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To Judge KavanaughÑÑ",-0.189075356522545,0.81553051742406,0.326124397728751,-0.608703787027213,0.0139436764210575
16,"Y","low",245,"Z","medium",262,"X","low",229,"X","medium",56,"Z","high",44,"Y","",282,"X","high",341,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E84B-7220-B2AC"",""description"":""autoclass archive storage netherlands dual-region"",""original_region"":""europe-west4""}","02-12-2024","20:26:00","23:15:00","02-12-2024 23:05","Companies pulling back from Russia over the war in Ukraine - CNN","Dozens of the world's biggest companies have abandoned or scaled back their operations in Russia in response to its invasion of Ukraine. ","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. To have a meaningful hearingÑÑ",0.955937359879465,1.18420151297716,-0.438536183215384,0.30960976527689,-0.76543352016308
17,"X","low",475,"X","medium",32,"Z","high",279,"Y","high",133,"X","medium",133,"X","medium",193,"Z","low",277,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E89C-671A-4ABF"",""description"":""autoclass standard storage finland/netherlands dual-region"",""original_region"":""eur4""}","19-12-2024","09:59:00","11:39:00","19-12-2024 11:35","Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN","Big tech platforms have joined the global backlash against Russia over its invasion of Ukraine, with Facebook, Google, Twitter, Spotify, Netflix and others placing at least partial restrictions on Russian content — if not exiting (or getting themselves blocked) altogether. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To his wife, AshleyÑÑ",0.193365903159041,-2.46499368178398,0.38663623994076,0.679577682348107,0.565299566296263
18,"X","medium",96,"Y","medium",332,"Z","high",309,"X","medium",2,"Y","",176,"Z","high",431,"X","low",237,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""C4F8-582D-CDF9"",""description"":""standard storage stockholm"",""original_region"":""europe-north2""}","04-09-2024","12:21:00","14:14:00","04-09-2024 14:06","Britain's cost of living crisis is pushing millions to the brink  - CNN","Nazmin Begum has a problem: she's having to pay much more to keep her two children warm and fed as the United Kingdom endures its worst cost of living crisis in three decades.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. On this nominee.",2.00624607575549,-1.73394694261708,1.66054380565972,-1.1312031342729,-0.961040455951996
19,"Y","low",15,"Z","medium",304,"Z","high",288,"Y","low",480,"X","low",439,"","low",337,"Y","high",341,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""8A46-D6C4-859E"",""description"":""nearline storage south carolina"",""original_region"":""us-east1""}","20-08-2024","21:43:00","22:33:00","20-08-2024 22:24","Starbucks is planning to phase out its iconic cups - CNN","Starbucks has a love-hate relationship with its cups. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Their two daughtersÑÑ",1.25197618310209,0.131482860435298,-0.179114469146893,0.185499525506922,-1.30260132926324
20,"Y","low",144,"Z","low",182,"Y","low",365,"Y","medium",415,"Z","high",260,"Y","high",230,"Y","high",431,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""D4C0-6A6B-742B"",""description"":""autoclass nearline storage melbourne"",""original_region"":""australia-southeast2""}","14-04-2024","14:20:00","15:00:00","14-04-2024 14:55","Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN","China's economy started the year on a bright note, with several major indicators beating forecasts. But as Covid cases in the country spike, keeping up the same pace of growth in the coming months may prove difficult.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, I agree with my colleague, Senator Harris.",-0.945017296917861,0.0742383346075812,-1.32158041263171,-0.0943757702081576,-0.919454028784703
21,"X","medium",31,"Z","medium",395,"Z","medium",429,"Y","",126,"X","high",372,"Y","medium",254,"Y","low",213,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FE3D-5C17-7088"",""description"":""durable reduced availability storage las vegas"",""original_region"":""us-west4""}","06-01-2024","14:43:00","16:53:00","06-01-2024 16:46","Hong Kong Covid divide: Expats get more perks while domestic workers lose their homes - CNN","Maria was just about to start a new job as a domestic worker in Hong Kong last month when she found out she had Covid-19.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And their family and friendsÑÑ",2.46915015274798,-0.747993280739062,1.84370320403808,0.163090287444384,-1.34125791592982
22,"Y","medium",306,"X","high",175,"Y","low",67,"Z","low",18,"Y","high",287,"X","low",353,"X","medium",,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""1A2D-77C9-8F73"",""description"":""archive storage belgium"",""original_region"":""europe-west1""}","22-05-2024","06:00:00","06:31:00","22-05-2024 06:23","Shenzhen lockdown: Foxconn halts operations as Covid hits tech hub - CNN","Foxconn, one of Apple's biggest suppliers, has suspended operations in Shenzhen as China locks down the technology hub and several other regions to contain the country's worst Covid-19 outbreak in two years.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, we received 42,000 documentsÑÑ",0.123402580913621,-0.830828420833473,-1.68244069587506,0.246654770959207,1.30344072400852
23,"Y","high",95,"X","low",57,"Z","low",229,"Y","medium",135,"Y","high",476,"Y","",359,"Y","low",456,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC93-7D27-5888"",""description"":""autoclass coldline storage iowa"",""original_region"":""us-central1""}","15-06-2024","21:11:00","23:39:00","15-06-2024 23:29","US economy flashes a recession warning sign - CNN","Surging oil and gas prices have raised recession alarm bells around the world. But another economic indicator is starting to look ominous: The yield curve is flattening.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Judge KavanaughÕs many law clerksÑÑ",-1.67645004982888,-0.529147696163713,0.0921605275297967,-0.816585235261126,0.812831515059608
24,"Y","high",123,"X","low",60,"X","medium",426,"Z","low",478,"","medium",164,"Z","low",286,"X","high",455,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""37BE-AAB1-0008"",""description"":""nearline storage salt lake city dual-region"",""original_region"":""us-west3""}","25-03-2024","19:38:00","21:50:00","25-03-2024 21:42","Biden's plan to reshape the Fed just hit a hurdle - CNN","President Joe Biden planned to reshape the Federal Reserve through his nominations. But Senator Joe Manchin threw a wrench into those plans Monday.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR [continuing]. That we have not been able to review last night.",-2.02011175559997,0.790729872125987,-0.0496129244684443,-0.843008622382911,0.36891280147005
25,"Z","low",293,"Z","medium",450,"X","medium",190,"Z","",405,"X","medium",334,"Z","high",363,"Z","medium",114,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F022-AD5D-C7E1"",""description"":""autoclass standard storage asia multi-region"",""original_region"":""asia""}","17-10-2024","17:26:00","20:32:00","17-10-2024 20:24","Shell's directors face legal action from climate group shareholder - CNN","The lawyers from ClientEarth, which is a Shell shareholder, said they are seeking to hold the oil and gas company's 13 directors liable for what they call a failure to prepare for the global shift to a low-carbon economy.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And everyone else joining us today.",0.943532846933377,1.41768741688005,0.606203052700177,1.92128451543015,-0.814674608275207
26,"Z","low",162,"X","low",188,"X","high",244,"Y","medium",,"Z","",136,"Z","high",394,"Z","low",119,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E7A9-508A-0C4F"",""description"":""autoclass archive storage taiwan dual-region"",""original_region"":""asia-east1""}","02-03-2024","07:31:00","11:18:00","02-03-2024 11:12","Gravity could solve renewable energy's biggest problem - CNN","Energy Vault's gravity-based technology can store wind and solar power longer than batteries. ","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. And we believe this hearing should be postponed.",-1.68414661546468,0.227267283050724,-0.294548845119177,1.16227614014751,-0.53639622676724
27,"X","low",325,"Y","medium",207,"X","low",371,"X","",461,"Y","medium",116,"X","low",15,"Z","low",102,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""FCAE-1D35-0D35"",""description"":""durable reduced availability storage sydney"",""original_region"":""australia-southeast1""}","24-06-2024","11:49:00","13:46:00","24-06-2024 13:38","Ford will start shipping Explorers without all the parts -- and add them later - CNN","The auto industry has a saying: You can't build a car with 99% of the parts. But the computer chip shortage is proving that adage wrong.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I know this is an exciting day for all of you hereÑÑ",0.617301359663087,-0.541177337641744,0.540486140537569,-0.837762515527142,-1.21147416731887
28,"Z","low",465,"Z","high",152,"X","high",467,"X","high",88,"Z","high",490,"Z","high",183,"Z","low",13,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""DAFD-61D2-339F"",""description"":""standard storage day0 (alabama)"",""original_region"":""us-east7""}","26-02-2024","18:32:00","19:44:00","26-02-2024 19:35","Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN","Ben Morris bought his Tesla in 2020 believing that it would drive itself one day. Now he says he would settle for continuing to feel safe using its cruise control. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman.",0.502624598631195,1.00790618989927,-1.64562848198355,1.66803279094205,0.344883989446283
29,"X","medium",465,"Y","low",368,"X","low",125,"Y","high",268,"Y","medium",12,"X","low",,"Z","low",347,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-west1""}","07-05-2024","12:02:00","14:34:00","07-05-2024 14:26","NASA says American aboard International Space Station will come back on Russian rocket 'for sure' - CNN","NASA said Monday that NASA astronaut Mark Vande Hei will return from the ISS later this month aboard a Russian Soyuz spacecraft as previously planned. The space agency sought to reaffirm Monday that it's still working closely with Russian space agency Rocosmos on the International Space Station, despite mounting geopolitical tensions.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And you are rightly proud of JudgeÑÑ",0.749911745036902,-0.322036290105238,1.25331298943895,-1.5174053645336,0.774257902962568
30,"Y","high",364,"Z","low",302,"X","high",477,"Y","medium",396,"Y","high",136,"X","high",160,"X","low",214,"NEARLINE","south_america","OCCASIONAL_ACCESS","{""sku_id"":""0906-3C38-5507"",""description"":""nearline storage sao paulo"",""original_region"":""southamerica-east1""}","22-12-2024","19:44:00","21:15:00","22-12-2024 21:08","Pete Davidson and five paying customers to fly on Jeff Bezos' suborbital rocket - CNN","Pete Davidson will become the latest celebrity to fly to space with Jeff Bezos' rocket company, Blue Origin, in a brief, suborbital flight slated for later this month.","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, if we cannot be recognized, I move to adjourn.",-0.510070188387726,2.07467559349497,0.447286054235164,-0.645946756284424,1.08057877214982
31,"Z","high",484,"Y","medium",449,"Y","low",354,"Y","high",9,"X","medium",193,"","high",412,"Z","medium",15,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EB7B-0E58-1CD1"",""description"":""autoclass standard storage madrid"",""original_region"":""europe-southwest1""}","01-09-2024","07:49:00","08:29:00","01-09-2024 08:28","India's young investors prefer crypto to gold and 'boring' stocks - CNN","India has seen a massive boom in cryptocurrency trading since the start of the pandemic, even though authorities in Asia's third largest economy have for years expressed concerns about digital currencies, and even flirted with a ban. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. The American peopleÑÑ",-0.379122963952717,-0.0155042128503879,1.39540349420146,0.674592923046807,0.957765538316102
32,"Z","high",368,"Y","low",447,"Y","low",15,"Z","medium",217,"X","medium",68,"Y","medium",274,"Y","high",102,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""D970-F476-8D81"",""description"":""durable reduced availability storage frankfurt/london dual-region"",""original_region"":""eur7""}","04-06-2024","09:53:00","13:35:00","04-06-2024 13:27","India budget 2022: Digital rupee and crypto tax announced - CNN","India is planning to launch a digital version of the rupee, becoming the latest country to join the rush to create state-backed virtual currencies. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.]",-1.59664645264306,0.282780783304205,1.03866188739761,-0.065069056184502,0.829207445848678
33,"X","medium",33,"Z","low",494,"X","medium",430,"Z","high",177,"Y","low",385,"X","medium",135,"X","high",266,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""EFF5-EB22-3D38"",""description"":""archive storage turin"",""original_region"":""europe-west12""}","21-03-2024","07:01:00","09:39:00","21-03-2024 09:36","Adar Poonawalla: He vaccinates half the world's babies. Ending the pandemic proved much harder - CNN","As Covid-19 wreaked havoc around the world last year, the 39-year-old son of an Indian billionaire was laying the groundwork for a plan he hoped would eventually end the pandemic.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Will hear directly from Judge Kavanaugh later this afternoon.",1.09926755857691,1.09470865494228,1.60121011332541,-0.501997243772319,-1.40052002594185
34,"X","medium",477,"Y","low",420,"Y","low",192,"Y","high",88,"X","high",179,"","high",175,"Z","medium",417,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""154C-10C0-5E59"",""description"":""nearline storage columbus"",""original_region"":""us-east5""}","24-01-2024","17:07:00","19:15:00","24-01-2024 19:06","India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN","More than two decades ago, India began its transformation into a global IT powerhouse, ushering in an era of wealth and job creation never before seen in the country. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.] Senator BLUMENTHAL. Mr. Chairman, we have been deniedÑwe have been denied real access to the documents we need to advise and consentÑÑ",0.252113034335756,-1.34991060280573,1.06667518153783,-1.14679358060456,0.817594538264971
35,"X","high",283,"X","low",291,"Z","low",141,"Z","low",111,"","high",229,"X","high",,"Z","high",331,"COLDLINE","north_america","RARE_ACCESS","{""sku_id"":""D265-FB5C-710A"",""description"":""coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}","18-11-2024","18:21:00","18:42:00","18-11-2024 18:37","India IPOs: 2021 was a dramatic year for tech. The hype won't go away in 2022 - CNN","It was a year of IPOs for India, with over $15 billion raised. It saw unicorns approach public markets for the first time, with IPOs from Zomato & Nykaa. It also saw one of the biggest debut day flops in history, with Paytm receiving a big thumbs down on listing day.","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. Mr. Chairman, regular order is called for.",-1.13025016178853,-0.727462825795467,1.84477263312855,-0.464710875546909,0.99733809578673
36,"X","low",2,"Y","high",173,"Y","medium",263,"Y","high",484,"X","",151,"Y","",62,"X","medium",266,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""0CE5-412C-060A"",""description"":""archive storage doha"",""original_region"":""me-central1""}","28-06-2024","17:54:00","21:49:00","28-06-2024 21:45","Key supply of diamonds caught up in Russia sanctions - CNN","Far-reaching global sanctions against Russia for its invasion of Ukraine are affecting the global supply of a precious commodity --  the diamonds used in jewelry. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL [continuing]. Which turns this hearing into a charade and a mockery of our norms.",-0.298217702507113,-1.0200029570262,-1.34388842937999,-1.06975789111071,-2.40715659789128
37,"X","low",310,"Z","high",352,"X","low",288,"X","high",255,"X","low",445,"Z","low",154,"Z","low",93,"COLDLINE","asia","RARE_ACCESS","{""sku_id"":""0D26-8387-B0F6"",""description"":""coldline storage jakarta"",""original_region"":""asia-southeast2""}","16-08-2024","20:42:00","20:57:00","16-08-2024 20:51","Ukraine halts half of world's neon output for chips, clouding outlook - CNN","Ukraine's two leading suppliers of neon, which produce about half the world's supply of the key ingredient for making chips, have halted their operations as Moscow has sharpened its attack on the country, threatening to raise prices and aggravate the semiconductor shortage.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. WellÑÑ",1.11887676378691,1.22319890096772,-0.535279057503601,0.213766711155814,-0.797234856051024
