id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
21,239865,26,,S,50,,low,72,C,unknown,86,B,,72,Y,medium,253,Y,low,213,X,medium,31
22,248698,13,D56,S,37,D,high,89,C,unknown,59,B,,96,Z,medium,388,Z,,436,Y,medium,306
23,330923,8.0292,,Q,,B,,,B,unknown,,C,,57,Z,high,5,Y,medium,144,Y,high,95
24,113788,35.5,A6,S,92,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,180,Y,high,123
25,349909,21.075,,S,78,,,19,C,medium,69,,,,Z,low,92,X,,412,Z,low,293
26,347077,31.3875,,S,64,A,high,41,,low,,D,low,,Z,high,458,Z,high,262,Z,low,162
27,2631,7.225,,C,,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,338,X,low,325
28,19950,263,C23 C25 C27,S,,,low,42,D,high,56,A,high,,Z,low,466,Y,low,160,Z,low,465
29,330959,7.8792,,Q,,,high,,B,medium,80,D,,,Y,medium,325,Y,high,307,X,medium,465
30,349216,7.8958,,S,44,A,high,73,C,medium,31,A,unknown,31,Z,,452,,high,243,Y,high,364
31,PC 17601,27.7208,,C,45,D,,,A,,45,,unknown,5,,medium,429,X,low,465,Z,high,484
32,PC 17569,146.5208,B78,C,22,,,25,,,,D,high,,,medium,319,X,low,246,Z,high,368
33,335677,7.75,,Q,9,B,medium,,D,high,70,A,,12,Y,high,445,Z,high,44,X,medium,33
34,C.A. 24579,10.5,,S,55,C,high,,,high,86,A,high,8,Y,medium,171,X,high,368,X,medium,477
35,PC 17604,82.1708,,C,88,B,,65,D,high,,,medium,70,Y,high,417,X,high,476,X,high,283
36,113789,52,,S,,C,,69,,unknown,,,high,43,X,medium,462,Z,,,X,low,2
37,2677,7.2292,,C,85,D,medium,66,B,low,4,D,low,,Z,medium,,X,low,50,X,,310
38,A./5. 2152,8.05,,S,82,A,,60,D,medium,,C,unknown,,,low,61,Y,,499,,medium,122
39,345764,18,,S,,A,,,B,high,94,C,unknown,,X,low,107,X,medium,173,X,medium,267
40,2651,11.2417,,C,63,D,unknown,,,,8,D,medium,61,Y,medium,,Z,high,416,Y,medium,328
41,7546,9.475,,S,16,C,low,90,A,unknown,,,medium,53,X,low,266,X,high,315,Z,,13
42,11668,21,,S,,C,unknown,38,B,,83,,medium,58,Y,high,216,Y,low,,Y,low,219
43,349253,7.8958,,C,70,B,medium,51,B,low,,D,,70,Y,low,413,Y,low,170,X,high,27
44,SC/Paris 2123,41.5792,,C,35,,,18,,medium,17,,,38,X,low,141,Z,low,303,Y,high,
45,330958,7.8792,,Q,6,C,low,35,A,medium,2,A,medium,,Z,high,82,X,low,341,Y,high,105
46,S.C./A.4. 23567,8.05,,S,97,C,low,,D,unknown,,A,high,,Z,low,307,Y,,77,Z,high,390
47,370371,15.5,,Q,44,A,unknown,64,A,medium,59,B,,14,Z,low,69,,low,387,,medium,206
48,14311,7.75,,Q,89,C,,21,,,84,A,medium,21,Y,low,452,X,high,71,X,low,23
49,2662,21.6792,,C,67,C,,54,C,,88,,low,8,Y,high,40,X,medium,414,Z,low,373
50,349237,17.8,,S,77,A,,,A,medium,45,,high,,Z,high,245,Z,low,63,,high,271
51,3101295,39.6875,,S,75,B,unknown,12,,high,42,B,,43,Z,low,474,Y,,89,X,low,70
52,A/4. 39886,7.8,,S,19,,medium,6,D,high,93,B,unknown,,Z,medium,276,Y,medium,,Y,medium,281
53,PC 17572,76.7292,D33,C,36,,unknown,,D,,,,low,92,X,medium,404,,low,91,X,low,124
54,2926,26,,S,46,,unknown,65,A,medium,20,,,,Z,high,211,,low,38,Y,low,317
55,113509,61.9792,B30,C,49,,unknown,31,C,low,,,medium,55,Y,medium,377,Z,medium,26,X,low,473
56,19947,35.5,C52,S,4,C,high,82,,low,71,B,high,,Z,medium,353,Z,low,143,X,low,
57,C.A. 31026,10.5,,S,54,B,,84,,,23,D,low,,Z,medium,256,Y,medium,245,Y,low,372
58,2697,7.2292,,C,15,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,22,X,medium,11
59,C.A. 34651,27.75,,S,74,,low,,C,,29,B,,90,X,medium,485,Y,low,68,X,high,203
60,CA 2144,46.9,,S,68,D,,,C,unknown,,,,96,X,medium,,X,low,305,Y,low,444
61,2669,7.2292,,C,92,,high,82,,,49,C,,38,Y,high,178,Z,,159,Y,high,37
62,113572,80,B28,,74,B,unknown,89,,low,69,,,48,Z,medium,320,X,medium,,Z,medium,464
63,36973,83.475,C83,S,36,,,,,high,90,D,unknown,,X,high,384,Z,low,420,X,high,46
64,347088,27.9,,S,,C,high,51,C,,39,,,5,X,medium,267,Y,low,15,Y,medium,240
65,PC 17605,27.7208,,C,,A,,,A,high,,D,medium,11,Y,high,200,Y,low,474,X,high,90
66,2661,15.2458,,C,32,B,,,A,medium,75,,,4,Y,high,203,,high,341,X,high,10
67,C.A. 29395,10.5,F33,S,,B,,13,C,unknown,,A,,73,X,low,487,X,high,411,X,high,
68,S.P. 3464,8.1583,,S,,A,unknown,67,,high,,,,22,Y,medium,166,,medium,239,Z,medium,290
69,3101281,7.925,,S,7,,medium,92,A,,75,A,low,,Z,high,427,Z,medium,0,Z,high,361
70,315151,8.6625,,S,,C,,75,,medium,70,,high,37,X,medium,25,X,low,442,Y,high,157
71,C.A. 33111,10.5,,S,79,D,,48,D,unknown,,C,low,79,,high,329,X,low,284,Y,low,246
72,CA 2144,46.9,,S,18,A,,52,C,high,,B,,11,X,medium,340,X,high,18,Z,high,91
73,S.O.C. 14879,73.5,,S,,B,,25,D,high,1,,medium,32,X,,337,Z,low,,Y,low,364
74,2680,14.4542,,C,12,A,high,,D,medium,,,unknown,,Y,medium,210,Y,high,103,Y,medium,
75,1601,56.4958,,S,68,,unknown,24,D,,,C,low,,X,medium,345,X,low,187,Y,low,430
76,348123,7.65,F G73,S,47,,unknown,34,A,unknown,,A,,56,Y,low,222,,low,221,Y,high,89
77,349208,7.8958,,S,,,low,26,,medium,,A,,16,X,low,296,X,high,213,Y,high,332
78,374746,8.05,,S,22,,low,33,,low,30,,,66,Z,low,446,Z,high,434,Y,high,165
79,248738,29,,S,,A,,36,A,medium,89,C,high,96,Y,high,336,Z,,471,X,low,
80,364516,12.475,,S,66,C,,8,,,70,,low,4,X,medium,368,Y,low,339,Z,low,140
81,345767,9,,S,94,C,unknown,,,,56,,medium,8,X,medium,484,Z,medium,316,Z,medium,474
82,345779,9.5,,S,43,D,low,44,,low,88,B,high,95,Y,medium,109,X,low,,Y,low,418
83,330932,7.7875,,Q,16,D,low,94,,low,9,C,unknown,,Y,medium,293,Y,low,133,Z,medium,233
84,113059,47.1,,S,83,D,unknown,,A,medium,64,,unknown,91,,high,328,,medium,279,X,low,247
85,SO/C 14885,10.5,,S,62,C,unknown,66,B,medium,15,D,,70,X,medium,,Z,low,321,Y,,176
86,3101278,15.85,,S,70,,low,,,low,23,A,medium,,Y,medium,66,Y,low,,Z,medium,213
87,W./C. 6608,34.375,,S,9,B,medium,,B,medium,18,D,,,Y,medium,380,Z,medium,,Z,medium,232
88,SOTON/OQ 392086,8.05,,S,31,A,,49,,,54,,,51,X,medium,97,Y,high,,Z,high,72
89,19950,263,C23 C25 C27,S,,B,,44,A,low,62,C,,36,Y,medium,204,,low,29,Z,high,161
90,343275,8.05,,S,,B,,65,,medium,75,A,medium,83,X,low,357,Z,medium,161,Y,low,437
91,343276,8.05,,S,43,A,,,B,,,C,unknown,4,Z,high,131,Z,high,407,,medium,489
92,347466,7.8542,,S,,A,low,31,B,,93,,medium,,Z,medium,62,,high,,Y,high,27
93,W.E.P. 5734,61.175,E31,S,,C,medium,,D,,37,C,,55,X,medium,337,Y,medium,108,,high,366
94,C.A. 2315,20.575,,S,38,B,high,18,,,,B,high,97,X,medium,140,Y,low,436,Z,medium,119
95,364500,7.25,,S,89,,high,,,high,3,C,,99,X,medium,413,X,high,76,Y,low,326
96,374910,8.05,,S,28,B,,,,,12,C,medium,59,Z,high,449,Y,low,79,X,medium,310
97,PC 17754,34.6542,A5,C,23,D,unknown,95,A,unknown,,B,high,42,Z,low,174,Z,,449,Z,high,439
98,PC 17759,63.3583,D10 D12,C,68,C,unknown,,,,41,D,unknown,27,X,low,369,Z,medium,,X,low,351
99,231919,23,,S,,A,,39,C,,,C,unknown,99,Y,high,,Y,low,0,Y,,411
100,244367,26,,S,13,A,,,B,unknown,12,,unknown,,X,high,464,Y,low,216,X,medium,400
101,349245,7.8958,,S,83,C,high,80,B,,26,,high,12,Z,medium,122,Z,low,370,X,low,323
102,349215,7.8958,,S,,C,,48,B,low,98,D,,50,X,medium,440,X,high,378,X,medium,205
103,35281,77.2875,D26,S,80,B,medium,96,,unknown,2,B,high,39,X,medium,393,X,high,43,X,,168
104,7540,8.6542,,S,0,C,low,,B,,42,C,,49,Z,high,156,,high,140,X,medium,173
105,3101276,7.925,,S,79,,medium,70,,,19,A,unknown,,,medium,412,X,low,308,X,high,179
106,349207,7.8958,,S,,,,75,C,high,53,B,unknown,26,Y,high,316,Z,high,330,Z,medium,144
107,343120,7.65,,S,,A,unknown,,A,unknown,97,C,unknown,,Z,medium,334,X,medium,310,Z,high,155
108,312991,7.775,,S,66,B,unknown,,,low,22,D,high,,X,medium,189,X,high,168,X,medium,284
109,349249,7.8958,,S,,,,58,C,low,37,C,,32,X,high,117,Y,medium,431,Y,high,135
110,371110,24.15,,Q,,D,low,,,unknown,44,,medium,0,Y,,348,Y,low,39,,low,174
111,110465,52,C110,S,,D,low,11,,high,79,B,,67,Y,low,26,Z,low,411,Z,medium,354
112,2665,14.4542,,C,78,,medium,13,A,low,,C,unknown,85,,low,174,Z,low,469,Z,low,164
113,324669,8.05,,S,55,A,,,C,unknown,,,unknown,,Z,high,70,Y,high,342,Y,low,53
114,4136,9.825,,S,45,,unknown,65,B,,48,A,medium,16,Z,medium,0,X,medium,214,X,,8
115,2627,14.4583,,C,,A,,28,C,medium,,A,,76,X,low,3,X,high,190,,low,382
116,STON/O 2. 3101294,7.925,,S,,,,73,A,medium,0,C,,14,Z,high,46,Z,,,Z,low,474
117,370369,7.75,,Q,3,,,69,,high,80,D,low,62,X,high,469,Y,low,,X,high,341
118,11668,21,,S,13,,medium,,,low,24,,,70,Y,medium,385,Z,low,111,Y,medium,30
119,PC 17558,247.5208,B58 B60,C,24,A,,91,B,medium,,D,,15,Y,medium,494,Y,,317,Y,high,281
120,347082,31.275,,S,11,,high,88,,,97,,medium,11,Y,high,42,Z,low,,Z,high,135
121,S.O.C. 14879,73.5,,S,43,C,low,,C,low,63,C,unknown,7,X,low,498,Y,high,248,Z,high,
122,A4. 54510,8.05,,S,,,medium,76,,unknown,,D,,70,Y,low,299,Z,medium,237,Y,medium,460
123,237736,30.0708,,C,65,D,high,,,low,60,,high,61,X,medium,397,Y,medium,38,Y,high,412
124,27267,13,E101,S,47,D,medium,40,A,unknown,21,,low,11,Z,medium,428,X,low,,Y,medium,367
125,35281,77.2875,D26,S,85,C,,,D,low,69,C,unknown,50,X,low,131,X,medium,477,Z,,250
126,2651,11.2417,,C,56,,,60,A,medium,61,C,,79,Y,low,370,X,medium,122,X,high,289
127,370372,7.75,,Q,7,B,unknown,41,C,low,,,,23,X,high,323,Y,low,157,Z,low,457
128,C 17369,7.1417,,S,76,D,low,99,,,7,B,,60,X,medium,206,Z,low,315,Z,low,330
129,2668,22.3583,F E69,C,57,,low,17,D,high,64,D,high,29,Y,high,245,Y,medium,1,X,low,289
130,347061,6.975,,S,63,,high,9,,low,,,unknown,,Z,medium,104,Z,,51,X,high,48
131,349241,7.8958,,C,56,A,medium,2,A,high,77,A,,,Y,medium,92,X,high,450,Y,medium,
132,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81,D,,12,B,,35,Z,medium,461,Y,medium,86,Z,low,404
133,A/5. 3337,14.5,,S,9,,low,40,C,medium,53,,high,49,Z,medium,365,,low,288,Y,high,182
134,228414,26,,S,55,,,43,,low,81,B,unknown,20,Y,high,283,X,high,441,X,low,125
135,C.A. 29178,13,,S,79,B,unknown,64,C,high,89,,medium,39,Z,high,347,Y,medium,366,Y,low,483
136,SC/PARIS 2133,15.0458,,C,30,D,,,A,,93,,,62,Y,high,202,Y,high,135,Y,medium,478
137,11752,26.2833,D47,S,,A,medium,57,C,low,,,,38,Y,high,124,Y,low,76,Z,high,210
138,113803,53.1,C123,S,3,C,,5,,,,B,low,,Z,low,471,Y,low,358,,high,115
139,7534,9.2167,,S,34,B,high,,B,medium,57,C,,,Y,medium,494,X,low,202,X,high,398
140,PC 17593,79.2,B86,C,43,A,low,,,low,46,D,,13,Z,high,107,Z,high,483,,high,312
141,2678,15.2458,,C,,D,,45,B,unknown,23,,medium,,X,medium,400,X,low,322,X,low,450
142,347081,7.75,,S,21,A,,16,,high,,C,low,46,Y,medium,221,Z,high,5,X,medium,272
143,STON/O2. 3101279,15.85,,S,,,unknown,,,unknown,14,A,,60,Y,low,353,Z,high,125,,high,275
144,365222,6.75,,Q,,,,33,D,medium,,A,unknown,73,X,low,54,X,medium,372,X,high,
145,231945,11.5,,S,99,D,medium,27,,,,,low,,Z,high,239,X,high,350,X,medium,301
146,C.A. 33112,36.75,,S,85,A,unknown,29,A,,,A,,97,X,low,62,Y,high,370,Z,low,181
147,350043,7.7958,,S,3,,,72,A,low,10,,low,42,X,medium,407,Z,high,116,Y,high,102
148,W./C. 6608,34.375,,S,23,C,,10,B,medium,26,B,,88,X,medium,199,Y,high,124,Z,medium,390
149,230080,26,F2,S,,D,unknown,30,D,unknown,,D,high,41,Z,high,131,Y,medium,104,Y,medium,172
150,244310,13,,S,,A,low,46,B,medium,,,low,40,X,high,349,Z,low,347,X,high,106
151,S.O.P. 1166,12.525,,S,85,D,,54,,unknown,44,B,high,60,X,medium,477,Y,low,5,Z,medium,480
152,113776,66.6,C2,S,28,C,medium,88,B,medium,4,C,,19,Z,low,169,Z,medium,407,Y,medium,481
153,A.5. 11206,8.05,,S,91,D,unknown,,,medium,1,A,high,60,X,,358,Z,medium,140,Z,low,247
154,A/5. 851,14.5,,S,29,,low,,,,,D,unknown,,X,high,344,X,medium,244,X,low,147
155,Fa 265302,7.3125,,S,43,D,unknown,53,,,44,C,,,X,medium,244,Y,low,123,Z,medium,80
156,PC 17597,61.3792,,C,66,C,low,2,A,,7,C,unknown,7,Y,medium,402,X,medium,212,Z,high,313
157,35851,7.7333,,Q,12,,low,61,D,low,83,,low,69,X,high,63,,medium,382,,high,305
158,SOTON/OQ 392090,8.05,,S,55,,high,15,D,medium,,D,low,3,Z,medium,438,X,high,99,Z,medium,309
159,315037,8.6625,,S,50,,high,7,A,high,34,D,medium,10,X,,202,X,high,284,Z,high,
160,CA. 2343,69.55,,S,78,B,unknown,67,C,,45,A,medium,28,Y,medium,22,X,medium,28,Z,low,235
161,371362,16.1,,S,99,C,,,D,unknown,,C,low,,X,high,,Z,high,88,X,,341
162,C.A. 33595,15.75,,S,,,low,,,,93,,medium,0,X,medium,386,Y,low,342,Z,medium,327
163,347068,7.775,,S,40,C,,10,B,high,78,B,unknown,,X,,408,Y,high,284,Z,low,397
164,315093,8.6625,,S,40,D,,74,D,,19,,high,78,Z,medium,73,,high,305,Y,low,371
165,3101295,39.6875,,S,41,,,76,C,medium,73,,high,45,Z,high,375,Z,low,112,Y,high,17
166,363291,20.525,,S,81,A,,,,,17,B,low,19,X,high,349,Y,,103,X,medium,309
167,113505,55,E33,S,32,,unknown,83,A,high,45,C,low,42,X,high,451,Y,medium,,Y,low,487
168,347088,27.9,,S,16,B,unknown,43,C,low,,,medium,69,Z,high,185,Y,low,64,Z,high,279
169,PC 17318,25.925,,S,,C,high,18,,unknown,3,A,,73,Y,high,463,Y,medium,,Z,low,264
170,1601,56.4958,,S,2,,,,,,,A,unknown,,X,medium,353,,high,133,X,medium,303
171,111240,33.5,B19,S,10,B,high,21,A,medium,22,,,16,X,medium,,X,high,359,X,high,279
172,382652,29.125,,Q,9,B,high,20,B,medium,,A,,95,Y,medium,106,X,,78,X,low,200
173,347742,11.1333,,S,,B,high,32,D,unknown,49,D,medium,,Y,high,451,X,medium,325,Y,high,496
174,STON/O 2. 3101280,7.925,,S,,D,high,,,medium,2,C,high,98,Y,medium,322,Y,medium,101,X,,35
175,17764,30.6958,A7,C,69,B,medium,,B,medium,,,low,,X,low,59,Z,high,140,Z,high,407
176,350404,7.8542,,S,46,,high,,,low,,B,,11,Y,low,62,Y,medium,206,Z,high,79
177,4133,25.4667,,S,71,B,unknown,62,B,medium,95,B,,,X,,413,X,medium,,X,high,103
178,PC 17595,28.7125,C49,C,16,A,unknown,33,C,low,,,,32,Y,medium,84,Y,high,62,Z,low,303
179,250653,13,,S,90,B,high,,B,,19,,unknown,,X,high,109,Z,medium,376,Z,low,318
180,LINE,0,,S,50,A,low,51,,unknown,60,,,71,X,high,307,Y,low,172,Z,low,463
181,CA. 2343,69.55,,S,93,A,,,C,,36,,high,,Z,high,431,X,low,283,Z,low,147
182,SC/PARIS 2131,15.05,,C,,,medium,43,D,unknown,60,A,,58,Y,high,168,X,,323,Y,,12
183,347077,31.3875,,S,49,A,low,29,B,unknown,,C,unknown,,Y,low,332,Y,medium,311,Z,low,127
184,230136,39,F4,S,69,,,,,,29,C,low,61,X,high,351,Z,medium,313,X,medium,272
185,315153,22.025,,S,49,D,high,,A,high,65,C,unknown,39,X,high,300,X,low,487,Z,medium,178
186,113767,50,A32,S,44,C,unknown,,D,high,26,B,unknown,,Z,high,342,Z,high,315,Y,medium,126
187,370365,15.5,,Q,,B,,,,medium,90,A,,71,Z,,,Z,low,174,Z,medium,457
188,111428,26.55,,S,38,A,,47,A,,94,B,unknown,29,Y,low,310,X,low,,Z,low,280
189,364849,15.5,,Q,,D,,,A,medium,,B,high,19,X,high,1,,high,400,Y,low,336
190,349247,7.8958,,S,,D,high,,A,low,72,,,70,Y,low,365,X,low,210,X,high,374
191,234604,13,,S,68,C,,90,B,high,,D,low,,X,high,396,Y,high,,X,medium,204
192,28424,13,,S,63,A,unknown,67,D,low,,B,low,44,X,high,396,X,high,407,Z,medium,367
193,350046,7.8542,,S,60,,unknown,,A,,73,,low,,X,high,14,Z,high,117,Z,medium,481
194,230080,26,F2,S,36,,unknown,96,D,,93,C,low,18,Y,medium,455,X,high,111,Y,,362
195,PC 17610,27.7208,B4,C,95,A,medium,71,,high,22,D,unknown,81,Y,high,217,Y,medium,26,Z,high,148
196,PC 17569,146.5208,B80,C,8,D,,5,C,medium,,B,low,98,Y,high,40,Z,medium,,Z,medium,389
197,368703,7.75,,Q,,A,,72,B,medium,,,,,Z,high,267,X,medium,308,Y,,
198,4579,8.4042,,S,,,unknown,,D,low,33,A,,14,X,medium,285,X,medium,251,Z,high,36
199,370370,7.75,,Q,33,D,,,,medium,23,C,,,X,medium,201,Z,high,148,Z,low,222
200,248747,13,,S,96,D,,48,B,high,,A,unknown,86,Z,high,374,X,medium,105,Y,high,
201,345770,9.5,,S,,A,low,51,A,,33,A,unknown,8,X,low,271,,medium,347,X,medium,234
202,CA. 2343,69.55,,S,90,,,31,D,medium,72,,,,X,low,108,X,high,42,Z,low,130
203,3101264,6.4958,,S,49,C,low,,B,,37,,unknown,,Z,medium,310,X,low,350,Y,high,136
204,2628,7.225,,C,,C,unknown,61,B,high,37,A,,3,,medium,131,Y,medium,452,Y,high,460
205,A/5 3540,8.05,,S,45,,high,,C,high,94,,low,,,high,59,Y,high,227,Z,low,145
206,347054,10.4625,G6,S,26,D,medium,89,C,low,,D,,7,Z,high,133,Y,high,247,Z,high,391
207,3101278,15.85,,S,76,D,high,77,C,high,92,C,medium,17,Y,low,452,Z,low,,X,low,
208,2699,18.7875,,C,,,high,60,B,low,71,,high,48,X,,286,X,low,47,Z,,53
209,367231,7.75,,Q,26,,high,,A,medium,,D,unknown,,Z,high,158,Y,low,313,X,high,31
210,112277,31,A31,C,77,C,high,33,,high,,B,,,X,medium,183,,high,182,Y,high,121
211,SOTON/O.Q. 3101311,7.05,,S,26,A,,76,A,,93,D,low,,Z,low,429,Z,low,234,Z,high,420
212,F.C.C. 13528,21,,S,,,medium,31,,high,94,,medium,20,Y,medium,333,Y,low,11,X,medium,227
213,A/5 21174,7.25,,S,78,A,,26,,unknown,4,,,87,Z,high,386,Z,medium,438,X,low,347
214,250646,13,,S,44,D,,86,C,,35,A,unknown,,Z,medium,305,X,high,166,Z,medium,481
215,367229,7.75,,Q,,,,,D,unknown,41,,,,Z,medium,496,Y,low,37,Y,medium,24
216,35273,113.275,D36,C,27,A,low,,A,,,A,,72,X,medium,328,X,low,,Z,low,54
217,STON/O2. 3101283,7.925,,S,,A,unknown,86,D,medium,77,A,low,48,Z,high,200,X,low,489,Y,medium,460
218,243847,27,,S,,A,low,,D,unknown,69,,,41,X,medium,126,Z,low,259,,low,283
219,11813,76.2917,D15,C,44,C,low,,C,medium,21,D,unknown,75,X,high,23,Z,low,16,Y,,308
220,W/C 14208,10.5,,S,90,B,,52,C,low,,,low,,Y,high,383,X,low,495,Z,low,170
221,SOTON/OQ 392089,8.05,,S,12,D,low,,,,,,,82,X,medium,466,Y,medium,104,Y,low,413
222,220367,13,,S,45,B,medium,,A,,44,D,,68,Y,medium,332,Z,low,,,low,323
223,21440,8.05,,S,,,medium,,,,,A,low,76,X,high,243,X,medium,354,Y,high,128
224,349234,7.8958,,S,20,C,,,,,,,low,42,Y,low,65,Z,medium,165,Y,high,324
225,19943,90,C93,S,,C,,79,,high,92,,medium,38,Y,low,321,X,medium,42,Y,medium,1
226,PP 4348,9.35,,S,30,,high,59,A,low,90,D,high,57,Y,low,,Y,medium,341,Y,medium,120
227,SW/PP 751,10.5,,S,80,,low,,A,high,1,,high,64,,,311,Z,medium,131,Z,low,101
228,A/5 21173,7.25,,S,57,C,high,40,A,high,,C,high,92,Z,high,150,Z,high,430,X,high,392
229,236171,13,,S,54,,high,38,C,unknown,,A,,85,X,high,432,X,low,76,Y,high,367
230,4133,25.4667,,S,17,,high,42,C,,82,C,medium,5,Z,low,468,X,medium,453,,high,45
231,36973,83.475,C83,S,46,,high,99,,,80,C,medium,15,Y,low,117,X,medium,361,Z,medium,453
232,347067,7.775,,S,85,C,,,A,low,,D,medium,94,Y,low,163,Y,medium,119,Y,low,
233,237442,13.5,,S,,D,,15,A,high,6,,,,Y,low,,X,low,289,Y,,217
234,347077,31.3875,,S,75,C,,4,A,unknown,,A,low,,X,,9,Z,low,469,X,medium,105
235,C.A. 29566,10.5,,S,,,high,51,,low,,A,,5,Z,medium,258,X,high,32,Y,,210
236,W./C. 6609,7.55,,S,,,unknown,80,,medium,,D,unknown,,X,high,70,Y,high,409,X,low,294
237,26707,26,,S,,B,high,,B,,8,A,,40,Z,low,216,Z,medium,230,X,low,315
238,C.A. 31921,26.25,,S,43,A,low,56,,,,D,,,X,high,16,Y,low,474,Z,high,173
239,28665,10.5,,S,30,A,medium,79,B,,43,B,medium,77,Z,high,70,Y,medium,104,Y,low,50
240,SCO/W 1585,12.275,,S,62,,high,51,D,medium,76,,high,89,Y,low,201,X,low,359,Z,high,304
241,2665,14.4542,,C,14,,low,90,,medium,31,D,high,,Y,low,,Z,low,483,X,high,352
242,367230,15.5,,Q,58,,unknown,63,,unknown,,C,,,Z,medium,398,,low,171,Z,low,133
243,W./C. 14263,10.5,,S,9,B,unknown,73,B,,,C,low,54,X,high,289,Z,low,53,Y,medium,319
244,STON/O 2. 3101275,7.125,,S,64,C,unknown,78,A,low,,D,,54,Y,high,225,X,low,196,X,low,284
245,2694,7.225,,C,,D,low,62,D,unknown,29,D,high,3,Z,high,236,Y,low,299,Y,high,250
246,19928,90,C78,Q,8,D,high,5,,medium,25,C,low,,X,low,419,Z,medium,315,Z,medium,4
247,347071,7.775,,S,,B,high,42,,unknown,,B,high,,X,high,422,Z,high,240,Z,low,153
248,250649,14.5,,S,41,B,high,14,A,,28,D,,,Y,high,23,,low,466,,high,187
249,11751,52.5542,D35,S,78,,unknown,51,B,,68,C,,,X,,342,Z,low,289,Z,high,416
250,244252,26,,S,4,A,,,,low,,,high,44,Z,low,234,X,low,320,X,high,413
251,362316,7.25,,S,17,C,high,,C,unknown,,,,,Z,low,391,Z,medium,478,X,medium,436
252,347054,10.4625,G6,S,49,B,high,,A,high,,C,,,X,low,393,Y,high,469,Z,high,231
253,113514,26.55,C87,S,18,,,2,C,medium,,B,low,70,X,high,354,,low,170,Y,medium,163
254,A/5. 3336,16.1,,S,,C,unknown,,D,unknown,58,D,medium,63,Z,low,337,Y,low,143,Y,medium,249
255,370129,20.2125,,S,,B,,50,D,unknown,,,high,10,Y,high,105,Y,low,374,Z,medium,395
256,2650,15.2458,,C,14,,unknown,7,,,25,,medium,29,Z,low,426,Z,medium,262,Z,low,
257,PC 17585,79.2,,C,,C,low,,,,98,C,unknown,84,Z,high,350,Z,medium,223,Z,medium,300
258,110152,86.5,B77,S,10,A,,75,C,high,20,C,unknown,,Y,high,136,Z,medium,349,,high,217
259,PC 17755,512.3292,,C,,,high,70,A,medium,13,C,unknown,,X,medium,116,X,low,330,Z,low,348
