"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol4_ef_bin","ExtraCol4_ef_bin_num","ExtraCol7_ef_bin","ExtraCol7_ef_bin_num","ExtraCol10_ef_bin","ExtraCol10_ef_bin_num"
46,8.05,"Missing","S","97","C","low",NA,"D","unknown",NA,"A","high",NA,"Z","low",307,"Y","",77,"Z","high",390,"Y","",194,NA,NA,NA,NA,NA,NA
47,15.5,"Missing","Q","44","A","unknown",64,"A","medium",59,"B","",14,"Z","low",69,"","low",387,"","medium",206,"Z","medium",411,"ExtraCol4_4",4,"ExtraCol7_3",3,"ExtraCol10_1",1
48,7.75,"Missing","Q","89","C","",21,"","",84,"A","medium",21,"Y","low",452,"X","high",71,"X","low",23,"Y","medium",NA,"ExtraCol4_2",2,"ExtraCol7_5",5,"ExtraCol10_2",2
49,21.6792,"Missing","C","67","C","",54,"C","",88,"","low",8,"Y","high",40,"X","medium",414,"Z","low",373,"Z","high",25,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_1",1
50,17.8,"Missing","S","77","A","",NA,"A","medium",45,"","high",NA,"Z","high",245,"Z","low",63,"","high",271,"X","high",420,NA,NA,"ExtraCol7_3",3,NA,NA
51,39.6875,"Missing","S","75","B","unknown",12,"","high",42,"B","",43,"Z","low",474,"Y","",89,"X","low",70,"Z","medium",NA,"ExtraCol4_1",1,"ExtraCol7_3",3,"ExtraCol10_3",3
52,7.8,"Missing","S","19","","medium",6,"D","high",93,"B","unknown",NA,"Z","medium",276,"Y","medium",NA,"Y","medium",281,"Z","medium",184,"ExtraCol4_1",1,"ExtraCol7_5",5,NA,NA
53,76.7292,"D33","C","36","","unknown",NA,"D","",NA,"","low",92,"X","medium",404,"","low",91,"X","low",124,"","low",85,NA,NA,NA,NA,"ExtraCol10_5",5
54,26,"Missing","S","46","","unknown",65,"A","medium",20,"","",NA,"Z","high",211,"","low",38,"Y","low",317,"X","low",78,"ExtraCol4_4",4,"ExtraCol7_1",1,NA,NA
55,61.9792,"B30","C","49","","unknown",31,"C","low",NA,"","medium",55,"Y","medium",377,"Z","medium",26,"X","low",473,"Z","high",263,"ExtraCol4_2",2,NA,NA,"ExtraCol10_3",3
56,35.5,"C52","S","4","C","high",82,"","low",71,"B","high",NA,"Z","medium",353,"Z","low",143,"X","low",NA,"X","low",42,"ExtraCol4_5",5,"ExtraCol7_4",4,NA,NA
57,10.5,"Missing","S","54","B","",84,"","",23,"D","low",NA,"Z","medium",256,"Y","medium",245,"Y","low",372,"Y","high",40,"ExtraCol4_5",5,"ExtraCol7_2",2,NA,NA
58,7.2292,"Missing","C","15","D","high",53,"C","high",97,"A","low",76,"X","low",50,"X","medium",22,"X","medium",11,"X","low",392,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_4",4
59,27.75,"Missing","S","74","","low",NA,"C","",29,"B","",90,"X","medium",485,"Y","low",68,"X","high",203,"Y","",171,NA,NA,"ExtraCol7_2",2,"ExtraCol10_5",5
60,46.9,"Missing","S","68","D","",NA,"C","unknown",NA,"","",96,"X","medium",NA,"X","low",305,"Y","low",444,"Z","",324,NA,NA,NA,NA,"ExtraCol10_5",5
61,7.2292,"Missing","C","92","","high",82,"","",49,"C","",38,"Y","high",178,"Z","",159,"Y","high",37,"Y","high",493,"ExtraCol4_5",5,"ExtraCol7_3",3,"ExtraCol10_2",2
62,80,"B28","Missing","74","B","unknown",89,"","low",69,"","",48,"Z","medium",320,"X","medium",NA,"Z","medium",464,"X","medium",25,"ExtraCol4_5",5,"ExtraCol7_4",4,"ExtraCol10_3",3
63,83.475,"C83","S","36","","",NA,"","high",90,"D","unknown",NA,"X","high",384,"Z","low",420,"X","high",46,"Y","high",397,NA,NA,"ExtraCol7_5",5,NA,NA
64,27.9,"Missing","S","Missing","C","high",51,"C","",39,"","",5,"X","medium",267,"Y","low",15,"Y","medium",240,"X","medium",54,"ExtraCol4_3",3,"ExtraCol7_2",2,"ExtraCol10_1",1
65,27.7208,"Missing","C","Missing","A","",NA,"A","high",NA,"D","medium",11,"Y","high",200,"Y","low",474,"X","high",90,"Y","high",380,NA,NA,NA,NA,"ExtraCol10_1",1
66,15.2458,"Missing","C","32","B","",NA,"A","medium",75,"","",4,"Y","high",203,"","high",341,"X","high",10,"X","low",153,NA,NA,"ExtraCol7_4",4,"ExtraCol10_1",1
67,10.5,"F33","S","Missing","B","",13,"C","unknown",NA,"A","",73,"X","low",487,"X","high",411,"X","high",NA,"Y","",67,"ExtraCol4_1",1,NA,NA,"ExtraCol10_4",4
68,8.1583,"Missing","S","Missing","A","unknown",67,"","high",NA,"","",22,"Y","medium",166,"","medium",239,"Z","medium",290,"X","",NA,"ExtraCol4_4",4,NA,NA,"ExtraCol10_2",2
69,7.925,"Missing","S","7","","medium",92,"A","",75,"A","low",NA,"Z","high",427,"Z","medium",0,"Z","high",361,"X","high",182,"ExtraCol4_5",5,"ExtraCol7_4",4,NA,NA
70,8.6625,"Missing","S","Missing","C","",75,"","medium",70,"","high",37,"X","medium",25,"X","low",442,"Y","high",157,"X","high",364,"ExtraCol4_4",4,"ExtraCol7_4",4,"ExtraCol10_2",2
71,10.5,"Missing","S","79","D","",48,"D","unknown",NA,"C","low",79,"","high",329,"X","low",284,"Y","low",246,"Z","medium",340,"ExtraCol4_3",3,NA,NA,"ExtraCol10_5",5
72,46.9,"Missing","S","18","A","",52,"C","high",NA,"B","",11,"X","medium",340,"X","high",18,"Z","high",91,"Z","medium",364,"ExtraCol4_3",3,NA,NA,"ExtraCol10_1",1
73,73.5,"Missing","S","Missing","B","",25,"D","high",1,"","medium",32,"X","",337,"Z","low",NA,"Y","low",364,"Z","medium",10,"ExtraCol4_2",2,"ExtraCol7_1",1,"ExtraCol10_2",2
74,14.4542,"Missing","C","12","A","high",NA,"D","medium",NA,"","unknown",NA,"Y","medium",210,"Y","high",103,"Y","medium",NA,"Z","high",487,NA,NA,NA,NA,NA,NA
75,56.4958,"Missing","S","68","","unknown",24,"D","",NA,"C","low",NA,"X","medium",345,"X","low",187,"Y","low",430,"Y","low",216,"ExtraCol4_2",2,NA,NA,NA,NA
76,7.65,"F G73","S","47","","unknown",34,"A","unknown",NA,"A","",56,"Y","low",222,"","low",221,"Y","high",89,"X","low",55,"ExtraCol4_2",2,NA,NA,"ExtraCol10_3",3
77,7.8958,"Missing","S","Missing","","low",26,"","medium",NA,"A","",16,"X","low",296,"X","high",213,"Y","high",332,"Z","medium",464,"ExtraCol4_2",2,NA,NA,"ExtraCol10_1",1
78,8.05,"Missing","S","22","","low",33,"","low",30,"","",66,"Z","low",446,"Z","high",434,"Y","high",165,"Z","low",396,"ExtraCol4_2",2,"ExtraCol7_2",2,"ExtraCol10_4",4
79,29,"Missing","S","Missing","A","",36,"A","medium",89,"C","high",96,"Y","high",336,"Z","",471,"X","low",NA,"Y","low",41,"ExtraCol4_2",2,"ExtraCol7_5",5,"ExtraCol10_5",5
80,12.475,"Missing","S","66","C","",8,"","",70,"","low",4,"X","medium",368,"Y","low",339,"Z","low",140,"X","medium",218,"ExtraCol4_1",1,"ExtraCol7_4",4,"ExtraCol10_1",1
81,9,"Missing","S","94","C","unknown",NA,"","",56,"","medium",8,"X","medium",484,"Z","medium",316,"Z","medium",474,"Y","low",453,NA,NA,"ExtraCol7_3",3,"ExtraCol10_1",1
82,9.5,"Missing","S","43","D","low",44,"","low",88,"B","high",95,"Y","medium",109,"X","low",NA,"Y","low",418,"Y","low",341,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_5",5
83,7.7875,"Missing","Q","16","D","low",94,"","low",9,"C","unknown",NA,"Y","medium",293,"Y","low",133,"Z","medium",233,"Z","medium",97,"ExtraCol4_5",5,"ExtraCol7_1",1,NA,NA
84,47.1,"Missing","S","83","D","unknown",NA,"A","medium",64,"","unknown",91,"","high",328,"","medium",279,"X","low",247,"X","high",350,NA,NA,"ExtraCol7_4",4,"ExtraCol10_5",5
85,10.5,"Missing","S","62","C","unknown",66,"B","medium",15,"D","",70,"X","medium",NA,"Z","low",321,"Y","",176,"Y","medium",94,"ExtraCol4_4",4,"ExtraCol7_1",1,"ExtraCol10_4",4
86,15.85,"Missing","S","70","","low",NA,"","low",23,"A","medium",NA,"Y","medium",66,"Y","low",NA,"Z","medium",213,"Z","high",175,NA,NA,"ExtraCol7_2",2,NA,NA
87,34.375,"Missing","S","9","B","medium",NA,"B","medium",18,"D","",NA,"Y","medium",380,"Z","medium",NA,"Z","medium",232,"Z","low",97,NA,NA,"ExtraCol7_1",1,NA,NA
88,8.05,"Missing","S","31","A","",49,"","",54,"","",51,"X","medium",97,"Y","high",NA,"Z","high",72,"X","low",346,"ExtraCol4_3",3,"ExtraCol7_3",3,"ExtraCol10_3",3
89,263,"C23 C25 C27","S","Missing","B","",44,"A","low",62,"C","",36,"Y","medium",204,"","low",29,"Z","high",161,"Y","",465,"ExtraCol4_3",3,"ExtraCol7_4",4,"ExtraCol10_2",2
90,8.05,"Missing","S","Missing","B","",65,"","medium",75,"A","medium",83,"X","low",357,"Z","medium",161,"Y","low",437,"Y","high",22,"ExtraCol4_4",4,"ExtraCol7_4",4,"ExtraCol10_5",5
91,8.05,"Missing","S","43","A","",NA,"B","",NA,"C","unknown",4,"Z","high",131,"Z","high",407,"","medium",489,"Y","low",301,NA,NA,NA,NA,"ExtraCol10_1",1
92,7.8542,"Missing","S","Missing","A","low",31,"B","",93,"","medium",NA,"Z","medium",62,"","high",NA,"Y","high",27,"X","low",124,"ExtraCol4_2",2,"ExtraCol7_5",5,NA,NA
93,61.175,"E31","S","Missing","C","medium",NA,"D","",37,"C","",55,"X","medium",337,"Y","medium",108,"","high",366,"X","low",375,NA,NA,"ExtraCol7_2",2,"ExtraCol10_3",3
94,20.575,"Missing","S","38","B","high",18,"","",NA,"B","high",97,"X","medium",140,"Y","low",436,"Z","medium",119,"X","high",69,"ExtraCol4_1",1,NA,NA,"ExtraCol10_5",5
95,7.25,"Missing","S","89","","high",NA,"","high",3,"C","",99,"X","medium",413,"X","high",76,"Y","low",326,"Z","medium",183,NA,NA,"ExtraCol7_1",1,"ExtraCol10_5",5
96,8.05,"Missing","S","28","B","",NA,"","",12,"C","medium",59,"Z","high",449,"Y","low",79,"X","medium",310,"Y","medium",102,NA,NA,"ExtraCol7_1",1,"ExtraCol10_3",3
97,34.6542,"A5","C","23","D","unknown",95,"A","unknown",NA,"B","high",42,"Z","low",174,"Z","",449,"Z","high",439,"X","low",436,"ExtraCol4_5",5,NA,NA,"ExtraCol10_3",3
98,63.3583,"D10 D12","C","68","C","unknown",NA,"","",41,"D","unknown",27,"X","low",369,"Z","medium",NA,"X","low",351,"Z","high",41,NA,NA,"ExtraCol7_3",3,"ExtraCol10_2",2
99,23,"Missing","S","Missing","A","",39,"C","",NA,"C","unknown",99,"Y","high",NA,"Y","low",0,"Y","",411,"Y","low",290,"ExtraCol4_2",2,NA,NA,"ExtraCol10_5",5
100,26,"Missing","S","13","A","",NA,"B","unknown",12,"","unknown",NA,"X","high",464,"Y","low",216,"X","medium",400,"Y","low",60,NA,NA,"ExtraCol7_1",1,NA,NA
101,7.8958,"Missing","S","83","C","high",80,"B","",26,"","high",12,"Z","medium",122,"Z","low",370,"X","low",323,"X","high",299,"ExtraCol4_5",5,"ExtraCol7_2",2,"ExtraCol10_1",1
102,7.8958,"Missing","S","Missing","C","",48,"B","low",98,"D","",50,"X","medium",440,"X","high",378,"X","medium",205,"Y","high",383,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_3",3
103,77.2875,"D26","S","80","B","medium",96,"","unknown",2,"B","high",39,"X","medium",393,"X","high",43,"X","",168,"Y","medium",376,"ExtraCol4_5",5,"ExtraCol7_1",1,"ExtraCol10_2",2
104,8.6542,"Missing","S","0","C","low",NA,"B","",42,"C","",49,"Z","high",156,"","high",140,"X","medium",173,"","high",16,NA,NA,"ExtraCol7_3",3,"ExtraCol10_3",3
105,7.925,"Missing","S","79","","medium",70,"","",19,"A","unknown",NA,"","medium",412,"X","low",308,"X","high",179,"Y","medium",386,"ExtraCol4_4",4,"ExtraCol7_1",1,NA,NA
106,7.8958,"Missing","S","Missing","","",75,"C","high",53,"B","unknown",26,"Y","high",316,"Z","high",330,"Z","medium",144,"Y","medium",148,"ExtraCol4_4",4,"ExtraCol7_3",3,"ExtraCol10_2",2
107,7.65,"Missing","S","Missing","A","unknown",NA,"A","unknown",97,"C","unknown",NA,"Z","medium",334,"X","medium",310,"Z","high",155,"Z","medium",340,NA,NA,"ExtraCol7_5",5,NA,NA
108,7.775,"Missing","S","66","B","unknown",NA,"","low",22,"D","high",NA,"X","medium",189,"X","high",168,"X","medium",284,"Z","",481,NA,NA,"ExtraCol7_2",2,NA,NA
109,7.8958,"Missing","S","Missing","","",58,"C","low",37,"C","",32,"X","high",117,"Y","medium",431,"Y","high",135,"Y","high",59,"ExtraCol4_3",3,"ExtraCol7_2",2,"ExtraCol10_2",2
110,24.15,"Missing","Q","Missing","D","low",NA,"","unknown",44,"","medium",0,"Y","",348,"Y","low",39,"","low",174,"","medium",181,NA,NA,"ExtraCol7_3",3,"ExtraCol10_1",1
111,52,"C110","S","Missing","D","low",11,"","high",79,"B","",67,"Y","low",26,"Z","low",411,"Z","medium",354,"X","low",433,"ExtraCol4_1",1,"ExtraCol7_4",4,"ExtraCol10_4",4
112,14.4542,"Missing","C","78","","medium",13,"A","low",NA,"C","unknown",85,"","low",174,"Z","low",469,"Z","low",164,"X","medium",70,"ExtraCol4_1",1,NA,NA,"ExtraCol10_5",5
113,8.05,"Missing","S","55","A","",NA,"C","unknown",NA,"","unknown",NA,"Z","high",70,"Y","high",342,"Y","low",53,"X","medium",NA,NA,NA,NA,NA,NA,NA
114,9.825,"Missing","S","45","","unknown",65,"B","",48,"A","medium",16,"Z","medium",0,"X","medium",214,"X","",8,"Y","medium",274,"ExtraCol4_4",4,"ExtraCol7_3",3,"ExtraCol10_1",1
115,14.4583,"Missing","C","Missing","A","",28,"C","medium",NA,"A","",76,"X","low",3,"X","high",190,"","low",382,"X","medium",498,"ExtraCol4_2",2,NA,NA,"ExtraCol10_4",4
116,7.925,"Missing","S","Missing","","",73,"A","medium",0,"C","",14,"Z","high",46,"Z","",NA,"Z","low",474,"X","medium",147,"ExtraCol4_4",4,"ExtraCol7_1",1,"ExtraCol10_1",1
117,7.75,"Missing","Q","3","","",69,"","high",80,"D","low",62,"X","high",469,"Y","low",NA,"X","high",341,"Z","high",NA,"ExtraCol4_4",4,"ExtraCol7_4",4,"ExtraCol10_4",4
118,21,"Missing","S","13","","medium",NA,"","low",24,"","",70,"Y","medium",385,"Z","low",111,"Y","medium",30,"X","high",397,NA,NA,"ExtraCol7_2",2,"ExtraCol10_4",4
119,247.5208,"B58 B60","C","24","A","",91,"B","medium",NA,"D","",15,"Y","medium",494,"Y","",317,"Y","high",281,"Z","high",59,"ExtraCol4_5",5,NA,NA,"ExtraCol10_1",1
120,31.275,"Missing","S","11","","high",88,"","",97,"","medium",11,"Y","high",42,"Z","low",NA,"Z","high",135,"X","",163,"ExtraCol4_5",5,"ExtraCol7_5",5,"ExtraCol10_1",1
121,73.5,"Missing","S","43","C","low",NA,"C","low",63,"C","unknown",7,"X","low",498,"Y","high",248,"Z","high",NA,"Y","low",158,NA,NA,"ExtraCol7_4",4,"ExtraCol10_1",1
122,8.05,"Missing","S","Missing","","medium",76,"","unknown",NA,"D","",70,"Y","low",299,"Z","medium",237,"Y","medium",460,"X","low",200,"ExtraCol4_4",4,NA,NA,"ExtraCol10_4",4
123,30.0708,"Missing","C","65","D","high",NA,"","low",60,"","high",61,"X","medium",397,"Y","medium",38,"Y","high",412,"Y","high",286,NA,NA,"ExtraCol7_3",3,"ExtraCol10_4",4
124,13,"E101","S","47","D","medium",40,"A","unknown",21,"","low",11,"Z","medium",428,"X","low",NA,"Y","medium",367,"X","high",110,"ExtraCol4_2",2,"ExtraCol7_2",2,"ExtraCol10_1",1
125,77.2875,"D26","S","85","C","",NA,"D","low",69,"C","unknown",50,"X","low",131,"X","medium",477,"Z","",250,"X","low",195,NA,NA,"ExtraCol7_4",4,"ExtraCol10_3",3
126,11.2417,"Missing","C","56","","",60,"A","medium",61,"C","",79,"Y","low",370,"X","medium",122,"X","high",289,"Z","low",458,"ExtraCol4_3",3,"ExtraCol7_4",4,"ExtraCol10_5",5
127,7.75,"Missing","Q","7","B","unknown",41,"C","low",NA,"","",23,"X","high",323,"Y","low",157,"Z","low",457,"Z","high",414,"ExtraCol4_2",2,NA,NA,"ExtraCol10_2",2
128,7.1417,"Missing","S","76","D","low",99,"","",7,"B","",60,"X","medium",206,"Z","low",315,"Z","low",330,"Y","low",478,"ExtraCol4_5",5,"ExtraCol7_1",1,"ExtraCol10_4",4
129,22.3583,"F E69","C","57","","low",17,"D","high",64,"D","high",29,"Y","high",245,"Y","medium",1,"X","low",289,"Z","low",341,"ExtraCol4_1",1,"ExtraCol7_4",4,"ExtraCol10_2",2
130,6.975,"Missing","S","63","","high",9,"","low",NA,"","unknown",NA,"Z","medium",104,"Z","",51,"X","high",48,"Z","high",291,"ExtraCol4_1",1,NA,NA,NA,NA
131,7.8958,"Missing","C","56","A","medium",2,"A","high",77,"A","",NA,"Y","medium",92,"X","high",450,"Y","medium",NA,"Z","low",106,"ExtraCol4_1",1,"ExtraCol7_4",4,NA,NA
132,7.05,"Missing","S","55","A","high",81,"D","",12,"B","",35,"Z","medium",461,"Y","medium",86,"Z","low",404,"Z","low",79,"ExtraCol4_5",5,"ExtraCol7_1",1,"ExtraCol10_2",2
133,14.5,"Missing","S","9","","low",40,"C","medium",53,"","high",49,"Z","medium",365,"","low",288,"Y","high",182,"X","high",NA,"ExtraCol4_2",2,"ExtraCol7_3",3,"ExtraCol10_3",3
