"id","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23"
353,29,"C","high",80,"A","low",14,"C","",51,"Z","low",135,"Z","medium",165,"X","low",61,"Z","medium",169,"Y"
354,43,"A","medium",65,"B","low",51,"B","",NA,"Z","high",48,"","medium",70,"Z","medium",88,"Z","low",444,"X"
355,96,"C","high",10,"B","low",72,"D","",63,"Y","medium",364,"Z","high",450,"Y","low",250,"Y","high",158,"X"
356,99,"A","medium",91,"C","medium",62,"B","",NA,"X","high",291,"X","",302,"","",294,"X","high",NA,"X"
358,89,"C","medium",16,"B","unknown",21,"A","medium",0,"X","medium",141,"Z","medium",140,"X","high",397,"Y","high",9,"X"
363,22,"D","high",8,"A","medium",32,"D","high",14,"X","low",161,"X","medium",490,"Y","low",409,"Y","medium",496,"Y"
379,37,"A","low",17,"B","high",84,"C","low",NA,"Z","low",76,"Z","",253,"X","medium",217,"Z","high",471,"X"
381,0,"B","high",10,"B","medium",28,"B","",98,"Z","high",497,"X","high",95,"Z","medium",330,"Y","high",466,"Y"
386,12,"B","low",84,"B","medium",97,"B","",33,"Z","low",18,"Y","medium",350,"Y","medium",34,"Z","high",150,"Z"
433,82,"B","high",87,"C","high",0,"","unknown",86,"Y","medium",293,"Z","medium",2,"Y","medium",15,"X","high",15,"Y"
438,92,"C","unknown",96,"D","unknown",52,"C","",NA,"Y","low",114,"","medium",NA,"X","low",302,"Z","low",6,"Z"
440,39,"A","high",40,"A","high",66,"","",47,"Y","high",242,"X","medium",465,"X","medium",174,"X","low",248,"Y"
449,52,"D","medium",77,"A","high",28,"A","unknown",NA,"X","medium",495,"Y","low",153,"Z","medium",29,"Z","medium",330,"Z"
474,46,"C","high",45,"B","high",20,"","unknown",87,"X","high",491,"","low",292,"Y","",412,"X","medium",458,"Y"
493,75,"B","medium",7,"B","medium",58,"A","unknown",73,"X","high",453,"Y","high",NA,"Y","",141,"X","low",131,"X"
502,65,"D","high",57,"D","medium",34,"B","medium",NA,"X","medium",424,"Z","low",230,"X","low",91,"X","medium",199,"Z"
505,27,"B","low",88,"A","high",38,"C","medium",NA,"Y","medium",131,"Y","low",94,"","high",465,"Y","low",124,"Y"
515,95,"B","high",42,"B","medium",84,"C","medium",20,"Z","low",316,"","high",NA,"X","low",278,"X","low",348,"Y"
520,59,"C","high",2,"C","high",92,"A","unknown",NA,"X","medium",408,"X","low",304,"Z","medium",100,"X","high",152,"Z"
521,35,"A","high",75,"A","high",79,"B","",93,"X","high",183,"Y","low",431,"Y","medium",226,"Z","high",131,"X"
551,80,"D","low",89,"B","high",45,"D","high",NA,"X","high",318,"X","high",NA,"Z","low",219,"Z","medium",396,"Z"
589,83,"B","unknown",35,"A","unknown",16,"","medium",10,"","low",494,"Y","high",36,"Z","low",367,"Y","high",348,"Z"
591,80,"D","low",1,"A","low",98,"D","medium",36,"Z","medium",171,"Y","",303,"X","high",NA,"","low",72,"Y"
625,60,"D","high",55,"A","unknown",8,"D","",44,"Y","medium",472,"Y","high",23,"Z","low",69,"Z","high",470,"Z"
627,33,"D","medium",61,"D","unknown",95,"D","medium",NA,"X","high",NA,"Y","low",14,"Z","high",149,"X","low",239,"X"
650,84,"D","low",2,"C","low",35,"C","high",77,"X","high",318,"X","",161,"X","low",181,"Y","medium",161,"Z"
657,76,"D","high",2,"A","low",74,"","high",93,"Y","high",233,"Z","",NA,"Y","high",315,"Z","medium",379,"X"
658,63,"C","high",79,"C","unknown",14,"C","medium",0,"X","medium",360,"Z","low",232,"Y","medium",151,"X","low",43,"Y"
663,3,"A","low",12,"D","high",70,"D","unknown",NA,"X","medium",418,"X","high",154,"Y","low",159,"X","high",249,""
667,50,"D","high",56,"B","unknown",72,"","high",53,"Y","high",NA,"Y","low",283,"Z","",NA,"X","high",454,"X"
668,86,"C","high",8,"B","high",80,"A","high",NA,"X","low",382,"X","high",149,"Y","medium",495,"Z","high",190,"Y"
679,52,"D","medium",51,"D","unknown",41,"C","medium",21,"","high",431,"","low",368,"Z","high",NA,"Z","medium",14,""
688,59,"D","unknown",58,"D","medium",48,"B","",NA,"Z","medium",230,"Z","high",392,"Y","high",232,"","",68,"Y"
689,44,"C","low",5,"B","high",42,"A","medium",15,"Y","medium",71,"X","high",331,"Z","high",100,"X","low",24,"Z"
690,78,"A","low",49,"C","low",37,"","",NA,"X","medium",271,"X","medium",402,"Y","low",270,"X","high",NA,"Z"
691,99,"D","high",89,"A","medium",38,"A","",NA,"","high",340,"","high",332,"X","",153,"Y","medium",177,"Y"
692,79,"A","medium",23,"A","high",55,"C","",64,"X","high",485,"X","low",389,"X","medium",89,"X","high",291,"X"
713,72,"A","high",11,"D","unknown",54,"B","",NA,"X","low",435,"Y","low",447,"Y","medium",475,"Y","low",204,"Y"
725,78,"D","low",11,"D","unknown",12,"A","medium",NA,"Z","high",NA,"Z","low",212,"Z","high",NA,"Z","low",299,"X"
726,11,"A","high",40,"A","unknown",56,"C","medium",35,"Z","high",370,"Y","high",62,"Z","high",443,"X","low",142,"X"
756,43,"D","unknown",51,"D","medium",54,"B","medium",53,"Y","low",68,"Z","high",18,"Y","low",325,"X","low",NA,"Y"
761,17,"B","low",58,"D","medium",88,"C","low",64,"Z","high",135,"X","medium",350,"Z","medium",44,"Y","low",324,"X"
777,42,"B","unknown",75,"D","high",29,"C","low",91,"Z","low",150,"Y","low",NA,"X","low",80,"X","high",23,"Y"
788,68,"B","medium",59,"B","unknown",63,"","unknown",NA,"X","low",478,"X","medium",498,"Z","high",416,"Z","high",406,"X"
796,29,"C","low",47,"D","unknown",94,"","high",89,"X","low",182,"Y","low",34,"Z","high",149,"Z","medium",322,"X"
804,91,"C","unknown",64,"D","unknown",28,"A","medium",5,"Y","high",137,"Z","high",223,"X","high",469,"Z","low",12,"X"
839,1,"C","low",23,"C","medium",40,"D","",NA,"X","",394,"X","low",170,"X","low",303,"Z","high",455,"X"
860,80,"A","unknown",34,"A","high",11,"","high",31,"X","medium",56,"Z","high",213,"","high",273,"Y","medium",70,"X"
861,96,"D","high",30,"C","high",32,"C","medium",79,"Y","",46,"Z","",351,"Y","high",193,"X","high",391,"Y"
880,63,"D","high",73,"C","medium",65,"A","medium",27,"Y","medium",207,"Z","high",190,"X","medium",314,"Z","high",239,"X"
