"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16"
66,15.2458,"","C",32,"B","",51,"A","medium",75,"","",4,"Y","high",203,"","high",341
67,10.5,"F33","S",51,"B","",13,"C","unknown",NA,"A","",73,"X","low",487,"X","high",411
68,8.1583,"","S",51,"A","unknown",67,"","high",NA,"","",22,"Y","medium",166,"","medium",239
69,7.925,"","S",7,"","medium",92,"A","",75,"A","low",NA,"Z","high",427,"Z","medium",0
70,8.6625,"","S",51,"C","",75,"","medium",70,"","high",37,"X","medium",25,"X","low",442
71,10.5,"","S",79,"D","",48,"D","unknown",NA,"C","low",79,"","high",329,"X","low",284
72,46.9,"","S",18,"A","",52,"C","high",NA,"B","",11,"X","medium",340,"X","high",18
73,73.5,"","S",51,"B","",25,"D","high",1,"","medium",32,"X","",337,"Z","low",NA
74,14.4542,"","C",12,"A","high",51,"D","medium",NA,"","unknown",NA,"Y","medium",210,"Y","high",103
75,56.4958,"","S",68,"","unknown",24,"D","",NA,"C","low",NA,"X","medium",345,"X","low",187
76,7.65,"F G73","S",47,"","unknown",34,"A","unknown",NA,"A","",56,"Y","low",222,"","low",221
77,7.8958,"","S",51,"","low",26,"","medium",NA,"A","",16,"X","low",296,"X","high",213
78,8.05,"","S",22,"","low",33,"","low",30,"","",66,"Z","low",446,"Z","high",434
79,29,"","S",51,"A","",36,"A","medium",89,"C","high",96,"Y","high",336,"Z","",471
80,12.475,"","S",66,"C","",8,"","",70,"","low",4,"X","medium",368,"Y","low",339
81,9,"","S",94,"C","unknown",51,"","",56,"","medium",8,"X","medium",484,"Z","medium",316
82,9.5,"","S",43,"D","low",44,"","low",88,"B","high",95,"Y","medium",109,"X","low",NA
83,7.7875,"","Q",16,"D","low",94,"","low",9,"C","unknown",NA,"Y","medium",293,"Y","low",133
84,47.1,"","S",83,"D","unknown",51,"A","medium",64,"","unknown",91,"","high",328,"","medium",279
85,10.5,"","S",62,"C","unknown",66,"B","medium",15,"D","",70,"X","medium",NA,"Z","low",321
86,15.85,"","S",70,"","low",51,"","low",23,"A","medium",NA,"Y","medium",66,"Y","low",NA
87,34.375,"","S",9,"B","medium",51,"B","medium",18,"D","",NA,"Y","medium",380,"Z","medium",NA
88,8.05,"","S",31,"A","",49,"","",54,"","",51,"X","medium",97,"Y","high",NA
89,263,"C23 C25 C27","S",51,"B","",44,"A","low",62,"C","",36,"Y","medium",204,"","low",29
90,8.05,"","S",51,"B","",65,"","medium",75,"A","medium",83,"X","low",357,"Z","medium",161
91,8.05,"","S",43,"A","",51,"B","",NA,"C","unknown",4,"Z","high",131,"Z","high",407
92,7.8542,"","S",51,"A","low",31,"B","",93,"","medium",NA,"Z","medium",62,"","high",NA
93,61.175,"E31","S",51,"C","medium",51,"D","",37,"C","",55,"X","medium",337,"Y","medium",108
94,20.575,"","S",38,"B","high",18,"","",NA,"B","high",97,"X","medium",140,"Y","low",436
95,7.25,"","S",89,"","high",51,"","high",3,"C","",99,"X","medium",413,"X","high",76
96,8.05,"","S",28,"B","",51,"","",12,"C","medium",59,"Z","high",449,"Y","low",79
97,34.6542,"A5","C",23,"D","unknown",95,"A","unknown",NA,"B","high",42,"Z","low",174,"Z","",449
98,63.3583,"D10 D12","C",68,"C","unknown",51,"","",41,"D","unknown",27,"X","low",369,"Z","medium",NA
99,23,"","S",51,"A","",39,"C","",NA,"C","unknown",99,"Y","high",NA,"Y","low",0
100,26,"","S",13,"A","",51,"B","unknown",12,"","unknown",NA,"X","high",464,"Y","low",216
101,7.8958,"","S",83,"C","high",80,"B","",26,"","high",12,"Z","medium",122,"Z","low",370
102,7.8958,"","S",51,"C","",48,"B","low",98,"D","",50,"X","medium",440,"X","high",378
103,77.2875,"D26","S",80,"B","medium",96,"","unknown",2,"B","high",39,"X","medium",393,"X","high",43
104,8.6542,"","S",0,"C","low",51,"B","",42,"C","",49,"Z","high",156,"","high",140
105,7.925,"","S",79,"","medium",70,"","",19,"A","unknown",NA,"","medium",412,"X","low",308
106,7.8958,"","S",51,"","",75,"C","high",53,"B","unknown",26,"Y","high",316,"Z","high",330
107,7.65,"","S",51,"A","unknown",51,"A","unknown",97,"C","unknown",NA,"Z","medium",334,"X","medium",310
108,7.775,"","S",66,"B","unknown",51,"","low",22,"D","high",NA,"X","medium",189,"X","high",168
109,7.8958,"","S",51,"","",58,"C","low",37,"C","",32,"X","high",117,"Y","medium",431
110,24.15,"","Q",51,"D","low",51,"","unknown",44,"","medium",0,"Y","",348,"Y","low",39
111,52,"C110","S",51,"D","low",11,"","high",79,"B","",67,"Y","low",26,"Z","low",411
112,14.4542,"","C",78,"","medium",13,"A","low",NA,"C","unknown",85,"","low",174,"Z","low",469
113,8.05,"","S",55,"A","",51,"C","unknown",NA,"","unknown",NA,"Z","high",70,"Y","high",342
114,9.825,"","S",45,"","unknown",65,"B","",48,"A","medium",16,"Z","medium",0,"X","medium",214
115,14.4583,"","C",51,"A","",28,"C","medium",NA,"A","",76,"X","low",3,"X","high",190
116,7.925,"","S",51,"","",73,"A","medium",0,"C","",14,"Z","high",46,"Z","",NA
117,7.75,"","Q",3,"","",69,"","high",80,"D","low",62,"X","high",469,"Y","low",NA
118,21,"","S",13,"","medium",51,"","low",24,"","",70,"Y","medium",385,"Z","low",111
119,247.5208,"B58 B60","C",24,"A","",91,"B","medium",NA,"D","",15,"Y","medium",494,"Y","",317
120,31.275,"","S",11,"","high",88,"","",97,"","medium",11,"Y","high",42,"Z","low",NA
121,73.5,"","S",43,"C","low",51,"C","low",63,"C","unknown",7,"X","low",498,"Y","high",248
122,8.05,"","S",51,"","medium",76,"","unknown",NA,"D","",70,"Y","low",299,"Z","medium",237
123,30.0708,"","C",65,"D","high",51,"","low",60,"","high",61,"X","medium",397,"Y","medium",38
124,13,"E101","S",47,"D","medium",40,"A","unknown",21,"","low",11,"Z","medium",428,"X","low",NA
125,77.2875,"D26","S",85,"C","",51,"D","low",69,"C","unknown",50,"X","low",131,"X","medium",477
126,11.2417,"","C",56,"","",60,"A","medium",61,"C","",79,"Y","low",370,"X","medium",122
127,7.75,"","Q",7,"B","unknown",41,"C","low",NA,"","",23,"X","high",323,"Y","low",157
128,7.1417,"","S",76,"D","low",99,"","",7,"B","",60,"X","medium",206,"Z","low",315
129,22.3583,"F E69","C",57,"","low",17,"D","high",64,"D","high",29,"Y","high",245,"Y","medium",1
130,6.975,"","S",63,"","high",9,"","low",NA,"","unknown",NA,"Z","medium",104,"Z","",51
131,7.8958,"","C",56,"A","medium",2,"A","high",77,"A","",NA,"Y","medium",92,"X","high",450
132,7.05,"","S",55,"A","high",81,"D","",12,"B","",35,"Z","medium",461,"Y","medium",86
133,14.5,"","S",9,"","low",40,"C","medium",53,"","high",49,"Z","medium",365,"","low",288
134,26,"","S",55,"","",43,"","low",81,"B","unknown",20,"Y","high",283,"X","high",441
135,13,"","S",79,"B","unknown",64,"C","high",89,"","medium",39,"Z","high",347,"Y","medium",366
136,15.0458,"","C",30,"D","",51,"A","",93,"","",62,"Y","high",202,"Y","high",135
137,26.2833,"D47","S",51,"A","medium",57,"C","low",NA,"","",38,"Y","high",124,"Y","low",76
138,53.1,"C123","S",3,"C","",5,"","",NA,"B","low",NA,"Z","low",471,"Y","low",358
139,9.2167,"","S",34,"B","high",51,"B","medium",57,"C","",NA,"Y","medium",494,"X","low",202
140,79.2,"B86","C",43,"A","low",51,"","low",46,"D","",13,"Z","high",107,"Z","high",483
141,15.2458,"","C",51,"D","",45,"B","unknown",23,"","medium",NA,"X","medium",400,"X","low",322
142,7.75,"","S",21,"A","",16,"","high",NA,"C","low",46,"Y","medium",221,"Z","high",5
143,15.85,"","S",51,"","unknown",51,"","unknown",14,"A","",60,"Y","low",353,"Z","high",125
144,6.75,"","Q",51,"","",33,"D","medium",NA,"A","unknown",73,"X","low",54,"X","medium",372
145,11.5,"","S",99,"D","medium",27,"","",NA,"","low",NA,"Z","high",239,"X","high",350
146,36.75,"","S",85,"A","unknown",29,"A","",NA,"A","",97,"X","low",62,"Y","high",370
147,7.7958,"","S",3,"","",72,"A","low",10,"","low",42,"X","medium",407,"Z","high",116
148,34.375,"","S",23,"C","",10,"B","medium",26,"B","",88,"X","medium",199,"Y","high",124
149,26,"F2","S",51,"D","unknown",30,"D","unknown",NA,"D","high",41,"Z","high",131,"Y","medium",104
150,13,"","S",51,"A","low",46,"B","medium",NA,"","low",40,"X","high",349,"Z","low",347
151,12.525,"","S",85,"D","",54,"","unknown",44,"B","high",60,"X","medium",477,"Y","low",5
152,66.6,"C2","S",28,"C","medium",88,"B","medium",4,"C","",19,"Z","low",169,"Z","medium",407
153,8.05,"","S",91,"D","unknown",51,"","medium",1,"A","high",60,"X","",358,"Z","medium",140
154,14.5,"","S",29,"","low",51,"","",NA,"D","unknown",NA,"X","high",344,"X","medium",244
155,7.3125,"","S",43,"D","unknown",53,"","",44,"C","",NA,"X","medium",244,"Y","low",123
156,61.3792,"","C",66,"C","low",2,"A","",7,"C","unknown",7,"Y","medium",402,"X","medium",212
157,7.7333,"","Q",12,"","low",61,"D","low",83,"","low",69,"X","high",63,"","medium",382
158,8.05,"","S",55,"","high",15,"D","medium",NA,"D","low",3,"Z","medium",438,"X","high",99
159,8.6625,"","S",50,"","high",7,"A","high",34,"D","medium",10,"X","",202,"X","high",284
160,69.55,"","S",78,"B","unknown",67,"C","",45,"A","medium",28,"Y","medium",22,"X","medium",28
161,16.1,"","S",99,"C","",51,"D","unknown",NA,"C","low",NA,"X","high",NA,"Z","high",88
162,15.75,"","S",51,"","low",51,"","",93,"","medium",0,"X","medium",386,"Y","low",342
163,7.775,"","S",40,"C","",10,"B","high",78,"B","unknown",NA,"X","",408,"Y","high",284
164,8.6625,"","S",40,"D","",74,"D","",19,"","high",78,"Z","medium",73,"","high",305
165,39.6875,"","S",41,"","",76,"C","medium",73,"","high",45,"Z","high",375,"Z","low",112
166,20.525,"","S",81,"A","",51,"","",17,"B","low",19,"X","high",349,"Y","",103
167,55,"E33","S",32,"","unknown",83,"A","high",45,"C","low",42,"X","high",451,"Y","medium",NA
168,27.9,"","S",16,"B","unknown",43,"C","low",NA,"","medium",69,"Z","high",185,"Y","low",64
169,25.925,"","S",51,"C","high",18,"","unknown",3,"A","",73,"Y","high",463,"Y","medium",NA
170,56.4958,"","S",2,"","",51,"","",NA,"A","unknown",NA,"X","medium",353,"","high",133
171,33.5,"B19","S",10,"B","high",21,"A","medium",22,"","",16,"X","medium",NA,"X","high",359
172,29.125,"","Q",9,"B","high",20,"B","medium",NA,"A","",95,"Y","medium",106,"X","",78
173,11.1333,"","S",51,"B","high",32,"D","unknown",49,"D","medium",NA,"Y","high",451,"X","medium",325
174,7.925,"","S",51,"D","high",51,"","medium",2,"C","high",98,"Y","medium",322,"Y","medium",101
175,30.6958,"A7","C",69,"B","medium",51,"B","medium",NA,"","low",NA,"X","low",59,"Z","high",140
176,7.8542,"","S",46,"","high",51,"","low",NA,"B","",11,"Y","low",62,"Y","medium",206
177,25.4667,"","S",71,"B","unknown",62,"B","medium",95,"B","",NA,"X","",413,"X","medium",NA
178,28.7125,"C49","C",16,"A","unknown",33,"C","low",NA,"","",32,"Y","medium",84,"Y","high",62
179,13,"","S",90,"B","high",51,"B","",19,"","unknown",NA,"X","high",109,"Z","medium",376
180,0,"","S",50,"A","low",51,"","unknown",60,"","",71,"X","high",307,"Y","low",172
181,69.55,"","S",93,"A","",51,"C","",36,"","high",NA,"Z","high",431,"X","low",283
182,15.05,"","C",51,"","medium",43,"D","unknown",60,"A","",58,"Y","high",168,"X","",323
183,31.3875,"","S",49,"A","low",29,"B","unknown",NA,"C","unknown",NA,"Y","low",332,"Y","medium",311
184,39,"F4","S",69,"","",51,"","",29,"C","low",61,"X","high",351,"Z","medium",313
185,22.025,"","S",49,"D","high",51,"A","high",65,"C","unknown",39,"X","high",300,"X","low",487
186,50,"A32","S",44,"C","unknown",51,"D","high",26,"B","unknown",NA,"Z","high",342,"Z","high",315
187,15.5,"","Q",51,"B","",51,"","medium",90,"A","",71,"Z","",NA,"Z","low",174
188,26.55,"","S",38,"A","",47,"A","",94,"B","unknown",29,"Y","low",310,"X","low",NA
189,15.5,"","Q",51,"D","",51,"A","medium",NA,"B","high",19,"X","high",1,"","high",400
190,7.8958,"","S",51,"D","high",51,"A","low",72,"","",70,"Y","low",365,"X","low",210
191,13,"","S",68,"C","",90,"B","high",NA,"D","low",NA,"X","high",396,"Y","high",NA
192,13,"","S",63,"A","unknown",67,"D","low",NA,"B","low",44,"X","high",396,"X","high",407
193,7.8542,"","S",60,"","unknown",51,"A","",73,"","low",NA,"X","high",14,"Z","high",117
194,26,"F2","S",36,"","unknown",96,"D","",93,"C","low",18,"Y","medium",455,"X","high",111
195,27.7208,"B4","C",95,"A","medium",71,"","high",22,"D","unknown",81,"Y","high",217,"Y","medium",26
196,146.5208,"B80","C",8,"D","",5,"C","medium",NA,"B","low",98,"Y","high",40,"Z","medium",NA
197,7.75,"","Q",51,"A","",72,"B","medium",NA,"","",NA,"Z","high",267,"X","medium",308
198,8.4042,"","S",51,"","unknown",51,"D","low",33,"A","",14,"X","medium",285,"X","medium",251
199,7.75,"","Q",33,"D","",51,"","medium",23,"C","",NA,"X","medium",201,"Z","high",148
200,13,"","S",96,"D","",48,"B","high",NA,"A","unknown",86,"Z","high",374,"X","medium",105
201,9.5,"","S",51,"A","low",51,"A","",33,"A","unknown",8,"X","low",271,"","medium",347
202,69.55,"","S",90,"","",31,"D","medium",72,"","",NA,"X","low",108,"X","high",42
203,6.4958,"","S",49,"C","low",51,"B","",37,"","unknown",NA,"Z","medium",310,"X","low",350
204,7.225,"","C",51,"C","unknown",61,"B","high",37,"A","",3,"","medium",131,"Y","medium",452
205,8.05,"","S",45,"","high",51,"C","high",94,"","low",NA,"","high",59,"Y","high",227
206,10.4625,"G6","S",26,"D","medium",89,"C","low",NA,"D","",7,"Z","high",133,"Y","high",247
207,15.85,"","S",76,"D","high",77,"C","high",92,"C","medium",17,"Y","low",452,"Z","low",NA
208,18.7875,"","C",51,"","high",60,"B","low",71,"","high",48,"X","",286,"X","low",47
209,7.75,"","Q",26,"","high",51,"A","medium",NA,"D","unknown",NA,"Z","high",158,"Y","low",313
210,31,"A31","C",77,"C","high",33,"","high",NA,"B","",NA,"X","medium",183,"","high",182
211,7.05,"","S",26,"A","",76,"A","",93,"D","low",NA,"Z","low",429,"Z","low",234
212,21,"","S",51,"","medium",31,"","high",94,"","medium",20,"Y","medium",333,"Y","low",11
213,7.25,"","S",78,"A","",26,"","unknown",4,"","",87,"Z","high",386,"Z","medium",438
214,13,"","S",44,"D","",86,"C","",35,"A","unknown",NA,"Z","medium",305,"X","high",166
215,7.75,"","Q",51,"","",51,"D","unknown",41,"","",NA,"Z","medium",496,"Y","low",37
216,113.275,"D36","C",27,"A","low",51,"A","",NA,"A","",72,"X","medium",328,"X","low",NA
217,7.925,"","S",51,"A","unknown",86,"D","medium",77,"A","low",48,"Z","high",200,"X","low",489
218,27,"","S",51,"A","low",51,"D","unknown",69,"","",41,"X","medium",126,"Z","low",259
219,76.2917,"D15","C",44,"C","low",51,"C","medium",21,"D","unknown",75,"X","high",23,"Z","low",16
220,10.5,"","S",90,"B","",52,"C","low",NA,"","low",NA,"Y","high",383,"X","low",495
221,8.05,"","S",12,"D","low",51,"","",NA,"","",82,"X","medium",466,"Y","medium",104
222,13,"","S",45,"B","medium",51,"A","",44,"D","",68,"Y","medium",332,"Z","low",NA
223,8.05,"","S",51,"","medium",51,"","",NA,"A","low",76,"X","high",243,"X","medium",354
224,7.8958,"","S",20,"C","",51,"","",NA,"","low",42,"Y","low",65,"Z","medium",165
225,90,"C93","S",51,"C","",79,"","high",92,"","medium",38,"Y","low",321,"X","medium",42
226,9.35,"","S",30,"","high",59,"A","low",90,"D","high",57,"Y","low",NA,"Y","medium",341
227,10.5,"","S",80,"","low",51,"A","high",1,"","high",64,"","",311,"Z","medium",131
228,7.25,"","S",57,"C","high",40,"A","high",NA,"C","high",92,"Z","high",150,"Z","high",430
229,13,"","S",54,"","high",38,"C","unknown",NA,"A","",85,"X","high",432,"X","low",76
230,25.4667,"","S",17,"","high",42,"C","",82,"C","medium",5,"Z","low",468,"X","medium",453
231,83.475,"C83","S",46,"","high",99,"","",80,"C","medium",15,"Y","low",117,"X","medium",361
232,7.775,"","S",85,"C","",51,"A","low",NA,"D","medium",94,"Y","low",163,"Y","medium",119
233,13.5,"","S",51,"D","",15,"A","high",6,"","",NA,"Y","low",NA,"X","low",289
234,31.3875,"","S",75,"C","",4,"A","unknown",NA,"A","low",NA,"X","",9,"Z","low",469
235,10.5,"","S",51,"","high",51,"","low",NA,"A","",5,"Z","medium",258,"X","high",32
236,7.55,"","S",51,"","unknown",80,"","medium",NA,"D","unknown",NA,"X","high",70,"Y","high",409
237,26,"","S",51,"B","high",51,"B","",8,"A","",40,"Z","low",216,"Z","medium",230
238,26.25,"","S",43,"A","low",56,"","",NA,"D","",NA,"X","high",16,"Y","low",474
239,10.5,"","S",30,"A","medium",79,"B","",43,"B","medium",77,"Z","high",70,"Y","medium",104
240,12.275,"","S",62,"","high",51,"D","medium",76,"","high",89,"Y","low",201,"X","low",359
241,14.4542,"","C",14,"","low",90,"","medium",31,"D","high",NA,"Y","low",NA,"Z","low",483
242,15.5,"","Q",58,"","unknown",63,"","unknown",NA,"C","",NA,"Z","medium",398,"","low",171
243,10.5,"","S",9,"B","unknown",73,"B","",NA,"C","low",54,"X","high",289,"Z","low",53
244,7.125,"","S",64,"C","unknown",78,"A","low",NA,"D","",54,"Y","high",225,"X","low",196
245,7.225,"","C",51,"D","low",62,"D","unknown",29,"D","high",3,"Z","high",236,"Y","low",299
246,90,"C78","Q",8,"D","high",5,"","medium",25,"C","low",NA,"X","low",419,"Z","medium",315
247,7.775,"","S",51,"B","high",42,"","unknown",NA,"B","high",NA,"X","high",422,"Z","high",240
248,14.5,"","S",41,"B","high",14,"A","",28,"D","",NA,"Y","high",23,"","low",466
249,52.5542,"D35","S",78,"","unknown",51,"B","",68,"C","",NA,"X","",342,"Z","low",289
250,26,"","S",4,"A","",51,"","low",NA,"","high",44,"Z","low",234,"X","low",320
251,7.25,"","S",17,"C","high",51,"C","unknown",NA,"","",NA,"Z","low",391,"Z","medium",478
252,10.4625,"G6","S",49,"B","high",51,"A","high",NA,"C","",NA,"X","low",393,"Y","high",469
253,26.55,"C87","S",18,"","",2,"C","medium",NA,"B","low",70,"X","high",354,"","low",170
254,16.1,"","S",51,"C","unknown",51,"D","unknown",58,"D","medium",63,"Z","low",337,"Y","low",143
255,20.2125,"","S",51,"B","",50,"D","unknown",NA,"","high",10,"Y","high",105,"Y","low",374
256,15.2458,"","C",14,"","unknown",7,"","",25,"","medium",29,"Z","low",426,"Z","medium",262
257,79.2,"","C",51,"C","low",51,"","",98,"C","unknown",84,"Z","high",350,"Z","medium",223
258,86.5,"B77","S",10,"A","",75,"C","high",20,"C","unknown",NA,"Y","high",136,"Z","medium",349
259,512.3292,"","C",51,"","high",70,"A","medium",13,"C","unknown",NA,"X","medium",116,"X","low",330
260,26,"","S",58,"A","low",17,"A","",82,"D","low",52,"Y","medium",250,"Y","high",456
261,7.75,"","Q",79,"B","medium",51,"D","",89,"B","",11,"Y","low",171,"Z","medium",182
262,31.3875,"","S",17,"D","",63,"","",9,"D","low",12,"Y","low",338,"","high",NA
263,79.65,"E67","S",29,"A","high",39,"","",59,"","high",98,"X","high",203,"Y","high",113
264,0,"B94","S",92,"","low",0,"","",NA,"A","medium",3,"X","high",84,"Z","low",468
265,7.75,"","Q",98,"C","medium",51,"","",22,"C","",2,"","high",197,"Y","low",41
266,10.5,"","S",58,"D","",79,"C","medium",NA,"A","",1,"Y","medium",407,"X","high",375
267,39.6875,"","S",44,"","high",3,"C","low",68,"D","low",62,"Y","low",415,"Z","high",50
268,7.775,"","S",34,"C","medium",51,"D","unknown",57,"","high",NA,"X","low",155,"Y","medium",440
269,153.4625,"C125","S",61,"D","high",38,"D","high",51,"","high",NA,"Z","high",397,"Y","low",479
270,135.6333,"C99","S",51,"","high",51,"A","high",88,"C","high",79,"Z","low",46,"X","low",408
271,31,"","S",29,"A","",47,"","low",NA,"B","medium",71,"Z","low",492,"X","high",394
272,0,"","S",51,"D","",42,"A","low",62,"B","",NA,"Z","low",382,"Y","high",239
273,19.5,"","S",15,"A","unknown",51,"B","low",31,"D","",7,"Y","medium",20,"Z","",122
274,29.7,"C118","C",95,"C","low",5,"B","",97,"","",48,"X","high",352,"X","",492
275,7.75,"","Q",41,"B","",3,"D","unknown",25,"D","unknown",8,"Y","medium",247,"Z","low",264
276,77.9583,"D7","S",48,"C","low",9,"","medium",NA,"B","medium",11,"Y","high",441,"Z","low",408
277,7.75,"","S",51,"","low",69,"","high",63,"","low",46,"Z","medium",119,"","medium",357
