id,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36
45,Y,high,105,Z,medium,199,X,low,51,X,low,379,X,medium,,X,,455,X,high
46,Z,high,390,Y,,194,Y,low,471,Z,medium,200,Y,medium,78,Y,low,222,X,high
47,,medium,206,Z,medium,411,Z,medium,300,Z,medium,123,X,,394,,low,300,Y,low
48,X,low,23,Y,medium,,Y,medium,498,X,high,54,Z,medium,22,X,medium,433,Z,medium
49,Z,low,373,Z,high,25,X,high,335,X,low,97,Z,medium,95,Z,high,68,Z,low
50,,high,271,X,high,420,Z,high,5,Z,medium,68,Y,low,395,Z,low,123,Z,medium
51,X,low,70,Z,medium,,X,high,104,Z,medium,402,Z,,177,Y,high,313,X,low
52,Y,medium,281,Z,medium,184,Z,medium,486,X,high,287,X,,108,Z,high,89,X,
53,X,low,124,,low,85,Z,medium,279,Y,low,18,Z,medium,98,X,low,397,X,high
54,Y,low,317,X,low,78,Y,high,61,Z,,463,X,high,157,Z,,133,Z,low
55,X,low,473,Z,high,263,X,,37,Z,high,75,Z,medium,418,Y,high,168,X,high
56,X,low,,X,low,42,Y,medium,268,,medium,322,Z,,227,Y,high,405,Z,medium
57,Y,low,372,Y,high,40,X,high,297,Y,low,6,,high,476,,low,263,Y,low
58,X,medium,11,X,low,392,Z,low,123,X,low,294,X,high,,Y,low,395,Y,low
59,X,high,203,Y,,171,Z,high,97,Y,low,,Z,high,134,Y,medium,313,Z,high
60,Y,low,444,Z,,324,Z,high,,Z,high,454,Z,low,81,Z,high,257,X,high
61,Y,high,37,Y,high,493,Z,medium,217,Z,high,300,Z,high,471,X,high,255,,high
62,Z,medium,464,X,medium,25,X,medium,18,Y,low,,X,medium,451,Z,medium,401,X,low
63,X,high,46,Y,high,397,X,low,28,X,high,265,X,high,61,X,medium,499,X,high
64,Y,medium,240,X,medium,54,Y,medium,119,Y,medium,316,Y,high,160,X,,12,Z,low
65,X,high,90,Y,high,380,Y,low,,X,,207,Y,high,371,Y,medium,253,Y,medium
66,X,high,10,X,low,153,Z,high,150,,low,,X,low,491,Y,medium,391,X,low
67,X,high,,Y,,67,Y,low,,Y,low,264,X,medium,451,Y,low,321,X,low
68,Z,medium,290,X,,,Z,low,457,Y,high,484,,high,142,,medium,241,,low
69,Z,high,361,X,high,182,Y,medium,,Y,medium,,Z,medium,448,Z,medium,396,Z,high
70,Y,high,157,X,high,364,X,high,291,Y,high,364,X,high,362,Y,,234,X,
71,Y,low,246,Z,medium,340,X,high,122,,,413,X,high,231,Y,high,68,Z,low
72,Z,high,91,Z,medium,364,Y,medium,354,Z,low,359,Z,low,188,,high,136,X,low
73,Y,low,364,Z,medium,10,X,low,473,Y,medium,490,X,low,406,Z,high,21,Y,low
74,Y,medium,,Z,high,487,Y,high,338,Y,high,217,X,medium,418,Y,high,351,Y,medium
75,Y,low,430,Y,low,216,Y,medium,147,Y,low,270,Z,medium,457,Y,medium,486,X,low
76,Y,high,89,X,low,55,X,medium,196,X,high,76,X,medium,231,X,low,189,Y,low
77,Y,high,332,Z,medium,464,Y,high,464,Y,low,187,X,high,133,Y,medium,366,X,medium
78,Y,high,165,Z,low,396,Z,medium,,Y,low,79,X,low,435,,high,491,X,high
79,X,low,,Y,low,41,X,medium,110,,medium,395,Y,medium,151,Y,high,196,X,low
80,Z,low,140,X,medium,218,Y,,53,Y,low,391,Z,low,376,Y,,441,X,medium
81,Z,medium,474,Y,low,453,Z,low,320,Y,medium,96,Z,low,254,X,medium,8,Z,medium
82,Y,low,418,Y,low,341,X,high,229,X,medium,401,Y,medium,293,Y,low,338,X,high
83,Z,medium,233,Z,medium,97,Z,high,66,Y,low,160,Z,medium,104,Z,low,83,Y,high
84,X,low,247,X,high,350,Y,medium,470,Z,high,364,Y,medium,124,Y,low,390,X,high
85,Y,,176,Y,medium,94,X,medium,275,Y,low,469,Z,low,326,Y,low,4,X,medium
86,Z,medium,213,Z,high,175,Z,low,124,Y,medium,414,Y,high,129,Y,medium,416,,low
87,Z,medium,232,Z,low,97,Y,low,472,X,low,93,X,medium,334,Y,low,198,,high
88,Z,high,72,X,low,346,Z,high,349,Y,,90,Z,medium,495,X,low,118,Z,medium
89,Z,high,161,Y,,465,Y,medium,64,Z,low,56,Z,medium,,,high,277,Y,high
90,Y,low,437,Y,high,22,Z,high,413,Y,low,420,X,medium,462,X,high,494,X,high
91,,medium,489,Y,low,301,Z,low,29,Z,medium,273,X,,85,Z,high,80,X,high
92,Y,high,27,X,low,124,,,,Y,medium,77,Z,low,69,,medium,155,X,medium
93,,high,366,X,low,375,Y,high,196,Z,low,293,,medium,417,X,medium,319,X,medium
94,Z,medium,119,X,high,69,Z,medium,146,Y,low,264,Z,medium,102,Y,high,46,Y,high
95,Y,low,326,Z,medium,183,X,low,26,Z,low,298,Z,low,323,Z,medium,477,Y,high
96,X,medium,310,Y,medium,102,Y,,465,Y,medium,317,X,high,53,Z,low,261,Z,low
97,Z,high,439,X,low,436,Y,,279,Y,high,82,Z,medium,43,X,high,495,X,medium
98,X,low,351,Z,high,41,X,low,303,Y,low,193,X,low,100,X,medium,207,Z,medium
99,Y,,411,Y,low,290,Z,low,,Y,low,360,X,low,,,medium,416,X,low
100,X,medium,400,Y,low,60,Z,low,254,,high,454,Y,low,145,Y,low,165,Z,medium
101,X,low,323,X,high,299,Z,high,144,X,high,,,medium,111,Z,medium,221,Z,high
102,X,medium,205,Y,high,383,Y,medium,389,Z,,285,X,,418,Z,medium,173,X,low
103,X,,168,Y,medium,376,Y,low,265,Z,low,474,X,medium,87,X,high,273,X,medium
104,X,medium,173,,high,16,Y,high,,Z,high,300,X,medium,47,X,medium,111,X,medium
105,X,high,179,Y,medium,386,Z,high,422,Y,medium,113,Z,low,55,Y,medium,,Z,high
106,Z,medium,144,Y,medium,148,Z,high,406,Z,low,291,Y,low,441,,high,419,X,low
107,Z,high,155,Z,medium,340,X,low,123,X,,8,X,high,237,Y,low,77,,medium
108,X,medium,284,Z,,481,Y,low,324,,medium,244,X,low,,,high,396,X,
109,Y,high,135,Y,high,59,X,high,460,Z,high,283,Z,medium,403,Z,low,427,X,medium
110,,low,174,,medium,181,Z,high,399,Z,high,28,Z,medium,140,Y,low,17,Z,high
111,Z,medium,354,X,low,433,Y,high,99,Y,medium,101,Z,low,395,Z,medium,337,,high
112,Z,low,164,X,medium,70,Y,medium,427,Y,medium,494,Y,high,228,Z,low,242,Y,medium
113,Y,low,53,X,medium,,X,medium,28,Z,high,314,Z,medium,,Y,low,318,Y,medium
114,X,,8,Y,medium,274,X,low,308,Z,low,,Y,medium,264,Z,medium,147,Z,high
115,,low,382,X,medium,498,Z,low,255,Z,medium,114,Y,low,,Z,high,110,Z,medium
116,Z,low,474,X,medium,147,Z,low,18,Y,low,62,Y,high,102,X,low,143,Z,low
117,X,high,341,Z,high,,Y,medium,363,Z,high,214,Y,low,29,X,low,76,Y,high
118,Y,medium,30,X,high,397,Z,medium,148,Y,medium,272,Y,low,365,X,high,202,Z,high
119,Y,high,281,Z,high,59,,medium,426,Y,high,89,Y,high,476,Y,high,436,,medium
120,Z,high,135,X,,163,Y,medium,439,Z,,400,Y,medium,289,Z,medium,389,Y,low
121,Z,high,,Y,low,158,X,medium,295,Y,high,214,Z,high,58,,medium,89,Z,low
122,Y,medium,460,X,low,200,Y,high,313,X,,27,Z,low,56,Y,high,279,Z,low
123,Y,high,412,Y,high,286,X,medium,26,Z,medium,68,Y,high,272,Z,low,36,X,high
124,Y,medium,367,X,high,110,X,high,445,Y,high,430,Y,high,447,X,high,29,Y,low
125,Z,,250,X,low,195,Y,high,340,X,medium,168,Z,medium,,Y,medium,,Z,low
126,X,high,289,Z,low,458,X,medium,192,Y,high,186,Y,low,151,Y,medium,151,X,high
127,Z,low,457,Z,high,414,Z,high,42,X,low,99,X,,310,Z,medium,352,,medium
128,Z,low,330,Y,low,478,X,low,252,Z,high,403,Z,low,78,Z,,77,Y,medium
129,X,low,289,Z,low,341,Z,medium,450,Z,low,408,Z,high,239,Y,high,59,X,low
130,X,high,48,Z,high,291,X,low,431,X,high,121,Y,low,,Y,high,357,Z,low
131,Y,medium,,Z,low,106,Z,low,49,Z,medium,364,Z,low,314,Z,,103,Y,low
132,Z,low,404,Z,low,79,Y,low,381,Z,low,226,X,low,51,Y,low,29,Z,medium
133,Y,high,182,X,high,,Z,low,40,Z,high,83,Z,low,,X,low,394,Y,high
134,X,low,125,X,low,202,Y,medium,188,,low,397,X,high,29,Y,high,352,Y,high
135,Y,low,483,Y,high,393,,high,223,X,medium,41,Z,medium,200,Y,low,464,,low
136,Y,medium,478,Y,medium,4,X,,11,Z,high,437,Y,low,118,Y,medium,,,high
137,Z,high,210,Z,medium,445,Y,,68,X,,,,medium,489,Z,medium,238,Y,high
138,,high,115,X,high,85,Y,low,440,Y,medium,161,Z,high,159,Y,high,335,Y,low
139,X,high,398,X,,197,Z,medium,314,Z,medium,113,X,medium,17,X,medium,396,Z,medium
140,,high,312,X,low,178,X,medium,,Y,high,117,Z,high,216,,high,314,Z,medium
141,X,low,450,Z,low,462,X,low,285,X,,240,X,low,368,Y,medium,159,Z,low
142,X,medium,272,Z,medium,360,X,low,,Z,low,375,Z,medium,342,X,high,444,X,high
143,,high,275,Z,high,17,X,medium,9,Y,low,199,Z,high,488,Z,low,351,X,high
144,X,high,,Z,low,426,Z,high,273,,low,257,X,high,182,X,high,438,X,medium
145,X,medium,301,Z,medium,338,X,medium,385,Y,high,485,Z,low,261,Y,,278,Y,low
146,Z,low,181,Y,medium,34,Z,medium,102,Y,high,248,Z,medium,279,Z,high,224,X,medium
147,Y,high,102,,low,390,X,high,245,Z,medium,396,Y,high,12,X,medium,421,Z,medium
148,Z,medium,390,X,,16,Z,medium,206,X,high,192,Y,low,2,Y,low,305,Z,high
149,Y,medium,172,Y,low,212,,high,435,Y,high,39,X,medium,397,X,,387,X,
150,X,high,106,X,low,81,X,high,81,X,high,127,Z,medium,192,Y,high,444,Z,high
151,Z,medium,480,Z,medium,5,Y,low,52,X,low,79,Z,low,344,X,low,142,Y,high
152,Y,medium,481,Y,high,279,Z,medium,105,X,low,453,Z,high,472,Z,medium,96,X,high
153,Z,low,247,,medium,343,Z,medium,78,,high,13,,high,122,X,low,74,X,low
154,X,low,147,Y,medium,239,X,low,423,Y,medium,411,Y,medium,387,Y,high,299,X,low
155,Z,medium,80,Z,high,171,Y,low,130,X,low,69,Z,medium,106,X,medium,403,Y,high
156,Z,high,313,Z,high,256,Y,medium,181,X,medium,75,Z,low,370,Y,high,488,X,medium
157,,high,305,Y,high,75,Y,medium,128,Z,medium,264,Z,high,79,Z,low,16,X,high
158,Z,medium,309,Z,high,24,Z,,407,X,high,40,Y,high,152,Z,low,0,Z,high
159,Z,high,,Z,high,78,Y,high,332,Y,medium,38,Z,high,235,X,high,339,Y,medium
160,Z,low,235,Z,high,27,,high,236,X,low,387,Y,medium,244,Z,medium,134,,medium
161,X,,341,,high,384,Y,low,399,Y,high,,Z,low,,,low,237,X,medium
162,Z,medium,327,X,high,304,Z,low,35,Z,medium,298,Y,low,,Y,,39,Y,high
163,Z,low,397,Y,,93,Z,medium,339,Y,low,59,Z,low,3,Z,medium,37,,medium
164,Y,low,371,X,low,,Z,medium,180,Y,low,42,X,low,440,X,high,264,X,medium
165,Y,high,17,X,medium,242,X,high,189,X,medium,334,X,low,103,X,medium,344,,medium
166,X,medium,309,Y,high,55,X,high,79,X,high,196,X,medium,355,Z,high,443,X,low
167,Y,low,487,,high,485,X,high,48,X,high,9,Z,low,355,Z,medium,241,Z,medium
168,Z,high,279,X,medium,468,X,low,346,Y,low,340,Z,low,228,Z,medium,322,Z,medium
169,Z,low,264,Z,,379,Z,medium,425,Z,medium,484,X,high,268,X,,430,Z,low
170,X,medium,303,X,low,404,Z,low,455,X,high,280,Y,medium,36,X,low,215,Y,high
171,X,high,279,Y,medium,273,X,medium,121,,medium,190,Y,high,450,Y,high,104,Z,high
172,X,low,200,Z,medium,401,Y,low,381,Z,low,421,Z,low,59,X,medium,412,X,low
173,Y,high,496,X,medium,264,X,high,55,Y,high,168,X,medium,329,Z,low,1,Z,low
174,X,,35,Y,low,83,X,medium,389,,,306,Y,,0,Z,medium,137,X,medium
175,Z,high,407,Z,low,83,Y,high,283,Y,medium,237,X,high,372,Z,medium,65,X,low
176,Z,high,79,Z,medium,427,X,low,430,Y,high,363,,medium,179,Z,high,321,X,low
177,X,high,103,Z,medium,223,Z,high,33,Z,medium,258,Z,high,,X,medium,134,,medium
178,Z,low,303,Y,high,364,Z,medium,388,Y,low,240,Z,high,11,,medium,172,X,high
179,Z,low,318,Z,low,72,Y,low,233,Z,high,210,Z,low,109,X,low,326,X,low
180,Z,low,463,Y,medium,223,X,,284,Z,low,147,Z,low,217,X,medium,148,X,medium
181,Z,low,147,Y,high,41,Y,low,269,X,low,243,Z,low,358,X,low,181,X,medium
182,Y,,12,Z,low,110,Z,low,357,X,medium,30,Y,high,298,Z,medium,249,Z,low
183,Z,low,127,Z,low,,X,low,299,,,169,X,high,130,Z,high,59,X,
184,X,medium,272,Y,low,104,Z,high,207,Y,medium,38,Z,medium,297,Y,high,467,X,medium
185,Z,medium,178,Z,medium,303,X,high,217,Y,medium,161,,high,111,X,low,490,X,low
186,Y,medium,126,Y,high,2,X,medium,35,Y,high,175,,high,277,,medium,,Y,high
187,Z,medium,457,X,medium,96,Y,high,362,Z,low,13,Z,low,270,Y,high,54,Z,low
188,Z,low,280,Y,medium,345,Y,low,352,Z,medium,148,Z,high,113,,,236,Y,medium
189,Y,low,336,Z,high,74,X,low,283,Z,,335,Z,medium,100,Y,medium,177,X,low
190,X,high,374,Y,medium,277,Z,low,360,X,low,484,Y,medium,259,X,medium,83,X,medium
191,X,medium,204,Y,medium,433,Z,high,134,,,308,Z,low,293,Y,low,438,Z,medium
192,Z,medium,367,Z,high,390,Y,high,111,Z,high,355,X,high,489,Z,medium,207,Y,low
193,Z,medium,481,Z,low,61,Y,high,462,Z,high,334,X,medium,247,Y,low,326,Y,low
194,Y,,362,Y,high,73,X,high,,Y,low,472,Y,low,222,X,low,345,Z,high
195,Z,high,148,Z,low,352,Y,low,426,Y,high,470,X,medium,237,Y,low,159,Z,high
196,Z,medium,389,Y,medium,173,X,,26,Y,medium,57,Y,low,437,Y,high,174,X,low
197,Y,,,Y,low,,X,medium,274,Y,low,236,Y,low,153,Y,high,485,Z,
198,Z,high,36,Z,medium,238,Z,high,367,X,high,453,X,medium,190,Y,low,412,Z,high
199,Z,low,222,X,medium,289,Y,high,18,Y,medium,440,Z,high,184,Y,low,250,Z,medium
200,Y,high,,X,low,224,Z,medium,484,X,high,267,Y,low,311,X,medium,266,X,low
201,X,medium,234,X,high,11,X,low,393,Z,low,221,Z,medium,349,Y,low,,Z,low
202,Z,low,130,Z,high,47,Y,high,,Z,low,29,X,low,240,X,medium,102,X,high
203,Y,high,136,X,low,,X,high,253,X,high,238,Z,high,131,Y,medium,3,Y,low
204,Y,high,460,Z,medium,132,X,high,456,X,low,253,Z,high,344,Y,medium,402,X,high
205,Z,low,145,Z,high,408,,low,426,Y,medium,316,X,medium,137,Y,medium,470,Y,low
206,Z,high,391,Z,high,485,,low,413,Z,medium,,Y,high,448,Y,medium,81,Z,high
207,X,low,,Z,low,237,Y,high,491,X,,,,,312,Z,low,140,Y,low
208,Z,,53,Z,low,13,Z,high,372,Y,medium,484,X,medium,220,,high,176,Y,
209,X,high,31,X,medium,35,Z,high,467,X,high,108,Z,low,116,Y,high,406,X,high
210,Y,high,121,Z,medium,407,X,medium,476,Z,high,191,Z,high,378,Y,low,203,Z,high
211,Z,high,420,X,,171,Y,high,9,Z,high,254,Z,low,304,Y,medium,21,Z,low
212,X,medium,227,Y,medium,440,Z,low,327,X,medium,146,Y,high,441,Y,low,292,X,medium
213,X,low,347,Z,medium,253,X,high,166,X,low,,Z,high,353,X,medium,73,X,low
214,Z,medium,481,X,medium,439,Z,medium,247,X,low,305,Z,high,394,X,high,322,Y,low
215,Y,medium,24,X,medium,,Y,low,83,Z,medium,118,Z,medium,46,X,medium,428,Y,high
216,Z,low,54,Z,high,429,X,high,337,Z,medium,439,Y,medium,12,X,high,33,X,high
217,Y,medium,460,,high,273,Z,medium,417,Y,low,396,Z,low,329,Z,medium,497,X,
218,,low,283,X,high,218,Z,low,205,X,high,214,X,low,,X,low,331,X,high
219,Y,,308,X,low,264,X,high,349,Y,medium,231,Y,high,445,Z,high,25,Z,medium
220,Z,low,170,X,medium,163,Z,,162,Z,high,474,X,low,441,Z,low,110,Y,medium
221,Y,low,413,Y,low,301,Z,low,374,Z,medium,13,Y,high,292,X,medium,83,X,medium
222,,low,323,,high,385,Y,high,41,Y,medium,189,Z,high,364,,high,,X,high
223,Y,high,128,Y,medium,405,Y,high,440,Z,low,30,X,low,210,Y,high,361,Z,low
224,Y,high,324,X,low,489,X,low,189,Z,low,69,,high,479,Y,low,186,Y,high
225,Y,medium,1,Z,high,,Y,medium,252,Z,medium,,X,low,17,Y,high,264,Y,
226,Y,medium,120,Y,medium,384,Z,high,401,,medium,50,Z,low,146,Y,high,174,Y,high
227,Z,low,101,X,low,444,Z,low,14,X,high,478,Z,medium,348,Z,high,202,X,medium
228,X,high,392,Y,low,8,Y,high,472,Y,medium,391,X,low,393,Y,,319,Z,medium
229,Y,high,367,X,high,237,X,medium,307,Y,,320,X,low,121,X,,97,X,medium
230,,high,45,Y,low,350,Z,,487,Z,high,370,Z,medium,400,Y,low,379,Z,medium
231,Z,medium,453,Z,medium,228,Z,high,,Z,medium,92,Y,high,230,Z,medium,472,Y,low
232,Y,low,,Y,high,50,X,medium,103,Z,high,58,Y,low,428,Z,low,487,X,high
233,Y,,217,Z,low,327,Z,medium,291,Z,high,,X,,133,X,low,86,Y,medium
234,X,medium,105,Z,low,203,,medium,285,Y,high,382,Z,medium,346,Y,high,205,X,low
235,Y,,210,Y,low,308,Z,medium,460,Z,low,152,X,low,103,Z,high,132,Z,high
236,X,low,294,,high,0,Z,high,287,Y,medium,87,X,low,69,X,low,317,Y,medium
237,X,low,315,Z,medium,5,Y,medium,203,Z,low,392,Y,medium,352,X,medium,162,Z,low
238,Z,high,173,Y,low,301,,medium,,,high,,Z,high,340,X,medium,197,X,medium
239,Y,low,50,Z,low,491,X,high,162,X,high,268,Y,low,146,X,low,69,Y,medium
240,Z,high,304,Y,high,319,X,high,290,,,,Z,medium,,Z,low,279,X,low
241,X,high,352,Z,low,471,X,medium,184,X,medium,389,Y,medium,470,X,medium,268,X,low
242,Z,low,133,X,low,423,Z,medium,181,,medium,367,X,high,166,X,,275,Y,medium
243,Y,medium,319,Y,medium,140,Y,medium,7,Z,medium,,X,,250,,high,170,X,high
244,X,low,284,X,medium,51,X,medium,471,X,medium,64,Z,high,104,,high,377,Y,high
245,Y,high,250,X,medium,279,,medium,418,Y,high,434,Y,high,259,Z,low,303,X,low
246,Z,medium,4,Y,high,310,Z,,127,Z,high,68,Y,medium,442,X,medium,88,Y,medium
247,Z,low,153,X,low,385,Y,medium,68,Z,medium,214,Y,high,317,Y,medium,183,X,high
248,,high,187,X,medium,260,Z,medium,417,Y,high,447,X,low,70,Y,low,,X,medium
249,Z,high,416,Z,low,,X,low,418,Y,low,208,Y,high,370,X,high,58,Y,medium
250,X,high,413,X,medium,421,X,high,448,X,low,415,X,low,211,X,medium,176,X,high
251,X,medium,436,Z,low,292,Y,high,273,Z,low,244,Z,low,9,Z,high,436,Z,medium
252,Z,high,231,X,high,275,Y,low,367,X,,372,Z,medium,311,X,medium,220,X,high
253,Y,medium,163,Y,high,9,Z,low,364,Z,,295,Z,medium,149,X,medium,,Y,medium
254,Y,medium,249,X,high,390,Z,medium,,Z,high,140,X,,485,Y,low,340,X,medium
255,Z,medium,395,X,low,340,X,high,261,X,high,447,X,high,497,X,medium,160,Z,medium
256,Z,low,,Z,low,448,,medium,130,Y,high,233,,medium,335,X,high,413,Z,high
257,Z,medium,300,X,high,46,X,high,376,Z,high,228,Z,medium,315,X,medium,8,X,medium
258,,high,217,Z,medium,73,Y,low,485,Y,medium,329,Z,high,152,,medium,236,X,low
259,Z,low,348,Y,low,335,Z,medium,38,X,high,465,Z,medium,35,Y,low,298,,medium
260,X,medium,433,Y,medium,244,Z,high,37,X,high,435,Y,high,,,low,119,X,low
261,,low,333,Z,high,293,X,high,132,Y,high,196,X,high,231,,high,391,X,low
262,Y,medium,201,,high,217,Y,low,58,X,high,115,Z,medium,158,X,,39,,high
263,Y,high,419,Y,low,320,Z,high,4,Z,high,162,Y,high,480,X,medium,325,Y,medium
264,X,high,471,Y,,329,,low,489,Z,medium,131,Y,high,146,X,medium,316,Y,low
265,Z,low,398,Y,,94,Z,low,291,X,high,147,X,high,107,Z,high,393,X,high
266,X,high,438,Z,medium,380,Y,high,388,X,medium,215,Y,,,Y,,103,X,high
267,Y,low,132,Y,high,246,X,high,283,X,medium,10,Z,medium,417,,medium,77,Y,low
268,X,low,210,X,high,287,X,low,,Y,,266,Z,low,188,X,low,290,Z,low
269,Z,high,124,Z,medium,308,Z,high,343,Z,low,424,,medium,,X,low,485,Y,high
270,X,low,182,Y,medium,372,Y,high,80,X,high,215,X,,,,medium,392,Y,low
271,Z,low,366,Z,medium,150,Z,low,75,Z,low,39,Z,medium,260,Z,high,105,X,high
272,Z,low,338,Y,medium,3,Y,low,244,Z,medium,194,X,low,434,Y,low,203,Z,medium
273,Y,medium,1,X,low,90,Y,low,185,X,low,167,Y,medium,193,Z,medium,133,Z,medium
274,X,medium,377,Z,high,482,Z,high,420,X,high,297,Y,medium,9,X,low,389,Z,medium
275,X,high,96,,medium,111,Z,medium,153,Z,,125,Y,low,187,Y,low,256,Z,low
276,Y,high,92,X,low,124,X,medium,164,Y,low,150,Z,medium,1,Z,,218,Z,high
277,Y,high,271,Z,medium,429,Z,medium,264,Y,low,372,Z,high,211,X,high,2,X,medium
278,Y,medium,120,X,medium,117,X,medium,96,X,medium,87,Y,low,237,Y,medium,316,X,
279,X,low,481,Z,high,232,Z,medium,429,Y,high,466,,medium,365,X,medium,221,X,high
280,,high,73,Y,high,185,X,low,5,,low,148,Z,,34,Z,low,19,,low
281,X,medium,75,Y,medium,,,medium,423,Z,high,,Z,medium,240,Z,medium,97,Y,medium
282,Y,low,380,X,high,297,X,low,311,Y,medium,41,Z,medium,88,Y,high,363,X,medium
283,X,medium,143,X,low,257,Z,high,443,Y,medium,159,Y,high,233,Y,medium,374,Z,low
284,Y,medium,357,Z,high,250,Z,low,146,X,medium,188,Y,high,492,Z,high,246,Y,low
285,Y,medium,340,Y,medium,417,,low,450,Z,low,227,X,high,370,Y,low,378,Y,low
286,Z,medium,94,,medium,290,Y,medium,,Z,medium,45,Y,low,422,Z,medium,369,Z,high
287,Y,high,289,Y,,254,Z,medium,228,Z,low,123,Y,low,19,X,medium,307,Y,medium
288,X,low,268,Z,low,443,X,medium,141,Z,medium,438,X,medium,382,Z,high,104,X,high
