id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22
48,C,,21,,,84,A,medium,21,Y,low,452,X,high,71,X,low,23,Y,medium,
49,C,,54,C,,88,,low,8,Y,high,40,X,medium,414,Z,low,373,Z,high,25
50,A,,,A,medium,45,,high,,Z,high,245,Z,low,63,,high,271,X,high,420
51,B,unknown,12,,high,42,B,,43,Z,low,474,Y,,89,X,low,70,Z,medium,
52,,medium,6,D,high,93,B,unknown,,Z,medium,276,Y,medium,,Y,medium,281,Z,medium,184
53,,unknown,,D,,,,low,92,X,medium,404,,low,91,X,low,124,,low,85
54,,unknown,65,A,medium,20,,,,Z,high,211,,low,38,Y,low,317,X,low,78
55,,unknown,31,C,low,,,medium,55,Y,medium,377,Z,medium,26,X,low,473,Z,high,263
56,C,high,82,,low,71,B,high,,Z,medium,353,Z,low,143,X,low,,X,low,42
57,B,,84,,,23,D,low,,Z,medium,256,Y,medium,245,Y,low,372,Y,high,40
58,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,22,X,medium,11,X,low,392
59,,low,,C,,29,B,,90,X,medium,485,Y,low,68,X,high,203,Y,,171
60,D,,,C,unknown,,,,96,X,medium,,X,low,305,Y,low,444,Z,,324
61,,high,82,,,49,C,,38,Y,high,178,Z,,159,Y,high,37,Y,high,493
62,B,unknown,89,,low,69,,,48,Z,medium,320,X,medium,,Z,medium,464,X,medium,25
63,,,,,high,90,D,unknown,,X,high,384,Z,low,420,X,high,46,Y,high,397
64,C,high,51,C,,39,,,5,X,medium,267,Y,low,15,Y,medium,240,X,medium,54
65,A,,,A,high,,D,medium,11,Y,high,200,Y,low,474,X,high,90,Y,high,380
66,B,,,A,medium,75,,,4,Y,high,203,,high,341,X,high,10,X,low,153
67,B,,13,C,unknown,,A,,73,X,low,487,X,high,411,X,high,,Y,,67
68,A,unknown,67,,high,,,,22,Y,medium,166,,medium,239,Z,medium,290,X,,
69,,medium,92,A,,75,A,low,,Z,high,427,Z,medium,0,Z,high,361,X,high,182
70,C,,75,,medium,70,,high,37,X,medium,25,X,low,442,Y,high,157,X,high,364
71,D,,48,D,unknown,,C,low,79,,high,329,X,low,284,Y,low,246,Z,medium,340
72,A,,52,C,high,,B,,11,X,medium,340,X,high,18,Z,high,91,Z,medium,364
73,B,,25,D,high,1,,medium,32,X,,337,Z,low,,Y,low,364,Z,medium,10
74,A,high,,D,medium,,,unknown,,Y,medium,210,Y,high,103,Y,medium,,Z,high,487
75,,unknown,24,D,,,C,low,,X,medium,345,X,low,187,Y,low,430,Y,low,216
76,,unknown,34,A,unknown,,A,,56,Y,low,222,,low,221,Y,high,89,X,low,55
77,,low,26,,medium,,A,,16,X,low,296,X,high,213,Y,high,332,Z,medium,464
78,,low,33,,low,30,,,66,Z,low,446,Z,high,434,Y,high,165,Z,low,396
79,A,,36,A,medium,89,C,high,96,Y,high,336,Z,,471,X,low,,Y,low,41
80,C,,8,,,70,,low,4,X,medium,368,Y,low,339,Z,low,140,X,medium,218
81,C,unknown,,,,56,,medium,8,X,medium,484,Z,medium,316,Z,medium,474,Y,low,453
82,D,low,44,,low,88,B,high,95,Y,medium,109,X,low,,Y,low,418,Y,low,341
83,D,low,94,,low,9,C,unknown,,Y,medium,293,Y,low,133,Z,medium,233,Z,medium,97
84,D,unknown,,A,medium,64,,unknown,91,,high,328,,medium,279,X,low,247,X,high,350
85,C,unknown,66,B,medium,15,D,,70,X,medium,,Z,low,321,Y,,176,Y,medium,94
86,,low,,,low,23,A,medium,,Y,medium,66,Y,low,,Z,medium,213,Z,high,175
87,B,medium,,B,medium,18,D,,,Y,medium,380,Z,medium,,Z,medium,232,Z,low,97
88,A,,49,,,54,,,51,X,medium,97,Y,high,,Z,high,72,X,low,346
89,B,,44,A,low,62,C,,36,Y,medium,204,,low,29,Z,high,161,Y,,465
90,B,,65,,medium,75,A,medium,83,X,low,357,Z,medium,161,Y,low,437,Y,high,22
91,A,,,B,,,C,unknown,4,Z,high,131,Z,high,407,,medium,489,Y,low,301
92,A,low,31,B,,93,,medium,,Z,medium,62,,high,,Y,high,27,X,low,124
93,C,medium,,D,,37,C,,55,X,medium,337,Y,medium,108,,high,366,X,low,375
94,B,high,18,,,,B,high,97,X,medium,140,Y,low,436,Z,medium,119,X,high,69
95,,high,,,high,3,C,,99,X,medium,413,X,high,76,Y,low,326,Z,medium,183
96,B,,,,,12,C,medium,59,Z,high,449,Y,low,79,X,medium,310,Y,medium,102
97,D,unknown,95,A,unknown,,B,high,42,Z,low,174,Z,,449,Z,high,439,X,low,436
98,C,unknown,,,,41,D,unknown,27,X,low,369,Z,medium,,X,low,351,Z,high,41
99,A,,39,C,,,C,unknown,99,Y,high,,Y,low,0,Y,,411,Y,low,290
100,A,,,B,unknown,12,,unknown,,X,high,464,Y,low,216,X,medium,400,Y,low,60
101,C,high,80,B,,26,,high,12,Z,medium,122,Z,low,370,X,low,323,X,high,299
102,C,,48,B,low,98,D,,50,X,medium,440,X,high,378,X,medium,205,Y,high,383
103,B,medium,96,,unknown,2,B,high,39,X,medium,393,X,high,43,X,,168,Y,medium,376
104,C,low,,B,,42,C,,49,Z,high,156,,high,140,X,medium,173,,high,16
105,,medium,70,,,19,A,unknown,,,medium,412,X,low,308,X,high,179,Y,medium,386
106,,,75,C,high,53,B,unknown,26,Y,high,316,Z,high,330,Z,medium,144,Y,medium,148
107,A,unknown,,A,unknown,97,C,unknown,,Z,medium,334,X,medium,310,Z,high,155,Z,medium,340
108,B,unknown,,,low,22,D,high,,X,medium,189,X,high,168,X,medium,284,Z,,481
109,,,58,C,low,37,C,,32,X,high,117,Y,medium,431,Y,high,135,Y,high,59
110,D,low,,,unknown,44,,medium,0,Y,,348,Y,low,39,,low,174,,medium,181
111,D,low,11,,high,79,B,,67,Y,low,26,Z,low,411,Z,medium,354,X,low,433
112,,medium,13,A,low,,C,unknown,85,,low,174,Z,low,469,Z,low,164,X,medium,70
113,A,,,C,unknown,,,unknown,,Z,high,70,Y,high,342,Y,low,53,X,medium,
114,,unknown,65,B,,48,A,medium,16,Z,medium,0,X,medium,214,X,,8,Y,medium,274
115,A,,28,C,medium,,A,,76,X,low,3,X,high,190,,low,382,X,medium,498
116,,,73,A,medium,0,C,,14,Z,high,46,Z,,,Z,low,474,X,medium,147
117,,,69,,high,80,D,low,62,X,high,469,Y,low,,X,high,341,Z,high,
118,,medium,,,low,24,,,70,Y,medium,385,Z,low,111,Y,medium,30,X,high,397
119,A,,91,B,medium,,D,,15,Y,medium,494,Y,,317,Y,high,281,Z,high,59
120,,high,88,,,97,,medium,11,Y,high,42,Z,low,,Z,high,135,X,,163
121,C,low,,C,low,63,C,unknown,7,X,low,498,Y,high,248,Z,high,,Y,low,158
122,,medium,76,,unknown,,D,,70,Y,low,299,Z,medium,237,Y,medium,460,X,low,200
123,D,high,,,low,60,,high,61,X,medium,397,Y,medium,38,Y,high,412,Y,high,286
124,D,medium,40,A,unknown,21,,low,11,Z,medium,428,X,low,,Y,medium,367,X,high,110
125,C,,,D,low,69,C,unknown,50,X,low,131,X,medium,477,Z,,250,X,low,195
126,,,60,A,medium,61,C,,79,Y,low,370,X,medium,122,X,high,289,Z,low,458
127,B,unknown,41,C,low,,,,23,X,high,323,Y,low,157,Z,low,457,Z,high,414
128,D,low,99,,,7,B,,60,X,medium,206,Z,low,315,Z,low,330,Y,low,478
129,,low,17,D,high,64,D,high,29,Y,high,245,Y,medium,1,X,low,289,Z,low,341
130,,high,9,,low,,,unknown,,Z,medium,104,Z,,51,X,high,48,Z,high,291
131,A,medium,2,A,high,77,A,,,Y,medium,92,X,high,450,Y,medium,,Z,low,106
132,A,high,81,D,,12,B,,35,Z,medium,461,Y,medium,86,Z,low,404,Z,low,79
133,,low,40,C,medium,53,,high,49,Z,medium,365,,low,288,Y,high,182,X,high,
134,,,43,,low,81,B,unknown,20,Y,high,283,X,high,441,X,low,125,X,low,202
135,B,unknown,64,C,high,89,,medium,39,Z,high,347,Y,medium,366,Y,low,483,Y,high,393
136,D,,,A,,93,,,62,Y,high,202,Y,high,135,Y,medium,478,Y,medium,4
137,A,medium,57,C,low,,,,38,Y,high,124,Y,low,76,Z,high,210,Z,medium,445
138,C,,5,,,,B,low,,Z,low,471,Y,low,358,,high,115,X,high,85
139,B,high,,B,medium,57,C,,,Y,medium,494,X,low,202,X,high,398,X,,197
140,A,low,,,low,46,D,,13,Z,high,107,Z,high,483,,high,312,X,low,178
141,D,,45,B,unknown,23,,medium,,X,medium,400,X,low,322,X,low,450,Z,low,462
142,A,,16,,high,,C,low,46,Y,medium,221,Z,high,5,X,medium,272,Z,medium,360
143,,unknown,,,unknown,14,A,,60,Y,low,353,Z,high,125,,high,275,Z,high,17
144,,,33,D,medium,,A,unknown,73,X,low,54,X,medium,372,X,high,,Z,low,426
145,D,medium,27,,,,,low,,Z,high,239,X,high,350,X,medium,301,Z,medium,338
146,A,unknown,29,A,,,A,,97,X,low,62,Y,high,370,Z,low,181,Y,medium,34
147,,,72,A,low,10,,low,42,X,medium,407,Z,high,116,Y,high,102,,low,390
148,C,,10,B,medium,26,B,,88,X,medium,199,Y,high,124,Z,medium,390,X,,16
149,D,unknown,30,D,unknown,,D,high,41,Z,high,131,Y,medium,104,Y,medium,172,Y,low,212
150,A,low,46,B,medium,,,low,40,X,high,349,Z,low,347,X,high,106,X,low,81
151,D,,54,,unknown,44,B,high,60,X,medium,477,Y,low,5,Z,medium,480,Z,medium,5
152,C,medium,88,B,medium,4,C,,19,Z,low,169,Z,medium,407,Y,medium,481,Y,high,279
153,D,unknown,,,medium,1,A,high,60,X,,358,Z,medium,140,Z,low,247,,medium,343
154,,low,,,,,D,unknown,,X,high,344,X,medium,244,X,low,147,Y,medium,239
155,D,unknown,53,,,44,C,,,X,medium,244,Y,low,123,Z,medium,80,Z,high,171
156,C,low,2,A,,7,C,unknown,7,Y,medium,402,X,medium,212,Z,high,313,Z,high,256
157,,low,61,D,low,83,,low,69,X,high,63,,medium,382,,high,305,Y,high,75
158,,high,15,D,medium,,D,low,3,Z,medium,438,X,high,99,Z,medium,309,Z,high,24
159,,high,7,A,high,34,D,medium,10,X,,202,X,high,284,Z,high,,Z,high,78
160,B,unknown,67,C,,45,A,medium,28,Y,medium,22,X,medium,28,Z,low,235,Z,high,27
161,C,,,D,unknown,,C,low,,X,high,,Z,high,88,X,,341,,high,384
162,,low,,,,93,,medium,0,X,medium,386,Y,low,342,Z,medium,327,X,high,304
163,C,,10,B,high,78,B,unknown,,X,,408,Y,high,284,Z,low,397,Y,,93
164,D,,74,D,,19,,high,78,Z,medium,73,,high,305,Y,low,371,X,low,
165,,,76,C,medium,73,,high,45,Z,high,375,Z,low,112,Y,high,17,X,medium,242
166,A,,,,,17,B,low,19,X,high,349,Y,,103,X,medium,309,Y,high,55
167,,unknown,83,A,high,45,C,low,42,X,high,451,Y,medium,,Y,low,487,,high,485
168,B,unknown,43,C,low,,,medium,69,Z,high,185,Y,low,64,Z,high,279,X,medium,468
169,C,high,18,,unknown,3,A,,73,Y,high,463,Y,medium,,Z,low,264,Z,,379
170,,,,,,,A,unknown,,X,medium,353,,high,133,X,medium,303,X,low,404
171,B,high,21,A,medium,22,,,16,X,medium,,X,high,359,X,high,279,Y,medium,273
172,B,high,20,B,medium,,A,,95,Y,medium,106,X,,78,X,low,200,Z,medium,401
173,B,high,32,D,unknown,49,D,medium,,Y,high,451,X,medium,325,Y,high,496,X,medium,264
174,D,high,,,medium,2,C,high,98,Y,medium,322,Y,medium,101,X,,35,Y,low,83
175,B,medium,,B,medium,,,low,,X,low,59,Z,high,140,Z,high,407,Z,low,83
176,,high,,,low,,B,,11,Y,low,62,Y,medium,206,Z,high,79,Z,medium,427
177,B,unknown,62,B,medium,95,B,,,X,,413,X,medium,,X,high,103,Z,medium,223
178,A,unknown,33,C,low,,,,32,Y,medium,84,Y,high,62,Z,low,303,Y,high,364
179,B,high,,B,,19,,unknown,,X,high,109,Z,medium,376,Z,low,318,Z,low,72
180,A,low,51,,unknown,60,,,71,X,high,307,Y,low,172,Z,low,463,Y,medium,223
181,A,,,C,,36,,high,,Z,high,431,X,low,283,Z,low,147,Y,high,41
182,,medium,43,D,unknown,60,A,,58,Y,high,168,X,,323,Y,,12,Z,low,110
183,A,low,29,B,unknown,,C,unknown,,Y,low,332,Y,medium,311,Z,low,127,Z,low,
184,,,,,,29,C,low,61,X,high,351,Z,medium,313,X,medium,272,Y,low,104
185,D,high,,A,high,65,C,unknown,39,X,high,300,X,low,487,Z,medium,178,Z,medium,303
186,C,unknown,,D,high,26,B,unknown,,Z,high,342,Z,high,315,Y,medium,126,Y,high,2
187,B,,,,medium,90,A,,71,Z,,,Z,low,174,Z,medium,457,X,medium,96
188,A,,47,A,,94,B,unknown,29,Y,low,310,X,low,,Z,low,280,Y,medium,345
189,D,,,A,medium,,B,high,19,X,high,1,,high,400,Y,low,336,Z,high,74
190,D,high,,A,low,72,,,70,Y,low,365,X,low,210,X,high,374,Y,medium,277
191,C,,90,B,high,,D,low,,X,high,396,Y,high,,X,medium,204,Y,medium,433
192,A,unknown,67,D,low,,B,low,44,X,high,396,X,high,407,Z,medium,367,Z,high,390
193,,unknown,,A,,73,,low,,X,high,14,Z,high,117,Z,medium,481,Z,low,61
194,,unknown,96,D,,93,C,low,18,Y,medium,455,X,high,111,Y,,362,Y,high,73
195,A,medium,71,,high,22,D,unknown,81,Y,high,217,Y,medium,26,Z,high,148,Z,low,352
196,D,,5,C,medium,,B,low,98,Y,high,40,Z,medium,,Z,medium,389,Y,medium,173
197,A,,72,B,medium,,,,,Z,high,267,X,medium,308,Y,,,Y,low,
198,,unknown,,D,low,33,A,,14,X,medium,285,X,medium,251,Z,high,36,Z,medium,238
199,D,,,,medium,23,C,,,X,medium,201,Z,high,148,Z,low,222,X,medium,289
200,D,,48,B,high,,A,unknown,86,Z,high,374,X,medium,105,Y,high,,X,low,224
201,A,low,51,A,,33,A,unknown,8,X,low,271,,medium,347,X,medium,234,X,high,11
202,,,31,D,medium,72,,,,X,low,108,X,high,42,Z,low,130,Z,high,47
203,C,low,,B,,37,,unknown,,Z,medium,310,X,low,350,Y,high,136,X,low,
204,C,unknown,61,B,high,37,A,,3,,medium,131,Y,medium,452,Y,high,460,Z,medium,132
205,,high,,C,high,94,,low,,,high,59,Y,high,227,Z,low,145,Z,high,408
206,D,medium,89,C,low,,D,,7,Z,high,133,Y,high,247,Z,high,391,Z,high,485
207,D,high,77,C,high,92,C,medium,17,Y,low,452,Z,low,,X,low,,Z,low,237
208,,high,60,B,low,71,,high,48,X,,286,X,low,47,Z,,53,Z,low,13
209,,high,,A,medium,,D,unknown,,Z,high,158,Y,low,313,X,high,31,X,medium,35
210,C,high,33,,high,,B,,,X,medium,183,,high,182,Y,high,121,Z,medium,407
211,A,,76,A,,93,D,low,,Z,low,429,Z,low,234,Z,high,420,X,,171
212,,medium,31,,high,94,,medium,20,Y,medium,333,Y,low,11,X,medium,227,Y,medium,440
213,A,,26,,unknown,4,,,87,Z,high,386,Z,medium,438,X,low,347,Z,medium,253
214,D,,86,C,,35,A,unknown,,Z,medium,305,X,high,166,Z,medium,481,X,medium,439
215,,,,D,unknown,41,,,,Z,medium,496,Y,low,37,Y,medium,24,X,medium,
216,A,low,,A,,,A,,72,X,medium,328,X,low,,Z,low,54,Z,high,429
217,A,unknown,86,D,medium,77,A,low,48,Z,high,200,X,low,489,Y,medium,460,,high,273
218,A,low,,D,unknown,69,,,41,X,medium,126,Z,low,259,,low,283,X,high,218
219,C,low,,C,medium,21,D,unknown,75,X,high,23,Z,low,16,Y,,308,X,low,264
220,B,,52,C,low,,,low,,Y,high,383,X,low,495,Z,low,170,X,medium,163
221,D,low,,,,,,,82,X,medium,466,Y,medium,104,Y,low,413,Y,low,301
222,B,medium,,A,,44,D,,68,Y,medium,332,Z,low,,,low,323,,high,385
223,,medium,,,,,A,low,76,X,high,243,X,medium,354,Y,high,128,Y,medium,405
224,C,,,,,,,low,42,Y,low,65,Z,medium,165,Y,high,324,X,low,489
225,C,,79,,high,92,,medium,38,Y,low,321,X,medium,42,Y,medium,1,Z,high,
226,,high,59,A,low,90,D,high,57,Y,low,,Y,medium,341,Y,medium,120,Y,medium,384
227,,low,,A,high,1,,high,64,,,311,Z,medium,131,Z,low,101,X,low,444
228,C,high,40,A,high,,C,high,92,Z,high,150,Z,high,430,X,high,392,Y,low,8
229,,high,38,C,unknown,,A,,85,X,high,432,X,low,76,Y,high,367,X,high,237
230,,high,42,C,,82,C,medium,5,Z,low,468,X,medium,453,,high,45,Y,low,350
231,,high,99,,,80,C,medium,15,Y,low,117,X,medium,361,Z,medium,453,Z,medium,228
232,C,,,A,low,,D,medium,94,Y,low,163,Y,medium,119,Y,low,,Y,high,50
233,D,,15,A,high,6,,,,Y,low,,X,low,289,Y,,217,Z,low,327
234,C,,4,A,unknown,,A,low,,X,,9,Z,low,469,X,medium,105,Z,low,203
235,,high,51,,low,,A,,5,Z,medium,258,X,high,32,Y,,210,Y,low,308
236,,unknown,80,,medium,,D,unknown,,X,high,70,Y,high,409,X,low,294,,high,0
237,B,high,,B,,8,A,,40,Z,low,216,Z,medium,230,X,low,315,Z,medium,5
238,A,low,56,,,,D,,,X,high,16,Y,low,474,Z,high,173,Y,low,301
239,A,medium,79,B,,43,B,medium,77,Z,high,70,Y,medium,104,Y,low,50,Z,low,491
240,,high,51,D,medium,76,,high,89,Y,low,201,X,low,359,Z,high,304,Y,high,319
241,,low,90,,medium,31,D,high,,Y,low,,Z,low,483,X,high,352,Z,low,471
242,,unknown,63,,unknown,,C,,,Z,medium,398,,low,171,Z,low,133,X,low,423
243,B,unknown,73,B,,,C,low,54,X,high,289,Z,low,53,Y,medium,319,Y,medium,140
244,C,unknown,78,A,low,,D,,54,Y,high,225,X,low,196,X,low,284,X,medium,51
245,D,low,62,D,unknown,29,D,high,3,Z,high,236,Y,low,299,Y,high,250,X,medium,279
246,D,high,5,,medium,25,C,low,,X,low,419,Z,medium,315,Z,medium,4,Y,high,310
247,B,high,42,,unknown,,B,high,,X,high,422,Z,high,240,Z,low,153,X,low,385
248,B,high,14,A,,28,D,,,Y,high,23,,low,466,,high,187,X,medium,260
249,,unknown,51,B,,68,C,,,X,,342,Z,low,289,Z,high,416,Z,low,
250,A,,,,low,,,high,44,Z,low,234,X,low,320,X,high,413,X,medium,421
251,C,high,,C,unknown,,,,,Z,low,391,Z,medium,478,X,medium,436,Z,low,292
252,B,high,,A,high,,C,,,X,low,393,Y,high,469,Z,high,231,X,high,275
253,,,2,C,medium,,B,low,70,X,high,354,,low,170,Y,medium,163,Y,high,9
254,C,unknown,,D,unknown,58,D,medium,63,Z,low,337,Y,low,143,Y,medium,249,X,high,390
255,B,,50,D,unknown,,,high,10,Y,high,105,Y,low,374,Z,medium,395,X,low,340
256,,unknown,7,,,25,,medium,29,Z,low,426,Z,medium,262,Z,low,,Z,low,448
257,C,low,,,,98,C,unknown,84,Z,high,350,Z,medium,223,Z,medium,300,X,high,46
258,A,,75,C,high,20,C,unknown,,Y,high,136,Z,medium,349,,high,217,Z,medium,73
259,,high,70,A,medium,13,C,unknown,,X,medium,116,X,low,330,Z,low,348,Y,low,335
260,A,low,17,A,,82,D,low,52,Y,medium,250,Y,high,456,X,medium,433,Y,medium,244
261,B,medium,,D,,89,B,,11,Y,low,171,Z,medium,182,,low,333,Z,high,293
262,D,,63,,,9,D,low,12,Y,low,338,,high,,Y,medium,201,,high,217
263,A,high,39,,,59,,high,98,X,high,203,Y,high,113,Y,high,419,Y,low,320
264,,low,0,,,,A,medium,3,X,high,84,Z,low,468,X,high,471,Y,,329
265,C,medium,,,,22,C,,2,,high,197,Y,low,41,Z,low,398,Y,,94
266,D,,79,C,medium,,A,,1,Y,medium,407,X,high,375,X,high,438,Z,medium,380
267,,high,3,C,low,68,D,low,62,Y,low,415,Z,high,50,Y,low,132,Y,high,246
268,C,medium,,D,unknown,57,,high,,X,low,155,Y,medium,440,X,low,210,X,high,287
269,D,high,38,D,high,51,,high,,Z,high,397,Y,low,479,Z,high,124,Z,medium,308
270,,high,,A,high,88,C,high,79,Z,low,46,X,low,408,X,low,182,Y,medium,372
271,A,,47,,low,,B,medium,71,Z,low,492,X,high,394,Z,low,366,Z,medium,150
272,D,,42,A,low,62,B,,,Z,low,382,Y,high,239,Z,low,338,Y,medium,3
273,A,unknown,,B,low,31,D,,7,Y,medium,20,Z,,122,Y,medium,1,X,low,90
274,C,low,5,B,,97,,,48,X,high,352,X,,492,X,medium,377,Z,high,482
275,B,,3,D,unknown,25,D,unknown,8,Y,medium,247,Z,low,264,X,high,96,,medium,111
276,C,low,9,,medium,,B,medium,11,Y,high,441,Z,low,408,Y,high,92,X,low,124
277,,low,69,,high,63,,low,46,Z,medium,119,,medium,357,Y,high,271,Z,medium,429
278,,,78,,,,C,unknown,,X,high,446,Z,medium,350,Y,medium,120,X,medium,117
279,C,,,B,unknown,75,A,medium,99,X,,435,Z,,176,X,low,481,Z,high,232
280,,high,7,,medium,24,A,low,,X,medium,139,Z,low,213,,high,73,Y,high,185
281,B,medium,41,,medium,26,,low,27,X,low,216,,high,,X,medium,75,Y,medium,
282,,,98,,,34,,medium,32,Y,high,320,Z,medium,,Y,low,380,X,high,297
283,D,medium,,D,low,68,A,low,,X,medium,120,Z,,359,X,medium,143,X,low,257
284,A,low,,A,unknown,39,C,,,X,low,499,X,high,99,Y,medium,357,Z,high,250
285,B,medium,53,C,,56,A,high,51,Y,low,,Y,medium,113,Y,medium,340,Y,medium,417
286,C,high,,B,medium,55,D,,76,Z,medium,121,,medium,24,Z,medium,94,,medium,290
287,,high,,,high,19,D,,84,Y,medium,250,Y,low,,Y,high,289,Y,,254
288,D,medium,47,C,high,23,,low,5,X,low,236,X,high,334,X,low,268,Z,low,443
289,B,,,,,30,A,unknown,28,X,medium,25,Z,high,105,X,high,47,X,high,46
290,D,high,,,high,,B,,25,Z,,455,,low,355,Z,low,382,Z,,416
291,,,,D,unknown,,,,55,Y,high,120,Z,high,1,Z,low,428,Z,high,98
292,C,medium,5,,,,,high,,Y,low,51,X,high,433,X,high,473,Y,low,165
293,C,,0,,,,C,,,Z,,259,X,medium,345,Z,low,43,X,low,6
294,A,unknown,41,A,,67,C,,91,Y,high,464,Y,high,341,Y,high,89,Z,high,285
295,A,,,D,,,C,unknown,33,Y,low,1,X,medium,353,,high,412,Z,high,415
296,,,,,unknown,68,,high,,Z,low,244,Y,,179,Y,,152,,low,190
297,C,,7,B,medium,,A,medium,43,X,,455,Y,low,497,Z,medium,312,Y,low,331
298,,high,67,D,,,,unknown,,Y,high,446,X,low,,X,high,174,Z,medium,196
299,A,high,45,,high,89,,medium,88,Y,high,85,Z,medium,90,Z,high,108,X,low,379
300,,,23,,,20,D,,,X,medium,,X,low,461,X,medium,312,X,medium,499
