"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5","DR6","DR7","DR8"
11,"a","high",106,"Y","low",80,"X","high",14,"X","medium",25,"Z","low",282,"Y","high",310,"X","medium",188,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""037C-5FCA-AFF5"",""description"":""archive storage osaka/tokyo dual-region"",""original_region"":""asia1""}","21-05-2024","16:12:00","17:38:00","21-05-2024 17:33","Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN","Japanese authorities ordered crypto exchanges on Monday not to process transactions involving crypto assets subject to asset-freeze sanctions against Russia and Belarus over the war in Ukraine.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. You are out of order. I will proceed.",-0.989831172984829,0.800727745441822,1.18019555679539,0.0147658394131979,0.531613784663896,-2.0723209342929,-1.18023922786246,0.512523467014218
12,"b","low",423,"Z","low",125,"Y","medium",390,"Z","low",214,"Z","medium",348,"X","high",417,"X","high",NA,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FCE0-B059-75F6"",""description"":""autoclass coldline storage turin dual-region"",""original_region"":""europe-west12""}","29-01-2024","18:35:00","20:58:00","29-01-2024 20:50","Why potassium iodide pills are suddenly in high demand  - CNN","As Russia's assault in Ukraine intensifies, fear of radioactive fallout from accidental or intentional attacks on Ukraine's nuclear plants, or from the use of a nuclear bomb, has triggered surging demand for potassium iodide pills.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We cannot possibly move forward, Mr. Chair- man, with this hearingÑÑ",-1.18973831990482,-0.283680833069256,-1.50994153716953,0.715053424049496,-0.421756100729999,-0.0727468310517305,0.0546683341813421,0.347810465987929
13,"a","high",170,"Z","low",343,"Z","low",44,"X","medium",247,"Z","high",459,"Y","high",13,"Y","medium",116,"ARCHIVE","north_america","ARCHIVE","{""sku_id"":""E5D5-663B-A9DC"",""description"":""archive storage south carolina dual-region"",""original_region"":""us-east1""}","15-06-2024","19:08:00","19:55:00","15-06-2024 19:54","Russian internet users are learning to beat Putin's internet crackdown - CNN","A digital Iron Curtain may be descending on Russia, as President Vladimir Putin struggles to control the narrative about his war in Ukraine. The Kremlin has already moved to block Facebook and Twitter, and its latest step in that direction came Friday as the government announced plans to block Instagram in the country, as well. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I extend a very warm welcomeÑÑ",0.0651914894551489,0.0864600472209991,1.57095773253516,-1.51602069010147,0.543533755791159,-0.437636155031741,0.355781849760559,0.723846052524603
14,"b","high",381,"X","low",220,"Z","low",275,"Z","medium",195,"Z","medium",65,"X","high",391,"Y","medium",482,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""F6E9-7338-D916"",""description"":""autoclass nearline storage montreal dual-region"",""original_region"":""northamerica-northeast1""}","26-04-2024","18:15:00","18:47:00","26-04-2024 18:46","Meta says it doesn't allow calls for assassinating heads of state - CNN","Meta, the parent company of Facebook and Instagram, issued a reminder on Sunday that it prohibits calls on its platforms for the assassination of high-ranking world leaders, following intense scrutiny of the company's decision last week to relax hate speech policies in Ukraine.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We have not been given an opportunityÑÑ",-1.18619132619772,0.00273049264653191,0.892139321640524,0.126564818540938,0.44095880576784,-0.533042110005909,2.39140891278269,-0.217459728576547
15,"b","medium",18,"X","low",391,"X","low",415,"Z","high",266,"Z","medium",31,"Z","high",94,"Y","low",449,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EFEF-E236-E29F"",""description"":""autoclass archive storage zurich"",""original_region"":""europe-west6""}","27-06-2024","12:06:00","14:55:00","27-06-2024 14:48","Citi expands its exit from Russia - CNN","Citigroup, the major US bank with the biggest footprint in Russia, said Monday it will expand its exit from Russia to go beyond the long-planned sale of its consumer bank there.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To Judge KavanaughÑÑ",-0.0806913516986388,0.400301021377387,0.0040530178990457,-1.26669798341071,0.590930591946859,-0.635180098027673,0.506591264783165,-1.44892238239344
16,"b","low",245,"Z","medium",262,"X","low",229,"X","medium",56,"Z","high",44,"Y","",282,"X","high",341,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E84B-7220-B2AC"",""description"":""autoclass archive storage netherlands dual-region"",""original_region"":""europe-west4""}","02-12-2024","20:26:00","23:15:00","02-12-2024 23:05","Companies pulling back from Russia over the war in Ukraine - CNN","Dozens of the world's biggest companies have abandoned or scaled back their operations in Russia in response to its invasion of Ukraine. ","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. To have a meaningful hearingÑÑ",1.11098674157201,0.547532004248902,-0.66442211718177,-0.609190274118905,0.531627480492285,0.501823038382909,-0.974567206509733,-0.283123928633561
17,"a","low",475,"X","medium",32,"Z","high",279,"Y","high",133,"X","medium",133,"X","medium",193,"Z","low",277,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E89C-671A-4ABF"",""description"":""autoclass standard storage finland/netherlands dual-region"",""original_region"":""eur4""}","19-12-2024","09:59:00","11:39:00","19-12-2024 11:35","Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN","Big tech platforms have joined the global backlash against Russia over its invasion of Ukraine, with Facebook, Google, Twitter, Spotify, Netflix and others placing at least partial restrictions on Russian content — if not exiting (or getting themselves blocked) altogether. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To his wife, AshleyÑÑ",-0.0215584881604454,-1.65330532223529,1.29649488235235,2.00153137900682,-1.50569824155679,-0.0293611339773428,-0.323457835243774,1.7075589269129
18,"a","medium",96,"Y","medium",332,"Z","high",309,"X","medium",2,"Y","",176,"Z","high",431,"X","low",237,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""C4F8-582D-CDF9"",""description"":""standard storage stockholm"",""original_region"":""europe-north2""}","04-09-2024","12:21:00","14:14:00","04-09-2024 14:06","Britain's cost of living crisis is pushing millions to the brink  - CNN","Nazmin Begum has a problem: she's having to pay much more to keep her two children warm and fed as the United Kingdom endures its worst cost of living crisis in three decades.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. On this nominee.",1.79604270308896,-1.73192459256604,1.70223886472828,-0.29438153445149,-0.0812664248631588,-1.21842847617618,-0.777273529924575,0.0231519368883938
19,"b","low",15,"Z","medium",304,"Z","high",288,"Y","low",480,"X","low",439,"","low",337,"Y","high",341,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""8A46-D6C4-859E"",""description"":""nearline storage south carolina"",""original_region"":""us-east1""}","20-08-2024","21:43:00","22:33:00","20-08-2024 22:24","Starbucks is planning to phase out its iconic cups - CNN","Starbucks has a love-hate relationship with its cups. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Their two daughtersÑÑ",1.18116357665393,-0.150361491424856,-0.601005212410976,-0.512222405317693,-0.880827340581825,-0.352166764574603,-0.925544483773212,0.10908037502327
20,"b","low",144,"Z","low",182,"Y","low",365,"Y","medium",415,"Z","high",260,"Y","high",230,"Y","high",431,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""D4C0-6A6B-742B"",""description"":""autoclass nearline storage melbourne"",""original_region"":""australia-southeast2""}","14-04-2024","14:20:00","15:00:00","14-04-2024 14:55","Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN","China's economy started the year on a bright note, with several major indicators beating forecasts. But as Covid cases in the country spike, keeping up the same pace of growth in the coming months may prove difficult.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, I agree with my colleague, Senator Harris.",-1.00402043746646,-0.115206195008178,-1.0435918916293,-0.0781630034825229,1.10604877477503,0.341038156092203,-0.846956865758362,-0.641697290713718
21,"a","medium",31,"Z","medium",395,"Z","medium",429,"Y","",126,"X","high",372,"Y","medium",254,"Y","low",213,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FE3D-5C17-7088"",""description"":""durable reduced availability storage las vegas"",""original_region"":""us-west4""}","06-01-2024","14:43:00","16:53:00","06-01-2024 16:46","Hong Kong Covid divide: Expats get more perks while domestic workers lose their homes - CNN","Maria was just about to start a new job as a domestic worker in Hong Kong last month when she found out she had Covid-19.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And their family and friendsÑÑ",1.956408165863,-1.61583450514157,0.561144520658447,-2.15557796984213,-1.68138228080933,-0.73384210843695,-0.700916465827096,-0.0217245857800443
22,"b","medium",306,"X","high",175,"Y","low",67,"Z","low",18,"Y","high",287,"X","low",353,"X","medium",NA,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""1A2D-77C9-8F73"",""description"":""archive storage belgium"",""original_region"":""europe-west1""}","22-05-2024","06:00:00","06:31:00","22-05-2024 06:23","Shenzhen lockdown: Foxconn halts operations as Covid hits tech hub - CNN","Foxconn, one of Apple's biggest suppliers, has suspended operations in Shenzhen as China locks down the technology hub and several other regions to contain the country's worst Covid-19 outbreak in two years.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, we received 42,000 documentsÑÑ",0.0181968365466187,-0.858112847468766,-0.743439691486056,1.64426795843575,0.624441094994706,0.358098781787113,0.721645898635311,-2.03868829717191
23,"b","high",95,"X","low",57,"Z","low",229,"Y","medium",135,"Y","high",476,"Y","",359,"Y","low",456,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC93-7D27-5888"",""description"":""autoclass coldline storage iowa"",""original_region"":""us-central1""}","15-06-2024","21:11:00","23:39:00","15-06-2024 23:29","US economy flashes a recession warning sign - CNN","Surging oil and gas prices have raised recession alarm bells around the world. But another economic indicator is starting to look ominous: The yield curve is flattening.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Judge KavanaughÕs many law clerksÑÑ",-1.78429677531927,-0.408286169431658,0.211249620137554,-0.527844323711909,0.173764413556479,-1.14698435031173,1.34561121443223,-0.915017586526571
24,"b","high",123,"X","low",60,"X","medium",426,"Z","low",478,"","medium",164,"Z","low",286,"X","high",455,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""37BE-AAB1-0008"",""description"":""nearline storage salt lake city dual-region"",""original_region"":""us-west3""}","25-03-2024","19:38:00","21:50:00","25-03-2024 21:42","Biden's plan to reshape the Fed just hit a hurdle - CNN","President Joe Biden planned to reshape the Federal Reserve through his nominations. But Senator Joe Manchin threw a wrench into those plans Monday.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR [continuing]. That we have not been able to review last night.",-2.10655002250997,0.916750420283194,-0.756590929195636,-0.74406944935852,-1.16254952151831,-1.81449462362465,0.576953779390169,-0.681529606246669
25,"b","low",293,"Z","medium",450,"X","medium",190,"","",405,"X","medium",334,"Z","high",363,"Z","medium",114,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F022-AD5D-C7E1"",""description"":""autoclass standard storage asia multi-region"",""original_region"":""asia""}","17-10-2024","17:26:00","20:32:00","17-10-2024 20:24","Shell's directors face legal action from climate group shareholder - CNN","The lawyers from ClientEarth, which is a Shell shareholder, said they are seeking to hold the oil and gas company's 13 directors liable for what they call a failure to prepare for the global shift to a low-carbon economy.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And everyone else joining us today.",0.905238132971877,0.718115978540082,-0.568744247762995,-1.66141960748353,-1.07994275000376,1.76699257314089,-0.594432465697136,0.838714546959383
26,"b","low",162,"X","low",188,"X","high",244,"Y","medium",NA,"Z","",136,"Z","high",394,"Z","low",119,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E7A9-508A-0C4F"",""description"":""autoclass archive storage taiwan dual-region"",""original_region"":""asia-east1""}","02-03-2024","07:31:00","11:18:00","02-03-2024 11:12","Gravity could solve renewable energy's biggest problem - CNN","Energy Vault's gravity-based technology can store wind and solar power longer than batteries. ","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. And we believe this hearing should be postponed.",-1.53300949681594,0.791224384936424,-0.169977660945315,0.202811021979943,-0.741150058566754,0.913921840941707,-0.32528466326224,0.83775171823904
27,"a","low",325,"Y","medium",207,"X","low",371,"X","",461,"Y","medium",116,"X","low",15,"Z","low",102,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""FCAE-1D35-0D35"",""description"":""durable reduced availability storage sydney"",""original_region"":""australia-southeast1""}","24-06-2024","11:49:00","13:46:00","24-06-2024 13:38","Ford will start shipping Explorers without all the parts -- and add them later - CNN","The auto industry has a saying: You can't build a car with 99% of the parts. But the computer chip shortage is proving that adage wrong.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I know this is an exciting day for all of you hereÑÑ",0.621913777084838,-0.744976707747253,0.901679287211603,-0.18731402973379,1.5892755159785,-0.00114234422623504,-1.66516438594232,0.957415949349483
28,"b","low",465,"Z","high",152,"X","high",467,"X","high",88,"Z","high",490,"Z","high",183,"Z","low",13,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""DAFD-61D2-339F"",""description"":""standard storage day0 (alabama)"",""original_region"":""us-east7""}","26-02-2024","18:32:00","19:44:00","26-02-2024 19:35","Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN","Ben Morris bought his Tesla in 2020 believing that it would drive itself one day. Now he says he would settle for continuing to feel safe using its cruise control. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman.",0.810187233820293,1.18606517153349,-1.23806570223915,1.56952829173311,-0.392033070560886,1.78071319345885,-0.0888195583002696,1.33651204590497
29,"a","medium",465,"Y","low",368,"X","low",125,"Y","high",268,"Y","medium",12,"X","low",NA,"Z","low",347,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-west1""}","07-05-2024","12:02:00","14:34:00","07-05-2024 14:26","NASA says American aboard International Space Station will come back on Russian rocket 'for sure' - CNN","NASA said Monday that NASA astronaut Mark Vande Hei will return from the ISS later this month aboard a Russian Soyuz spacecraft as previously planned. The space agency sought to reaffirm Monday that it's still working closely with Russian space agency Rocosmos on the International Space Station, despite mounting geopolitical tensions.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And you are rightly proud of JudgeÑÑ",0.909761524801868,-0.430449367150283,1.6849719256379,-0.0940336814760484,2.02534867509619,-0.469425302629697,0.483130071461815,0.644254308826219
30,"b","high",364,"Z","low",302,"X","high",477,"Y","medium",396,"Y","high",136,"X","high",160,"X","low",214,"NEARLINE","south_america","OCCASIONAL_ACCESS","{""sku_id"":""0906-3C38-5507"",""description"":""nearline storage sao paulo"",""original_region"":""southamerica-east1""}","22-12-2024","19:44:00","21:15:00","22-12-2024 21:08","Pete Davidson and five paying customers to fly on Jeff Bezos' suborbital rocket - CNN","Pete Davidson will become the latest celebrity to fly to space with Jeff Bezos' rocket company, Blue Origin, in a brief, suborbital flight slated for later this month.","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, if we cannot be recognized, I move to adjourn.",0.150974773790809,2.51822387227048,0.375820021736589,0.421622547785278,-0.239401258994725,-0.87666004398619,0.719897890219429,0.072260166947572
31,"b","high",484,"Y","medium",449,"Y","low",354,"Y","high",9,"X","medium",193,"","high",412,"Z","medium",15,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EB7B-0E58-1CD1"",""description"":""autoclass standard storage madrid"",""original_region"":""europe-southwest1""}","01-09-2024","07:49:00","08:29:00","01-09-2024 08:28","India's young investors prefer crypto to gold and 'boring' stocks - CNN","India has seen a massive boom in cryptocurrency trading since the start of the pandemic, even though authorities in Asia's third largest economy have for years expressed concerns about digital currencies, and even flirted with a ban. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. The American peopleÑÑ",-0.0706728287858756,0.156803923380079,1.97033564037344,-0.0319874698116731,1.73739949721772,1.94541808355743,0.48263729694571,-1.08022569291434
32,"b","high",368,"Y","low",447,"Y","low",15,"Z","medium",217,"X","medium",68,"Y","medium",274,"Y","high",102,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""D970-F476-8D81"",""description"":""durable reduced availability storage frankfurt/london dual-region"",""original_region"":""eur7""}","04-06-2024","09:53:00","13:35:00","04-06-2024 13:27","India budget 2022: Digital rupee and crypto tax announced - CNN","India is planning to launch a digital version of the rupee, becoming the latest country to join the rush to create state-backed virtual currencies. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.]",-1.27958698752099,0.548760471160825,1.51888366133853,-0.459178718295202,2.267593515141,1.37680850873246,0.926906974477752,-0.62742514887108
33,"a","medium",33,"Z","low",494,"X","medium",430,"","high",177,"Y","low",385,"X","medium",135,"X","high",266,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""EFF5-EB22-3D38"",""description"":""archive storage turin"",""original_region"":""europe-west12""}","21-03-2024","07:01:00","09:39:00","21-03-2024 09:36","Adar Poonawalla: He vaccinates half the world's babies. Ending the pandemic proved much harder - CNN","As Covid-19 wreaked havoc around the world last year, the 39-year-old son of an Indian billionaire was laying the groundwork for a plan he hoped would eventually end the pandemic.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Will hear directly from Judge Kavanaugh later this afternoon.",1.01863130441853,0.398671015837906,0.202968649118048,-2.38241458686861,-0.807417459756913,-0.981155410508885,-0.751996757206438,0.415828289630239
34,"a","medium",477,"Y","low",420,"Y","low",192,"Y","high",88,"X","high",179,"","high",175,"Z","medium",417,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""154C-10C0-5E59"",""description"":""nearline storage columbus"",""original_region"":""us-east5""}","24-01-2024","17:07:00","19:15:00","24-01-2024 19:06","India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN","More than two decades ago, India began its transformation into a global IT powerhouse, ushering in an era of wealth and job creation never before seen in the country. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.] Senator BLUMENTHAL. Mr. Chairman, we have been deniedÑwe have been denied real access to the documents we need to advise and consentÑÑ",0.280574472118063,-1.17729624865466,1.97083397917914,0.573003044606236,2.21649463873217,0.100846201411847,0.29114825287704,-0.0505688128422044
