"id","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","ExtraCol27_custom_bin","ExtraCol27_freq_bin","ExtraCol27_original_freq","ExtraCol29_freq_bin","ExtraCol29_original_freq","ExtraCol30_freq_bin","ExtraCol30_original_freq","ExtraCol32_freq_bin","ExtraCol32_original_freq","ExtraCol27_target_bin","ExtraCol27_target_stat","ExtraCol29_target_bin","ExtraCol29_target_stat","ExtraCol30_target_bin","ExtraCol30_target_stat","ExtraCol32_target_bin","ExtraCol32_target_stat"
11,"medium",25,"Z","low",282,"Y","Other",310,"X","Other",188,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""037C-5FCA-AFF5"",""description"":""archive storage osaka/tokyo dual-region"",""original_region"":""asia1""}","21-05-2024","16:12:00","17:38:00","21-05-2024 17:33","Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN","Japanese authorities ordered crypto exchanges on Monday not to process transactions involving crypto assets subject to asset-freeze sanctions against Russia and Belarus over the war in Ukraine.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. You are out of order. I will proceed.","Good","medium",359,"Z",353,"low",277,"Y",351,"medium",NA,"Z",NA,"low",NA,"Y",NA
12,"low",214,"Z","medium",348,"X","Other",417,"X","Other",40,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""FCE0-B059-75F6"",""description"":""autoclass coldline storage turin dual-region"",""original_region"":""europe-west12""}","29-01-2024","18:35:00","20:58:00","29-01-2024 20:50","Why potassium iodide pills are suddenly in high demand  - CNN","As Russia's assault in Ukraine intensifies, fear of radioactive fallout from accidental or intentional attacks on Ukraine's nuclear plants, or from the use of a nuclear bomb, has triggered surging demand for potassium iodide pills.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We cannot possibly move forward, Mr. Chair- man, with this hearingÑÑ","bad","low",270,"Z",353,"medium",340,"X",282,"low",NA,"Z",NA,"medium",NA,"X",NA
13,"medium",247,"Z","high",459,"Y","Other",13,"Other","Other",116,"ARCHIVE","north_america","ARCHIVE","{""sku_id"":""E5D5-663B-A9DC"",""description"":""archive storage south carolina dual-region"",""original_region"":""us-east1""}","15-06-2024","19:08:00","19:55:00","15-06-2024 19:54","Russian internet users are learning to beat Putin's internet crackdown - CNN","A digital Iron Curtain may be descending on Russia, as President Vladimir Putin struggles to control the narrative about his war in Ukraine. The Kremlin has already moved to block Facebook and Twitter, and its latest step in that direction came Friday as the government announced plans to block Instagram in the country, as well. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I extend a very warm welcomeÑÑ","Good","medium",359,"Z",353,"high",274,"Y",351,"medium",NA,"Z",NA,"high",NA,"Y",NA
14,"medium",195,"Z","medium",65,"X","Other",391,"Other","Other",482,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""F6E9-7338-D916"",""description"":""autoclass nearline storage montreal dual-region"",""original_region"":""northamerica-northeast1""}","26-04-2024","18:15:00","18:47:00","26-04-2024 18:46","Meta says it doesn't allow calls for assassinating heads of state - CNN","Meta, the parent company of Facebook and Instagram, issued a reminder on Sunday that it prohibits calls on its platforms for the assassination of high-ranking world leaders, following intense scrutiny of the company's decision last week to relax hate speech policies in Ukraine.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS. We have not been given an opportunityÑÑ","Good","medium",359,"Z",353,"medium",340,"X",282,"medium",NA,"Z",NA,"medium",NA,"X",NA
15,"high",266,"Z","medium",31,"Z","Other",94,"Other","low",449,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EFEF-E236-E29F"",""description"":""autoclass archive storage zurich"",""original_region"":""europe-west6""}","27-06-2024","12:06:00","14:55:00","27-06-2024 14:48","Citi expands its exit from Russia - CNN","Citigroup, the major US bank with the biggest footprint in Russia, said Monday it will expand its exit from Russia to go beyond the long-planned sale of its consumer bank there.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To Judge KavanaughÑÑ","Good","high",262,"Z",353,"medium",340,"Z",258,"high",NA,"Z",NA,"medium",NA,"Z",NA
16,"medium",56,"Z","high",44,"Y","low",282,"X","Other",341,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E84B-7220-B2AC"",""description"":""autoclass archive storage netherlands dual-region"",""original_region"":""europe-west4""}","02-12-2024","20:26:00","23:15:00","02-12-2024 23:05","Companies pulling back from Russia over the war in Ukraine - CNN","Dozens of the world's biggest companies have abandoned or scaled back their operations in Russia in response to its invasion of Ukraine. ","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. To have a meaningful hearingÑÑ","Good","medium",359,"Z",353,"high",274,"Y",351,"medium",NA,"Z",NA,"high",NA,"Y",NA
17,"high",133,"X","medium",133,"X","Other",193,"Other","low",277,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""E89C-671A-4ABF"",""description"":""autoclass standard storage finland/netherlands dual-region"",""original_region"":""eur4""}","19-12-2024","09:59:00","11:39:00","19-12-2024 11:35","Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN","Big tech platforms have joined the global backlash against Russia over its invasion of Ukraine, with Facebook, Google, Twitter, Spotify, Netflix and others placing at least partial restrictions on Russian content — if not exiting (or getting themselves blocked) altogether. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. To his wife, AshleyÑÑ","Good","high",262,"X",256,"medium",340,"X",282,"high",NA,"X",NA,"medium",NA,"X",NA
18,"medium",2,"Y","medium",176,"Z","Other",431,"X","low",237,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""C4F8-582D-CDF9"",""description"":""standard storage stockholm"",""original_region"":""europe-north2""}","04-09-2024","12:21:00","14:14:00","04-09-2024 14:06","Britain's cost of living crisis is pushing millions to the brink  - CNN","Nazmin Begum has a problem: she's having to pay much more to keep her two children warm and fed as the United Kingdom endures its worst cost of living crisis in three decades.","Senator","D","Senator Kamala Harris (CA)","Senator HARRIS [continuing]. On this nominee.","Good","medium",359,"Y",282,"medium",340,"Z",258,"medium",NA,"Y",NA,"medium",NA,"Z",NA
19,"low",480,"X","low",439,"Y","low",337,"Other","Other",341,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""8A46-D6C4-859E"",""description"":""nearline storage south carolina"",""original_region"":""us-east1""}","20-08-2024","21:43:00","22:33:00","20-08-2024 22:24","Starbucks is planning to phase out its iconic cups - CNN","Starbucks has a love-hate relationship with its cups. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Their two daughtersÑÑ","bad","low",270,"X",256,"low",277,"Y",351,"low",NA,"X",NA,"low",NA,"Y",NA
20,"medium",415,"Z","high",260,"Y","Other",230,"Other","Other",431,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""D4C0-6A6B-742B"",""description"":""autoclass nearline storage melbourne"",""original_region"":""australia-southeast2""}","14-04-2024","14:20:00","15:00:00","14-04-2024 14:55","Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN","China's economy started the year on a bright note, with several major indicators beating forecasts. But as Covid cases in the country spike, keeping up the same pace of growth in the coming months may prove difficult.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, I agree with my colleague, Senator Harris.","Good","medium",359,"Z",353,"high",274,"Y",351,"medium",NA,"Z",NA,"high",NA,"Y",NA
21,"medium",126,"X","high",372,"Y","Other",254,"Other","low",213,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FE3D-5C17-7088"",""description"":""durable reduced availability storage las vegas"",""original_region"":""us-west4""}","06-01-2024","14:43:00","16:53:00","06-01-2024 16:46","Hong Kong Covid divide: Expats get more perks while domestic workers lose their homes - CNN","Maria was just about to start a new job as a domestic worker in Hong Kong last month when she found out she had Covid-19.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And their family and friendsÑÑ","Good","medium",359,"X",256,"high",274,"Y",351,"medium",NA,"X",NA,"high",NA,"Y",NA
22,"low",18,"Y","high",287,"X","low",353,"X","Other",40,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""1A2D-77C9-8F73"",""description"":""archive storage belgium"",""original_region"":""europe-west1""}","22-05-2024","06:00:00","06:31:00","22-05-2024 06:23","Shenzhen lockdown: Foxconn halts operations as Covid hits tech hub - CNN","Foxconn, one of Apple's biggest suppliers, has suspended operations in Shenzhen as China locks down the technology hub and several other regions to contain the country's worst Covid-19 outbreak in two years.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. Mr. Chairman, we received 42,000 documentsÑÑ","bad","low",270,"Y",282,"high",274,"X",282,"low",NA,"Y",NA,"high",NA,"X",NA
23,"medium",135,"Y","high",476,"Y","low",359,"Other","low",456,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""FC93-7D27-5888"",""description"":""autoclass coldline storage iowa"",""original_region"":""us-central1""}","15-06-2024","21:11:00","23:39:00","15-06-2024 23:29","US economy flashes a recession warning sign - CNN","Surging oil and gas prices have raised recession alarm bells around the world. But another economic indicator is starting to look ominous: The yield curve is flattening.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Judge KavanaughÕs many law clerksÑÑ","Good","medium",359,"Y",282,"high",274,"Y",351,"medium",NA,"Y",NA,"high",NA,"Y",NA
24,"low",478,"Z","medium",164,"Z","low",286,"X","Other",455,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""37BE-AAB1-0008"",""description"":""nearline storage salt lake city dual-region"",""original_region"":""us-west3""}","25-03-2024","19:38:00","21:50:00","25-03-2024 21:42","Biden's plan to reshape the Fed just hit a hurdle - CNN","President Joe Biden planned to reshape the Federal Reserve through his nominations. But Senator Joe Manchin threw a wrench into those plans Monday.","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR [continuing]. That we have not been able to review last night.","bad","low",270,"Z",353,"medium",340,"Z",258,"low",NA,"Z",NA,"medium",NA,"Z",NA
25,"medium",405,"X","medium",334,"Z","Other",363,"Other","Other",114,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""F022-AD5D-C7E1"",""description"":""autoclass standard storage asia multi-region"",""original_region"":""asia""}","17-10-2024","17:26:00","20:32:00","17-10-2024 20:24","Shell's directors face legal action from climate group shareholder - CNN","The lawyers from ClientEarth, which is a Shell shareholder, said they are seeking to hold the oil and gas company's 13 directors liable for what they call a failure to prepare for the global shift to a low-carbon economy.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And everyone else joining us today.","Good","medium",359,"X",256,"medium",340,"Z",258,"medium",NA,"X",NA,"medium",NA,"Z",NA
26,"medium",68,"Z","medium",136,"Z","Other",394,"Other","low",119,"STANDARD","asia","FREQUENT_ACCESS","{""sku_id"":""E7A9-508A-0C4F"",""description"":""autoclass archive storage taiwan dual-region"",""original_region"":""asia-east1""}","02-03-2024","07:31:00","11:18:00","02-03-2024 11:12","Gravity could solve renewable energy's biggest problem - CNN","Energy Vault's gravity-based technology can store wind and solar power longer than batteries. ","Senator","D","Senator Amy Klobuchar (MN)","Senator KLOBUCHAR. And we believe this hearing should be postponed.","Good","medium",359,"Z",353,"medium",340,"Z",258,"medium",NA,"Z",NA,"medium",NA,"Z",NA
27,"medium",461,"Y","medium",116,"X","low",15,"Other","low",102,"STANDARD","oceania","FREQUENT_ACCESS","{""sku_id"":""FCAE-1D35-0D35"",""description"":""durable reduced availability storage sydney"",""original_region"":""australia-southeast1""}","24-06-2024","11:49:00","13:46:00","24-06-2024 13:38","Ford will start shipping Explorers without all the parts -- and add them later - CNN","The auto industry has a saying: You can't build a car with 99% of the parts. But the computer chip shortage is proving that adage wrong.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. I know this is an exciting day for all of you hereÑÑ","Good","medium",359,"Y",282,"medium",340,"X",282,"medium",NA,"Y",NA,"medium",NA,"X",NA
28,"high",88,"Z","high",490,"Z","Other",183,"Other","low",13,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""DAFD-61D2-339F"",""description"":""standard storage day0 (alabama)"",""original_region"":""us-east7""}","26-02-2024","18:32:00","19:44:00","26-02-2024 19:35","Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN","Ben Morris bought his Tesla in 2020 believing that it would drive itself one day. Now he says he would settle for continuing to feel safe using its cruise control. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman.","Good","high",262,"Z",353,"high",274,"Z",258,"high",NA,"Z",NA,"high",NA,"Z",NA
29,"high",268,"Y","medium",12,"X","low",236,"Other","low",347,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-west1""}","07-05-2024","12:02:00","14:34:00","07-05-2024 14:26","NASA says American aboard International Space Station will come back on Russian rocket 'for sure' - CNN","NASA said Monday that NASA astronaut Mark Vande Hei will return from the ISS later this month aboard a Russian Soyuz spacecraft as previously planned. The space agency sought to reaffirm Monday that it's still working closely with Russian space agency Rocosmos on the International Space Station, despite mounting geopolitical tensions.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. And you are rightly proud of JudgeÑÑ","Good","high",262,"Y",282,"medium",340,"X",282,"high",NA,"Y",NA,"medium",NA,"X",NA
30,"medium",396,"Y","high",136,"X","Other",160,"X","low",214,"NEARLINE","south_america","OCCASIONAL_ACCESS","{""sku_id"":""0906-3C38-5507"",""description"":""nearline storage sao paulo"",""original_region"":""southamerica-east1""}","22-12-2024","19:44:00","21:15:00","22-12-2024 21:08","Pete Davidson and five paying customers to fly on Jeff Bezos' suborbital rocket - CNN","Pete Davidson will become the latest celebrity to fly to space with Jeff Bezos' rocket company, Blue Origin, in a brief, suborbital flight slated for later this month.","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, if we cannot be recognized, I move to adjourn.","Good","medium",359,"Y",282,"high",274,"X",282,"medium",NA,"Y",NA,"high",NA,"X",NA
31,"high",9,"X","medium",193,"Y","Other",412,"Other","Other",15,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""EB7B-0E58-1CD1"",""description"":""autoclass standard storage madrid"",""original_region"":""europe-southwest1""}","01-09-2024","07:49:00","08:29:00","01-09-2024 08:28","India's young investors prefer crypto to gold and 'boring' stocks - CNN","India has seen a massive boom in cryptocurrency trading since the start of the pandemic, even though authorities in Asia's third largest economy have for years expressed concerns about digital currencies, and even flirted with a ban. ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. The American peopleÑÑ","Good","high",262,"X",256,"medium",340,"Y",351,"high",NA,"X",NA,"medium",NA,"Y",NA
32,"medium",217,"X","medium",68,"Y","Other",274,"Other","Other",102,"STANDARD","europe","FREQUENT_ACCESS","{""sku_id"":""D970-F476-8D81"",""description"":""durable reduced availability storage frankfurt/london dual-region"",""original_region"":""eur7""}","04-06-2024","09:53:00","13:35:00","04-06-2024 13:27","India budget 2022: Digital rupee and crypto tax announced - CNN","India is planning to launch a digital version of the rupee, becoming the latest country to join the rush to create state-backed virtual currencies. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.]","Good","medium",359,"X",256,"medium",340,"Y",351,"medium",NA,"X",NA,"medium",NA,"Y",NA
33,"high",177,"Y","low",385,"X","Other",135,"X","Other",266,"ARCHIVE","europe","ARCHIVE","{""sku_id"":""EFF5-EB22-3D38"",""description"":""archive storage turin"",""original_region"":""europe-west12""}","21-03-2024","07:01:00","09:39:00","21-03-2024 09:36","Adar Poonawalla: He vaccinates half the world's babies. Ending the pandemic proved much harder - CNN","As Covid-19 wreaked havoc around the world last year, the 39-year-old son of an Indian billionaire was laying the groundwork for a plan he hoped would eventually end the pandemic.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY [continuing]. Will hear directly from Judge Kavanaugh later this afternoon.","Good","high",262,"Y",282,"low",277,"X",282,"high",NA,"Y",NA,"low",NA,"X",NA
34,"high",88,"X","high",179,"Y","Other",175,"Other","Other",417,"NEARLINE","north_america","OCCASIONAL_ACCESS","{""sku_id"":""154C-10C0-5E59"",""description"":""nearline storage columbus"",""original_region"":""us-east5""}","24-01-2024","17:07:00","19:15:00","24-01-2024 19:06","India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN","More than two decades ago, India began its transformation into a global IT powerhouse, ushering in an era of wealth and job creation never before seen in the country. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. Mr. Chairman, I move to adjourn. [Disturbance in the hearing room.] Senator BLUMENTHAL. Mr. Chairman, we have been deniedÑwe have been denied real access to the documents we need to advise and consentÑÑ","Good","high",262,"X",256,"high",274,"Y",351,"high",NA,"X",NA,"high",NA,"Y",NA
35,"low",111,"Z","high",229,"X","Other",236,"Other","Other",331,"COLDLINE","north_america","RARE_ACCESS","{""sku_id"":""D265-FB5C-710A"",""description"":""coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}","18-11-2024","18:21:00","18:42:00","18-11-2024 18:37","India IPOs: 2021 was a dramatic year for tech. The hype won't go away in 2022 - CNN","It was a year of IPOs for India, with over $15 billion raised. It saw unicorns approach public markets for the first time, with IPOs from Zomato & Nykaa. It also saw one of the biggest debut day flops in history, with Paytm receiving a big thumbs down on listing day.","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. Mr. Chairman, regular order is called for.","bad","low",270,"Z",353,"high",274,"X",282,"low",NA,"Z",NA,"high",NA,"X",NA
36,"high",484,"X","medium",151,"Y","low",62,"X","Other",266,"ARCHIVE","asia","ARCHIVE","{""sku_id"":""0CE5-412C-060A"",""description"":""archive storage doha"",""original_region"":""me-central1""}","28-06-2024","17:54:00","21:49:00","28-06-2024 21:45","Key supply of diamonds caught up in Russia sanctions - CNN","Far-reaching global sanctions against Russia for its invasion of Ukraine are affecting the global supply of a precious commodity --  the diamonds used in jewelry. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL [continuing]. Which turns this hearing into a charade and a mockery of our norms.","Good","high",262,"X",256,"medium",340,"Y",351,"high",NA,"X",NA,"medium",NA,"Y",NA
37,"high",255,"X","low",445,"Z","low",154,"Other","low",93,"COLDLINE","asia","RARE_ACCESS","{""sku_id"":""0D26-8387-B0F6"",""description"":""coldline storage jakarta"",""original_region"":""asia-southeast2""}","16-08-2024","20:42:00","20:57:00","16-08-2024 20:51","Ukraine halts half of world's neon output for chips, clouding outlook - CNN","Ukraine's two leading suppliers of neon, which produce about half the world's supply of the key ingredient for making chips, have halted their operations as Moscow has sharpened its attack on the country, threatening to raise prices and aggravate the semiconductor shortage.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. WellÑÑ","Good","high",262,"X",256,"low",277,"Z",258,"high",NA,"X",NA,"low",NA,"Z",NA
38,"high",68,"X","high",210,"Z","Other",340,"Other","Other",144,"STANDARD","north_america","FREQUENT_ACCESS","{""sku_id"":""C019-C3D4-B615"",""description"":""autoclass standard storage us multi-region"",""original_region"":""us""}","15-04-2024","17:44:00","20:58:00","15-04-2024 20:57","Soaring nickel prices could be the next major headache for automakers - CNN","Nickel prices have soared to all-time highs in the wake of Russia's invasion of Ukraine, threatening the global transition to electric vehicles. ","Senator","D","Senator Richard Blumenthal (D-CT)","Senator BLUMENTHAL. And, Mr. Chairman, I, therefore, move to adjourn this hearing.","Good","high",262,"X",256,"high",274,"Z",258,"high",NA,"X",NA,"high",NA,"Z",NA
