id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2
71,C.A. 33111,10.5,,S,79,D
72,CA 2144,46.9,,S,18,A
73,S.O.C. 14879,73.5,,S,,B
74,2680,14.4542,,C,12,A
75,1601,56.4958,,S,68,
76,348123,7.65,F G73,S,47,
77,349208,7.8958,,S,,
78,374746,8.05,,S,22,
79,248738,29,,S,,A
80,364516,12.475,,S,66,C
81,345767,9,,S,94,C
82,345779,9.5,,S,43,D
83,330932,7.7875,,Q,16,D
84,113059,47.1,,S,83,D
85,SO/C 14885,10.5,,S,62,C
86,3101278,15.85,,S,70,
87,W./C. 6608,34.375,,S,9,B
88,SOTON/OQ 392086,8.05,,S,31,A
89,19950,263,C23 C25 C27,S,,B
90,343275,8.05,,S,,B
91,343276,8.05,,S,43,A
92,347466,7.8542,,S,,A
93,W.E.P. 5734,61.175,E31,S,,C
94,C.A. 2315,20.575,,S,38,B
95,364500,7.25,,S,89,
96,374910,8.05,,S,28,B
97,PC 17754,34.6542,A5,C,23,D
98,PC 17759,63.3583,D10 D12,C,68,C
99,231919,23,,S,,A
100,244367,26,,S,13,A
101,349245,7.8958,,S,83,C
102,349215,7.8958,,S,,C
103,35281,77.2875,D26,S,80,B
104,7540,8.6542,,S,0,C
105,3101276,7.925,,S,79,
106,349207,7.8958,,S,,
107,343120,7.65,,S,,A
108,312991,7.775,,S,66,B
109,349249,7.8958,,S,,
110,371110,24.15,,Q,,D
111,110465,52,C110,S,,D
112,2665,14.4542,,C,78,
113,324669,8.05,,S,55,A
114,4136,9.825,,S,45,
115,2627,14.4583,,C,,A
116,STON/O 2. 3101294,7.925,,S,,
117,370369,7.75,,Q,3,
118,11668,21,,S,13,
119,PC 17558,247.5208,B58 B60,C,24,A
120,347082,31.275,,S,11,
121,S.O.C. 14879,73.5,,S,43,C
122,A4. 54510,8.05,,S,,
123,237736,30.0708,,C,65,D
124,27267,13,E101,S,47,D
125,35281,77.2875,D26,S,85,C
126,2651,11.2417,,C,56,
127,370372,7.75,,Q,7,B
128,C 17369,7.1417,,S,76,D
129,2668,22.3583,F E69,C,57,
130,347061,6.975,,S,63,
131,349241,7.8958,,C,56,A
132,SOTON/O.Q. 3101307,7.05,,S,55,A
133,A/5. 3337,14.5,,S,9,
134,228414,26,,S,55,
135,C.A. 29178,13,,S,79,B
136,SC/PARIS 2133,15.0458,,C,30,D
137,11752,26.2833,D47,S,,A
138,113803,53.1,C123,S,3,C
139,7534,9.2167,,S,34,B
140,PC 17593,79.2,B86,C,43,A
141,2678,15.2458,,C,,D
142,347081,7.75,,S,21,A
143,STON/O2. 3101279,15.85,,S,,
144,365222,6.75,,Q,,
145,231945,11.5,,S,99,D
146,C.A. 33112,36.75,,S,85,A
147,350043,7.7958,,S,3,
148,W./C. 6608,34.375,,S,23,C
149,230080,26,F2,S,,D
150,244310,13,,S,,A
151,S.O.P. 1166,12.525,,S,85,D
152,113776,66.6,C2,S,28,C
153,A.5. 11206,8.05,,S,91,D
154,A/5. 851,14.5,,S,29,
155,Fa 265302,7.3125,,S,43,D
156,PC 17597,61.3792,,C,66,C
157,35851,7.7333,,Q,12,
158,SOTON/OQ 392090,8.05,,S,55,
159,315037,8.6625,,S,50,
160,CA. 2343,69.55,,S,78,B
161,371362,16.1,,S,99,C
162,C.A. 33595,15.75,,S,,
163,347068,7.775,,S,40,C
164,315093,8.6625,,S,40,D
165,3101295,39.6875,,S,41,
166,363291,20.525,,S,81,A
167,113505,55,E33,S,32,
168,347088,27.9,,S,16,B
169,PC 17318,25.925,,S,,C
170,1601,56.4958,,S,2,
171,111240,33.5,B19,S,10,B
172,382652,29.125,,Q,9,B
173,347742,11.1333,,S,,B
174,STON/O 2. 3101280,7.925,,S,,D
175,17764,30.6958,A7,C,69,B
176,350404,7.8542,,S,46,
177,4133,25.4667,,S,71,B
178,PC 17595,28.7125,C49,C,16,A
179,250653,13,,S,90,B
180,LINE,0,,S,50,A
181,CA. 2343,69.55,,S,93,A
182,SC/PARIS 2131,15.05,,C,,
183,347077,31.3875,,S,49,A
184,230136,39,F4,S,69,
185,315153,22.025,,S,49,D
186,113767,50,A32,S,44,C
187,370365,15.5,,Q,,B
188,111428,26.55,,S,38,A
189,364849,15.5,,Q,,D
190,349247,7.8958,,S,,D
191,234604,13,,S,68,C
192,28424,13,,S,63,A
193,350046,7.8542,,S,60,
194,230080,26,F2,S,36,
195,PC 17610,27.7208,B4,C,95,A
196,PC 17569,146.5208,B80,C,8,D
197,368703,7.75,,Q,,A
198,4579,8.4042,,S,,
199,370370,7.75,,Q,33,D
200,248747,13,,S,96,D
201,345770,9.5,,S,,A
202,CA. 2343,69.55,,S,90,
203,3101264,6.4958,,S,49,C
204,2628,7.225,,C,,C
205,A/5 3540,8.05,,S,45,
206,347054,10.4625,G6,S,26,D
207,3101278,15.85,,S,76,D
208,2699,18.7875,,C,,
209,367231,7.75,,Q,26,
210,112277,31,A31,C,77,C
211,SOTON/O.Q. 3101311,7.05,,S,26,A
212,F.C.C. 13528,21,,S,,
213,A/5 21174,7.25,,S,78,A
214,250646,13,,S,44,D
215,367229,7.75,,Q,,
216,35273,113.275,D36,C,27,A
217,STON/O2. 3101283,7.925,,S,,A
218,243847,27,,S,,A
219,11813,76.2917,D15,C,44,C
220,W/C 14208,10.5,,S,90,B
221,SOTON/OQ 392089,8.05,,S,12,D
222,220367,13,,S,45,B
223,21440,8.05,,S,,
224,349234,7.8958,,S,20,C
225,19943,90,C93,S,,C
226,PP 4348,9.35,,S,30,
227,SW/PP 751,10.5,,S,80,
228,A/5 21173,7.25,,S,57,C
229,236171,13,,S,54,
230,4133,25.4667,,S,17,
231,36973,83.475,C83,S,46,
232,347067,7.775,,S,85,C
233,237442,13.5,,S,,D
234,347077,31.3875,,S,75,C
235,C.A. 29566,10.5,,S,,
236,W./C. 6609,7.55,,S,,
237,26707,26,,S,,B
238,C.A. 31921,26.25,,S,43,A
239,28665,10.5,,S,30,A
240,SCO/W 1585,12.275,,S,62,
241,2665,14.4542,,C,14,
242,367230,15.5,,Q,58,
243,W./C. 14263,10.5,,S,9,B
244,STON/O 2. 3101275,7.125,,S,64,C
245,2694,7.225,,C,,D
246,19928,90,C78,Q,8,D
247,347071,7.775,,S,,B
248,250649,14.5,,S,41,B
249,11751,52.5542,D35,S,78,
250,244252,26,,S,4,A
251,362316,7.25,,S,17,C
252,347054,10.4625,G6,S,49,B
253,113514,26.55,C87,S,18,
254,A/5. 3336,16.1,,S,,C
255,370129,20.2125,,S,,B
256,2650,15.2458,,C,14,
257,PC 17585,79.2,,C,,C
258,110152,86.5,B77,S,10,A
259,PC 17755,512.3292,,C,,
260,230433,26,,S,58,A
261,384461,7.75,,Q,79,B
262,347077,31.3875,,S,17,D
263,110413,79.65,E67,S,29,A
264,112059,0,B94,S,92,
265,382649,7.75,,Q,98,C
266,C.A. 17248,10.5,,S,58,D
267,3101295,39.6875,,S,44,
268,347083,7.775,,S,34,C
269,PC 17582,153.4625,C125,S,61,D
270,PC 17760,135.6333,C99,S,,
271,113798,31,,S,29,A
272,LINE,0,,S,,D
273,250644,19.5,,S,15,A
274,PC 17596,29.7,C118,C,95,C
275,370375,7.75,,Q,41,B
276,13502,77.9583,D7,S,48,C
277,347073,7.75,,S,,
278,239853,0,,S,78,
279,382652,29.125,,Q,,C
280,C.A. 2673,20.25,,S,,
281,336439,7.75,,Q,,B
282,347464,7.8542,,S,,
283,345778,9.5,,S,67,D
284,A/5. 10482,8.05,,S,49,A
285,113056,26,A19,S,44,B
286,349239,8.6625,,C,,C
287,345774,9.5,,S,,
288,349206,7.8958,,S,57,D
289,237798,13,,S,,B
290,370373,7.75,,Q,47,D
291,19877,78.85,,S,,
292,11967,91.0792,B49,C,26,C
293,SC/Paris 2163,12.875,D,C,95,C
294,349236,8.85,,S,33,A
295,349233,7.8958,,S,,A
296,PC 17612,27.7208,,C,,
297,2693,7.2292,,C,84,C
298,113781,151.55,C22 C26,S,,
299,19988,30.5,C106,S,28,A
300,PC 17558,247.5208,B58 B60,C,2,
301,9234,7.75,,Q,36,D
302,367226,23.25,,Q,82,
303,LINE,0,,S,0,B
304,226593,12.35,E101,Q,89,
305,A/5 2466,8.05,,S,,D
306,113781,151.55,C22 C26,S,14,B
307,17421,110.8833,,C,,B
308,PC 17758,108.9,C65,C,55,C
309,P/PP 3381,24,,C,31,A
310,PC 17485,56.9292,E36,C,,D
311,11767,83.1583,C54,C,66,D
312,PC 17608,262.375,B57 B59 B63 B66,C,67,
313,250651,26,,S,,C
314,349243,7.8958,,S,28,C
315,F.C.C. 13529,26.25,,S,24,
316,347470,7.8542,,S,,D
317,244367,26,,S,,
318,29011,14,,S,,
319,36928,164.8667,C7,S,93,C
320,16966,134.5,E34,C,,
321,A/5 21172,7.25,,S,,D
322,349219,7.8958,,S,,D
323,234818,12.35,,Q,,C
324,248738,29,,S,91,B
325,CA. 2343,69.55,,S,,B
326,PC 17760,135.6333,C32,C,23,B
327,345364,6.2375,,S,23,C
328,28551,13,D,S,3,
329,363291,20.525,,S,,C
330,111361,57.9792,B18,C,55,D
331,367226,23.25,,Q,54,
332,113043,28.5,C124,S,,C
333,PC 17582,153.4625,C91,S,30,
334,345764,18,,S,82,C
335,PC 17611,133.65,,S,,
336,349225,7.8958,,S,80,
337,113776,66.6,C2,S,96,
338,16966,134.5,E40,C,31,
339,7598,8.05,,S,20,
340,113784,35.5,T,S,95,
341,230080,26,F2,S,63,
342,19950,263,C23 C25 C27,S,29,
343,248740,13,,S,62,B
344,244361,13,,S,51,C
345,229236,13,,S,,A
346,248733,13,F33,S,25,C
347,31418,13,,S,99,
348,386525,16.1,,S,,
349,C.A. 37671,15.9,,S,,
350,315088,8.6625,,S,16,B
351,7267,9.225,,S,,A
352,113510,35,C128,S,,B
353,2695,7.2292,,C,29,C
354,349237,17.8,,S,43,A
355,2647,7.225,,C,96,C
356,345783,9.5,,S,99,A
357,113505,55,E33,S,15,D
358,237671,13,,S,89,C
359,330931,7.8792,,Q,,B
360,330980,7.8792,,Q,,C
361,347088,27.9,,S,84,A
362,SC/PARIS 2167,27.7208,,C,,A
363,2691,14.4542,,C,22,D
364,SOTON/O.Q. 3101310,7.05,,S,89,D
365,370365,15.5,,Q,,
366,C 7076,7.25,,S,,B
367,110813,75.25,D37,C,46,A
368,2626,7.2292,,C,31,
369,14313,7.75,,Q,,B
370,PC 17477,69.3,B35,C,77,
371,11765,55.4417,E50,C,33,C
372,3101267,6.4958,,S,66,A
373,323951,8.05,,S,41,D
374,PC 17760,135.6333,,C,,C
375,349909,21.075,,S,,
376,PC 17604,82.1708,,C,9,
377,C 7077,7.25,,S,,C
378,113503,211.5,C82,C,74,
379,2648,4.0125,,C,37,A
380,347069,7.775,,S,,
381,PC 17757,227.525,,C,0,B
382,2653,15.7417,,C,,D
383,STON/O 2. 3101293,7.925,,S,94,B
384,113789,52,,S,,
385,349227,7.8958,,S,3,A
386,S.O.C. 14879,73.5,,S,12,B
387,CA 2144,46.9,,S,6,B
388,27849,13,,S,83,A
389,367655,7.7292,,Q,89,B
390,SC 1748,12,,C,15,
391,113760,120,B96 B98,S,74,A
392,350034,7.7958,,S,17,
393,3101277,7.925,,S,36,C
394,35273,113.275,D36,C,59,D
395,PP 9549,16.7,G6,S,,C
396,350052,7.7958,,S,87,A
397,350407,7.8542,,S,4,
398,28403,26,,S,19,B
399,244278,10.5,,S,,B
400,240929,12.65,,S,31,A
401,STON/O 2. 3101289,7.925,,S,99,D
402,341826,8.05,,S,77,
403,4137,9.825,,S,,C
404,STON/O2. 3101279,15.85,,S,97,
405,315096,8.6625,,S,,D
406,28664,21,,S,,A
407,347064,7.75,,S,43,
408,29106,18.75,,S,14,B
409,312992,7.775,,S,,
410,4133,25.4667,,S,1,B
411,349222,7.8958,,S,17,A
412,394140,6.8583,,Q,22,
413,19928,90,C78,Q,27,B
414,239853,0,,S,13,A
415,STON/O 2. 3101269,7.925,,S,1,
416,343095,8.05,,S,67,A
417,28220,32.5,,S,96,
418,250652,13,,S,12,B
419,28228,13,,S,,
420,345773,24.15,,S,50,C
421,349254,7.8958,,C,92,A
422,A/5. 13032,7.7333,,Q,69,
423,315082,7.875,,S,,D
424,347080,14.4,,S,,A
425,370129,20.2125,,S,41,B
426,A/4. 34244,7.25,,S,,A
427,2003,26,,S,86,
428,250655,26,,S,80,
429,364851,7.75,,Q,2,A
430,SOTON/O.Q. 392078,8.05,E10,S,71,A
431,110564,26.55,C52,S,8,B
432,376564,16.1,,S,73,C
433,SC/AH 3085,26,,S,82,B
434,STON/O 2. 3101274,7.125,,S,13,
435,13507,55.9,E44,S,43,
436,113760,120,B96 B98,S,12,D
437,W./C. 6608,34.375,,S,56,A
438,29106,18.75,,S,92,C
439,19950,263,C23 C25 C27,S,,D
440,C.A. 18723,10.5,,S,39,A
441,F.C.C. 13529,26.25,,S,97,D
442,345769,9.5,,S,,
443,347076,7.775,,S,,B
444,230434,13,,S,48,
445,65306,8.1125,,S,50,C
446,33638,81.8583,A34,S,66,
447,250644,19.5,,S,,
448,113794,26.55,,S,,C
449,2666,19.2583,,C,52,D
450,113786,30.5,C104,S,28,B
451,C.A. 34651,27.75,,S,,
452,65303,19.9667,,S,,B
453,113051,27.75,C111,C,,D
454,17453,89.1042,C92,C,2,D
455,A/5 2817,8.05,,S,59,
456,349240,7.8958,,C,,C
457,13509,26.55,E38,S,,D
458,17464,51.8625,D21,S,63,B
459,F.C.C. 13531,10.5,,S,84,
460,371060,7.75,,Q,10,
461,19952,26.55,E12,S,72,A
462,364506,8.05,,S,,
463,111320,38.5,E63,S,,A
464,234360,13,,S,,
465,A/S 2816,8.05,,S,0,
466,SOTON/O.Q. 3101306,7.05,,S,96,B
467,239853,0,,S,16,B
468,113792,26.55,,S,59,B
469,36209,7.725,,Q,18,B
470,2666,19.2583,,C,93,B
471,323592,7.25,,S,,C
472,315089,8.6625,,S,,D
473,C.A. 34651,27.75,,S,43,C
474,SC/AH Basle 541,13.7917,D,C,46,C
475,7553,9.8375,,S,,D
476,110465,52,A14,S,78,D
477,31027,21,,S,84,
478,3460,7.0458,,S,1,C
479,350060,7.5208,,S,,A
480,3101298,12.2875,,S,,A
481,CA 2144,46.9,,S,,D
482,239854,0,,S,82,
483,A/5 3594,8.05,,S,25,D
484,4134,9.5875,,S,79,
485,11967,91.0792,B49,C,,D
486,4133,25.4667,,S,23,C
487,19943,90,C93,S,33,D
488,11771,29.7,B37,C,53,A
489,A.5. 18509,8.05,,S,76,D
490,C.A. 37671,15.9,,S,,A
491,65304,19.9667,,S,93,B
492,SOTON/OQ 3101317,7.25,,S,,A
493,113787,30.5,C30,S,75,B
494,PC 17609,49.5042,,C,,
495,A/4 45380,8.05,,S,,B
496,2627,14.4583,,C,41,
497,36947,78.2667,D20,C,,C
498,C.A. 6212,15.1,,S,37,C
499,113781,151.55,C22 C26,S,92,D
500,350035,7.7958,,S,,
501,315086,8.6625,,S,11,B
502,364846,7.75,,Q,65,D
503,330909,7.6292,,Q,96,
504,4135,9.5875,,S,86,
505,110152,86.5,B79,S,27,B
506,PC 17758,108.9,C65,C,,A
507,26360,26,,S,,
508,111427,26.55,,S,,
509,C 4001,22.525,,S,26,A
510,1601,56.4958,,S,23,C
511,382651,7.75,,Q,99,A
512,SOTON/OQ 3101316,8.05,,S,74,C
513,PC 17473,26.2875,E25,S,84,
514,PC 17603,59.4,,C,81,
515,349209,7.4958,,S,95,B
516,36967,34.0208,D46,S,10,
517,C.A. 34260,10.5,F33,S,,
518,371110,24.15,,Q,,A
519,226875,26,,S,47,C
520,349242,7.8958,,S,59,C
521,12749,93.5,B73,S,35,A
522,349252,7.8958,,S,,C
523,2624,7.225,,C,19,A
524,111361,57.9792,B18,C,,A
525,2700,7.2292,,C,,D
526,367232,7.75,,Q,,D
527,W./C. 14258,10.5,,S,,B
528,PC 17483,221.7792,C95,S,14,D
529,3101296,7.925,,S,91,D
530,29104,11.5,,S,92,
531,26360,26,,S,59,A
532,2641,7.2292,,C,16,
533,2690,7.2292,,C,15,C
534,2668,22.3583,,C,,
535,315084,8.6625,,S,57,
536,F.C.C. 13529,26.25,,S,15,B
537,113050,26.55,B38,S,45,A
538,PC 17761,106.425,,C,11,D
539,364498,14.5,,S,,
540,13568,49.5,B39,C,2,
541,WE/P 5735,71,B22,S,70,D
542,347082,31.275,,S,,
543,347082,31.275,,S,19,
544,2908,26,,S,17,A
545,PC 17761,106.425,C86,C,83,
546,693,26,,S,5,
547,2908,26,,S,42,B
548,SC/PARIS 2146,13.8625,,C,,C
549,363291,20.525,,S,51,B
550,C.A. 33112,36.75,,S,68,D
551,17421,110.8833,C70,C,80,D
552,244358,26,,S,,
553,330979,7.8292,,Q,82,D
554,2620,7.225,,C,,C
555,347085,7.775,,S,,B
556,113807,26.55,,S,50,C
557,11755,39.6,A16,C,,D
558,PC 17757,227.525,,C,,
559,110413,79.65,E67,S,79,
560,345572,17.4,,S,85,
561,372622,7.75,,Q,53,A
562,349251,7.8958,,S,4,
563,218629,13.5,,S,49,C
564,SOTON/OQ 392082,8.05,,S,18,
565,SOTON/O.Q. 392087,8.05,,S,88,D
566,A/4 48871,24.15,,S,23,D
567,349205,7.8958,,S,22,
568,349909,21.075,,S,24,
569,2686,7.2292,,C,64,
570,350417,7.8542,,S,,D
571,S.W./PP 752,10.5,,S,94,
572,11769,51.4792,C101,S,41,C
573,PC 17474,26.3875,E25,S,,D
574,14312,7.75,,Q,4,D
575,A/4. 20589,8.05,,S,0,A
576,358585,14.5,,S,37,A
577,243880,13,,S,92,B
578,13507,55.9,E44,S,52,
579,2689,14.4583,,C,89,C
580,STON/O 2. 3101286,7.925,,S,10,
581,237789,30,,S,9,B
582,17421,110.8833,C68,C,83,A
583,28403,26,,S,10,A
584,13049,40.125,A10,C,5,A
585,3411,8.7125,,C,40,
586,110413,79.65,E68,S,92,C
587,237565,15,,S,68,B
588,13567,79.2,B41,C,9,B
589,14973,8.05,,S,83,B
590,A./5. 3235,8.05,,S,84,C
591,STON/O 2. 3101273,7.125,,S,80,D
592,36947,78.2667,D20,C,90,
593,A/5 3902,7.25,,S,23,C
594,364848,7.75,,Q,,
595,SC/AH 29037,26,,S,,C
596,345773,24.15,,S,80,A
597,248727,33,,S,57,
598,LINE,0,,S,77,A
599,2664,7.225,,C,,B
600,PC 17485,56.9292,A20,C,64,
601,243847,27,,S,,
602,349214,7.8958,,S,77,
603,113796,42.4,,S,73,
604,364511,8.05,,S,,A
605,111426,26.55,,C,82,A
606,349910,15.55,,S,,
607,349246,7.8958,,S,,C
608,113804,30.5,,S,,
609,SC/Paris 2123,41.5792,,C,,D
610,PC 17582,153.4625,C125,S,85,D
611,347082,31.275,,S,83,A
612,SOTON/O.Q. 3101305,7.05,,S,,
613,367230,15.5,,Q,78,B
614,370377,7.75,,Q,38,A
615,364512,8.05,,S,68,
616,220845,65,,S,63,
617,347080,14.4,,S,,
618,A/5. 3336,16.1,,S,26,B
619,230136,39,F4,S,6,B
620,31028,10.5,,S,13,A
621,2659,14.4542,,C,43,B
622,11753,52.5542,D19,S,47,A
623,2653,15.7417,,C,,D
624,350029,7.8542,,S,41,
625,54636,16.1,,S,60,D
626,36963,32.3208,D50,S,23,
627,219533,12.35,,Q,33,D
628,13502,77.9583,D9,S,36,C
629,349224,7.8958,,S,50,B
630,334912,7.7333,,Q,36,C
631,27042,30,A23,S,73,B
632,347743,7.0542,,S,32,A
633,13214,30.5,B50,C,43,B
634,112052,0,,S,37,
635,347088,27.9,,S,,
636,237668,13,,S,68,A
637,STON/O 2. 3101292,7.925,,S,23,
638,C.A. 31921,26.25,,S,29,C
639,3101295,39.6875,,S,79,
640,376564,16.1,,S,94,
641,350050,7.8542,,S,67,A
642,PC 17477,69.3,B35,C,91,
643,347088,27.9,,S,85,D
644,1601,56.4958,,S,48,C
645,2666,19.2583,,C,,
646,PC 17572,76.7292,D33,C,32,B
647,349231,7.8958,,S,,A
648,13213,35.5,A26,C,,A
649,S.O./P.P. 751,7.55,,S,96,A
650,CA. 2314,7.55,,S,84,D
651,349221,7.8958,,S,,C
652,231919,23,,S,65,B
653,8475,8.4333,,S,20,D
654,330919,7.8292,,Q,,A
655,365226,6.75,,Q,,A
656,S.O.C. 14879,73.5,,S,53,B
657,349223,7.8958,,S,76,D
658,364849,15.5,,Q,63,C
659,29751,13,,S,,D
660,35273,113.275,D48,C,28,
661,PC 17611,133.65,,S,,
662,2623,7.225,,C,73,A
663,5727,25.5875,E58,S,3,A
664,349210,7.4958,,S,,C
665,STON/O 2. 3101285,7.925,,S,,
666,S.O.C. 14879,73.5,,S,69,D
667,234686,13,,S,50,D
668,312993,7.775,,S,86,C
669,A/5 3536,8.05,,S,91,B
670,19996,52,C126,S,,A
671,29750,39,,S,,C
672,F.C. 12750,52,B71,S,61,C
673,C.A. 24580,10.5,,S,,D
674,244270,13,,S,9,C
675,239856,0,,S,62,A
676,349912,7.775,,S,,
677,342826,8.05,,S,58,
678,4138,9.8417,,S,,A
679,CA 2144,46.9,,S,52,D
680,PC 17755,512.3292,B51 B53 B55,C,93,A
681,330935,8.1375,,Q,72,
682,PC 17572,76.7292,D49,C,13,D
683,6563,9.225,,S,95,
684,CA 2144,46.9,,S,95,A
685,29750,39,,S,16,D
686,SC/Paris 2123,41.5792,,C,80,A
687,3101295,39.6875,,S,,C
688,349228,10.1708,,S,59,D
689,350036,7.7958,,S,44,C
690,24160,211.3375,B5,S,78,A
691,17474,57,B20,S,99,D
692,349256,13.4167,,C,79,A
693,1601,56.4958,,S,,C
694,2672,7.225,,C,94,
695,113800,26.55,,S,9,
696,248731,13.5,,S,25,
697,363592,8.05,,S,72,A
698,35852,7.7333,,Q,59,D
699,17421,110.8833,C68,C,5,A
700,348121,7.65,F G63,S,9,
701,PC 17757,227.525,C62 C64,C,52,
702,PC 17475,26.2875,E24,S,61,C
703,2691,14.4542,,C,16,C
704,36864,7.7417,,Q,17,C
705,350025,7.8542,,S,,C
706,250655,26,,S,56,D
707,223596,13.5,,S,,
708,PC 17476,26.2875,E24,S,,D
709,113781,151.55,,S,47,D
710,2661,15.2458,,C,,D
711,PC 17482,49.5042,C90,C,,
712,113028,26.55,C124,S,,D
713,19996,52,C126,S,72,A
714,7545,9.4833,,S,76,D
715,250647,13,,S,,C
716,348124,7.65,F G73,S,79,
717,PC 17757,227.525,C45,C,51,C
718,34218,10.5,E101,S,,B
719,36568,15.5,,Q,,
720,347062,7.775,,S,59,D
721,248727,33,,S,13,A
722,350048,7.0542,,S,93,B
723,12233,13,,S,84,
724,250643,13,,S,,
725,113806,53.1,E8,S,78,D
726,315094,8.6625,,S,11,A
727,31027,21,,S,,C
728,36866,7.7375,,Q,8,D
729,236853,26,,S,48,D
730,STON/O2. 3101271,7.925,,S,65,A
731,24160,211.3375,B5,S,72,
732,2699,18.7875,,C,41,
733,239855,0,,S,,
734,28425,13,,S,,B
735,233639,13,,S,20,
736,54636,16.1,,S,,
737,W./C. 6608,34.375,,S,,B
738,PC 17755,512.3292,B101,C,,
739,349201,7.8958,,S,,
740,349218,7.8958,,S,89,A
741,16988,30,D45,S,81,A
742,19877,78.85,C46,S,76,C
743,PC 17608,262.375,B57 B59 B63 B66,C,,B
744,376566,16.1,,S,27,
745,STON/O 2. 3101288,7.925,,S,79,D
746,WE/P 5735,71,B22,S,36,A
747,C.A. 2673,20.25,,S,53,B
748,250648,13,,S,31,C
749,113773,53.1,D30,S,31,D
750,335097,7.75,,Q,,C
751,29103,23,,S,,B
752,392096,12.475,E121,S,14,
753,345780,9.5,,S,,D
754,349204,7.8958,,S,93,B
755,220845,65,,S,55,D
756,250649,14.5,,S,43,D
757,350042,7.7958,,S,73,
758,29108,11.5,,S,38,A
759,363294,8.05,,S,,D
760,110152,86.5,B77,S,,A
761,358585,14.5,,S,17,B
762,SOTON/O2 3101272,7.125,,S,55,
763,2663,7.2292,,C,,C
764,113760,120,B96 B98,S,93,B
765,347074,7.775,,S,36,C
766,13502,77.9583,D11,S,78,
767,112379,39.6,,C,61,D
768,364850,7.75,,Q,47,
769,371110,24.15,,Q,,A
770,8471,8.3625,,S,37,B
771,345781,9.5,,S,65,A
772,350047,7.8542,,S,98,D
773,S.O./P.P. 3,10.5,E77,S,0,
774,2674,7.225,,C,,B
775,29105,23,,S,,
776,347078,7.75,,S,,
777,383121,7.75,F38,Q,42,B
778,364516,12.475,,S,11,
779,36865,7.7375,,Q,,A
780,24160,211.3375,B3,S,85,B
781,2687,7.2292,,C,87,B
782,17474,57,B20,S,63,D
783,113501,30,D6,S,12,D
784,W./C. 6607,23.45,,S,,D
785,SOTON/O.Q. 3101312,7.05,,S,,
786,374887,7.25,,S,58,
787,3101265,7.4958,,S,,B
788,382652,29.125,,Q,68,B
789,C.A. 2315,20.575,,S,,
790,PC 17593,79.2,B82 B84,C,,D
791,12460,7.75,,Q,,A
792,239865,26,,S,45,B
793,CA. 2343,69.55,,S,,C
794,PC 17600,30.6958,,C,,C
795,349203,7.8958,,S,43,B
796,28213,13,,S,29,C
797,17465,25.9292,D17,S,96,
798,349244,8.6833,,S,,A
799,2685,7.2292,,C,31,
800,345773,24.15,,S,,C
801,250647,13,,S,1,
