id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4
103,35281,77.2875,D26,S,80,B,medium,96
104,7540,8.6542,,S,0,C,low,
105,3101276,7.925,,S,79,,medium,70
106,349207,7.8958,,S,,,,75
107,343120,7.65,,S,,A,unknown,
108,312991,7.775,,S,66,B,unknown,
109,349249,7.8958,,S,,,,58
110,371110,24.15,,Q,,D,low,
111,110465,52,C110,S,,D,low,11
112,2665,14.4542,,C,78,,medium,13
113,324669,8.05,,S,55,A,,
114,4136,9.825,,S,45,,unknown,65
115,2627,14.4583,,C,,A,,28
116,STON/O 2. 3101294,7.925,,S,,,,73
117,370369,7.75,,Q,3,,,69
118,11668,21,,S,13,,medium,
119,PC 17558,247.5208,B58 B60,C,24,A,,91
120,347082,31.275,,S,11,,high,88
121,S.O.C. 14879,73.5,,S,43,C,low,
122,A4. 54510,8.05,,S,,,medium,76
123,237736,30.0708,,C,65,D,high,
124,27267,13,E101,S,47,D,medium,40
125,35281,77.2875,D26,S,85,C,,
126,2651,11.2417,,C,56,,,60
127,370372,7.75,,Q,7,B,unknown,41
128,C 17369,7.1417,,S,76,D,low,99
129,2668,22.3583,F E69,C,57,,low,17
130,347061,6.975,,S,63,,high,9
131,349241,7.8958,,C,56,A,medium,2
132,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81
133,A/5. 3337,14.5,,S,9,,low,40
134,228414,26,,S,55,,,43
135,C.A. 29178,13,,S,79,B,unknown,64
136,SC/PARIS 2133,15.0458,,C,30,D,,
137,11752,26.2833,D47,S,,A,medium,57
138,113803,53.1,C123,S,3,C,,5
139,7534,9.2167,,S,34,B,high,
140,PC 17593,79.2,B86,C,43,A,low,
141,2678,15.2458,,C,,D,,45
142,347081,7.75,,S,21,A,,16
143,STON/O2. 3101279,15.85,,S,,,unknown,
144,365222,6.75,,Q,,,,33
145,231945,11.5,,S,99,D,medium,27
146,C.A. 33112,36.75,,S,85,A,unknown,29
147,350043,7.7958,,S,3,,,72
148,W./C. 6608,34.375,,S,23,C,,10
149,230080,26,F2,S,,D,unknown,30
150,244310,13,,S,,A,low,46
151,S.O.P. 1166,12.525,,S,85,D,,54
152,113776,66.6,C2,S,28,C,medium,88
153,A.5. 11206,8.05,,S,91,D,unknown,
154,A/5. 851,14.5,,S,29,,low,
155,Fa 265302,7.3125,,S,43,D,unknown,53
156,PC 17597,61.3792,,C,66,C,low,2
157,35851,7.7333,,Q,12,,low,61
158,SOTON/OQ 392090,8.05,,S,55,,high,15
159,315037,8.6625,,S,50,,high,7
160,CA. 2343,69.55,,S,78,B,unknown,67
161,371362,16.1,,S,99,C,,
162,C.A. 33595,15.75,,S,,,low,
163,347068,7.775,,S,40,C,,10
164,315093,8.6625,,S,40,D,,74
165,3101295,39.6875,,S,41,,,76
166,363291,20.525,,S,81,A,,
167,113505,55,E33,S,32,,unknown,83
168,347088,27.9,,S,16,B,unknown,43
169,PC 17318,25.925,,S,,C,high,18
170,1601,56.4958,,S,2,,,
171,111240,33.5,B19,S,10,B,high,21
172,382652,29.125,,Q,9,B,high,20
173,347742,11.1333,,S,,B,high,32
174,STON/O 2. 3101280,7.925,,S,,D,high,
175,17764,30.6958,A7,C,69,B,medium,
176,350404,7.8542,,S,46,,high,
177,4133,25.4667,,S,71,B,unknown,62
178,PC 17595,28.7125,C49,C,16,A,unknown,33
179,250653,13,,S,90,B,high,
180,LINE,0,,S,50,A,low,51
181,CA. 2343,69.55,,S,93,A,,
182,SC/PARIS 2131,15.05,,C,,,medium,43
183,347077,31.3875,,S,49,A,low,29
184,230136,39,F4,S,69,,,
185,315153,22.025,,S,49,D,high,
186,113767,50,A32,S,44,C,unknown,
187,370365,15.5,,Q,,B,,
188,111428,26.55,,S,38,A,,47
189,364849,15.5,,Q,,D,,
190,349247,7.8958,,S,,D,high,
191,234604,13,,S,68,C,,90
192,28424,13,,S,63,A,unknown,67
193,350046,7.8542,,S,60,,unknown,
194,230080,26,F2,S,36,,unknown,96
195,PC 17610,27.7208,B4,C,95,A,medium,71
196,PC 17569,146.5208,B80,C,8,D,,5
197,368703,7.75,,Q,,A,,72
198,4579,8.4042,,S,,,unknown,
199,370370,7.75,,Q,33,D,,
200,248747,13,,S,96,D,,48
201,345770,9.5,,S,,A,low,51
202,CA. 2343,69.55,,S,90,,,31
203,3101264,6.4958,,S,49,C,low,
204,2628,7.225,,C,,C,unknown,61
205,A/5 3540,8.05,,S,45,,high,
206,347054,10.4625,G6,S,26,D,medium,89
207,3101278,15.85,,S,76,D,high,77
208,2699,18.7875,,C,,,high,60
209,367231,7.75,,Q,26,,high,
210,112277,31,A31,C,77,C,high,33
211,SOTON/O.Q. 3101311,7.05,,S,26,A,,76
212,F.C.C. 13528,21,,S,,,medium,31
213,A/5 21174,7.25,,S,78,A,,26
214,250646,13,,S,44,D,,86
215,367229,7.75,,Q,,,,
216,35273,113.275,D36,C,27,A,low,
217,STON/O2. 3101283,7.925,,S,,A,unknown,86
218,243847,27,,S,,A,low,
219,11813,76.2917,D15,C,44,C,low,
220,W/C 14208,10.5,,S,90,B,,52
221,SOTON/OQ 392089,8.05,,S,12,D,low,
222,220367,13,,S,45,B,medium,
223,21440,8.05,,S,,,medium,
224,349234,7.8958,,S,20,C,,
225,19943,90,C93,S,,C,,79
226,PP 4348,9.35,,S,30,,high,59
227,SW/PP 751,10.5,,S,80,,low,
228,A/5 21173,7.25,,S,57,C,high,40
229,236171,13,,S,54,,high,38
230,4133,25.4667,,S,17,,high,42
231,36973,83.475,C83,S,46,,high,99
232,347067,7.775,,S,85,C,,
233,237442,13.5,,S,,D,,15
234,347077,31.3875,,S,75,C,,4
235,C.A. 29566,10.5,,S,,,high,51
236,W./C. 6609,7.55,,S,,,unknown,80
237,26707,26,,S,,B,high,
238,C.A. 31921,26.25,,S,43,A,low,56
239,28665,10.5,,S,30,A,medium,79
240,SCO/W 1585,12.275,,S,62,,high,51
241,2665,14.4542,,C,14,,low,90
242,367230,15.5,,Q,58,,unknown,63
243,W./C. 14263,10.5,,S,9,B,unknown,73
244,STON/O 2. 3101275,7.125,,S,64,C,unknown,78
245,2694,7.225,,C,,D,low,62
246,19928,90,C78,Q,8,D,high,5
247,347071,7.775,,S,,B,high,42
248,250649,14.5,,S,41,B,high,14
249,11751,52.5542,D35,S,78,,unknown,51
250,244252,26,,S,4,A,,
251,362316,7.25,,S,17,C,high,
252,347054,10.4625,G6,S,49,B,high,
253,113514,26.55,C87,S,18,,,2
254,A/5. 3336,16.1,,S,,C,unknown,
255,370129,20.2125,,S,,B,,50
256,2650,15.2458,,C,14,,unknown,7
257,PC 17585,79.2,,C,,C,low,
258,110152,86.5,B77,S,10,A,,75
259,PC 17755,512.3292,,C,,,high,70
260,230433,26,,S,58,A,low,17
261,384461,7.75,,Q,79,B,medium,
262,347077,31.3875,,S,17,D,,63
263,110413,79.65,E67,S,29,A,high,39
264,112059,0,B94,S,92,,low,0
265,382649,7.75,,Q,98,C,medium,
266,C.A. 17248,10.5,,S,58,D,,79
267,3101295,39.6875,,S,44,,high,3
268,347083,7.775,,S,34,C,medium,
269,PC 17582,153.4625,C125,S,61,D,high,38
270,PC 17760,135.6333,C99,S,,,high,
271,113798,31,,S,29,A,,47
272,LINE,0,,S,,D,,42
273,250644,19.5,,S,15,A,unknown,
274,PC 17596,29.7,C118,C,95,C,low,5
275,370375,7.75,,Q,41,B,,3
276,13502,77.9583,D7,S,48,C,low,9
277,347073,7.75,,S,,,low,69
278,239853,0,,S,78,,,78
279,382652,29.125,,Q,,C,,
280,C.A. 2673,20.25,,S,,,high,7
281,336439,7.75,,Q,,B,medium,41
282,347464,7.8542,,S,,,,98
283,345778,9.5,,S,67,D,medium,
284,A/5. 10482,8.05,,S,49,A,low,
285,113056,26,A19,S,44,B,medium,53
286,349239,8.6625,,C,,C,high,
287,345774,9.5,,S,,,high,
288,349206,7.8958,,S,57,D,medium,47
289,237798,13,,S,,B,,
290,370373,7.75,,Q,47,D,high,
291,19877,78.85,,S,,,,
292,11967,91.0792,B49,C,26,C,medium,5
293,SC/Paris 2163,12.875,D,C,95,C,,0
294,349236,8.85,,S,33,A,unknown,41
295,349233,7.8958,,S,,A,,
296,PC 17612,27.7208,,C,,,,
297,2693,7.2292,,C,84,C,,7
298,113781,151.55,C22 C26,S,,,high,67
299,19988,30.5,C106,S,28,A,high,45
300,PC 17558,247.5208,B58 B60,C,2,,,23
301,9234,7.75,,Q,36,D,unknown,20
302,367226,23.25,,Q,82,,unknown,66
303,LINE,0,,S,0,B,unknown,52
304,226593,12.35,E101,Q,89,,unknown,
305,A/5 2466,8.05,,S,,D,unknown,28
306,113781,151.55,C22 C26,S,14,B,,52
307,17421,110.8833,,C,,B,low,86
308,PC 17758,108.9,C65,C,55,C,,31
309,P/PP 3381,24,,C,31,A,low,39
310,PC 17485,56.9292,E36,C,,D,low,16
311,11767,83.1583,C54,C,66,D,unknown,
312,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3
313,250651,26,,S,,C,high,24
314,349243,7.8958,,S,28,C,high,
315,F.C.C. 13529,26.25,,S,24,,,1
316,347470,7.8542,,S,,D,,98
317,244367,26,,S,,,unknown,40
318,29011,14,,S,,,medium,
319,36928,164.8667,C7,S,93,C,high,53
320,16966,134.5,E34,C,,,,
321,A/5 21172,7.25,,S,,D,low,
322,349219,7.8958,,S,,D,,88
323,234818,12.35,,Q,,C,,
324,248738,29,,S,91,B,,
325,CA. 2343,69.55,,S,,B,medium,70
326,PC 17760,135.6333,C32,C,23,B,high,30
327,345364,6.2375,,S,23,C,unknown,99
328,28551,13,D,S,3,,high,25
329,363291,20.525,,S,,C,medium,29
330,111361,57.9792,B18,C,55,D,medium,71
331,367226,23.25,,Q,54,,high,78
332,113043,28.5,C124,S,,C,medium,12
333,PC 17582,153.4625,C91,S,30,,high,55
334,345764,18,,S,82,C,,
335,PC 17611,133.65,,S,,,,61
336,349225,7.8958,,S,80,,unknown,55
337,113776,66.6,C2,S,96,,medium,
338,16966,134.5,E40,C,31,,medium,
339,7598,8.05,,S,20,,high,65
340,113784,35.5,T,S,95,,,67
341,230080,26,F2,S,63,,unknown,
342,19950,263,C23 C25 C27,S,29,,low,
343,248740,13,,S,62,B,unknown,72
344,244361,13,,S,51,C,,77
345,229236,13,,S,,A,,12
346,248733,13,F33,S,25,C,high,88
347,31418,13,,S,99,,unknown,
348,386525,16.1,,S,,,low,
349,C.A. 37671,15.9,,S,,,high,48
350,315088,8.6625,,S,16,B,low,48
351,7267,9.225,,S,,A,low,91
352,113510,35,C128,S,,B,unknown,96
353,2695,7.2292,,C,29,C,high,80
354,349237,17.8,,S,43,A,medium,65
355,2647,7.225,,C,96,C,high,10
356,345783,9.5,,S,99,A,medium,91
357,113505,55,E33,S,15,D,medium,13
358,237671,13,,S,89,C,medium,16
359,330931,7.8792,,Q,,B,medium,6
360,330980,7.8792,,Q,,C,unknown,94
361,347088,27.9,,S,84,A,medium,
362,SC/PARIS 2167,27.7208,,C,,A,medium,
363,2691,14.4542,,C,22,D,high,8
364,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41
365,370365,15.5,,Q,,,medium,72
366,C 7076,7.25,,S,,B,unknown,99
367,110813,75.25,D37,C,46,A,medium,
368,2626,7.2292,,C,31,,high,60
369,14313,7.75,,Q,,B,unknown,83
370,PC 17477,69.3,B35,C,77,,,90
371,11765,55.4417,E50,C,33,C,low,27
372,3101267,6.4958,,S,66,A,high,
373,323951,8.05,,S,41,D,,51
374,PC 17760,135.6333,,C,,C,medium,93
375,349909,21.075,,S,,,unknown,11
376,PC 17604,82.1708,,C,9,,,9
377,C 7077,7.25,,S,,C,high,
378,113503,211.5,C82,C,74,,high,67
379,2648,4.0125,,C,37,A,low,17
380,347069,7.775,,S,,,medium,89
381,PC 17757,227.525,,C,0,B,high,10
382,2653,15.7417,,C,,D,low,
383,STON/O 2. 3101293,7.925,,S,94,B,medium,
384,113789,52,,S,,,,
385,349227,7.8958,,S,3,A,unknown,
386,S.O.C. 14879,73.5,,S,12,B,low,84
387,CA 2144,46.9,,S,6,B,unknown,10
388,27849,13,,S,83,A,medium,
389,367655,7.7292,,Q,89,B,high,61
390,SC 1748,12,,C,15,,high,2
391,113760,120,B96 B98,S,74,A,,74
392,350034,7.7958,,S,17,,unknown,
393,3101277,7.925,,S,36,C,low,75
394,35273,113.275,D36,C,59,D,low,
395,PP 9549,16.7,G6,S,,C,unknown,19
396,350052,7.7958,,S,87,A,high,
397,350407,7.8542,,S,4,,unknown,6
398,28403,26,,S,19,B,medium,53
399,244278,10.5,,S,,B,,
400,240929,12.65,,S,31,A,low,
401,STON/O 2. 3101289,7.925,,S,99,D,medium,20
402,341826,8.05,,S,77,,low,76
403,4137,9.825,,S,,C,unknown,69
404,STON/O2. 3101279,15.85,,S,97,,,
405,315096,8.6625,,S,,D,unknown,
406,28664,21,,S,,A,low,6
407,347064,7.75,,S,43,,low,44
408,29106,18.75,,S,14,B,,
409,312992,7.775,,S,,,,11
410,4133,25.4667,,S,1,B,medium,55
411,349222,7.8958,,S,17,A,medium,
412,394140,6.8583,,Q,22,,,
413,19928,90,C78,Q,27,B,,
414,239853,0,,S,13,A,low,8
415,STON/O 2. 3101269,7.925,,S,1,,,67
416,343095,8.05,,S,67,A,low,33
417,28220,32.5,,S,96,,low,
418,250652,13,,S,12,B,,19
419,28228,13,,S,,,medium,97
420,345773,24.15,,S,50,C,,25
421,349254,7.8958,,C,92,A,medium,68
422,A/5. 13032,7.7333,,Q,69,,medium,
423,315082,7.875,,S,,D,medium,18
424,347080,14.4,,S,,A,high,30
425,370129,20.2125,,S,41,B,,1
426,A/4. 34244,7.25,,S,,A,low,
427,2003,26,,S,86,,medium,33
428,250655,26,,S,80,,low,49
429,364851,7.75,,Q,2,A,medium,15
430,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82
431,110564,26.55,C52,S,8,B,medium,21
432,376564,16.1,,S,73,C,low,
433,SC/AH 3085,26,,S,82,B,high,87
434,STON/O 2. 3101274,7.125,,S,13,,low,71
435,13507,55.9,E44,S,43,,low,60
436,113760,120,B96 B98,S,12,D,,
437,W./C. 6608,34.375,,S,56,A,unknown,
438,29106,18.75,,S,92,C,unknown,96
439,19950,263,C23 C25 C27,S,,D,high,
440,C.A. 18723,10.5,,S,39,A,high,40
441,F.C.C. 13529,26.25,,S,97,D,high,25
442,345769,9.5,,S,,,high,
443,347076,7.775,,S,,B,high,97
444,230434,13,,S,48,,unknown,69
445,65306,8.1125,,S,50,C,,3
446,33638,81.8583,A34,S,66,,low,46
447,250644,19.5,,S,,,medium,
448,113794,26.55,,S,,C,unknown,
449,2666,19.2583,,C,52,D,medium,77
450,113786,30.5,C104,S,28,B,low,70
451,C.A. 34651,27.75,,S,,,unknown,6
452,65303,19.9667,,S,,B,high,55
453,113051,27.75,C111,C,,D,,
454,17453,89.1042,C92,C,2,D,medium,48
455,A/5 2817,8.05,,S,59,,low,
456,349240,7.8958,,C,,C,medium,
457,13509,26.55,E38,S,,D,medium,86
458,17464,51.8625,D21,S,63,B,unknown,46
459,F.C.C. 13531,10.5,,S,84,,,53
460,371060,7.75,,Q,10,,low,62
461,19952,26.55,E12,S,72,A,,65
462,364506,8.05,,S,,,unknown,63
463,111320,38.5,E63,S,,A,medium,78
464,234360,13,,S,,,medium,98
465,A/S 2816,8.05,,S,0,,high,82
466,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13
467,239853,0,,S,16,B,medium,
468,113792,26.55,,S,59,B,unknown,
469,36209,7.725,,Q,18,B,high,50
470,2666,19.2583,,C,93,B,low,52
471,323592,7.25,,S,,C,,71
472,315089,8.6625,,S,,D,unknown,
473,C.A. 34651,27.75,,S,43,C,medium,26
474,SC/AH Basle 541,13.7917,D,C,46,C,high,45
475,7553,9.8375,,S,,D,,
476,110465,52,A14,S,78,D,,31
477,31027,21,,S,84,,unknown,2
478,3460,7.0458,,S,1,C,low,97
479,350060,7.5208,,S,,A,high,
480,3101298,12.2875,,S,,A,high,60
481,CA 2144,46.9,,S,,D,low,
482,239854,0,,S,82,,,27
483,A/5 3594,8.05,,S,25,D,,34
484,4134,9.5875,,S,79,,medium,28
485,11967,91.0792,B49,C,,D,,
486,4133,25.4667,,S,23,C,low,15
487,19943,90,C93,S,33,D,,
488,11771,29.7,B37,C,53,A,,45
489,A.5. 18509,8.05,,S,76,D,,53
490,C.A. 37671,15.9,,S,,A,,1
491,65304,19.9667,,S,93,B,,84
492,SOTON/OQ 3101317,7.25,,S,,A,low,67
493,113787,30.5,C30,S,75,B,medium,7
494,PC 17609,49.5042,,C,,,high,84
495,A/4 45380,8.05,,S,,B,unknown,3
496,2627,14.4583,,C,41,,unknown,
497,36947,78.2667,D20,C,,C,high,46
498,C.A. 6212,15.1,,S,37,C,low,
499,113781,151.55,C22 C26,S,92,D,,95
500,350035,7.7958,,S,,,low,
501,315086,8.6625,,S,11,B,low,
502,364846,7.75,,Q,65,D,high,57
503,330909,7.6292,,Q,96,,,
504,4135,9.5875,,S,86,,low,72
505,110152,86.5,B79,S,27,B,low,88
506,PC 17758,108.9,C65,C,,A,high,
507,26360,26,,S,,,medium,
508,111427,26.55,,S,,,high,51
509,C 4001,22.525,,S,26,A,medium,
510,1601,56.4958,,S,23,C,high,
511,382651,7.75,,Q,99,A,,
512,SOTON/OQ 3101316,8.05,,S,74,C,,70
513,PC 17473,26.2875,E25,S,84,,medium,51
514,PC 17603,59.4,,C,81,,high,
515,349209,7.4958,,S,95,B,high,42
516,36967,34.0208,D46,S,10,,high,49
517,C.A. 34260,10.5,F33,S,,,,
518,371110,24.15,,Q,,A,low,55
519,226875,26,,S,47,C,,79
520,349242,7.8958,,S,59,C,high,2
521,12749,93.5,B73,S,35,A,high,75
522,349252,7.8958,,S,,C,,50
523,2624,7.225,,C,19,A,,
524,111361,57.9792,B18,C,,A,high,47
525,2700,7.2292,,C,,D,,47
526,367232,7.75,,Q,,D,,12
527,W./C. 14258,10.5,,S,,B,high,
528,PC 17483,221.7792,C95,S,14,D,medium,70
529,3101296,7.925,,S,91,D,high,
530,29104,11.5,,S,92,,,9
531,26360,26,,S,59,A,unknown,21
532,2641,7.2292,,C,16,,,87
533,2690,7.2292,,C,15,C,,
534,2668,22.3583,,C,,,low,50
535,315084,8.6625,,S,57,,,
536,F.C.C. 13529,26.25,,S,15,B,unknown,
537,113050,26.55,B38,S,45,A,,85
538,PC 17761,106.425,,C,11,D,,89
539,364498,14.5,,S,,,low,28
540,13568,49.5,B39,C,2,,unknown,58
541,WE/P 5735,71,B22,S,70,D,,
542,347082,31.275,,S,,,,
543,347082,31.275,,S,19,,high,0
544,2908,26,,S,17,A,medium,97
545,PC 17761,106.425,C86,C,83,,high,35
546,693,26,,S,5,,,
547,2908,26,,S,42,B,low,61
548,SC/PARIS 2146,13.8625,,C,,C,,78
549,363291,20.525,,S,51,B,,
550,C.A. 33112,36.75,,S,68,D,unknown,
551,17421,110.8833,C70,C,80,D,low,89
552,244358,26,,S,,,unknown,93
553,330979,7.8292,,Q,82,D,high,15
554,2620,7.225,,C,,C,,90
555,347085,7.775,,S,,B,unknown,90
556,113807,26.55,,S,50,C,low,
557,11755,39.6,A16,C,,D,low,21
558,PC 17757,227.525,,C,,,unknown,
559,110413,79.65,E67,S,79,,low,99
560,345572,17.4,,S,85,,,
561,372622,7.75,,Q,53,A,,
562,349251,7.8958,,S,4,,unknown,19
563,218629,13.5,,S,49,C,,8
564,SOTON/OQ 392082,8.05,,S,18,,high,25
565,SOTON/O.Q. 392087,8.05,,S,88,D,low,6
566,A/4 48871,24.15,,S,23,D,,19
567,349205,7.8958,,S,22,,,7
568,349909,21.075,,S,24,,low,76
569,2686,7.2292,,C,64,,high,58
570,350417,7.8542,,S,,D,low,51
571,S.W./PP 752,10.5,,S,94,,medium,80
572,11769,51.4792,C101,S,41,C,,41
573,PC 17474,26.3875,E25,S,,D,high,40
574,14312,7.75,,Q,4,D,,20
575,A/4. 20589,8.05,,S,0,A,low,
576,358585,14.5,,S,37,A,unknown,
577,243880,13,,S,92,B,high,58
578,13507,55.9,E44,S,52,,,
579,2689,14.4583,,C,89,C,,53
580,STON/O 2. 3101286,7.925,,S,10,,,29
581,237789,30,,S,9,B,high,
582,17421,110.8833,C68,C,83,A,high,82
583,28403,26,,S,10,A,,
584,13049,40.125,A10,C,5,A,medium,25
585,3411,8.7125,,C,40,,unknown,71
586,110413,79.65,E68,S,92,C,,
587,237565,15,,S,68,B,,
588,13567,79.2,B41,C,9,B,medium,31
589,14973,8.05,,S,83,B,unknown,35
590,A./5. 3235,8.05,,S,84,C,medium,
591,STON/O 2. 3101273,7.125,,S,80,D,low,1
592,36947,78.2667,D20,C,90,,high,
593,A/5 3902,7.25,,S,23,C,unknown,12
594,364848,7.75,,Q,,,low,
595,SC/AH 29037,26,,S,,C,medium,55
596,345773,24.15,,S,80,A,medium,
597,248727,33,,S,57,,low,34
598,LINE,0,,S,77,A,high,77
599,2664,7.225,,C,,B,medium,
600,PC 17485,56.9292,A20,C,64,,low,1
601,243847,27,,S,,,medium,
602,349214,7.8958,,S,77,,unknown,2
603,113796,42.4,,S,73,,unknown,52
604,364511,8.05,,S,,A,high,87
605,111426,26.55,,C,82,A,medium,
606,349910,15.55,,S,,,unknown,
607,349246,7.8958,,S,,C,low,
608,113804,30.5,,S,,,high,78
609,SC/Paris 2123,41.5792,,C,,D,,
610,PC 17582,153.4625,C125,S,85,D,high,28
611,347082,31.275,,S,83,A,low,0
612,SOTON/O.Q. 3101305,7.05,,S,,,high,44
613,367230,15.5,,Q,78,B,high,61
614,370377,7.75,,Q,38,A,unknown,
615,364512,8.05,,S,68,,low,93
616,220845,65,,S,63,,,
617,347080,14.4,,S,,,unknown,78
618,A/5. 3336,16.1,,S,26,B,,2
619,230136,39,F4,S,6,B,high,85
620,31028,10.5,,S,13,A,low,75
621,2659,14.4542,,C,43,B,high,
622,11753,52.5542,D19,S,47,A,,58
623,2653,15.7417,,C,,D,,
624,350029,7.8542,,S,41,,low,90
625,54636,16.1,,S,60,D,high,55
626,36963,32.3208,D50,S,23,,,
627,219533,12.35,,Q,33,D,medium,61
628,13502,77.9583,D9,S,36,C,,68
629,349224,7.8958,,S,50,B,unknown,
630,334912,7.7333,,Q,36,C,high,81
631,27042,30,A23,S,73,B,,20
632,347743,7.0542,,S,32,A,,89
633,13214,30.5,B50,C,43,B,low,55
634,112052,0,,S,37,,high,32
635,347088,27.9,,S,,,high,
636,237668,13,,S,68,A,unknown,1
637,STON/O 2. 3101292,7.925,,S,23,,unknown,74
638,C.A. 31921,26.25,,S,29,C,,37
639,3101295,39.6875,,S,79,,,84
640,376564,16.1,,S,94,,medium,23
641,350050,7.8542,,S,67,A,,92
642,PC 17477,69.3,B35,C,91,,high,94
643,347088,27.9,,S,85,D,unknown,10
644,1601,56.4958,,S,48,C,,64
645,2666,19.2583,,C,,,,93
646,PC 17572,76.7292,D33,C,32,B,,32
647,349231,7.8958,,S,,A,unknown,
648,13213,35.5,A26,C,,A,high,
649,S.O./P.P. 751,7.55,,S,96,A,low,47
650,CA. 2314,7.55,,S,84,D,low,2
651,349221,7.8958,,S,,C,unknown,84
652,231919,23,,S,65,B,unknown,
653,8475,8.4333,,S,20,D,unknown,
