id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17
46,C,low,,D,unknown,,A,high,,Z,low,307,Y,,77,Z
47,A,unknown,64,A,medium,59,B,,14,Z,low,69,,low,387,
48,C,,21,,,84,A,medium,21,Y,low,452,X,high,71,X
49,C,,54,C,,88,,low,8,Y,high,40,X,medium,414,Z
50,A,,,A,medium,45,,high,,Z,high,245,Z,low,63,
51,B,unknown,12,,high,42,B,,43,Z,low,474,Y,,89,X
52,,medium,6,D,high,93,B,unknown,,Z,medium,276,Y,medium,,Y
53,,unknown,,D,,,,low,92,X,medium,404,,low,91,X
54,,unknown,65,A,medium,20,,,,Z,high,211,,low,38,Y
55,,unknown,31,C,low,,,medium,55,Y,medium,377,Z,medium,26,X
56,C,high,82,,low,71,B,high,,Z,medium,353,Z,low,143,X
57,B,,84,,,23,D,low,,Z,medium,256,Y,medium,245,Y
58,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,22,X
59,,low,,C,,29,B,,90,X,medium,485,Y,low,68,X
60,D,,,C,unknown,,,,96,X,medium,,X,low,305,Y
61,,high,82,,,49,C,,38,Y,high,178,Z,,159,Y
62,B,unknown,89,,low,69,,,48,Z,medium,320,X,medium,,Z
63,,,,,high,90,D,unknown,,X,high,384,Z,low,420,X
64,C,high,51,C,,39,,,5,X,medium,267,Y,low,15,Y
65,A,,,A,high,,D,medium,11,Y,high,200,Y,low,474,X
66,B,,,A,medium,75,,,4,Y,high,203,,high,341,X
67,B,,13,C,unknown,,A,,73,X,low,487,X,high,411,X
68,A,unknown,67,,high,,,,22,Y,medium,166,,medium,239,Z
69,,medium,92,A,,75,A,low,,Z,high,427,Z,medium,0,Z
70,C,,75,,medium,70,,high,37,X,medium,25,X,low,442,Y
71,D,,48,D,unknown,,C,low,79,,high,329,X,low,284,Y
72,A,,52,C,high,,B,,11,X,medium,340,X,high,18,Z
73,B,,25,D,high,1,,medium,32,X,,337,Z,low,,Y
74,A,high,,D,medium,,,unknown,,Y,medium,210,Y,high,103,Y
75,,unknown,24,D,,,C,low,,X,medium,345,X,low,187,Y
76,,unknown,34,A,unknown,,A,,56,Y,low,222,,low,221,Y
77,,low,26,,medium,,A,,16,X,low,296,X,high,213,Y
78,,low,33,,low,30,,,66,Z,low,446,Z,high,434,Y
79,A,,36,A,medium,89,C,high,96,Y,high,336,Z,,471,X
80,C,,8,,,70,,low,4,X,medium,368,Y,low,339,Z
81,C,unknown,,,,56,,medium,8,X,medium,484,Z,medium,316,Z
82,D,low,44,,low,88,B,high,95,Y,medium,109,X,low,,Y
83,D,low,94,,low,9,C,unknown,,Y,medium,293,Y,low,133,Z
84,D,unknown,,A,medium,64,,unknown,91,,high,328,,medium,279,X
85,C,unknown,66,B,medium,15,D,,70,X,medium,,Z,low,321,Y
86,,low,,,low,23,A,medium,,Y,medium,66,Y,low,,Z
87,B,medium,,B,medium,18,D,,,Y,medium,380,Z,medium,,Z
88,A,,49,,,54,,,51,X,medium,97,Y,high,,Z
89,B,,44,A,low,62,C,,36,Y,medium,204,,low,29,Z
90,B,,65,,medium,75,A,medium,83,X,low,357,Z,medium,161,Y
91,A,,,B,,,C,unknown,4,Z,high,131,Z,high,407,
92,A,low,31,B,,93,,medium,,Z,medium,62,,high,,Y
93,C,medium,,D,,37,C,,55,X,medium,337,Y,medium,108,
94,B,high,18,,,,B,high,97,X,medium,140,Y,low,436,Z
95,,high,,,high,3,C,,99,X,medium,413,X,high,76,Y
96,B,,,,,12,C,medium,59,Z,high,449,Y,low,79,X
97,D,unknown,95,A,unknown,,B,high,42,Z,low,174,Z,,449,Z
98,C,unknown,,,,41,D,unknown,27,X,low,369,Z,medium,,X
99,A,,39,C,,,C,unknown,99,Y,high,,Y,low,0,Y
100,A,,,B,unknown,12,,unknown,,X,high,464,Y,low,216,X
101,C,high,80,B,,26,,high,12,Z,medium,122,Z,low,370,X
102,C,,48,B,low,98,D,,50,X,medium,440,X,high,378,X
103,B,medium,96,,unknown,2,B,high,39,X,medium,393,X,high,43,X
104,C,low,,B,,42,C,,49,Z,high,156,,high,140,X
105,,medium,70,,,19,A,unknown,,,medium,412,X,low,308,X
106,,,75,C,high,53,B,unknown,26,Y,high,316,Z,high,330,Z
107,A,unknown,,A,unknown,97,C,unknown,,Z,medium,334,X,medium,310,Z
108,B,unknown,,,low,22,D,high,,X,medium,189,X,high,168,X
109,,,58,C,low,37,C,,32,X,high,117,Y,medium,431,Y
110,D,low,,,unknown,44,,medium,0,Y,,348,Y,low,39,
111,D,low,11,,high,79,B,,67,Y,low,26,Z,low,411,Z
112,,medium,13,A,low,,C,unknown,85,,low,174,Z,low,469,Z
113,A,,,C,unknown,,,unknown,,Z,high,70,Y,high,342,Y
114,,unknown,65,B,,48,A,medium,16,Z,medium,0,X,medium,214,X
115,A,,28,C,medium,,A,,76,X,low,3,X,high,190,
116,,,73,A,medium,0,C,,14,Z,high,46,Z,,,Z
117,,,69,,high,80,D,low,62,X,high,469,Y,low,,X
118,,medium,,,low,24,,,70,Y,medium,385,Z,low,111,Y
119,A,,91,B,medium,,D,,15,Y,medium,494,Y,,317,Y
120,,high,88,,,97,,medium,11,Y,high,42,Z,low,,Z
121,C,low,,C,low,63,C,unknown,7,X,low,498,Y,high,248,Z
122,,medium,76,,unknown,,D,,70,Y,low,299,Z,medium,237,Y
123,D,high,,,low,60,,high,61,X,medium,397,Y,medium,38,Y
124,D,medium,40,A,unknown,21,,low,11,Z,medium,428,X,low,,Y
125,C,,,D,low,69,C,unknown,50,X,low,131,X,medium,477,Z
126,,,60,A,medium,61,C,,79,Y,low,370,X,medium,122,X
127,B,unknown,41,C,low,,,,23,X,high,323,Y,low,157,Z
128,D,low,99,,,7,B,,60,X,medium,206,Z,low,315,Z
129,,low,17,D,high,64,D,high,29,Y,high,245,Y,medium,1,X
130,,high,9,,low,,,unknown,,Z,medium,104,Z,,51,X
131,A,medium,2,A,high,77,A,,,Y,medium,92,X,high,450,Y
132,A,high,81,D,,12,B,,35,Z,medium,461,Y,medium,86,Z
133,,low,40,C,medium,53,,high,49,Z,medium,365,,low,288,Y
134,,,43,,low,81,B,unknown,20,Y,high,283,X,high,441,X
135,B,unknown,64,C,high,89,,medium,39,Z,high,347,Y,medium,366,Y
136,D,,,A,,93,,,62,Y,high,202,Y,high,135,Y
137,A,medium,57,C,low,,,,38,Y,high,124,Y,low,76,Z
138,C,,5,,,,B,low,,Z,low,471,Y,low,358,
139,B,high,,B,medium,57,C,,,Y,medium,494,X,low,202,X
140,A,low,,,low,46,D,,13,Z,high,107,Z,high,483,
141,D,,45,B,unknown,23,,medium,,X,medium,400,X,low,322,X
142,A,,16,,high,,C,low,46,Y,medium,221,Z,high,5,X
143,,unknown,,,unknown,14,A,,60,Y,low,353,Z,high,125,
144,,,33,D,medium,,A,unknown,73,X,low,54,X,medium,372,X
145,D,medium,27,,,,,low,,Z,high,239,X,high,350,X
146,A,unknown,29,A,,,A,,97,X,low,62,Y,high,370,Z
147,,,72,A,low,10,,low,42,X,medium,407,Z,high,116,Y
148,C,,10,B,medium,26,B,,88,X,medium,199,Y,high,124,Z
149,D,unknown,30,D,unknown,,D,high,41,Z,high,131,Y,medium,104,Y
150,A,low,46,B,medium,,,low,40,X,high,349,Z,low,347,X
151,D,,54,,unknown,44,B,high,60,X,medium,477,Y,low,5,Z
152,C,medium,88,B,medium,4,C,,19,Z,low,169,Z,medium,407,Y
153,D,unknown,,,medium,1,A,high,60,X,,358,Z,medium,140,Z
154,,low,,,,,D,unknown,,X,high,344,X,medium,244,X
155,D,unknown,53,,,44,C,,,X,medium,244,Y,low,123,Z
156,C,low,2,A,,7,C,unknown,7,Y,medium,402,X,medium,212,Z
157,,low,61,D,low,83,,low,69,X,high,63,,medium,382,
158,,high,15,D,medium,,D,low,3,Z,medium,438,X,high,99,Z
159,,high,7,A,high,34,D,medium,10,X,,202,X,high,284,Z
160,B,unknown,67,C,,45,A,medium,28,Y,medium,22,X,medium,28,Z
161,C,,,D,unknown,,C,low,,X,high,,Z,high,88,X
162,,low,,,,93,,medium,0,X,medium,386,Y,low,342,Z
163,C,,10,B,high,78,B,unknown,,X,,408,Y,high,284,Z
164,D,,74,D,,19,,high,78,Z,medium,73,,high,305,Y
165,,,76,C,medium,73,,high,45,Z,high,375,Z,low,112,Y
166,A,,,,,17,B,low,19,X,high,349,Y,,103,X
167,,unknown,83,A,high,45,C,low,42,X,high,451,Y,medium,,Y
168,B,unknown,43,C,low,,,medium,69,Z,high,185,Y,low,64,Z
169,C,high,18,,unknown,3,A,,73,Y,high,463,Y,medium,,Z
170,,,,,,,A,unknown,,X,medium,353,,high,133,X
171,B,high,21,A,medium,22,,,16,X,medium,,X,high,359,X
172,B,high,20,B,medium,,A,,95,Y,medium,106,X,,78,X
173,B,high,32,D,unknown,49,D,medium,,Y,high,451,X,medium,325,Y
174,D,high,,,medium,2,C,high,98,Y,medium,322,Y,medium,101,X
175,B,medium,,B,medium,,,low,,X,low,59,Z,high,140,Z
176,,high,,,low,,B,,11,Y,low,62,Y,medium,206,Z
177,B,unknown,62,B,medium,95,B,,,X,,413,X,medium,,X
178,A,unknown,33,C,low,,,,32,Y,medium,84,Y,high,62,Z
179,B,high,,B,,19,,unknown,,X,high,109,Z,medium,376,Z
180,A,low,51,,unknown,60,,,71,X,high,307,Y,low,172,Z
181,A,,,C,,36,,high,,Z,high,431,X,low,283,Z
182,,medium,43,D,unknown,60,A,,58,Y,high,168,X,,323,Y
183,A,low,29,B,unknown,,C,unknown,,Y,low,332,Y,medium,311,Z
184,,,,,,29,C,low,61,X,high,351,Z,medium,313,X
185,D,high,,A,high,65,C,unknown,39,X,high,300,X,low,487,Z
186,C,unknown,,D,high,26,B,unknown,,Z,high,342,Z,high,315,Y
187,B,,,,medium,90,A,,71,Z,,,Z,low,174,Z
188,A,,47,A,,94,B,unknown,29,Y,low,310,X,low,,Z
189,D,,,A,medium,,B,high,19,X,high,1,,high,400,Y
190,D,high,,A,low,72,,,70,Y,low,365,X,low,210,X
191,C,,90,B,high,,D,low,,X,high,396,Y,high,,X
192,A,unknown,67,D,low,,B,low,44,X,high,396,X,high,407,Z
193,,unknown,,A,,73,,low,,X,high,14,Z,high,117,Z
194,,unknown,96,D,,93,C,low,18,Y,medium,455,X,high,111,Y
195,A,medium,71,,high,22,D,unknown,81,Y,high,217,Y,medium,26,Z
196,D,,5,C,medium,,B,low,98,Y,high,40,Z,medium,,Z
197,A,,72,B,medium,,,,,Z,high,267,X,medium,308,Y
198,,unknown,,D,low,33,A,,14,X,medium,285,X,medium,251,Z
199,D,,,,medium,23,C,,,X,medium,201,Z,high,148,Z
200,D,,48,B,high,,A,unknown,86,Z,high,374,X,medium,105,Y
201,A,low,51,A,,33,A,unknown,8,X,low,271,,medium,347,X
202,,,31,D,medium,72,,,,X,low,108,X,high,42,Z
203,C,low,,B,,37,,unknown,,Z,medium,310,X,low,350,Y
204,C,unknown,61,B,high,37,A,,3,,medium,131,Y,medium,452,Y
205,,high,,C,high,94,,low,,,high,59,Y,high,227,Z
206,D,medium,89,C,low,,D,,7,Z,high,133,Y,high,247,Z
207,D,high,77,C,high,92,C,medium,17,Y,low,452,Z,low,,X
208,,high,60,B,low,71,,high,48,X,,286,X,low,47,Z
209,,high,,A,medium,,D,unknown,,Z,high,158,Y,low,313,X
210,C,high,33,,high,,B,,,X,medium,183,,high,182,Y
211,A,,76,A,,93,D,low,,Z,low,429,Z,low,234,Z
212,,medium,31,,high,94,,medium,20,Y,medium,333,Y,low,11,X
213,A,,26,,unknown,4,,,87,Z,high,386,Z,medium,438,X
214,D,,86,C,,35,A,unknown,,Z,medium,305,X,high,166,Z
215,,,,D,unknown,41,,,,Z,medium,496,Y,low,37,Y
216,A,low,,A,,,A,,72,X,medium,328,X,low,,Z
217,A,unknown,86,D,medium,77,A,low,48,Z,high,200,X,low,489,Y
218,A,low,,D,unknown,69,,,41,X,medium,126,Z,low,259,
219,C,low,,C,medium,21,D,unknown,75,X,high,23,Z,low,16,Y
220,B,,52,C,low,,,low,,Y,high,383,X,low,495,Z
221,D,low,,,,,,,82,X,medium,466,Y,medium,104,Y
222,B,medium,,A,,44,D,,68,Y,medium,332,Z,low,,
223,,medium,,,,,A,low,76,X,high,243,X,medium,354,Y
224,C,,,,,,,low,42,Y,low,65,Z,medium,165,Y
225,C,,79,,high,92,,medium,38,Y,low,321,X,medium,42,Y
226,,high,59,A,low,90,D,high,57,Y,low,,Y,medium,341,Y
227,,low,,A,high,1,,high,64,,,311,Z,medium,131,Z
228,C,high,40,A,high,,C,high,92,Z,high,150,Z,high,430,X
229,,high,38,C,unknown,,A,,85,X,high,432,X,low,76,Y
230,,high,42,C,,82,C,medium,5,Z,low,468,X,medium,453,
231,,high,99,,,80,C,medium,15,Y,low,117,X,medium,361,Z
232,C,,,A,low,,D,medium,94,Y,low,163,Y,medium,119,Y
233,D,,15,A,high,6,,,,Y,low,,X,low,289,Y
234,C,,4,A,unknown,,A,low,,X,,9,Z,low,469,X
235,,high,51,,low,,A,,5,Z,medium,258,X,high,32,Y
236,,unknown,80,,medium,,D,unknown,,X,high,70,Y,high,409,X
237,B,high,,B,,8,A,,40,Z,low,216,Z,medium,230,X
238,A,low,56,,,,D,,,X,high,16,Y,low,474,Z
239,A,medium,79,B,,43,B,medium,77,Z,high,70,Y,medium,104,Y
240,,high,51,D,medium,76,,high,89,Y,low,201,X,low,359,Z
241,,low,90,,medium,31,D,high,,Y,low,,Z,low,483,X
242,,unknown,63,,unknown,,C,,,Z,medium,398,,low,171,Z
243,B,unknown,73,B,,,C,low,54,X,high,289,Z,low,53,Y
244,C,unknown,78,A,low,,D,,54,Y,high,225,X,low,196,X
245,D,low,62,D,unknown,29,D,high,3,Z,high,236,Y,low,299,Y
246,D,high,5,,medium,25,C,low,,X,low,419,Z,medium,315,Z
247,B,high,42,,unknown,,B,high,,X,high,422,Z,high,240,Z
248,B,high,14,A,,28,D,,,Y,high,23,,low,466,
249,,unknown,51,B,,68,C,,,X,,342,Z,low,289,Z
250,A,,,,low,,,high,44,Z,low,234,X,low,320,X
251,C,high,,C,unknown,,,,,Z,low,391,Z,medium,478,X
252,B,high,,A,high,,C,,,X,low,393,Y,high,469,Z
253,,,2,C,medium,,B,low,70,X,high,354,,low,170,Y
254,C,unknown,,D,unknown,58,D,medium,63,Z,low,337,Y,low,143,Y
255,B,,50,D,unknown,,,high,10,Y,high,105,Y,low,374,Z
256,,unknown,7,,,25,,medium,29,Z,low,426,Z,medium,262,Z
257,C,low,,,,98,C,unknown,84,Z,high,350,Z,medium,223,Z
258,A,,75,C,high,20,C,unknown,,Y,high,136,Z,medium,349,
259,,high,70,A,medium,13,C,unknown,,X,medium,116,X,low,330,Z
260,A,low,17,A,,82,D,low,52,Y,medium,250,Y,high,456,X
261,B,medium,,D,,89,B,,11,Y,low,171,Z,medium,182,
262,D,,63,,,9,D,low,12,Y,low,338,,high,,Y
263,A,high,39,,,59,,high,98,X,high,203,Y,high,113,Y
264,,low,0,,,,A,medium,3,X,high,84,Z,low,468,X
265,C,medium,,,,22,C,,2,,high,197,Y,low,41,Z
266,D,,79,C,medium,,A,,1,Y,medium,407,X,high,375,X
267,,high,3,C,low,68,D,low,62,Y,low,415,Z,high,50,Y
268,C,medium,,D,unknown,57,,high,,X,low,155,Y,medium,440,X
269,D,high,38,D,high,51,,high,,Z,high,397,Y,low,479,Z
270,,high,,A,high,88,C,high,79,Z,low,46,X,low,408,X
271,A,,47,,low,,B,medium,71,Z,low,492,X,high,394,Z
272,D,,42,A,low,62,B,,,Z,low,382,Y,high,239,Z
273,A,unknown,,B,low,31,D,,7,Y,medium,20,Z,,122,Y
274,C,low,5,B,,97,,,48,X,high,352,X,,492,X
275,B,,3,D,unknown,25,D,unknown,8,Y,medium,247,Z,low,264,X
276,C,low,9,,medium,,B,medium,11,Y,high,441,Z,low,408,Y
277,,low,69,,high,63,,low,46,Z,medium,119,,medium,357,Y
278,,,78,,,,C,unknown,,X,high,446,Z,medium,350,Y
279,C,,,B,unknown,75,A,medium,99,X,,435,Z,,176,X
280,,high,7,,medium,24,A,low,,X,medium,139,Z,low,213,
281,B,medium,41,,medium,26,,low,27,X,low,216,,high,,X
282,,,98,,,34,,medium,32,Y,high,320,Z,medium,,Y
283,D,medium,,D,low,68,A,low,,X,medium,120,Z,,359,X
284,A,low,,A,unknown,39,C,,,X,low,499,X,high,99,Y
285,B,medium,53,C,,56,A,high,51,Y,low,,Y,medium,113,Y
286,C,high,,B,medium,55,D,,76,Z,medium,121,,medium,24,Z
287,,high,,,high,19,D,,84,Y,medium,250,Y,low,,Y
288,D,medium,47,C,high,23,,low,5,X,low,236,X,high,334,X
289,B,,,,,30,A,unknown,28,X,medium,25,Z,high,105,X
290,D,high,,,high,,B,,25,Z,,455,,low,355,Z
291,,,,D,unknown,,,,55,Y,high,120,Z,high,1,Z
292,C,medium,5,,,,,high,,Y,low,51,X,high,433,X
293,C,,0,,,,C,,,Z,,259,X,medium,345,Z
294,A,unknown,41,A,,67,C,,91,Y,high,464,Y,high,341,Y
295,A,,,D,,,C,unknown,33,Y,low,1,X,medium,353,
296,,,,,unknown,68,,high,,Z,low,244,Y,,179,Y
297,C,,7,B,medium,,A,medium,43,X,,455,Y,low,497,Z
298,,high,67,D,,,,unknown,,Y,high,446,X,low,,X
299,A,high,45,,high,89,,medium,88,Y,high,85,Z,medium,90,Z
300,,,23,,,20,D,,,X,medium,,X,low,461,X
301,D,unknown,20,D,medium,16,C,low,33,,high,417,Z,high,369,Z
302,,unknown,66,D,unknown,39,B,low,,Z,medium,335,X,low,155,X
303,B,unknown,52,B,unknown,83,C,unknown,38,X,high,328,Y,high,473,X
304,,unknown,,B,medium,96,C,,,Y,high,386,Z,medium,124,X
305,D,unknown,28,,medium,,,,30,Y,high,226,X,high,322,Z
306,B,,52,A,,,B,,10,X,medium,33,Z,high,335,Y
307,B,low,86,C,,23,C,,,X,medium,319,X,high,481,Z
308,C,,31,,medium,59,A,,65,,low,313,Z,medium,285,X
309,A,low,39,D,,18,A,high,93,Z,high,425,Z,high,497,Z
310,D,low,16,,low,53,A,,0,Y,low,461,X,low,142,Z
311,D,unknown,,C,,,,medium,63,Y,medium,168,Y,medium,400,Y
312,,unknown,3,C,medium,7,A,low,56,Y,medium,478,Z,low,122,Z
313,C,high,24,C,unknown,96,B,unknown,62,Z,,4,X,low,499,X
314,C,high,,A,unknown,89,,unknown,98,Z,high,484,X,medium,381,X
315,,,1,B,unknown,,B,medium,39,X,high,,X,low,312,X
316,D,,98,,,62,A,,,Y,high,322,,medium,33,X
317,,unknown,40,B,,,D,low,1,Y,,341,Z,medium,,Z
318,,medium,,D,high,57,B,,,X,medium,316,Y,,72,Y
319,C,high,53,,unknown,,A,,17,,medium,495,Y,medium,458,Y
320,,,,B,low,53,,,,X,high,276,Z,high,189,Z
321,D,low,,,high,,,low,,Z,medium,65,X,medium,415,Z
322,D,,88,A,low,39,,,27,X,medium,303,Z,low,453,Y
323,C,,,B,,84,,low,11,Y,low,145,X,medium,55,Y
324,B,,,B,medium,25,,high,,Z,medium,306,X,medium,379,X
325,B,medium,70,D,high,96,B,high,65,Y,medium,190,,high,151,Z
326,B,high,30,,unknown,75,,,28,X,low,21,Y,medium,54,Z
327,C,unknown,99,A,low,89,B,low,13,X,high,318,Y,low,130,Y
328,,high,25,,high,50,,medium,57,Y,high,44,X,low,274,Y
329,C,medium,29,,low,22,A,low,,Z,high,163,Y,low,,Z
330,D,medium,71,A,low,3,D,high,,Y,low,309,Z,medium,345,Y
331,,high,78,C,,53,,low,38,X,low,440,X,,116,Y
332,C,medium,12,C,high,39,D,high,,Z,low,157,X,high,147,Z
333,,high,55,,low,11,C,unknown,24,Y,high,149,X,low,152,
334,C,,,B,medium,,D,high,28,X,high,150,Y,medium,368,Z
335,,,61,,,97,,,14,Y,medium,287,Z,low,259,X
336,,unknown,55,,medium,,D,,,X,low,96,X,high,11,
337,,medium,,B,unknown,,C,,14,Z,medium,,Z,medium,38,Y
338,,medium,,,,,D,,68,Z,high,400,Z,medium,37,X
339,,high,65,,,,,,,X,medium,,Y,medium,480,Z
340,,,67,D,,62,,unknown,,Y,low,482,Z,low,252,Y
341,,unknown,,C,high,41,C,unknown,,X,,265,,low,245,Z
342,,low,,,medium,,A,medium,63,Y,high,313,Z,high,380,
343,B,unknown,72,B,,18,,medium,75,X,high,308,Y,low,95,Y
344,C,,77,,medium,66,A,low,56,Z,medium,472,X,high,15,Y
345,A,,12,B,low,98,A,,,X,high,332,Z,low,,Y
346,C,high,88,,low,85,,high,25,Z,low,441,Y,low,,
347,,unknown,,,medium,4,,,,X,high,142,X,high,399,X
348,,low,,C,unknown,11,A,medium,,X,low,108,Z,high,409,Y
349,,high,48,,low,62,B,low,,Z,medium,321,Y,high,317,
350,B,low,48,,,92,B,low,49,Z,medium,76,Z,high,454,
351,A,low,91,,medium,84,C,,90,X,high,55,Z,medium,232,Y
352,B,unknown,96,A,high,90,,low,27,X,low,105,X,low,120,Z
353,C,high,80,A,low,14,C,,51,Z,low,135,Z,medium,165,X
354,A,medium,65,B,low,51,B,,,Z,high,48,,medium,70,Z
355,C,high,10,B,low,72,D,,63,Y,medium,364,Z,high,450,Y
356,A,medium,91,C,medium,62,B,,,X,high,291,X,,302,
357,D,medium,13,A,,77,B,high,41,X,medium,100,Z,low,386,Z
358,C,medium,16,B,unknown,21,A,medium,0,X,medium,141,Z,medium,140,X
359,B,medium,6,D,,45,D,,,Z,high,464,Z,high,359,X
360,C,unknown,94,D,,44,,low,,X,high,,Y,high,165,Y
361,A,medium,,D,,93,B,high,,Y,,61,Z,medium,223,Z
362,A,medium,,,,20,B,unknown,,Z,high,306,,medium,325,X
363,D,high,8,A,medium,32,D,high,14,X,low,161,X,medium,490,Y
364,D,unknown,41,,medium,,,medium,,,low,179,Z,medium,279,X
365,,medium,72,A,high,15,A,high,79,Z,high,299,Y,medium,355,X
366,B,unknown,99,,,,A,unknown,45,X,medium,492,X,low,297,Z
367,A,medium,,,medium,84,C,low,5,X,low,291,Y,medium,211,X
368,,high,60,D,medium,,A,high,6,X,low,476,X,medium,466,Y
369,B,unknown,83,C,high,70,,low,67,X,medium,410,Y,,,
370,,,90,B,high,59,A,,,X,medium,389,Y,high,155,X
371,C,low,27,B,low,,D,unknown,,Z,high,395,Z,high,447,Z
372,A,high,,D,,30,D,medium,40,X,high,395,Z,low,225,Y
373,D,,51,D,high,99,,,49,X,high,127,Y,medium,369,
374,C,medium,93,C,high,,,medium,16,Z,medium,488,Z,medium,258,Z
375,,unknown,11,D,,71,B,low,,X,high,459,X,,383,Y
376,,,9,B,high,,,,76,X,high,300,Z,medium,435,Z
377,C,high,,B,high,,C,,42,X,high,355,X,,211,X
378,,high,67,D,medium,,,low,49,Z,medium,440,Z,high,350,X
379,A,low,17,B,high,84,C,low,,Z,low,76,Z,,253,X
380,,medium,89,D,medium,63,A,unknown,,,low,32,X,high,399,Y
381,B,high,10,B,medium,28,B,,98,Z,high,497,X,high,95,Z
382,D,low,,B,low,96,,unknown,81,X,high,277,Z,high,364,Z
383,B,medium,,A,medium,70,,high,,Y,high,361,Z,high,297,Y
384,,,,C,low,42,,,,Y,,251,Z,medium,225,X
385,A,unknown,,B,,13,,medium,72,X,medium,258,X,medium,,Y
386,B,low,84,B,medium,97,B,,33,Z,low,18,Y,medium,350,Y
387,B,unknown,10,C,high,,C,unknown,51,Y,low,144,Y,high,173,Y
388,A,medium,,A,unknown,,,low,14,Z,high,43,Z,medium,16,Z
389,B,high,61,,low,83,,,,X,low,216,Z,high,474,Y
390,,high,2,D,unknown,60,D,high,,Z,medium,10,Z,high,223,Z
391,A,,74,C,medium,,,unknown,72,X,high,401,Y,,82,Y
392,,unknown,,C,,23,A,unknown,60,X,medium,147,X,medium,112,X
393,C,low,75,,,7,A,low,,Y,high,370,Z,medium,414,X
394,D,low,,C,unknown,,,,50,X,medium,26,X,high,165,Z
395,C,unknown,19,B,low,,C,,,X,high,16,X,low,140,Y
396,A,high,,,,,,low,,Z,low,,X,low,243,X
397,,unknown,6,A,,16,A,,1,Y,medium,394,Y,low,14,X
