id,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,Parch_ew_bin,Parch_ew_bin_num,Fare_ew_bin,Fare_ew_bin_num,ExtraCol1_ew_bin,ExtraCol1_ew_bin_num,ExtraCol4_ew_bin,ExtraCol4_ew_bin_num,ExtraCol7_ew_bin,ExtraCol7_ew_bin_num,ExtraCol10_ew_bin,ExtraCol10_ew_bin_num,ExtraCol13_ew_bin,ExtraCol13_ew_bin_num,Fare_smooth_median_bin,Fare_smoothed,ExtraCol1_smooth_median_bin,ExtraCol1_smoothed,ExtraCol2A,ExtraCol2B,ExtraCol2C,ExtraCol2D,Ticket_freq,Cabin_freq,ExtraCol2_freq
11,1,PP 9549,16.7,G6,S,52,A,high,NA,B,unknown,NA,B,NA,15,Y,high,NA,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,NA,NA,ExtraCol10_1,1,NA,NA,Fare_3,16.7,ExtraCol1_4,52,1,0,0,0,2,4,441
12,0,113783,26.55,C103,S,97,C,high,NA,D,NA,24,A,high,33,X,low,79,X,high,Parch_1,1,Fare_1,1,ExtraCol1_5,5,NA,NA,ExtraCol7_2,2,ExtraCol10_2,2,ExtraCol13_1,1,Fare_4,26.55,ExtraCol1_5,97,0,0,1,0,1,1,153
13,0,A/5. 2151,8.05,B96 B98,S,73,B,low,54,C,high,78,NA,NA,NA,Z,medium,466,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_3,3,ExtraCol7_4,4,NA,NA,ExtraCol13_5,5,Fare_2,8.05,ExtraCol1_4,73,0,1,0,0,1,691,142
14,5,347082,31.275,B96 B98,S,76,A,high,64,C,medium,NA,A,NA,81,Y,high,75,Z,high,Parch_5,5,Fare_1,1,ExtraCol1_4,4,ExtraCol4_4,4,NA,NA,ExtraCol10_5,5,ExtraCol13_1,1,Fare_4,31.275,ExtraCol1_5,76,1,0,0,0,7,691,441
15,0,350406,7.8542,B96 B98,S,71,C,high,NA,C,medium,71,NA,NA,86,Z,medium,100,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_4,4,NA,NA,ExtraCol7_4,4,ExtraCol10_5,5,ExtraCol13_2,2,Fare_1,7.8542,ExtraCol1_4,71,0,0,1,0,1,691,153
16,0,248706,16,B96 B98,S,43,A,unknown,81,C,NA,NA,NA,unknown,NA,X,low,483,Z,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_5,5,NA,NA,NA,NA,ExtraCol13_5,5,Fare_3,16,ExtraCol1_2,43,1,0,0,0,1,691,441
17,1,382652,29.125,B96 B98,Q,51,D,high,NA,NA,medium,NA,NA,NA,NA,Z,low,188,X,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,NA,NA,NA,NA,ExtraCol13_2,2,Fare_4,29.125,ExtraCol1_4,51,0,0,0,1,5,691,155
18,0,244373,13,B96 B98,S,12,C,unknown,96,D,unknown,72,A,NA,NA,Z,medium,286,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_5,5,ExtraCol7_4,4,NA,NA,ExtraCol13_3,3,Fare_3,13,ExtraCol1_1,12,0,0,1,0,1,691,153
19,0,345763,18,B96 B98,S,83,C,high,NA,B,low,33,D,unknown,53,Y,low,217,Z,NA,Parch_1,1,Fare_1,1,ExtraCol1_5,5,NA,NA,ExtraCol7_2,2,ExtraCol10_3,3,ExtraCol13_3,3,Fare_3,18,ExtraCol1_5,83,0,0,1,0,1,691,153
20,0,2649,7.225,B96 B98,C,45,D,low,32,NA,low,96,A,medium,70,Z,medium,129,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_4,4,ExtraCol13_2,2,Fare_1,7.225,ExtraCol1_4,45,0,0,0,1,1,691,155
21,0,239865,26,B96 B98,S,50,A,low,72,C,unknown,86,B,NA,72,Y,medium,253,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,ExtraCol7_5,5,ExtraCol10_4,4,ExtraCol13_3,3,Fare_4,26,ExtraCol1_4,50,1,0,0,0,2,691,441
22,0,248698,13,D56,S,37,D,high,89,C,unknown,59,B,NA,96,Z,medium,388,Z,NA,Parch_1,1,Fare_1,1,ExtraCol1_2,2,ExtraCol4_5,5,ExtraCol7_3,3,ExtraCol10_5,5,ExtraCol13_4,4,Fare_3,13,ExtraCol1_2,37,0,0,0,1,1,1,155
23,0,330923,8.0292,B96 B98,Q,43,B,high,NA,B,unknown,NA,C,NA,57,Z,high,5,Y,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,NA,NA,ExtraCol10_3,3,ExtraCol13_1,1,Fare_2,8.0292,ExtraCol1_2,43,0,1,0,0,1,691,142
24,0,113788,35.5,A6,S,92,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_5,5,ExtraCol7_3,3,ExtraCol10_2,2,ExtraCol13_5,5,Fare_4,35.5,ExtraCol1_5,92,1,0,0,0,1,1,441
25,1,349909,21.075,B96 B98,S,78,A,high,19,C,medium,69,NA,NA,NA,Z,low,92,X,NA,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_1,1,ExtraCol7_4,4,NA,NA,ExtraCol13_1,1,Fare_3,21.075,ExtraCol1_5,78,1,0,0,0,4,691,441
26,5,347077,31.3875,B96 B98,S,64,A,high,41,NA,low,NA,D,low,NA,Z,high,458,Z,high,Parch_5,5,Fare_1,1,ExtraCol1_4,4,ExtraCol4_3,3,NA,NA,NA,NA,ExtraCol13_5,5,Fare_4,31.3875,ExtraCol1_4,64,1,0,0,0,4,691,441
27,0,2631,7.225,B96 B98,C,43,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,ExtraCol7_1,1,ExtraCol10_5,5,ExtraCol13_5,5,Fare_1,7.225,ExtraCol1_2,43,1,0,0,0,1,691,441
28,2,19950,263,C23 C25 C27,S,43,A,low,42,D,high,56,A,high,NA,Z,low,466,Y,low,Parch_2,2,Fare_3,3,ExtraCol1_3,3,ExtraCol4_3,3,ExtraCol7_3,3,NA,NA,ExtraCol13_5,5,Fare_5,263,ExtraCol1_2,43,1,0,0,0,4,4,441
29,0,330959,7.8792,B96 B98,Q,43,A,high,NA,B,medium,80,D,NA,NA,Y,medium,325,Y,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,ExtraCol7_5,5,NA,NA,ExtraCol13_4,4,Fare_2,7.8792,ExtraCol1_2,43,1,0,0,0,1,691,441
30,0,349216,7.8958,B96 B98,S,44,A,high,73,C,medium,31,A,unknown,31,Z,NA,452,NA,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,ExtraCol7_2,2,ExtraCol10_2,2,ExtraCol13_5,5,Fare_2,7.8958,ExtraCol1_3,44,1,0,0,0,1,691,441
31,0,PC 17601,27.7208,B96 B98,C,45,D,high,NA,A,NA,45,NA,unknown,5,NA,medium,429,X,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,ExtraCol7_3,3,ExtraCol10_1,1,ExtraCol13_5,5,Fare_4,27.7208,ExtraCol1_4,45,0,0,0,1,1,691,155
32,0,PC 17569,146.5208,B78,C,22,A,high,25,NA,NA,NA,D,high,NA,NA,medium,319,X,low,Parch_1,1,Fare_2,2,ExtraCol1_2,2,ExtraCol4_2,2,NA,NA,NA,NA,ExtraCol13_4,4,Fare_5,146.5208,ExtraCol1_1,22,1,0,0,0,2,1,441
33,0,335677,7.75,B96 B98,Q,9,B,medium,NA,D,high,70,A,NA,12,Y,high,445,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_1,1,NA,NA,ExtraCol7_4,4,ExtraCol10_1,1,ExtraCol13_5,5,Fare_1,7.75,ExtraCol1_1,9,0,1,0,0,1,691,142
34,0,C.A. 24579,10.5,B96 B98,S,55,C,high,NA,NA,high,86,A,high,8,Y,medium,171,X,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,ExtraCol7_5,5,ExtraCol10_1,1,ExtraCol13_2,2,Fare_2,10.5,ExtraCol1_4,55,0,0,1,0,1,691,153
35,0,PC 17604,82.1708,B96 B98,C,88,B,high,65,D,high,NA,NA,medium,70,Y,high,417,X,high,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_4,4,NA,NA,ExtraCol10_4,4,ExtraCol13_5,5,Fare_5,82.1708,ExtraCol1_5,88,0,1,0,0,2,691,142
36,0,113789,52,B96 B98,S,43,C,high,69,NA,unknown,NA,NA,high,43,X,medium,462,Z,NA,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,NA,NA,ExtraCol10_3,3,ExtraCol13_5,5,Fare_5,52,ExtraCol1_2,43,0,0,1,0,2,691,153
37,0,2677,7.2292,B96 B98,C,85,D,medium,66,B,low,4,D,low,NA,Z,medium,NA,X,low,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_4,4,ExtraCol7_1,1,NA,NA,NA,NA,Fare_1,7.2292,ExtraCol1_5,85,0,0,0,1,1,691,155
38,0,A./5. 2152,8.05,B96 B98,S,82,A,high,60,D,medium,NA,C,unknown,NA,NA,low,61,Y,NA,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_4,4,NA,NA,NA,NA,ExtraCol13_1,1,Fare_2,8.05,ExtraCol1_5,82,1,0,0,0,1,691,441
39,0,345764,18,B96 B98,S,43,A,high,NA,B,high,94,C,unknown,NA,X,low,107,X,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,ExtraCol7_5,5,NA,NA,ExtraCol13_2,2,Fare_3,18,ExtraCol1_2,43,1,0,0,0,2,691,441
40,0,2651,11.2417,B96 B98,C,63,D,unknown,NA,NA,NA,8,D,medium,61,Y,medium,NA,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_4,4,NA,NA,ExtraCol7_1,1,ExtraCol10_4,4,NA,NA,Fare_3,11.2417,ExtraCol1_4,63,0,0,0,1,2,691,155
41,0,7546,9.475,B96 B98,S,16,C,low,90,A,unknown,NA,NA,medium,53,X,low,266,X,high,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_5,5,NA,NA,ExtraCol10_3,3,ExtraCol13_3,3,Fare_2,9.475,ExtraCol1_1,16,0,0,1,0,1,691,153
42,0,11668,21,B96 B98,S,43,C,unknown,38,B,NA,83,NA,medium,58,Y,high,216,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_3,3,ExtraCol13_3,3,Fare_3,21,ExtraCol1_2,43,0,0,1,0,2,691,153
43,0,349253,7.8958,B96 B98,C,70,B,medium,51,B,low,NA,D,NA,70,Y,low,413,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_3,3,NA,NA,ExtraCol10_4,4,ExtraCol13_5,5,Fare_2,7.8958,ExtraCol1_4,70,0,1,0,0,1,691,142
44,2,SC/Paris 2123,41.5792,B96 B98,C,35,A,high,18,NA,medium,17,NA,NA,38,X,low,141,Z,low,Parch_2,2,Fare_1,1,ExtraCol1_2,2,ExtraCol4_1,1,ExtraCol7_1,1,ExtraCol10_2,2,ExtraCol13_2,2,Fare_5,41.5792,ExtraCol1_2,35,1,0,0,0,3,691,441
45,0,330958,7.8792,B96 B98,Q,6,C,low,35,A,medium,2,A,medium,NA,Z,high,82,X,low,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_2,2,ExtraCol7_1,1,NA,NA,ExtraCol13_1,1,Fare_2,7.8792,ExtraCol1_1,6,0,0,1,0,1,691,153
46,0,S.C./A.4. 23567,8.05,B96 B98,S,97,C,low,NA,D,unknown,NA,A,high,NA,Z,low,307,Y,NA,Parch_1,1,Fare_1,1,ExtraCol1_5,5,NA,NA,NA,NA,NA,NA,ExtraCol13_4,4,Fare_2,8.05,ExtraCol1_5,97,0,0,1,0,1,691,153
47,0,370371,15.5,B96 B98,Q,44,A,unknown,64,A,medium,59,B,NA,14,Z,low,69,NA,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,ExtraCol7_3,3,ExtraCol10_1,1,ExtraCol13_1,1,Fare_3,15.5,ExtraCol1_3,44,1,0,0,0,1,691,441
48,0,14311,7.75,B96 B98,Q,89,C,high,21,NA,NA,84,A,medium,21,Y,low,452,X,high,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_2,2,ExtraCol13_5,5,Fare_1,7.75,ExtraCol1_5,89,0,0,1,0,1,691,153
49,0,2662,21.6792,B96 B98,C,67,C,high,54,C,NA,88,NA,low,8,Y,high,40,X,medium,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_3,3,ExtraCol7_5,5,ExtraCol10_1,1,ExtraCol13_1,1,Fare_3,21.6792,ExtraCol1_4,67,0,0,1,0,1,691,153
50,0,349237,17.8,B96 B98,S,77,A,high,NA,A,medium,45,NA,high,NA,Z,high,245,Z,low,Parch_1,1,Fare_1,1,ExtraCol1_4,4,NA,NA,ExtraCol7_3,3,NA,NA,ExtraCol13_3,3,Fare_3,17.8,ExtraCol1_5,77,1,0,0,0,2,691,441
51,1,3101295,39.6875,B96 B98,S,75,B,unknown,12,NA,high,42,B,NA,43,Z,low,474,Y,NA,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_1,1,ExtraCol7_3,3,ExtraCol10_3,3,ExtraCol13_5,5,Fare_4,39.6875,ExtraCol1_5,75,0,1,0,0,6,691,142
52,0,A/4. 39886,7.8,B96 B98,S,19,A,medium,6,D,high,93,B,unknown,NA,Z,medium,276,Y,medium,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_1,1,ExtraCol7_5,5,NA,NA,ExtraCol13_3,3,Fare_1,7.8,ExtraCol1_1,19,1,0,0,0,1,691,441
53,0,PC 17572,76.7292,D33,C,36,A,unknown,NA,D,NA,NA,NA,low,92,X,medium,404,NA,low,Parch_1,1,Fare_1,1,ExtraCol1_2,2,NA,NA,NA,NA,ExtraCol10_5,5,ExtraCol13_5,5,Fare_5,76.7292,ExtraCol1_2,36,1,0,0,0,3,2,441
54,0,2926,26,B96 B98,S,46,A,unknown,65,A,medium,20,NA,NA,NA,Z,high,211,NA,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,ExtraCol7_2,2,NA,NA,ExtraCol13_3,3,Fare_4,26,ExtraCol1_4,46,1,0,0,0,1,691,441
55,1,113509,61.9792,B30,C,49,A,unknown,31,C,low,NA,NA,medium,55,Y,medium,377,Z,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,NA,NA,ExtraCol10_3,3,ExtraCol13_4,4,Fare_5,61.9792,ExtraCol1_4,49,1,0,0,0,1,1,441
56,0,19947,35.5,C52,S,4,C,high,82,NA,low,71,B,high,NA,Z,medium,353,Z,low,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_5,5,ExtraCol7_4,4,NA,NA,ExtraCol13_4,4,Fare_4,35.5,ExtraCol1_1,4,0,0,1,0,1,2,153
57,0,C.A. 31026,10.5,B96 B98,S,54,B,high,84,NA,NA,23,D,low,NA,Z,medium,256,Y,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_5,5,ExtraCol7_2,2,NA,NA,ExtraCol13_3,3,Fare_2,10.5,ExtraCol1_4,54,0,1,0,0,1,691,142
58,0,2697,7.2292,B96 B98,C,15,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,Parch_1,1,Fare_1,1,ExtraCol1_1,1,ExtraCol4_3,3,ExtraCol7_5,5,ExtraCol10_4,4,ExtraCol13_1,1,Fare_1,7.2292,ExtraCol1_1,15,0,0,0,1,1,691,155
59,2,C.A. 34651,27.75,B96 B98,S,74,A,low,NA,C,NA,29,B,NA,90,X,medium,485,Y,low,Parch_2,2,Fare_1,1,ExtraCol1_4,4,NA,NA,ExtraCol7_2,2,ExtraCol10_5,5,ExtraCol13_5,5,Fare_4,27.75,ExtraCol1_4,74,1,0,0,0,3,691,441
60,2,CA 2144,46.9,B96 B98,S,68,D,high,NA,C,unknown,NA,NA,NA,96,X,medium,NA,X,low,Parch_2,2,Fare_1,1,ExtraCol1_4,4,NA,NA,NA,NA,ExtraCol10_5,5,NA,NA,Fare_5,46.9,ExtraCol1_4,68,0,0,0,1,6,691,155
61,0,2669,7.2292,B96 B98,C,92,A,high,82,NA,NA,49,C,NA,38,Y,high,178,Z,NA,Parch_1,1,Fare_1,1,ExtraCol1_5,5,ExtraCol4_5,5,ExtraCol7_3,3,ExtraCol10_2,2,ExtraCol13_2,2,Fare_1,7.2292,ExtraCol1_5,92,1,0,0,0,1,691,441
62,0,113572,80,B28,S,74,B,unknown,89,NA,low,69,NA,NA,48,Z,medium,320,X,medium,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_5,5,ExtraCol7_4,4,ExtraCol10_3,3,ExtraCol13_4,4,Fare_5,80,ExtraCol1_4,74,0,1,0,0,2,2,142
63,0,36973,83.475,C83,S,36,A,high,NA,NA,high,90,D,unknown,NA,X,high,384,Z,low,Parch_1,1,Fare_1,1,ExtraCol1_2,2,NA,NA,ExtraCol7_5,5,NA,NA,ExtraCol13_4,4,Fare_5,83.475,ExtraCol1_2,36,1,0,0,0,2,2,441
64,2,347088,27.9,B96 B98,S,43,C,high,51,C,NA,39,NA,NA,5,X,medium,267,Y,low,Parch_2,2,Fare_1,1,ExtraCol1_3,3,ExtraCol4_3,3,ExtraCol7_2,2,ExtraCol10_1,1,ExtraCol13_3,3,Fare_4,27.9,ExtraCol1_2,43,0,0,1,0,6,691,153
65,0,PC 17605,27.7208,B96 B98,C,43,A,high,NA,A,high,NA,D,medium,11,Y,high,200,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,NA,NA,NA,NA,ExtraCol10_1,1,ExtraCol13_3,3,Fare_4,27.7208,ExtraCol1_2,43,1,0,0,0,1,691,441
66,1,2661,15.2458,B96 B98,C,32,B,high,NA,A,medium,75,NA,NA,4,Y,high,203,NA,high,Parch_1,1,Fare_1,1,ExtraCol1_2,2,NA,NA,ExtraCol7_4,4,ExtraCol10_1,1,ExtraCol13_3,3,Fare_3,15.2458,ExtraCol1_2,32,0,1,0,0,2,691,142
67,0,C.A. 29395,10.5,F33,S,43,B,high,13,C,unknown,NA,A,NA,73,X,low,487,X,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_1,1,NA,NA,ExtraCol10_4,4,ExtraCol13_5,5,Fare_2,10.5,ExtraCol1_2,43,0,1,0,0,1,3,142
68,0,S.P. 3464,8.1583,B96 B98,S,43,A,unknown,67,NA,high,NA,NA,NA,22,Y,medium,166,NA,medium,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,NA,NA,ExtraCol10_2,2,ExtraCol13_2,2,Fare_2,8.1583,ExtraCol1_2,43,1,0,0,0,1,691,441
69,2,3101281,7.925,B96 B98,S,7,A,medium,92,A,NA,75,A,low,NA,Z,high,427,Z,medium,Parch_2,2,Fare_1,1,ExtraCol1_1,1,ExtraCol4_5,5,ExtraCol7_4,4,NA,NA,ExtraCol13_5,5,Fare_2,7.925,ExtraCol1_1,7,1,0,0,0,1,691,441
70,0,315151,8.6625,B96 B98,S,43,C,high,75,NA,medium,70,NA,high,37,X,medium,25,X,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_4,4,ExtraCol7_4,4,ExtraCol10_2,2,ExtraCol13_1,1,Fare_2,8.6625,ExtraCol1_2,43,0,0,1,0,1,691,153
71,0,C.A. 33111,10.5,B96 B98,S,79,D,high,48,D,unknown,NA,C,low,79,NA,high,329,X,low,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_3,3,NA,NA,ExtraCol10_4,4,ExtraCol13_4,4,Fare_2,10.5,ExtraCol1_5,79,0,0,0,1,1,691,155
72,2,CA 2144,46.9,B96 B98,S,18,A,high,52,C,high,NA,B,NA,11,X,medium,340,X,high,Parch_2,2,Fare_1,1,ExtraCol1_1,1,ExtraCol4_3,3,NA,NA,ExtraCol10_1,1,ExtraCol13_4,4,Fare_5,46.9,ExtraCol1_1,18,1,0,0,0,6,691,441
73,0,S.O.C. 14879,73.5,B96 B98,S,43,B,high,25,D,high,1,NA,medium,32,X,NA,337,Z,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,ExtraCol7_1,1,ExtraCol10_2,2,ExtraCol13_4,4,Fare_5,73.5,ExtraCol1_2,43,0,1,0,0,5,691,142
74,0,2680,14.4542,B96 B98,C,12,A,high,NA,D,medium,NA,NA,unknown,NA,Y,medium,210,Y,high,Parch_1,1,Fare_1,1,ExtraCol1_1,1,NA,NA,NA,NA,NA,NA,ExtraCol13_3,3,Fare_3,14.4542,ExtraCol1_1,12,1,0,0,0,1,691,441
75,0,1601,56.4958,B96 B98,S,68,A,unknown,24,D,NA,NA,C,low,NA,X,medium,345,X,low,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,NA,NA,ExtraCol13_4,4,Fare_5,56.4958,ExtraCol1_4,68,1,0,0,0,7,691,441
76,0,348123,7.65,F G73,S,47,A,unknown,34,A,unknown,NA,A,NA,56,Y,low,222,NA,low,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,NA,NA,ExtraCol10_3,3,ExtraCol13_3,3,Fare_1,7.65,ExtraCol1_4,47,1,0,0,0,1,2,441
77,0,349208,7.8958,B96 B98,S,43,A,low,26,NA,medium,NA,A,NA,16,X,low,296,X,high,Parch_1,1,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,NA,NA,ExtraCol10_1,1,ExtraCol13_3,3,Fare_2,7.8958,ExtraCol1_2,43,1,0,0,0,1,691,441
78,0,374746,8.05,B96 B98,S,22,A,low,33,NA,low,30,NA,NA,66,Z,low,446,Z,high,Parch_1,1,Fare_1,1,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_2,2,ExtraCol10_4,4,ExtraCol13_5,5,Fare_2,8.05,ExtraCol1_1,22,1,0,0,0,1,691,441
79,2,248738,29,B96 B98,S,43,A,high,36,A,medium,89,C,high,96,Y,high,336,Z,NA,Parch_2,2,Fare_1,1,ExtraCol1_3,3,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_5,5,ExtraCol13_4,4,Fare_4,29,ExtraCol1_2,43,1,0,0,0,2,691,441
80,0,364516,12.475,B96 B98,S,66,C,high,8,NA,NA,70,NA,low,4,X,medium,368,Y,low,Parch_1,1,Fare_1,1,ExtraCol1_4,4,ExtraCol4_1,1,ExtraCol7_4,4,ExtraCol10_1,1,ExtraCol13_4,4,Fare_3,12.475,ExtraCol1_4,66,0,0,1,0,2,691,153
