id,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
29,465.0,Y,low,368.0,,low,125.0,Y,high,268.0,Y,medium,12.0,X,low,,Z,low,347.0,STANDARD,north_america,FREQUENT_ACCESS,Europe West12 Sku_Id,07-05-2024,12:02:00,14:34:00,07-05-2024 14:26,Companies Pulling Russia,Lomachenko,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
30,364.0,Z,low,302.0,X,,477.0,Y,medium,396.0,Y,high,136.0,X,high,160.0,X,low,214.0,NEARLINE,south_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,22-12-2024,19:44:00,21:15:00,22-12-2024 21:08,Scammers Cnn Epik,Point Tally Nba,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
31,484.0,Y,medium,449.0,Y,low,354.0,Y,high,9.0,X,medium,193.0,,high,412.0,Z,medium,15.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,01-09-2024,07:49:00,08:29:00,01-09-2024 08:28,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
32,368.0,Y,low,447.0,Y,low,15.0,Z,medium,217.0,X,medium,68.0,Y,medium,274.0,Y,high,102.0,STANDARD,europe,FREQUENT_ACCESS,Europe West12 Sku_Id,04-06-2024,09:53:00,13:35:00,04-06-2024 13:27,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
33,33.0,Z,low,494.0,X,medium,430.0,,high,177.0,Y,low,385.0,X,medium,135.0,X,high,266.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,21-03-2024,07:01:00,09:39:00,21-03-2024 09:36,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Proud Judge Kavanaugh
34,477.0,Y,low,,Y,low,192.0,Y,high,88.0,X,high,179.0,,high,175.0,Z,medium,417.0,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,24-01-2024,17:07:00,19:15:00,24-01-2024 19:06,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
35,283.0,X,low,291.0,Z,low,141.0,Z,low,111.0,,high,229.0,X,high,,Z,high,331.0,COLDLINE,north_america,RARE_ACCESS,Europe West12 Sku_Id,18-11-2024,18:21:00,18:42:00,18-11-2024 18:37,Amid Inflation,Beating Forecasts Covid,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
36,2.0,Y,high,173.0,Y,medium,263.0,Y,high,484.0,X,,151.0,Y,,62.0,X,medium,266.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,28-06-2024,17:54:00,21:49:00,28-06-2024 21:45,Companies Pulling Russia,Help Russia,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
37,310.0,Z,high,352.0,X,low,288.0,X,high,255.0,X,low,445.0,Z,low,154.0,Z,low,93.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,16-08-2024,20:42:00,20:57:00,16-08-2024 20:51,Companies Pulling Russia,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
38,122.0,Z,medium,374.0,Z,high,269.0,Y,high,,X,high,210.0,Z,medium,340.0,Z,medium,144.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,15-04-2024,17:44:00,20:58:00,15-04-2024 20:57,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
39,267.0,X,,125.0,Y,low,27.0,X,low,341.0,Z,,393.0,X,low,453.0,Y,low,390.0,STANDARD,north_america,FREQUENT_ACCESS,Europe West12 Sku_Id,21-01-2024,08:37:00,10:27:00,21-01-2024 10:19,Amid Inflation,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
40,328.0,,high,429.0,Y,high,411.0,X,medium,295.0,Y,medium,311.0,X,low,475.0,X,low,386.0,ARCHIVE,oceania,ARCHIVE,Storage Johannesburg Original_Region,18-03-2024,20:32:00,20:48:00,18-03-2024 20:46,Amid Inflation,Warming Caused Humans,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
41,13.0,Y,low,145.0,X,medium,170.0,Z,low,196.0,X,low,477.0,Y,low,191.0,Z,high,434.0,STANDARD,south_america,FREQUENT_ACCESS,Europe West12 Sku_Id,20-02-2024,09:42:00,11:55:00,20-02-2024 11:50,Scammers Cnn Epik,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
42,219.0,Z,medium,491.0,X,high,70.0,Y,high,198.0,X,high,301.0,Z,medium,397.0,Z,high,263.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,16-03-2024,17:22:00,18:32:00,16-03-2024 18:27,Scammers Cnn Epik,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
43,27.0,Y,high,425.0,X,low,282.0,Z,high,268.0,Z,low,492.0,X,high,198.0,X,medium,136.0,NEARLINE,asia,OCCASIONAL_ACCESS,Europe West12 Sku_Id,22-02-2024,08:58:00,12:07:00,22-02-2024 12:05,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
44,,Y,medium,9.0,Z,low,311.0,Z,medium,464.0,Z,medium,349.0,Y,,403.0,X,medium,251.0,STANDARD,asia,FREQUENT_ACCESS,Europe West12 Sku_Id,30-07-2024,08:52:00,10:43:00,30-07-2024 10:33,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,D,Senator Cory Booker (NJ),Analyze Senator
45,105.0,Z,medium,199.0,X,low,51.0,X,low,379.0,X,medium,,X,,455.0,X,high,,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,11-02-2024,10:16:00,10:47:00,11-02-2024 10:45,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
46,390.0,Y,,194.0,Y,low,471.0,Z,medium,200.0,Y,medium,78.0,Y,low,222.0,X,high,90.0,NEARLINE,asia,OCCASIONAL_ACCESS,Europe West12 Sku_Id,04-08-2024,10:17:00,13:16:00,04-08-2024 13:09,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,D,Senator Cory Booker (NJ),Analyze Senator
47,206.0,Z,medium,411.0,Z,medium,300.0,Z,medium,123.0,X,,394.0,,low,300.0,Y,low,423.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,27-07-2024,20:38:00,23:25:00,27-07-2024 23:16,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
48,23.0,Y,medium,,Y,medium,498.0,X,high,54.0,Z,medium,22.0,X,medium,433.0,Z,medium,497.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,21-11-2024,19:12:00,22:52:00,21-11-2024 22:50,Making Racism,Turned Movie Different,Senator,D,Senator Cory Booker (NJ),Analyze Senator
49,373.0,Z,high,25.0,X,high,335.0,X,low,97.0,Z,medium,95.0,Z,high,68.0,Z,low,,NEARLINE,oceania,OCCASIONAL_ACCESS,Europe West12 Sku_Id,25-06-2024,15:15:00,17:24:00,25-06-2024 17:19,Scammers Cnn Epik,Rwigara Mother Adeline,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
50,271.0,X,high,420.0,Z,high,5.0,Z,medium,68.0,Y,low,395.0,Z,low,123.0,Z,medium,329.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,10-02-2024,08:27:00,12:01:00,10-02-2024 11:51,Smitten Aussie Tennis,Said Alicia Keys,Senator,D,Senator Cory Booker (NJ),Analyze Senator
51,70.0,Z,medium,,X,high,104.0,Z,medium,402.0,Z,,177.0,Y,high,313.0,X,low,204.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,27-04-2024,11:40:00,13:58:00,27-04-2024 13:49,Bob Baffert Suspended,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
52,281.0,Z,medium,184.0,Z,medium,486.0,X,high,287.0,X,,108.0,Z,high,89.0,X,,427.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,30-06-2024,09:23:00,10:52:00,30-06-2024 10:48,Reunion Netflix Cnn,Niger State Television,Senator,D,Senator Cory Booker (NJ),Analyze Senator
53,124.0,,low,85.0,Z,medium,279.0,Y,low,18.0,Z,medium,98.0,X,low,397.0,X,high,80.0,STANDARD,asia,FREQUENT_ACCESS,Europe West12 Sku_Id,21-04-2024,17:14:00,19:55:00,21-04-2024 19:53,Voice Cnn Masai,Actor Bob Odenkirk,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
54,317.0,X,low,78.0,Y,high,61.0,Z,,463.0,X,high,157.0,Z,,133.0,Z,low,379.0,COLDLINE,north_america,RARE_ACCESS,Europe West12 Sku_Id,16-04-2024,16:06:00,16:57:00,16-04-2024 16:55,Reunion Netflix Cnn,Said Alicia Keys,Senator,D,Senator Cory Booker (NJ),Analyze Senator
55,473.0,Z,high,263.0,X,,37.0,Z,high,75.0,Z,medium,418.0,Y,high,168.0,X,high,200.0,STANDARD,europe,FREQUENT_ACCESS,Original_Region West2 Sku_Id,02-04-2024,10:13:00,14:05:00,02-04-2024 13:58,Smitten Aussie Tennis,Coronavirus Pandemic Late,Senator,D,Senator Sheldon Whitehouse (RI),Chairman Ask Question
56,,X,low,42.0,Y,medium,268.0,,medium,322.0,Z,,227.0,Y,high,405.0,Z,medium,251.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,26-06-2024,09:39:00,13:02:00,26-06-2024 12:55,Bob Baffert Suspended,Actor Bob Odenkirk,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
57,372.0,Y,high,40.0,X,high,297.0,Y,low,6.0,,high,476.0,,low,263.0,Y,low,231.0,STANDARD,asia,FREQUENT_ACCESS,Europe West12 Sku_Id,25-11-2024,16:28:00,17:31:00,25-11-2024 17:30,Voice Cnn Masai,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
58,11.0,X,low,392.0,Z,low,123.0,X,low,294.0,X,high,,Y,low,395.0,Y,low,4.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,13-12-2024,07:50:00,11:17:00,13-12-2024 11:10,Reunion Netflix Cnn,Turned Movie Different,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
59,203.0,Y,,171.0,Z,high,97.0,Y,low,,Z,high,134.0,Y,medium,313.0,Z,high,,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,17-09-2024,18:20:00,19:20:00,17-09-2024 19:15,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
60,444.0,Z,,324.0,Z,high,,Z,high,454.0,Z,low,81.0,Z,high,257.0,X,high,333.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,05-12-2024,13:49:00,16:44:00,05-12-2024 16:40,Abortion Travel,Said Alicia Keys,Senator,D,Senator Mazie Hirono (HI),Executive Privilege Limit
61,37.0,Y,high,493.0,Z,medium,217.0,Z,high,300.0,Z,high,471.0,X,high,255.0,,high,300.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,30-12-2024,18:16:00,19:40:00,30-12-2024 19:37,Bob Baffert Suspended,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
62,464.0,X,medium,25.0,X,medium,18.0,Y,low,,X,medium,451.0,Z,medium,401.0,X,low,50.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,05-10-2024,18:24:00,21:29:00,05-10-2024 21:19,Making Racism,Turned Movie Different,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
63,46.0,Y,high,397.0,X,low,28.0,X,high,265.0,X,high,61.0,X,medium,499.0,X,high,389.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,11-11-2024,14:37:00,17:50:00,11-11-2024 17:41,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
64,240.0,X,medium,54.0,Y,medium,119.0,Y,medium,316.0,Y,high,160.0,X,,12.0,Z,low,480.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,13-10-2024,19:00:00,19:42:00,13-10-2024 19:37,Bob Baffert Suspended,Actor Bob Odenkirk,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
65,90.0,Y,high,380.0,Y,low,,X,,207.0,Y,high,371.0,Y,medium,253.0,Y,medium,407.0,STANDARD,south_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,18-06-2024,15:54:00,16:52:00,18-06-2024 16:48,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
66,10.0,X,low,153.0,Z,high,150.0,,low,,X,low,491.0,Y,medium,391.0,X,low,124.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,11-04-2024,06:57:00,08:46:00,11-04-2024 08:44,Abortion Travel,Said Alicia Keys,Senator,D,Senator Mazie Hirono (HI),Analyze Senator
67,,Y,,67.0,Y,low,,Y,low,264.0,X,medium,451.0,Y,low,321.0,X,low,90.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,10-12-2024,07:58:00,11:57:00,10-12-2024 11:47,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
68,290.0,X,,,Z,low,457.0,Y,high,484.0,,high,142.0,,medium,241.0,,low,183.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,08-07-2024,15:14:00,18:03:00,08-07-2024 17:55,Assassination Question,Said Alicia Keys,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
69,361.0,X,high,182.0,Y,medium,,Y,medium,,Z,medium,448.0,Z,medium,396.0,Z,high,11.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,11-02-2024,20:39:00,21:50:00,11-02-2024 21:45,Abortion Travel,Said Alicia Keys,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
70,157.0,X,high,364.0,X,high,291.0,Y,high,364.0,X,high,362.0,Y,,234.0,X,,275.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,21-10-2024,18:44:00,20:31:00,21-10-2024 20:26,Voice Cnn Masai,International Women,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
71,246.0,Z,medium,340.0,X,high,122.0,,,413.0,X,high,231.0,Y,high,68.0,Z,low,229.0,STANDARD,asia,FREQUENT_ACCESS,Original_Region West2 Sku_Id,24-01-2024,20:17:00,22:52:00,24-01-2024 22:51,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
72,91.0,Z,medium,364.0,Y,medium,354.0,Z,low,359.0,Z,low,188.0,,high,136.0,X,low,251.0,COLDLINE,oceania,RARE_ACCESS,Europe West12 Sku_Id,07-10-2024,13:44:00,16:56:00,07-10-2024 16:46,Reunion Netflix Cnn,Turned Movie Different,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
73,364.0,Z,medium,10.0,X,low,473.0,Y,medium,490.0,X,low,406.0,Z,high,21.0,Y,low,494.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,13-04-2024,19:18:00,20:18:00,13-04-2024 20:16,Basketball Legend Says,Point Tally Nba,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
74,,Z,high,487.0,Y,high,338.0,Y,high,217.0,X,medium,418.0,Y,high,351.0,Y,medium,327.0,STANDARD,north_america,FREQUENT_ACCESS,Original_Region West2 Sku_Id,28-07-2024,21:38:00,00:28:00,29-07-2024 00:19,Reunion Netflix Cnn,Turned Movie Different,Senator,D,Senator Sheldon Whitehouse (RI),Executive Privilege Limit
75,430.0,Y,low,216.0,Y,medium,147.0,Y,low,270.0,Z,medium,457.0,Y,medium,486.0,X,low,208.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,17-08-2024,17:22:00,19:06:00,17-08-2024 19:00,Reunion Netflix Cnn,Turned Movie Different,Senator,D,Senator Patrick Leahy (VT),Executive Privilege Limit
76,89.0,X,low,55.0,X,medium,196.0,X,high,76.0,X,medium,231.0,X,low,189.0,Y,low,391.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,07-11-2024,17:28:00,18:59:00,07-11-2024 18:50,Reunion Netflix Cnn,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Kavanaugh Dissents President
