id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6
154,0,2,A/5. 851,14.5,,S,29,,low,,,
155,0,0,Fa 265302,7.3125,,S,43,D,unknown,53,,
156,0,1,PC 17597,61.3792,,C,66,C,low,2,A,
157,0,0,35851,7.7333,,Q,12,,low,61,D,low
158,0,0,SOTON/OQ 392090,8.05,,S,55,,high,15,D,medium
159,0,0,315037,8.6625,,S,50,,high,7,A,high
160,8,2,CA. 2343,69.55,,S,78,B,unknown,67,C,
161,0,1,371362,16.1,,S,99,C,,,D,unknown
162,0,0,C.A. 33595,15.75,,S,,,low,,,
163,0,0,347068,7.775,,S,40,C,,10,B,high
164,0,0,315093,8.6625,,S,40,D,,74,D,
165,4,1,3101295,39.6875,,S,41,,,76,C,medium
166,0,2,363291,20.525,,S,81,A,,,,
167,0,1,113505,55,E33,S,32,,unknown,83,A,high
168,1,4,347088,27.9,,S,16,B,unknown,43,C,low
169,0,0,PC 17318,25.925,,S,,C,high,18,,unknown
170,0,0,1601,56.4958,,S,2,,,,,
171,0,0,111240,33.5,B19,S,10,B,high,21,A,medium
172,4,1,382652,29.125,,Q,9,B,high,20,B,medium
173,1,1,347742,11.1333,,S,,B,high,32,D,unknown
174,0,0,STON/O 2. 3101280,7.925,,S,,D,high,,,medium
175,0,0,17764,30.6958,A7,C,69,B,medium,,B,medium
176,1,1,350404,7.8542,,S,46,,high,,,low
177,3,1,4133,25.4667,,S,71,B,unknown,62,B,medium
178,0,0,PC 17595,28.7125,C49,C,16,A,unknown,33,C,low
179,0,0,250653,13,,S,90,B,high,,B,
180,0,0,LINE,0,,S,50,A,low,51,,unknown
181,8,2,CA. 2343,69.55,,S,93,A,,,C,
182,0,0,SC/PARIS 2131,15.05,,C,,,medium,43,D,unknown
183,4,2,347077,31.3875,,S,49,A,low,29,B,unknown
184,2,1,230136,39,F4,S,69,,,,,
185,0,2,315153,22.025,,S,49,D,high,,A,high
186,0,0,113767,50,A32,S,44,C,unknown,,D,high
187,1,0,370365,15.5,,Q,,B,,,,medium
188,0,0,111428,26.55,,S,38,A,,47,A,
189,1,1,364849,15.5,,Q,,D,,,A,medium
190,0,0,349247,7.8958,,S,,D,high,,A,low
191,0,0,234604,13,,S,68,C,,90,B,high
192,0,0,28424,13,,S,63,A,unknown,67,D,low
193,1,0,350046,7.8542,,S,60,,unknown,,A,
194,1,1,230080,26,F2,S,36,,unknown,96,D,
195,0,0,PC 17610,27.7208,B4,C,95,A,medium,71,,high
196,0,0,PC 17569,146.5208,B80,C,8,D,,5,C,medium
197,0,0,368703,7.75,,Q,,A,,72,B,medium
198,0,1,4579,8.4042,,S,,,unknown,,D,low
199,0,0,370370,7.75,,Q,33,D,,,,medium
200,0,0,248747,13,,S,96,D,,48,B,high
201,0,0,345770,9.5,,S,,A,low,51,A,
202,8,2,CA. 2343,69.55,,S,90,,,31,D,medium
203,0,0,3101264,6.4958,,S,49,C,low,,B,
204,0,0,2628,7.225,,C,,C,unknown,61,B,high
205,0,0,A/5 3540,8.05,,S,45,,high,,C,high
206,0,1,347054,10.4625,G6,S,26,D,medium,89,C,low
207,1,0,3101278,15.85,,S,76,D,high,77,C,high
208,0,0,2699,18.7875,,C,,,high,60,B,low
209,0,0,367231,7.75,,Q,26,,high,,A,medium
210,0,0,112277,31,A31,C,77,C,high,33,,high
211,0,0,SOTON/O.Q. 3101311,7.05,,S,26,A,,76,A,
212,0,0,F.C.C. 13528,21,,S,,,medium,31,,high
213,0,0,A/5 21174,7.25,,S,78,A,,26,,unknown
214,0,0,250646,13,,S,44,D,,86,C,
215,1,0,367229,7.75,,Q,,,,,D,unknown
216,1,0,35273,113.275,D36,C,27,A,low,,A,
217,0,0,STON/O2. 3101283,7.925,,S,,A,unknown,86,D,medium
218,1,0,243847,27,,S,,A,low,,D,unknown
219,0,0,11813,76.2917,D15,C,44,C,low,,C,medium
220,0,0,W/C 14208,10.5,,S,90,B,,52,C,low
221,0,0,SOTON/OQ 392089,8.05,,S,12,D,low,,,
222,0,0,220367,13,,S,45,B,medium,,A,
223,0,0,21440,8.05,,S,,,medium,,,
224,0,0,349234,7.8958,,S,20,C,,,,
225,1,0,19943,90,C93,S,,C,,79,,high
226,0,0,PP 4348,9.35,,S,30,,high,59,A,low
227,0,0,SW/PP 751,10.5,,S,80,,low,,A,high
228,0,0,A/5 21173,7.25,,S,57,C,high,40,A,high
229,0,0,236171,13,,S,54,,high,38,C,unknown
230,3,1,4133,25.4667,,S,17,,high,42,C,
231,1,0,36973,83.475,C83,S,46,,high,99,,
232,0,0,347067,7.775,,S,85,C,,,A,low
233,0,0,237442,13.5,,S,,D,,15,A,high
234,4,2,347077,31.3875,,S,75,C,,4,A,unknown
235,0,0,C.A. 29566,10.5,,S,,,high,51,,low
236,0,0,W./C. 6609,7.55,,S,,,unknown,80,,medium
237,1,0,26707,26,,S,,B,high,,B,
238,0,2,C.A. 31921,26.25,,S,43,A,low,56,,
239,0,0,28665,10.5,,S,30,A,medium,79,B,
240,0,0,SCO/W 1585,12.275,,S,62,,high,51,D,medium
241,1,0,2665,14.4542,,C,14,,low,90,,medium
242,1,0,367230,15.5,,Q,58,,unknown,63,,unknown
243,0,0,W./C. 14263,10.5,,S,9,B,unknown,73,B,
244,0,0,STON/O 2. 3101275,7.125,,S,64,C,unknown,78,A,low
245,0,0,2694,7.225,,C,,D,low,62,D,unknown
246,2,0,19928,90,C78,Q,8,D,high,5,,medium
247,0,0,347071,7.775,,S,,B,high,42,,unknown
248,0,2,250649,14.5,,S,41,B,high,14,A,
249,1,1,11751,52.5542,D35,S,78,,unknown,51,B,
250,1,0,244252,26,,S,4,A,,,,low
251,0,0,362316,7.25,,S,17,C,high,,C,unknown
252,1,1,347054,10.4625,G6,S,49,B,high,,A,high
253,0,0,113514,26.55,C87,S,18,,,2,C,medium
254,1,0,A/5. 3336,16.1,,S,,C,unknown,,D,unknown
255,0,2,370129,20.2125,,S,,B,,50,D,unknown
256,0,2,2650,15.2458,,C,14,,unknown,7,,
257,0,0,PC 17585,79.2,,C,,C,low,,,
258,0,0,110152,86.5,B77,S,10,A,,75,C,high
259,0,0,PC 17755,512.3292,,C,,,high,70,A,medium
260,0,1,230433,26,,S,58,A,low,17,A,
261,0,0,384461,7.75,,Q,79,B,medium,,D,
262,4,2,347077,31.3875,,S,17,D,,63,,
263,1,1,110413,79.65,E67,S,29,A,high,39,,
264,0,0,112059,0,B94,S,92,,low,0,,
265,0,0,382649,7.75,,Q,98,C,medium,,,
266,0,0,C.A. 17248,10.5,,S,58,D,,79,C,medium
267,4,1,3101295,39.6875,,S,44,,high,3,C,low
268,1,0,347083,7.775,,S,34,C,medium,,D,unknown
269,0,1,PC 17582,153.4625,C125,S,61,D,high,38,D,high
270,0,0,PC 17760,135.6333,C99,S,,,high,,A,high
271,0,0,113798,31,,S,29,A,,47,,low
272,0,0,LINE,0,,S,,D,,42,A,low
273,0,1,250644,19.5,,S,15,A,unknown,,B,low
274,0,1,PC 17596,29.7,C118,C,95,C,low,5,B,
275,0,0,370375,7.75,,Q,41,B,,3,D,unknown
276,1,0,13502,77.9583,D7,S,48,C,low,9,,medium
277,0,0,347073,7.75,,S,,,low,69,,high
278,0,0,239853,0,,S,78,,,78,,
279,4,1,382652,29.125,,Q,,C,,,B,unknown
280,1,1,C.A. 2673,20.25,,S,,,high,7,,medium
281,0,0,336439,7.75,,Q,,B,medium,41,,medium
282,0,0,347464,7.8542,,S,,,,98,,
283,0,0,345778,9.5,,S,67,D,medium,,D,low
284,0,0,A/5. 10482,8.05,,S,49,A,low,,A,unknown
285,0,0,113056,26,A19,S,44,B,medium,53,C,
286,0,0,349239,8.6625,,C,,C,high,,B,medium
287,0,0,345774,9.5,,S,,,high,,,high
288,0,0,349206,7.8958,,S,57,D,medium,47,C,high
289,0,0,237798,13,,S,,B,,,,
290,0,0,370373,7.75,,Q,47,D,high,,,high
291,0,0,19877,78.85,,S,,,,,D,unknown
292,1,0,11967,91.0792,B49,C,26,C,medium,5,,
293,0,0,SC/Paris 2163,12.875,D,C,95,C,,0,,
294,0,0,349236,8.85,,S,33,A,unknown,41,A,
295,0,0,349233,7.8958,,S,,A,,,D,
296,0,0,PC 17612,27.7208,,C,,,,,,unknown
297,0,0,2693,7.2292,,C,84,C,,7,B,medium
298,1,2,113781,151.55,C22 C26,S,,,high,67,D,
299,0,0,19988,30.5,C106,S,28,A,high,45,,high
300,0,1,PC 17558,247.5208,B58 B60,C,2,,,23,,
301,0,0,9234,7.75,,Q,36,D,unknown,20,D,medium
302,2,0,367226,23.25,,Q,82,,unknown,66,D,unknown
303,0,0,LINE,0,,S,0,B,unknown,52,B,unknown
304,0,0,226593,12.35,E101,Q,89,,unknown,,B,medium
305,0,0,A/5 2466,8.05,,S,,D,unknown,28,,medium
306,1,2,113781,151.55,C22 C26,S,14,B,,52,A,
307,0,0,17421,110.8833,,C,,B,low,86,C,
308,1,0,PC 17758,108.9,C65,C,55,C,,31,,medium
309,1,0,P/PP 3381,24,,C,31,A,low,39,D,
310,0,0,PC 17485,56.9292,E36,C,,D,low,16,,low
311,0,0,11767,83.1583,C54,C,66,D,unknown,,C,
312,2,2,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3,C,medium
313,1,1,250651,26,,S,,C,high,24,C,unknown
314,0,0,349243,7.8958,,S,28,C,high,,A,unknown
315,1,1,F.C.C. 13529,26.25,,S,24,,,1,B,unknown
316,0,0,347470,7.8542,,S,,D,,98,,
317,1,0,244367,26,,S,,,unknown,40,B,
318,0,0,29011,14,,S,,,medium,,D,high
319,0,2,36928,164.8667,C7,S,93,C,high,53,,unknown
320,1,1,16966,134.5,E34,C,,,,,B,low
321,0,0,A/5 21172,7.25,,S,,D,low,,,high
322,0,0,349219,7.8958,,S,,D,,88,A,low
323,0,0,234818,12.35,,Q,,C,,,B,
324,1,1,248738,29,,S,91,B,,,B,medium
325,8,2,CA. 2343,69.55,,S,,B,medium,70,D,high
326,0,0,PC 17760,135.6333,C32,C,23,B,high,30,,unknown
327,0,0,345364,6.2375,,S,23,C,unknown,99,A,low
328,0,0,28551,13,D,S,3,,high,25,,high
329,1,1,363291,20.525,,S,,C,medium,29,,low
330,0,1,111361,57.9792,B18,C,55,D,medium,71,A,low
331,2,0,367226,23.25,,Q,54,,high,78,C,
332,0,0,113043,28.5,C124,S,,C,medium,12,C,high
333,0,1,PC 17582,153.4625,C91,S,30,,high,55,,low
334,2,0,345764,18,,S,82,C,,,B,medium
335,1,0,PC 17611,133.65,,S,,,,61,,
336,0,0,349225,7.8958,,S,80,,unknown,55,,medium
337,1,0,113776,66.6,C2,S,96,,medium,,B,unknown
338,0,0,16966,134.5,E40,C,31,,medium,,,
339,0,0,7598,8.05,,S,20,,high,65,,
340,0,0,113784,35.5,T,S,95,,,67,D,
341,1,1,230080,26,F2,S,63,,unknown,,C,high
342,3,2,19950,263,C23 C25 C27,S,29,,low,,,medium
343,0,0,248740,13,,S,62,B,unknown,72,B,
344,0,0,244361,13,,S,51,C,,77,,medium
345,0,0,229236,13,,S,,A,,12,B,low
346,0,0,248733,13,F33,S,25,C,high,88,,low
347,0,0,31418,13,,S,99,,unknown,,,medium
348,1,0,386525,16.1,,S,,,low,,C,unknown
349,1,1,C.A. 37671,15.9,,S,,,high,48,,low
350,0,0,315088,8.6625,,S,16,B,low,48,,
351,0,0,7267,9.225,,S,,A,low,91,,medium
352,0,0,113510,35,C128,S,,B,unknown,96,A,high
353,1,1,2695,7.2292,,C,29,C,high,80,A,low
354,1,0,349237,17.8,,S,43,A,medium,65,B,low
355,0,0,2647,7.225,,C,96,C,high,10,B,low
356,0,0,345783,9.5,,S,99,A,medium,91,C,medium
357,0,1,113505,55,E33,S,15,D,medium,13,A,
358,0,0,237671,13,,S,89,C,medium,16,B,unknown
359,0,0,330931,7.8792,,Q,,B,medium,6,D,
360,0,0,330980,7.8792,,Q,,C,unknown,94,D,
361,1,4,347088,27.9,,S,84,A,medium,,D,
362,1,0,SC/PARIS 2167,27.7208,,C,,A,medium,,,
363,0,1,2691,14.4542,,C,22,D,high,8,A,medium
364,0,0,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41,,medium
365,1,0,370365,15.5,,Q,,,medium,72,A,high
366,0,0,C 7076,7.25,,S,,B,unknown,99,,
367,1,0,110813,75.25,D37,C,46,A,medium,,,medium
368,0,0,2626,7.2292,,C,31,,high,60,D,medium
369,0,0,14313,7.75,,Q,,B,unknown,83,C,high
370,0,0,PC 17477,69.3,B35,C,77,,,90,B,high
371,1,0,11765,55.4417,E50,C,33,C,low,27,B,low
372,1,0,3101267,6.4958,,S,66,A,high,,D,
373,0,0,323951,8.05,,S,41,D,,51,D,high
374,0,0,PC 17760,135.6333,,C,,C,medium,93,C,high
375,3,1,349909,21.075,,S,,,unknown,11,D,
376,1,0,PC 17604,82.1708,,C,9,,,9,B,high
377,0,0,C 7077,7.25,,S,,C,high,,B,high
378,0,2,113503,211.5,C82,C,74,,high,67,D,medium
379,0,0,2648,4.0125,,C,37,A,low,17,B,high
380,0,0,347069,7.775,,S,,,medium,89,D,medium
381,0,0,PC 17757,227.525,,C,0,B,high,10,B,medium
382,0,2,2653,15.7417,,C,,D,low,,B,low
383,0,0,STON/O 2. 3101293,7.925,,S,94,B,medium,,A,medium
384,1,0,113789,52,,S,,,,,C,low
385,0,0,349227,7.8958,,S,3,A,unknown,,B,
386,0,0,S.O.C. 14879,73.5,,S,12,B,low,84,B,medium
387,5,2,CA 2144,46.9,,S,6,B,unknown,10,C,high
388,0,0,27849,13,,S,83,A,medium,,A,unknown
389,0,0,367655,7.7292,,Q,89,B,high,61,,low
390,0,0,SC 1748,12,,C,15,,high,2,D,unknown
391,1,2,113760,120,B96 B98,S,74,A,,74,C,medium
392,0,0,350034,7.7958,,S,17,,unknown,,C,
393,2,0,3101277,7.925,,S,36,C,low,75,,
394,1,0,35273,113.275,D36,C,59,D,low,,C,unknown
395,0,2,PP 9549,16.7,G6,S,,C,unknown,19,B,low
396,0,0,350052,7.7958,,S,87,A,high,,,
397,0,0,350407,7.8542,,S,4,,unknown,6,A,
398,0,0,28403,26,,S,19,B,medium,53,C,
399,0,0,244278,10.5,,S,,B,,,C,high
400,0,0,240929,12.65,,S,31,A,low,,,medium
401,0,0,STON/O 2. 3101289,7.925,,S,99,D,medium,20,,medium
402,0,0,341826,8.05,,S,77,,low,76,D,
403,1,0,4137,9.825,,S,,C,unknown,69,,
404,1,0,STON/O2. 3101279,15.85,,S,97,,,,C,
405,0,0,315096,8.6625,,S,,D,unknown,,D,unknown
406,1,0,28664,21,,S,,A,low,6,,
407,0,0,347064,7.75,,S,43,,low,44,A,unknown
408,1,1,29106,18.75,,S,14,B,,,B,unknown
409,0,0,312992,7.775,,S,,,,11,D,medium
410,3,1,4133,25.4667,,S,1,B,medium,55,B,high
411,0,0,349222,7.8958,,S,17,A,medium,,D,
412,0,0,394140,6.8583,,Q,22,,,,,
413,1,0,19928,90,C78,Q,27,B,,,,high
414,0,0,239853,0,,S,13,A,low,8,B,medium
415,0,0,STON/O 2. 3101269,7.925,,S,1,,,67,C,high
416,0,0,343095,8.05,,S,67,A,low,33,,medium
417,1,1,28220,32.5,,S,96,,low,,,high
418,0,2,250652,13,,S,12,B,,19,C,medium
419,0,0,28228,13,,S,,,medium,97,,medium
420,0,2,345773,24.15,,S,50,C,,25,D,
421,0,0,349254,7.8958,,C,92,A,medium,68,D,
422,0,0,A/5. 13032,7.7333,,Q,69,,medium,,B,
423,0,0,315082,7.875,,S,,D,medium,18,,low
424,1,1,347080,14.4,,S,,A,high,30,,low
425,1,1,370129,20.2125,,S,41,B,,1,B,
426,0,0,A/4. 34244,7.25,,S,,A,low,,C,
427,1,0,2003,26,,S,86,,medium,33,,low
428,0,0,250655,26,,S,80,,low,49,A,unknown
429,0,0,364851,7.75,,Q,2,A,medium,15,B,
430,0,0,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82,,high
431,0,0,110564,26.55,C52,S,8,B,medium,21,B,low
432,1,0,376564,16.1,,S,73,C,low,,,unknown
433,1,0,SC/AH 3085,26,,S,82,B,high,87,C,high
434,0,0,STON/O 2. 3101274,7.125,,S,13,,low,71,,
435,1,0,13507,55.9,E44,S,43,,low,60,B,
436,1,2,113760,120,B96 B98,S,12,D,,,A,medium
437,2,2,W./C. 6608,34.375,,S,56,A,unknown,,D,
438,2,3,29106,18.75,,S,92,C,unknown,96,D,unknown
439,1,4,19950,263,C23 C25 C27,S,,D,high,,D,
440,0,0,C.A. 18723,10.5,,S,39,A,high,40,A,high
441,1,1,F.C.C. 13529,26.25,,S,97,D,high,25,C,high
442,0,0,345769,9.5,,S,,,high,,,unknown
443,1,0,347076,7.775,,S,,B,high,97,D,medium
444,0,0,230434,13,,S,48,,unknown,69,,low
445,0,0,65306,8.1125,,S,50,C,,3,C,
446,0,2,33638,81.8583,A34,S,66,,low,46,A,high
447,0,1,250644,19.5,,S,,,medium,,C,
448,0,0,113794,26.55,,S,,C,unknown,,D,medium
449,2,1,2666,19.2583,,C,52,D,medium,77,A,high
450,0,0,113786,30.5,C104,S,28,B,low,70,,
451,1,2,C.A. 34651,27.75,,S,,,unknown,6,,
452,1,0,65303,19.9667,,S,,B,high,55,A,unknown
453,0,0,113051,27.75,C111,C,,D,,,,
454,1,0,17453,89.1042,C92,C,2,D,medium,48,,high
455,0,0,A/5 2817,8.05,,S,59,,low,,B,
456,0,0,349240,7.8958,,C,,C,medium,,D,medium
457,0,0,13509,26.55,E38,S,,D,medium,86,D,high
458,1,0,17464,51.8625,D21,S,63,B,unknown,46,B,low
459,0,0,F.C.C. 13531,10.5,,S,84,,,53,A,
460,0,0,371060,7.75,,Q,10,,low,62,,high
461,0,0,19952,26.55,E12,S,72,A,,65,A,high
462,0,0,364506,8.05,,S,,,unknown,63,D,medium
463,0,0,111320,38.5,E63,S,,A,medium,78,C,high
464,0,0,234360,13,,S,,,medium,98,C,low
465,0,0,A/S 2816,8.05,,S,0,,high,82,A,high
466,0,0,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13,,unknown
467,0,0,239853,0,,S,16,B,medium,,C,unknown
468,0,0,113792,26.55,,S,59,B,unknown,,,unknown
469,0,0,36209,7.725,,Q,18,B,high,50,B,
470,2,1,2666,19.2583,,C,93,B,low,52,,low
471,0,0,323592,7.25,,S,,C,,71,,high
472,0,0,315089,8.6625,,S,,D,unknown,,B,low
473,1,2,C.A. 34651,27.75,,S,43,C,medium,26,C,medium
