id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time
15,female,14,0,0,350406,7.8542,,S,71,C,,,C,medium,71,,,86,Z,low,391,X,low,415,Z,high,266,Z,medium,31,Z,high,94,Y,low,449,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""EFEF-E236-E29F"",""description"":""autoclass archive storage zurich"",""original_region"":""europe-west6""}",27-06-2024,12:06:00,14:55:00
16,female,55,0,0,248706,16,,S,,,unknown,81,C,,,,unknown,,X,medium,262,X,low,229,X,medium,56,Z,high,44,Y,,282,X,high,341,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""E84B-7220-B2AC"",""description"":""autoclass archive storage netherlands dual-region"",""original_region"":""europe-west4""}",02-12-2024,20:26:00,23:15:00
17,male,2,4,1,382652,29.125,,Q,51,D,high,,,medium,,,,,Z,medium,32,Z,high,279,Y,high,133,X,medium,133,X,medium,193,Z,low,277,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""E89C-671A-4ABF"",""description"":""autoclass standard storage finland/netherlands dual-region"",""original_region"":""eur4""}",19-12-2024,09:59:00,11:39:00
18,male,,0,0,244373,13,,S,12,C,unknown,96,D,unknown,72,A,,,Z,medium,332,Z,high,309,X,medium,2,Y,,176,Z,high,431,X,low,237,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""C4F8-582D-CDF9"",""description"":""standard storage stockholm"",""original_region"":""europe-north2""}",04-09-2024,12:21:00,14:14:00
19,female,31,1,0,345763,18,,S,83,C,,,B,low,33,D,unknown,53,Y,medium,304,Z,high,288,Y,low,480,X,low,439,,low,337,Y,high,341,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""8A46-D6C4-859E"",""description"":""nearline storage south carolina"",""original_region"":""us-east1""}",20-08-2024,21:43:00,22:33:00
20,female,,0,0,2649,7.225,,C,45,D,low,32,,low,96,A,medium,70,Z,low,182,Y,low,365,Y,medium,415,Z,high,260,Y,high,230,Y,high,431,STANDARD,oceania,FREQUENT_ACCESS,"{""sku_id"":""D4C0-6A6B-742B"",""description"":""autoclass nearline storage melbourne"",""original_region"":""australia-southeast2""}",14-04-2024,14:20:00,15:00:00
21,male,35,0,0,239865,26,,S,50,,low,72,C,unknown,86,B,,72,Y,medium,395,Z,medium,429,Y,,126,X,high,372,Y,medium,254,Y,low,213,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FE3D-5C17-7088"",""description"":""durable reduced availability storage las vegas"",""original_region"":""us-west4""}",06-01-2024,14:43:00,16:53:00
22,male,34,0,0,248698,13,D56,S,37,D,high,89,C,unknown,59,B,,96,Z,high,175,Y,low,67,Z,low,18,Y,high,287,X,low,353,X,medium,,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""1A2D-77C9-8F73"",""description"":""archive storage belgium"",""original_region"":""europe-west1""}",22-05-2024,06:00:00,06:31:00
23,female,15,0,0,330923,8.0292,,Q,,B,,,B,unknown,,C,,57,Z,low,57,Z,low,,Y,medium,135,Y,high,476,Y,,359,Y,low,456,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FC93-7D27-5888"",""description"":""autoclass coldline storage iowa"",""original_region"":""us-central1""}",15-06-2024,21:11:00,23:39:00
24,male,28,0,0,113788,35.5,A6,S,92,A,medium,98,B,medium,59,B,high,34,X,low,60,X,medium,426,Z,low,478,,medium,164,Z,low,286,X,high,455,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""37BE-AAB1-0008"",""description"":""nearline storage salt lake city dual-region"",""original_region"":""us-west3""}",25-03-2024,19:38:00,21:50:00
25,female,8,3,1,349909,21.075,,S,78,,,19,C,medium,69,,,,Z,medium,450,X,medium,190,,,405,X,medium,334,Z,high,363,Z,medium,114,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""F022-AD5D-C7E1"",""description"":""autoclass standard storage asia multi-region"",""original_region"":""asia""}",17-10-2024,17:26:00,20:32:00
26,female,38,1,5,347077,31.3875,,S,64,A,high,41,,low,,D,low,,Z,,188,X,high,244,Y,medium,,Z,,136,Z,high,394,Z,low,119,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""E7A9-508A-0C4F"",""description"":""autoclass archive storage taiwan dual-region"",""original_region"":""asia-east1""}",02-03-2024,07:31:00,11:18:00
27,male,,0,0,2631,7.225,,C,,A,medium,31,B,medium,14,D,low,80,X,medium,207,X,low,371,X,,461,Y,medium,116,X,low,15,Z,low,102,STANDARD,oceania,FREQUENT_ACCESS,"{""sku_id"":""FCAE-1D35-0D35"",""description"":""durable reduced availability storage sydney"",""original_region"":""australia-southeast1""}",24-06-2024,11:49:00,13:46:00
28,male,19,3,2,19950,263,C23 C25 C27,S,,,low,42,D,high,56,A,high,,Z,high,152,X,high,467,X,high,88,Z,high,490,Z,high,183,Z,low,13,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""DAFD-61D2-339F"",""description"":""standard storage day0 (alabama)"",""original_region"":""us-east7""}",26-02-2024,18:32:00,19:44:00
29,female,,0,0,330959,7.8792,,Q,,,high,,B,medium,80,D,,,Y,low,368,,low,125,Y,high,268,Y,medium,12,X,low,,Z,low,347,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-west1""}",07-05-2024,12:02:00,14:34:00
30,male,,0,0,349216,7.8958,,S,44,A,high,73,C,medium,31,A,unknown,31,Z,low,302,X,,477,Y,medium,396,Y,high,136,X,high,160,X,low,214,NEARLINE,south_america,OCCASIONAL_ACCESS,"{""sku_id"":""0906-3C38-5507"",""description"":""nearline storage sao paulo"",""original_region"":""southamerica-east1""}",22-12-2024,19:44:00,21:15:00
31,male,40,0,0,PC 17601,27.7208,,C,45,D,,,A,,45,,unknown,5,,medium,449,Y,low,354,Y,high,9,X,medium,193,,high,412,Z,medium,15,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""EB7B-0E58-1CD1"",""description"":""autoclass standard storage madrid"",""original_region"":""europe-southwest1""}",01-09-2024,07:49:00,08:29:00
32,female,,1,0,PC 17569,146.5208,B78,C,22,,,25,,,,D,high,,,low,447,Y,low,15,Z,medium,217,X,medium,68,Y,medium,274,Y,high,102,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""D970-F476-8D81"",""description"":""durable reduced availability storage frankfurt/london dual-region"",""original_region"":""eur7""}",04-06-2024,09:53:00,13:35:00
33,female,,0,0,335677,7.75,,Q,9,B,medium,,D,high,70,A,,12,Y,low,494,X,medium,430,,high,177,Y,low,385,X,medium,135,X,high,266,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""EFF5-EB22-3D38"",""description"":""archive storage turin"",""original_region"":""europe-west12""}",21-03-2024,07:01:00,09:39:00
34,male,66,0,0,C.A. 24579,10.5,,S,55,C,high,,,high,86,A,high,8,Y,low,,Y,low,192,Y,high,88,X,high,179,,high,175,Z,medium,417,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""154C-10C0-5E59"",""description"":""nearline storage columbus"",""original_region"":""us-east5""}",24-01-2024,17:07:00,19:15:00
35,male,28,1,0,PC 17604,82.1708,,C,88,B,,65,D,high,,,medium,70,Y,low,291,Z,low,141,Z,low,111,,high,229,X,high,,Z,high,331,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""D265-FB5C-710A"",""description"":""coldline storage toronto dual-region"",""original_region"":""northamerica-northeast2""}",18-11-2024,18:21:00,18:42:00
36,male,42,1,0,113789,52,,S,,C,,69,,unknown,,,high,43,X,high,173,Y,medium,263,Y,high,484,X,,151,Y,,62,X,medium,266,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""0CE5-412C-060A"",""description"":""archive storage doha"",""original_region"":""me-central1""}",28-06-2024,17:54:00,21:49:00
37,male,,0,0,2677,7.2292,,C,85,D,medium,66,B,low,4,D,low,,Z,high,352,X,low,288,X,high,255,X,low,445,Z,low,154,Z,low,93,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""0D26-8387-B0F6"",""description"":""coldline storage jakarta"",""original_region"":""asia-southeast2""}",16-08-2024,20:42:00,20:57:00
38,male,21,0,0,A./5. 2152,8.05,,S,82,A,,60,D,medium,,C,unknown,,,medium,374,Z,high,269,Y,high,,X,high,210,Z,medium,340,Z,medium,144,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""C019-C3D4-B615"",""description"":""autoclass standard storage us multi-region"",""original_region"":""us""}",15-04-2024,17:44:00,20:58:00
39,female,18,2,0,345764,18,,S,,A,,,B,high,94,C,unknown,,X,,125,Y,low,27,X,low,341,Z,,393,X,low,453,Y,low,390,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""E5F0-6A5D-7BAD"",""description"":""standard storage us regional"",""original_region"":""us-east1""}",21-01-2024,08:37:00,10:27:00
40,female,14,1,0,2651,11.2417,,C,63,D,unknown,,,,8,D,medium,61,Y,high,429,Y,high,411,X,medium,295,Y,medium,311,X,low,475,X,low,386,ARCHIVE,oceania,ARCHIVE,"{""sku_id"":""36A3-CA43-0958"",""description"":""archive storage melbourne"",""original_region"":""australia-southeast2""}",18-03-2024,20:32:00,20:48:00
41,female,40,1,0,7546,9.475,,S,16,C,low,90,A,unknown,,,medium,53,X,low,145,X,medium,170,Z,low,196,X,low,477,Y,low,191,Z,high,434,STANDARD,south_america,FREQUENT_ACCESS,"{""sku_id"":""9C0F-565A-3F33"",""description"":""durable reduced availability storage santiago"",""original_region"":""southamerica-west1""}",20-02-2024,09:42:00,11:55:00
42,female,27,1,0,11668,21,,S,,C,unknown,38,B,,83,,medium,58,Y,medium,491,X,high,70,Y,high,198,X,high,301,Z,medium,397,Z,high,263,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""DE63-2323-DAA5"",""description"":""autoclass standard storage delhi dual-region"",""original_region"":""asia-south2""}",16-03-2024,17:22:00,18:32:00
43,male,,0,0,349253,7.8958,,C,70,B,medium,51,B,low,,D,,70,Y,high,425,X,low,282,Z,high,268,Z,low,492,X,high,198,X,medium,136,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""0F2C-F97E-8B45"",""description"":""nearline storage osaka"",""original_region"":""asia-northeast2""}",22-02-2024,08:58:00,12:07:00
44,female,3,1,2,SC/Paris 2123,41.5792,,C,35,,,18,,medium,17,,,38,X,medium,9,Z,low,311,Z,medium,464,Z,medium,349,Y,,403,X,medium,251,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""C8FB-7775-3633"",""description"":""durable reduced availability storage osaka"",""original_region"":""asia-northeast2""}",30-07-2024,08:52:00,10:43:00
45,female,19,0,0,330958,7.8792,,Q,6,C,low,35,A,medium,2,A,medium,,Z,medium,199,X,low,51,X,low,379,X,medium,,X,,455,X,high,,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""F917-1411-ED88"",""description"":""autoclass coldline storage warsaw"",""original_region"":""europe-central2""}",11-02-2024,10:16:00,10:47:00
46,male,,0,0,S.C./A.4. 23567,8.05,,S,97,C,low,,D,unknown,,A,high,,Z,,194,Y,low,471,Z,medium,200,Y,medium,78,Y,low,222,X,high,90,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""2385-5DEA-497F"",""description"":""nearline storage taiwan dual-region"",""original_region"":""asia-east1""}",04-08-2024,10:17:00,13:16:00
47,male,,1,0,370371,15.5,,Q,44,A,unknown,64,A,medium,59,B,,14,Z,medium,411,Z,medium,300,Z,medium,123,X,,394,,low,300,Y,low,423,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FE6B-A761-8CCC"",""description"":""autoclass archive storage frankfurt dual-region"",""original_region"":""europe-west3""}",27-07-2024,20:38:00,23:25:00
48,female,,0,0,14311,7.75,,Q,89,C,,21,,,84,A,medium,21,Y,medium,,Y,medium,498,X,high,54,Z,medium,22,X,medium,433,Z,medium,497,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""D581-7186-3A43"",""description"":""archive storage columbus"",""original_region"":""us-east5""}",21-11-2024,19:12:00,22:52:00
49,male,,2,0,2662,21.6792,,C,67,C,,54,C,,88,,low,8,Y,high,25,X,high,335,X,low,97,Z,medium,95,Z,high,68,Z,low,,NEARLINE,oceania,OCCASIONAL_ACCESS,"{""sku_id"":""581D-AFA6-17B6"",""description"":""nearline storage sydney"",""original_region"":""australia-southeast1""}",25-06-2024,15:15:00,17:24:00
50,female,18,1,0,349237,17.8,,S,77,A,,,A,medium,45,,high,,Z,high,420,Z,high,5,Z,medium,68,Y,low,395,Z,low,123,Z,medium,329,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""F886-1E84-F8DB"",""description"":""autoclass nearline storage finland dual-region"",""original_region"":""europe-north1""}",10-02-2024,08:27:00,12:01:00
51,male,7,4,1,3101295,39.6875,,S,75,B,unknown,12,,high,42,B,,43,Z,medium,,X,high,104,Z,medium,402,Z,,177,Y,high,313,X,low,204,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""EA16-97BB-483F"",""description"":""autoclass archive storage berlin"",""original_region"":""europe-west10""}",27-04-2024,11:40:00,13:58:00
52,male,21,0,0,A/4. 39886,7.8,,S,19,,medium,6,D,high,93,B,unknown,,Z,medium,184,Z,medium,486,X,high,287,X,,108,Z,high,89,X,,427,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""DD64-0A7B-7023"",""description"":""autoclass standard storage northern virginia dual-region"",""original_region"":""us-east4""}",30-06-2024,09:23:00,10:52:00
53,female,49,1,0,PC 17572,76.7292,D33,C,36,,unknown,,D,,,,low,92,X,low,85,Z,medium,279,Y,low,18,Z,medium,98,X,low,397,X,high,80,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""DB0A-37C5-4E19"",""description"":""standard storage jakarta"",""original_region"":""asia-southeast2""}",21-04-2024,17:14:00,19:55:00
54,female,29,1,0,2926,26,,S,46,,unknown,65,A,medium,20,,,,Z,low,78,Y,high,61,Z,,463,X,high,157,Z,,133,Z,low,379,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""FEB9-18BF-B058"",""description"":""coldline storage northern virginia dual-region"",""original_region"":""us-east4""}",16-04-2024,16:06:00,16:57:00
55,male,65,0,1,113509,61.9792,B30,C,49,,unknown,31,C,low,,,medium,55,Y,high,263,X,,37,Z,high,75,Z,medium,418,Y,high,168,X,high,200,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""ED0C-C037-FDC1"",""description"":""autoclass archive storage milan dual-region"",""original_region"":""europe-west8""}",02-04-2024,10:13:00,14:05:00
56,male,,0,0,19947,35.5,C52,S,4,C,high,82,,low,71,B,high,,Z,low,42,Y,medium,268,,medium,322,Z,,227,Y,high,405,Z,medium,251,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""EC4B-C190-470D"",""description"":""archive storage iowa"",""original_region"":""us-central1""}",26-06-2024,09:39:00,13:02:00
57,female,21,0,0,C.A. 31026,10.5,,S,54,B,,84,,,23,D,low,,Z,high,40,X,high,297,Y,low,6,,high,476,,low,263,Y,low,231,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""96DE-B911-9FF7"",""description"":""standard storage dammam"",""original_region"":""me-central2""}",25-11-2024,16:28:00,17:31:00
58,male,28.5,0,0,2697,7.2292,,C,15,D,high,53,C,high,97,A,low,76,X,low,392,Z,low,123,X,low,294,X,high,,Y,low,395,Y,low,4,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""6158-49AD-35B1"",""description"":""archive storage montreal"",""original_region"":""northamerica-northeast1""}",13-12-2024,07:50:00,11:17:00
59,female,5,1,2,C.A. 34651,27.75,,S,74,,low,,C,,29,B,,90,X,,171,Z,high,97,Y,low,,Z,high,134,Y,medium,313,Z,high,,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""EBC7-E450-00FC"",""description"":""autoclass standard storage singapore"",""original_region"":""asia-southeast1""}",17-09-2024,18:20:00,19:20:00
60,male,11,5,2,CA 2144,46.9,,S,68,D,,,C,unknown,,,,96,X,,324,Z,high,,Z,high,454,Z,low,81,Z,high,257,X,high,333,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""D78D-ECDE-752A"",""description"":""nearline storage belgium"",""original_region"":""europe-west1""}",05-12-2024,13:49:00,16:44:00
61,male,22,0,0,2669,7.2292,,C,92,,high,82,,,49,C,,38,Y,high,493,Z,medium,217,Z,high,300,Z,high,471,X,high,255,,high,300,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""81E6-58F6-12C7"",""description"":""coldline storage mumbai"",""original_region"":""asia-south1""}",30-12-2024,18:16:00,19:40:00
62,female,38,0,0,113572,80,B28,,74,B,unknown,89,,low,69,,,48,Z,medium,25,X,medium,18,Y,low,,X,medium,451,Z,medium,401,X,low,50,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""A3BF-20BC-C5F3"",""description"":""archive storage warsaw"",""original_region"":""europe-central2""}",05-10-2024,18:24:00,21:29:00
63,male,45,1,0,36973,83.475,C83,S,36,,,,,high,90,D,unknown,,X,high,397,X,low,28,X,high,265,X,high,61,X,medium,499,X,high,389,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""1EA2-2E06-552E"",""description"":""archive storage us multi-region"",""original_region"":""us""}",11-11-2024,14:37:00,17:50:00
64,male,4,3,2,347088,27.9,,S,,C,high,51,C,,39,,,5,X,medium,54,Y,medium,119,Y,medium,316,Y,high,160,X,,12,Z,low,480,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""9583-3470-6088"",""description"":""archive storage las vegas dual-region"",""original_region"":""us-west4""}",13-10-2024,19:00:00,19:42:00
65,male,,0,0,PC 17605,27.7208,,C,,A,,,A,high,,D,medium,11,Y,high,380,Y,low,,X,,207,Y,high,371,Y,medium,253,Y,medium,407,STANDARD,south_america,FREQUENT_ACCESS,"{""sku_id"":""B11D-9FCF-1A1B"",""description"":""autoclass standard storage sao paulo"",""original_region"":""southamerica-east1""}",18-06-2024,15:54:00,16:52:00
66,male,,1,1,2661,15.2458,,C,32,B,,,A,medium,75,,,4,Y,low,153,Z,high,150,,low,,X,low,491,Y,medium,391,X,low,124,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""27BA-920D-EFFE"",""description"":""coldline storage turin dual-region"",""original_region"":""europe-west12""}",11-04-2024,06:57:00,08:46:00
67,female,29,0,0,C.A. 29395,10.5,F33,S,,B,,13,C,unknown,,A,,73,X,,67,Y,low,,Y,low,264,X,medium,451,Y,low,321,X,low,90,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""2B7D-C95A-B1BC"",""description"":""archive storage toronto dual-region"",""original_region"":""northamerica-northeast2""}",10-12-2024,07:58:00,11:57:00
68,male,19,0,0,S.P. 3464,8.1583,,S,,A,unknown,67,,high,,,,22,Y,,,Z,low,457,Y,high,484,,high,142,,medium,241,,low,183,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""D496-1EA6-CD98"",""description"":""archive storage delhi"",""original_region"":""asia-south2""}",08-07-2024,15:14:00,18:03:00
69,female,17,4,2,3101281,7.925,,S,7,,medium,92,A,,75,A,low,,Z,high,182,Y,medium,,Y,medium,,Z,medium,448,Z,medium,396,Z,high,11,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""BDF2-208A-3B0C"",""description"":""archive storage netherlands"",""original_region"":""europe-west4""}",11-02-2024,20:39:00,21:50:00
70,male,26,2,0,315151,8.6625,,S,,C,,75,,medium,70,,high,37,X,high,364,X,high,291,Y,high,364,X,high,362,Y,,234,X,,275,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""2316-6FDA-8E11"",""description"":""coldline storage london"",""original_region"":""europe-west2""}",21-10-2024,18:44:00,20:31:00
71,male,32,0,0,C.A. 33111,10.5,,S,79,D,,48,D,unknown,,C,low,79,,medium,340,X,high,122,,,413,X,high,231,Y,high,68,Z,low,229,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""ADE6-68BC-B69E"",""description"":""autoclass standard storage osaka/tokyo dual-region"",""original_region"":""asia1""}",24-01-2024,20:17:00,22:52:00
72,female,16,5,2,CA 2144,46.9,,S,18,A,,52,C,high,,B,,11,X,medium,364,Y,medium,354,Z,low,359,Z,low,188,,high,136,X,low,251,COLDLINE,oceania,RARE_ACCESS,"{""sku_id"":""3179-9FCA-E3AC"",""description"":""coldline storage melbourne dual-region"",""original_region"":""australia-southeast2""}",07-10-2024,13:44:00,16:56:00
73,male,21,0,0,S.O.C. 14879,73.5,,S,,B,,25,D,high,1,,medium,32,X,medium,10,X,low,473,Y,medium,490,X,low,406,Z,high,21,Y,low,494,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""25F5-F72F-F874"",""description"":""coldline storage dammam"",""original_region"":""me-central2""}",13-04-2024,19:18:00,20:18:00
74,male,26,1,0,2680,14.4542,,C,12,A,high,,D,medium,,,unknown,,Y,high,487,Y,high,338,Y,high,217,X,medium,418,Y,high,351,Y,medium,327,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""D834-715E-7357"",""description"":""autoclass coldline storage iowa/south carolina dual-region"",""original_region"":""nam4""}",28-07-2024,21:38:00,00:28:00
75,male,32,0,0,1601,56.4958,,S,68,,unknown,24,D,,,C,low,,X,low,216,Y,medium,147,Y,low,270,Z,medium,457,Y,medium,486,X,low,208,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""FF44-B6BB-8EB3"",""description"":""coldline storage finland dual-region"",""original_region"":""europe-north1""}",17-08-2024,17:22:00,19:06:00
