id,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol19_ew_bin,ExtraCol19_ew_bin_num,ExtraCol16_ew_bin,ExtraCol16_ew_bin_num,ExtraCol13_ew_bin,ExtraCol13_ew_bin_num,ExtraCol22_ew_bin,ExtraCol22_ew_bin_num,ExtraCol2A,ExtraCol2B,ExtraCol2C,ExtraCol2D,ExtraCol3high,ExtraCol3low,ExtraCol3medium,ExtraCol3unknown
152,0,113776,66.6,C2,S,28,C,medium,88,B,medium,4,C,NA,low,169,Z,medium,407,Y,medium,481,Y,high,279,Z,medium,105,X,low,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_2,2,ExtraCol22_3,3,0,0,1,0,0,0,1,0
171,0,111240,33.5,B19,S,10,B,high,21,A,medium,22,NA,NA,medium,NA,X,high,359,X,high,279,Y,medium,273,X,medium,121,NA,medium,ExtraCol19_3,3,ExtraCol16_4,4,NA,NA,ExtraCol22_3,3,0,1,0,0,1,0,0,0
175,0,17764,30.6958,A7,C,69,B,medium,NA,B,medium,NA,NA,low,low,59,Z,high,140,Z,high,407,Z,low,83,Y,high,283,Y,medium,ExtraCol19_5,5,ExtraCol16_2,2,ExtraCol13_1,1,ExtraCol22_1,1,0,1,0,0,0,0,1,0
178,0,PC 17595,28.7125,C49,C,16,A,unknown,33,C,low,NA,NA,NA,medium,84,Y,high,62,Z,low,303,Y,high,364,Z,medium,388,Y,low,ExtraCol19_4,4,ExtraCol16_1,1,ExtraCol13_1,1,ExtraCol22_4,4,1,0,0,0,0,0,0,1
186,0,113767,50,A32,S,44,C,unknown,NA,D,high,26,B,unknown,high,342,Z,high,315,Y,medium,126,Y,high,2,X,medium,35,Y,high,ExtraCol19_2,2,ExtraCol16_4,4,ExtraCol13_4,4,ExtraCol22_1,1,0,0,1,0,0,0,0,1
195,0,PC 17610,27.7208,B4,C,95,A,medium,71,NA,high,22,D,unknown,high,217,Y,medium,26,Z,high,148,Z,low,352,Y,low,426,Y,high,ExtraCol19_2,2,ExtraCol16_1,1,ExtraCol13_3,3,ExtraCol22_4,4,1,0,0,0,0,0,1,0
206,1,347054,10.4625,G6,S,26,D,medium,89,C,low,NA,D,NA,high,133,Y,high,247,Z,high,391,Z,high,485,NA,low,413,Z,medium,ExtraCol19_5,5,ExtraCol16_3,3,ExtraCol13_2,2,ExtraCol22_5,5,0,0,0,1,0,0,1,0
210,0,112277,31,A31,C,77,C,high,33,NA,high,NA,B,NA,medium,183,NA,high,182,Y,high,121,Z,medium,407,X,medium,476,Z,high,ExtraCol19_2,2,ExtraCol16_2,2,ExtraCol13_2,2,ExtraCol22_5,5,0,0,1,0,1,0,0,0
216,0,35273,113.275,D36,C,27,A,low,NA,A,NA,NA,A,NA,medium,328,X,low,NA,Z,low,54,Z,high,429,X,high,337,Z,medium,ExtraCol19_1,1,NA,NA,ExtraCol13_4,4,ExtraCol22_5,5,1,0,0,0,0,1,0,0
219,0,11813,76.2917,D15,C,44,C,low,NA,C,medium,21,D,unknown,high,23,Z,low,16,Y,NA,308,X,low,264,X,high,349,Y,medium,ExtraCol19_4,4,ExtraCol16_1,1,ExtraCol13_1,1,ExtraCol22_3,3,0,0,1,0,0,1,0,0
246,0,19928,90,C78,Q,8,D,high,5,NA,medium,25,C,low,low,419,Z,medium,315,Z,medium,4,Y,high,310,Z,NA,127,Z,high,ExtraCol19_1,1,ExtraCol16_4,4,ExtraCol13_5,5,ExtraCol22_4,4,0,0,0,1,1,0,0,0
252,1,347054,10.4625,G6,S,49,B,high,NA,A,high,NA,C,NA,low,393,Y,high,469,Z,high,231,X,high,275,Y,low,367,X,NA,ExtraCol19_3,3,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_3,3,0,1,0,0,1,0,0,0
263,1,110413,79.65,E67,S,29,A,high,39,NA,NA,59,NA,high,high,203,Y,high,113,Y,high,419,Y,low,320,Z,high,4,Z,high,ExtraCol19_5,5,ExtraCol16_2,2,ExtraCol13_3,3,ExtraCol22_4,4,1,0,0,0,1,0,0,0
269,1,PC 17582,153.4625,C125,S,61,D,high,38,D,high,51,NA,high,high,397,Y,low,479,Z,high,124,Z,medium,308,Z,high,343,Z,low,ExtraCol19_2,2,ExtraCol16_5,5,ExtraCol13_5,5,ExtraCol22_4,4,0,0,0,1,1,0,0,0
274,1,PC 17596,29.7,C118,C,95,C,low,5,B,NA,97,NA,NA,high,352,X,NA,492,X,medium,377,Z,high,482,Z,high,420,X,high,ExtraCol19_4,4,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_5,5,0,0,1,0,0,1,0,0
276,0,13502,77.9583,D7,S,48,C,low,9,NA,medium,NA,B,medium,high,441,Z,low,408,Y,high,92,X,low,124,X,medium,164,Y,low,ExtraCol19_1,1,ExtraCol16_5,5,ExtraCol13_5,5,ExtraCol22_2,2,0,0,1,0,0,1,0,0
285,0,113056,26,A19,S,44,B,medium,53,C,NA,56,A,high,low,NA,Y,medium,113,Y,medium,340,Y,medium,417,NA,low,450,Z,low,ExtraCol19_4,4,ExtraCol16_2,2,NA,NA,ExtraCol22_5,5,0,1,0,0,0,0,1,0
292,0,11967,91.0792,B49,C,26,C,medium,5,NA,NA,NA,NA,high,low,51,X,high,433,X,high,473,Y,low,165,X,high,480,Y,NA,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_1,1,ExtraCol22_2,2,0,0,1,0,0,0,1,0
299,0,19988,30.5,C106,S,28,A,high,45,NA,high,89,NA,medium,high,85,Z,medium,90,Z,high,108,X,low,379,X,medium,429,X,high,ExtraCol19_2,2,ExtraCol16_1,1,ExtraCol13_1,1,ExtraCol22_4,4,1,0,0,0,1,0,0,0
311,0,11767,83.1583,C54,C,66,D,unknown,NA,C,NA,NA,NA,medium,medium,168,Y,medium,400,Y,high,195,Z,low,50,X,NA,93,Y,medium,ExtraCol19_3,3,ExtraCol16_5,5,ExtraCol13_2,2,ExtraCol22_1,1,0,0,0,1,0,0,0,1
319,2,36928,164.8667,C7,S,93,C,high,53,NA,unknown,NA,A,NA,medium,495,Y,medium,458,Y,low,236,X,high,151,Y,NA,130,Z,low,ExtraCol19_3,3,ExtraCol16_5,5,ExtraCol13_5,5,ExtraCol22_2,2,0,0,1,0,1,0,0,0
326,0,PC 17760,135.6333,C32,C,23,B,high,30,NA,unknown,75,NA,NA,low,21,Y,medium,54,Z,low,443,Y,medium,118,Y,high,223,Z,low,ExtraCol19_5,5,ExtraCol16_1,1,ExtraCol13_1,1,ExtraCol22_2,2,0,1,0,0,1,0,0,0
330,1,111361,57.9792,B18,C,55,D,medium,71,A,low,3,D,high,low,309,Z,medium,345,Y,medium,320,Z,high,19,Z,low,253,Z,high,ExtraCol19_4,4,ExtraCol16_4,4,ExtraCol13_4,4,ExtraCol22_1,1,0,0,0,1,0,0,1,0
346,0,248733,13,F33,S,25,C,high,88,NA,low,85,NA,high,low,441,Y,low,NA,NA,medium,249,Z,low,423,X,low,55,X,medium,ExtraCol19_3,3,NA,NA,ExtraCol13_5,5,ExtraCol22_5,5,0,0,1,0,1,0,0,0
357,1,113505,55,E33,S,15,D,medium,13,A,NA,77,B,high,medium,100,Z,low,386,Z,high,367,Z,low,222,Y,medium,495,Y,low,ExtraCol19_4,4,ExtraCol16_4,4,ExtraCol13_1,1,ExtraCol22_3,3,0,0,0,1,0,0,1,0
367,0,110813,75.25,D37,C,46,A,medium,NA,NA,medium,84,C,low,low,291,Y,medium,211,X,medium,217,X,NA,349,X,low,222,Y,low,ExtraCol19_3,3,ExtraCol16_3,3,ExtraCol13_3,3,ExtraCol22_4,4,1,0,0,0,0,0,1,0
371,0,11765,55.4417,E50,C,33,C,low,27,B,low,NA,D,unknown,high,395,Z,high,447,Z,high,48,Z,high,381,Y,high,334,X,low,ExtraCol19_1,1,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_4,4,0,0,1,0,0,1,0,0
394,0,35273,113.275,D36,C,59,D,low,NA,C,unknown,NA,NA,NA,medium,26,X,high,165,Z,medium,242,Y,medium,458,Y,high,326,Y,medium,ExtraCol19_3,3,ExtraCol16_2,2,ExtraCol13_1,1,ExtraCol22_5,5,0,0,0,1,0,1,0,0
431,0,110564,26.55,C52,S,8,B,medium,21,B,low,NA,A,high,high,40,X,medium,156,NA,low,NA,Y,low,243,Z,high,NA,Y,high,NA,NA,ExtraCol16_2,2,ExtraCol13_1,1,ExtraCol22_3,3,0,1,0,0,0,0,1,0
450,0,113786,30.5,C104,S,28,B,low,70,NA,NA,36,A,NA,low,138,Y,high,3,X,low,102,Y,NA,435,Z,medium,459,Z,medium,ExtraCol19_2,2,ExtraCol16_1,1,ExtraCol13_2,2,ExtraCol22_5,5,0,1,0,0,0,1,0,0
454,0,17453,89.1042,C92,C,2,D,medium,48,NA,high,16,D,NA,medium,161,Z,low,264,Y,medium,96,Z,low,108,Y,low,390,X,high,ExtraCol19_1,1,ExtraCol16_3,3,ExtraCol13_2,2,ExtraCol22_2,2,0,0,0,1,0,0,1,0
458,0,17464,51.8625,D21,S,63,B,unknown,46,B,low,NA,D,NA,medium,328,X,low,446,Z,medium,338,X,NA,11,Y,low,318,NA,low,ExtraCol19_4,4,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_1,1,0,1,0,0,0,0,0,1
474,0,SC/AH Basle 541,13.7917,D,C,46,C,high,45,B,high,20,NA,unknown,high,491,NA,low,292,Y,NA,412,X,medium,458,Y,low,NA,Y,low,ExtraCol19_5,5,ExtraCol16_3,3,ExtraCol13_5,5,ExtraCol22_5,5,0,0,1,0,1,0,0,0
493,0,113787,30.5,C30,S,75,B,medium,7,B,medium,58,A,unknown,high,453,Y,high,NA,Y,NA,141,X,low,131,X,medium,448,X,high,ExtraCol19_2,2,NA,NA,ExtraCol13_5,5,ExtraCol22_2,2,0,1,0,0,0,0,1,0
505,0,110152,86.5,B79,S,27,B,low,88,A,high,38,C,medium,medium,131,Y,low,94,NA,high,465,Y,low,124,Y,low,341,X,medium,ExtraCol19_5,5,ExtraCol16_1,1,ExtraCol13_2,2,ExtraCol22_2,2,0,1,0,0,0,1,0,0
521,0,12749,93.5,B73,S,35,A,high,75,A,high,79,B,NA,high,183,Y,low,431,Y,medium,226,Z,high,131,X,medium,180,X,low,ExtraCol19_3,3,ExtraCol16_5,5,ExtraCol13_2,2,ExtraCol22_2,2,1,0,0,0,1,0,0,0
528,0,PC 17483,221.7792,C95,S,14,D,medium,70,C,unknown,NA,D,unknown,high,203,Z,high,463,Y,low,133,Z,high,126,X,high,346,Y,medium,ExtraCol19_2,2,ExtraCol16_5,5,ExtraCol13_3,3,ExtraCol22_2,2,0,0,0,1,0,0,1,0
551,2,17421,110.8833,C70,C,80,D,low,89,B,high,45,D,high,high,318,X,high,NA,Z,low,219,Z,medium,396,Z,medium,257,Y,medium,ExtraCol19_3,3,NA,NA,ExtraCol13_4,4,ExtraCol22_5,5,0,0,0,1,0,1,0,0
582,1,17421,110.8833,C68,C,83,A,high,82,B,unknown,NA,NA,low,low,461,Z,medium,219,NA,high,224,Z,low,343,X,medium,227,X,low,ExtraCol19_3,3,ExtraCol16_3,3,ExtraCol13_5,5,ExtraCol22_4,4,1,0,0,0,1,0,0,0
584,0,13049,40.125,A10,C,5,A,medium,25,NA,medium,89,A,low,high,142,Z,high,447,Y,medium,131,Z,high,464,Z,medium,121,Y,high,ExtraCol19_2,2,ExtraCol16_5,5,ExtraCol13_2,2,ExtraCol22_5,5,1,0,0,0,0,0,1,0
588,1,13567,79.2,B41,C,9,B,medium,31,C,NA,3,NA,NA,medium,446,Y,low,240,Z,high,400,X,medium,41,X,medium,423,NA,high,ExtraCol19_5,5,ExtraCol16_3,3,ExtraCol13_5,5,ExtraCol22_1,1,0,1,0,0,0,0,1,0
610,0,PC 17582,153.4625,C125,S,85,D,high,28,NA,unknown,93,C,NA,medium,125,Y,low,50,Y,medium,238,Z,high,458,Z,low,457,Z,NA,ExtraCol19_3,3,ExtraCol16_1,1,ExtraCol13_2,2,ExtraCol22_5,5,0,0,0,1,1,0,0,0
619,1,230136,39,F4,S,6,B,high,85,NA,medium,NA,A,high,medium,77,Y,high,461,X,low,30,Y,high,263,X,high,31,Y,medium,ExtraCol19_1,1,ExtraCol16_5,5,ExtraCol13_1,1,ExtraCol22_3,3,0,1,0,0,1,0,0,0
633,0,13214,30.5,B50,C,43,B,low,55,NA,unknown,28,D,unknown,medium,322,X,medium,399,Z,high,441,X,low,370,X,high,71,Z,high,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_4,4,0,1,0,0,0,1,0,0
663,0,5727,25.5875,E58,S,3,A,low,12,D,high,70,D,unknown,medium,418,X,high,154,Y,low,159,X,high,249,NA,medium,480,Z,low,ExtraCol19_2,2,ExtraCol16_2,2,ExtraCol13_5,5,ExtraCol22_3,3,1,0,0,0,0,1,0,0
680,1,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44,A,unknown,NA,B,NA,medium,389,Y,low,465,NA,low,466,Z,high,448,Z,low,212,Y,low,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_5,5,1,0,0,0,0,0,0,1
690,1,24160,211.3375,B5,S,78,A,low,49,C,low,37,NA,NA,medium,271,X,medium,402,Y,low,270,X,high,NA,Z,NA,203,Z,NA,ExtraCol19_3,3,ExtraCol16_5,5,ExtraCol13_3,3,NA,NA,1,0,0,0,0,1,0,0
691,0,17474,57,B20,S,99,D,high,89,A,medium,38,A,NA,high,340,NA,high,332,X,NA,153,Y,medium,177,Y,NA,NA,NA,medium,ExtraCol19_2,2,ExtraCol16_4,4,ExtraCol13_4,4,ExtraCol22_2,2,0,0,0,1,1,0,0,0
702,0,PC 17475,26.2875,E24,S,61,C,high,71,NA,NA,11,NA,NA,low,13,Z,high,322,Z,low,317,Y,high,416,X,low,111,X,NA,ExtraCol19_4,4,ExtraCol16_4,4,ExtraCol13_1,1,ExtraCol22_5,5,0,0,1,0,1,0,0,0
713,0,19996,52,C126,S,72,A,high,11,D,unknown,54,B,NA,low,435,Y,low,447,Y,medium,475,Y,low,204,Y,high,281,X,high,ExtraCol19_5,5,ExtraCol16_5,5,ExtraCol13_5,5,ExtraCol22_3,3,1,0,0,0,1,0,0,0
717,0,PC 17757,227.525,C45,C,51,C,medium,58,C,NA,NA,D,NA,low,353,Z,low,455,Z,medium,75,X,high,356,X,high,304,NA,high,ExtraCol19_1,1,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_4,4,0,0,1,0,0,0,1,0
725,0,113806,53.1,E8,S,78,D,low,11,D,unknown,12,A,medium,high,NA,Z,low,212,Z,high,NA,Z,low,299,X,medium,NA,X,low,NA,NA,ExtraCol16_3,3,NA,NA,ExtraCol22_4,4,0,0,0,1,0,1,0,0
742,0,19877,78.85,C46,S,76,C,medium,95,NA,unknown,56,NA,low,high,370,Z,NA,279,Y,low,164,X,medium,329,Y,medium,89,Y,high,ExtraCol19_2,2,ExtraCol16_3,3,ExtraCol13_4,4,ExtraCol22_4,4,0,0,1,0,0,0,1,0
746,1,WE/P 5735,71,B22,S,36,A,unknown,NA,A,NA,43,B,low,low,56,Y,low,232,NA,NA,291,X,low,425,Z,NA,71,Z,medium,ExtraCol19_4,4,ExtraCol16_3,3,ExtraCol13_1,1,ExtraCol22_5,5,1,0,0,0,0,0,0,1
764,2,113760,120,B96 B98,S,93,B,high,NA,B,medium,50,B,medium,medium,373,Z,NA,160,NA,high,289,Y,low,128,Z,medium,310,X,low,ExtraCol19_3,3,ExtraCol16_2,2,ExtraCol13_4,4,ExtraCol22_2,2,0,1,0,0,1,0,0,0
777,0,383121,7.75,F38,Q,42,B,unknown,75,D,high,29,C,low,low,150,Y,low,NA,X,low,80,X,high,23,Y,low,265,Y,medium,ExtraCol19_1,1,NA,NA,ExtraCol13_2,2,ExtraCol22_1,1,0,1,0,0,0,0,0,1
783,0,113501,30,D6,S,12,D,medium,NA,D,high,95,C,high,medium,376,Z,low,479,Y,low,214,Z,low,113,Y,low,360,X,high,ExtraCol19_3,3,ExtraCol16_5,5,ExtraCol13_4,4,ExtraCol22_2,2,0,0,0,1,0,0,1,0
816,0,112058,0,B102,S,83,B,low,93,NA,medium,79,D,medium,medium,280,NA,high,68,Y,low,213,Y,low,109,NA,low,392,NA,high,ExtraCol19_3,3,ExtraCol16_1,1,ExtraCol13_3,3,ExtraCol22_2,2,0,1,0,0,0,1,0,0
850,0,17453,89.1042,C92,C,60,D,medium,NA,D,unknown,NA,B,NA,low,2,Z,medium,401,X,low,184,X,low,286,Y,medium,355,X,low,ExtraCol19_2,2,ExtraCol16_5,5,ExtraCol13_1,1,ExtraCol22_3,3,0,0,0,1,0,0,1,0
854,1,PC 17592,39.4,D28,S,23,A,low,NA,NA,medium,2,B,NA,low,311,X,high,121,X,high,98,X,low,166,Z,high,NA,X,low,ExtraCol19_2,2,ExtraCol16_2,2,ExtraCol13_4,4,ExtraCol22_2,2,1,0,0,0,0,1,0,0
873,0,695,5,B51 B53 B55,S,11,C,low,45,NA,low,50,A,low,medium,67,X,medium,234,Y,low,30,Z,NA,302,Z,high,158,Y,low,ExtraCol19_1,1,ExtraCol16_3,3,ExtraCol13_1,1,ExtraCol22_4,4,0,0,1,0,0,1,0,0
880,1,11767,83.1583,C50,C,63,D,high,73,C,medium,65,A,medium,medium,207,Z,high,190,X,medium,314,Z,high,239,X,high,453,Z,low,ExtraCol19_4,4,ExtraCol16_2,2,ExtraCol13_3,3,ExtraCol22_3,3,0,0,0,1,1,0,0,0
888,0,112053,30,B42,S,19,A,low,89,B,NA,65,A,unknown,medium,NA,Y,high,245,Z,low,246,X,high,13,Z,high,499,Z,high,ExtraCol19_3,3,ExtraCol16_3,3,NA,NA,ExtraCol22_1,1,1,0,0,0,0,1,0,0
