id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9
157,female,16,0,0,35851,7.7333,,Q,12,,low,61,D,low,83,,low
158,male,30,0,0,SOTON/OQ 392090,8.05,,S,55,,high,15,D,medium,,D,low
159,male,,0,0,315037,8.6625,,S,50,,high,7,A,high,34,D,medium
160,male,,8,2,CA. 2343,69.55,,S,78,B,unknown,67,C,,45,A,medium
161,male,44,0,1,371362,16.1,,S,99,C,,,D,unknown,,C,low
162,female,40,0,0,C.A. 33595,15.75,,S,,,low,,,,93,,medium
163,male,26,0,0,347068,7.775,,S,40,C,,10,B,high,78,B,unknown
164,male,17,0,0,315093,8.6625,,S,40,D,,74,D,,19,,high
165,male,1,4,1,3101295,39.6875,,S,41,,,76,C,medium,73,,high
166,male,9,0,2,363291,20.525,,S,81,A,,,,,17,B,low
167,female,,0,1,113505,55,E33,S,32,,unknown,83,A,high,45,C,low
168,female,45,1,4,347088,27.9,,S,16,B,unknown,43,C,low,,,medium
169,male,,0,0,PC 17318,25.925,,S,,C,high,18,,unknown,3,A,
170,male,28,0,0,1601,56.4958,,S,2,,,,,,,A,unknown
171,male,61,0,0,111240,33.5,B19,S,10,B,high,21,A,medium,22,,
172,male,4,4,1,382652,29.125,,Q,9,B,high,20,B,medium,,A,
173,female,1,1,1,347742,11.1333,,S,,B,high,32,D,unknown,49,D,medium
174,male,21,0,0,STON/O 2. 3101280,7.925,,S,,D,high,,,medium,2,C,high
175,male,56,0,0,17764,30.6958,A7,C,69,B,medium,,B,medium,,,low
176,male,18,1,1,350404,7.8542,,S,46,,high,,,low,,B,
177,male,,3,1,4133,25.4667,,S,71,B,unknown,62,B,medium,95,B,
178,female,50,0,0,PC 17595,28.7125,C49,C,16,A,unknown,33,C,low,,,
179,male,30,0,0,250653,13,,S,90,B,high,,B,,19,,unknown
180,male,36,0,0,LINE,0,,S,50,A,low,51,,unknown,60,,
181,female,,8,2,CA. 2343,69.55,,S,93,A,,,C,,36,,high
182,male,,0,0,SC/PARIS 2131,15.05,,C,,,medium,43,D,unknown,60,A,
183,male,9,4,2,347077,31.3875,,S,49,A,low,29,B,unknown,,C,unknown
184,male,1,2,1,230136,39,F4,S,69,,,,,,29,C,low
185,female,4,0,2,315153,22.025,,S,49,D,high,,A,high,65,C,unknown
186,male,,0,0,113767,50,A32,S,44,C,unknown,,D,high,26,B,unknown
187,female,,1,0,370365,15.5,,Q,,B,,,,medium,90,A,
188,male,45,0,0,111428,26.55,,S,38,A,,47,A,,94,B,unknown
189,male,40,1,1,364849,15.5,,Q,,D,,,A,medium,,B,high
190,male,36,0,0,349247,7.8958,,S,,D,high,,A,low,72,,
191,female,32,0,0,234604,13,,S,68,C,,90,B,high,,D,low
192,male,19,0,0,28424,13,,S,63,A,unknown,67,D,low,,B,low
193,female,19,1,0,350046,7.8542,,S,60,,unknown,,A,,73,,low
194,male,3,1,1,230080,26,F2,S,36,,unknown,96,D,,93,C,low
195,female,44,0,0,PC 17610,27.7208,B4,C,95,A,medium,71,,high,22,D,unknown
196,female,58,0,0,PC 17569,146.5208,B80,C,8,D,,5,C,medium,,B,low
197,male,,0,0,368703,7.75,,Q,,A,,72,B,medium,,,
198,male,42,0,1,4579,8.4042,,S,,,unknown,,D,low,33,A,
199,female,,0,0,370370,7.75,,Q,33,D,,,,medium,23,C,
200,female,24,0,0,248747,13,,S,96,D,,48,B,high,,A,unknown
201,male,28,0,0,345770,9.5,,S,,A,low,51,A,,33,A,unknown
202,male,,8,2,CA. 2343,69.55,,S,90,,,31,D,medium,72,,
203,male,34,0,0,3101264,6.4958,,S,49,C,low,,B,,37,,unknown
204,male,45.5,0,0,2628,7.225,,C,,C,unknown,61,B,high,37,A,
205,male,18,0,0,A/5 3540,8.05,,S,45,,high,,C,high,94,,low
206,female,2,0,1,347054,10.4625,G6,S,26,D,medium,89,C,low,,D,
207,male,32,1,0,3101278,15.85,,S,76,D,high,77,C,high,92,C,medium
208,male,26,0,0,2699,18.7875,,C,,,high,60,B,low,71,,high
209,female,16,0,0,367231,7.75,,Q,26,,high,,A,medium,,D,unknown
210,male,40,0,0,112277,31,A31,C,77,C,high,33,,high,,B,
211,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,26,A,,76,A,,93,D,low
212,female,35,0,0,F.C.C. 13528,21,,S,,,medium,31,,high,94,,medium
213,male,22,0,0,A/5 21174,7.25,,S,78,A,,26,,unknown,4,,
214,male,30,0,0,250646,13,,S,44,D,,86,C,,35,A,unknown
215,male,,1,0,367229,7.75,,Q,,,,,D,unknown,41,,
216,female,31,1,0,35273,113.275,D36,C,27,A,low,,A,,,A,
217,female,27,0,0,STON/O2. 3101283,7.925,,S,,A,unknown,86,D,medium,77,A,low
218,male,42,1,0,243847,27,,S,,A,low,,D,unknown,69,,
219,female,32,0,0,11813,76.2917,D15,C,44,C,low,,C,medium,21,D,unknown
220,male,30,0,0,W/C 14208,10.5,,S,90,B,,52,C,low,,,low
221,male,16,0,0,SOTON/OQ 392089,8.05,,S,12,D,low,,,,,,
222,male,27,0,0,220367,13,,S,45,B,medium,,A,,44,D,
223,male,51,0,0,21440,8.05,,S,,,medium,,,,,A,low
224,male,,0,0,349234,7.8958,,S,20,C,,,,,,,low
225,male,38,1,0,19943,90,C93,S,,C,,79,,high,92,,medium
226,male,22,0,0,PP 4348,9.35,,S,30,,high,59,A,low,90,D,high
227,male,19,0,0,SW/PP 751,10.5,,S,80,,low,,A,high,1,,high
228,male,20.5,0,0,A/5 21173,7.25,,S,57,C,high,40,A,high,,C,high
229,male,18,0,0,236171,13,,S,54,,high,38,C,unknown,,A,
230,female,,3,1,4133,25.4667,,S,17,,high,42,C,,82,C,medium
231,female,35,1,0,36973,83.475,C83,S,46,,high,99,,,80,C,medium
232,male,29,0,0,347067,7.775,,S,85,C,,,A,low,,D,medium
233,male,59,0,0,237442,13.5,,S,,D,,15,A,high,6,,
234,female,5,4,2,347077,31.3875,,S,75,C,,4,A,unknown,,A,low
235,male,24,0,0,C.A. 29566,10.5,,S,,,high,51,,low,,A,
236,female,,0,0,W./C. 6609,7.55,,S,,,unknown,80,,medium,,D,unknown
237,male,44,1,0,26707,26,,S,,B,high,,B,,8,A,
238,female,8,0,2,C.A. 31921,26.25,,S,43,A,low,56,,,,D,
239,male,19,0,0,28665,10.5,,S,30,A,medium,79,B,,43,B,medium
240,male,33,0,0,SCO/W 1585,12.275,,S,62,,high,51,D,medium,76,,high
241,female,,1,0,2665,14.4542,,C,14,,low,90,,medium,31,D,high
242,female,,1,0,367230,15.5,,Q,58,,unknown,63,,unknown,,C,
243,male,29,0,0,W./C. 14263,10.5,,S,9,B,unknown,73,B,,,C,low
244,male,22,0,0,STON/O 2. 3101275,7.125,,S,64,C,unknown,78,A,low,,D,
245,male,30,0,0,2694,7.225,,C,,D,low,62,D,unknown,29,D,high
246,male,44,2,0,19928,90,C78,Q,8,D,high,5,,medium,25,C,low
247,female,25,0,0,347071,7.775,,S,,B,high,42,,unknown,,B,high
248,female,24,0,2,250649,14.5,,S,41,B,high,14,A,,28,D,
249,male,37,1,1,11751,52.5542,D35,S,78,,unknown,51,B,,68,C,
250,male,54,1,0,244252,26,,S,4,A,,,,low,,,high
251,male,,0,0,362316,7.25,,S,17,C,high,,C,unknown,,,
252,female,29,1,1,347054,10.4625,G6,S,49,B,high,,A,high,,C,
253,male,62,0,0,113514,26.55,C87,S,18,,,2,C,medium,,B,low
254,male,30,1,0,A/5. 3336,16.1,,S,,C,unknown,,D,unknown,58,D,medium
255,female,41,0,2,370129,20.2125,,S,,B,,50,D,unknown,,,high
256,female,29,0,2,2650,15.2458,,C,14,,unknown,7,,,25,,medium
257,female,,0,0,PC 17585,79.2,,C,,C,low,,,,98,C,unknown
258,female,30,0,0,110152,86.5,B77,S,10,A,,75,C,high,20,C,unknown
259,female,35,0,0,PC 17755,512.3292,,C,,,high,70,A,medium,13,C,unknown
260,female,50,0,1,230433,26,,S,58,A,low,17,A,,82,D,low
261,male,,0,0,384461,7.75,,Q,79,B,medium,,D,,89,B,
262,male,3,4,2,347077,31.3875,,S,17,D,,63,,,9,D,low
263,male,52,1,1,110413,79.65,E67,S,29,A,high,39,,,59,,high
264,male,40,0,0,112059,0,B94,S,92,,low,0,,,,A,medium
265,female,,0,0,382649,7.75,,Q,98,C,medium,,,,22,C,
266,male,36,0,0,C.A. 17248,10.5,,S,58,D,,79,C,medium,,A,
267,male,16,4,1,3101295,39.6875,,S,44,,high,3,C,low,68,D,low
268,male,25,1,0,347083,7.775,,S,34,C,medium,,D,unknown,57,,high
269,female,58,0,1,PC 17582,153.4625,C125,S,61,D,high,38,D,high,51,,high
270,female,35,0,0,PC 17760,135.6333,C99,S,,,high,,A,high,88,C,high
271,male,,0,0,113798,31,,S,29,A,,47,,low,,B,medium
272,male,25,0,0,LINE,0,,S,,D,,42,A,low,62,B,
273,female,41,0,1,250644,19.5,,S,15,A,unknown,,B,low,31,D,
274,male,37,0,1,PC 17596,29.7,C118,C,95,C,low,5,B,,97,,
275,female,,0,0,370375,7.75,,Q,41,B,,3,D,unknown,25,D,unknown
276,female,63,1,0,13502,77.9583,D7,S,48,C,low,9,,medium,,B,medium
277,female,45,0,0,347073,7.75,,S,,,low,69,,high,63,,low
278,male,,0,0,239853,0,,S,78,,,78,,,,C,unknown
279,male,7,4,1,382652,29.125,,Q,,C,,,B,unknown,75,A,medium
280,female,35,1,1,C.A. 2673,20.25,,S,,,high,7,,medium,24,A,low
281,male,65,0,0,336439,7.75,,Q,,B,medium,41,,medium,26,,low
282,male,28,0,0,347464,7.8542,,S,,,,98,,,34,,medium
283,male,16,0,0,345778,9.5,,S,67,D,medium,,D,low,68,A,low
284,male,19,0,0,A/5. 10482,8.05,,S,49,A,low,,A,unknown,39,C,
285,male,,0,0,113056,26,A19,S,44,B,medium,53,C,,56,A,high
286,male,33,0,0,349239,8.6625,,C,,C,high,,B,medium,55,D,
287,male,30,0,0,345774,9.5,,S,,,high,,,high,19,D,
288,male,22,0,0,349206,7.8958,,S,57,D,medium,47,C,high,23,,low
289,male,42,0,0,237798,13,,S,,B,,,,,30,A,unknown
290,female,22,0,0,370373,7.75,,Q,47,D,high,,,high,,B,
291,female,26,0,0,19877,78.85,,S,,,,,D,unknown,,,
292,female,19,1,0,11967,91.0792,B49,C,26,C,medium,5,,,,,high
293,male,36,0,0,SC/Paris 2163,12.875,D,C,95,C,,0,,,,C,
294,female,24,0,0,349236,8.85,,S,33,A,unknown,41,A,,67,C,
295,male,24,0,0,349233,7.8958,,S,,A,,,D,,,C,unknown
296,male,,0,0,PC 17612,27.7208,,C,,,,,,unknown,68,,high
297,male,23.5,0,0,2693,7.2292,,C,84,C,,7,B,medium,,A,medium
298,female,2,1,2,113781,151.55,C22 C26,S,,,high,67,D,,,,unknown
299,male,,0,0,19988,30.5,C106,S,28,A,high,45,,high,89,,medium
300,female,50,0,1,PC 17558,247.5208,B58 B60,C,2,,,23,,,20,D,
301,female,,0,0,9234,7.75,,Q,36,D,unknown,20,D,medium,16,C,low
302,male,,2,0,367226,23.25,,Q,82,,unknown,66,D,unknown,39,B,low
303,male,19,0,0,LINE,0,,S,0,B,unknown,52,B,unknown,83,C,unknown
304,female,,0,0,226593,12.35,E101,Q,89,,unknown,,B,medium,96,C,
305,male,,0,0,A/5 2466,8.05,,S,,D,unknown,28,,medium,,,
306,male,0.92,1,2,113781,151.55,C22 C26,S,14,B,,52,A,,,B,
307,female,,0,0,17421,110.8833,,C,,B,low,86,C,,23,C,
308,female,17,1,0,PC 17758,108.9,C65,C,55,C,,31,,medium,59,A,
309,male,30,1,0,P/PP 3381,24,,C,31,A,low,39,D,,18,A,high
310,female,30,0,0,PC 17485,56.9292,E36,C,,D,low,16,,low,53,A,
311,female,24,0,0,11767,83.1583,C54,C,66,D,unknown,,C,,,,medium
312,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3,C,medium,7,A,low
313,female,26,1,1,250651,26,,S,,C,high,24,C,unknown,96,B,unknown
314,male,28,0,0,349243,7.8958,,S,28,C,high,,A,unknown,89,,unknown
315,male,43,1,1,F.C.C. 13529,26.25,,S,24,,,1,B,unknown,,B,medium
316,female,26,0,0,347470,7.8542,,S,,D,,98,,,62,A,
317,female,24,1,0,244367,26,,S,,,unknown,40,B,,,D,low
318,male,54,0,0,29011,14,,S,,,medium,,D,high,57,B,
319,female,31,0,2,36928,164.8667,C7,S,93,C,high,53,,unknown,,A,
320,female,40,1,1,16966,134.5,E34,C,,,,,B,low,53,,
321,male,22,0,0,A/5 21172,7.25,,S,,D,low,,,high,,,low
322,male,27,0,0,349219,7.8958,,S,,D,,88,A,low,39,,
323,female,30,0,0,234818,12.35,,Q,,C,,,B,,84,,low
324,female,22,1,1,248738,29,,S,91,B,,,B,medium,25,,high
325,male,,8,2,CA. 2343,69.55,,S,,B,medium,70,D,high,96,B,high
326,female,36,0,0,PC 17760,135.6333,C32,C,23,B,high,30,,unknown,75,,
327,male,61,0,0,345364,6.2375,,S,23,C,unknown,99,A,low,89,B,low
328,female,36,0,0,28551,13,D,S,3,,high,25,,high,50,,medium
329,female,31,1,1,363291,20.525,,S,,C,medium,29,,low,22,A,low
330,female,16,0,1,111361,57.9792,B18,C,55,D,medium,71,A,low,3,D,high
331,female,,2,0,367226,23.25,,Q,54,,high,78,C,,53,,low
332,male,45.5,0,0,113043,28.5,C124,S,,C,medium,12,C,high,39,D,high
333,male,38,0,1,PC 17582,153.4625,C91,S,30,,high,55,,low,11,C,unknown
334,male,16,2,0,345764,18,,S,82,C,,,B,medium,,D,high
335,female,,1,0,PC 17611,133.65,,S,,,,61,,,97,,
336,male,,0,0,349225,7.8958,,S,80,,unknown,55,,medium,,D,
337,male,29,1,0,113776,66.6,C2,S,96,,medium,,B,unknown,,C,
338,female,41,0,0,16966,134.5,E40,C,31,,medium,,,,,D,
339,male,45,0,0,7598,8.05,,S,20,,high,65,,,,,
340,male,45,0,0,113784,35.5,T,S,95,,,67,D,,62,,unknown
341,male,2,1,1,230080,26,F2,S,63,,unknown,,C,high,41,C,unknown
342,female,24,3,2,19950,263,C23 C25 C27,S,29,,low,,,medium,,A,medium
343,male,28,0,0,248740,13,,S,62,B,unknown,72,B,,18,,medium
344,male,25,0,0,244361,13,,S,51,C,,77,,medium,66,A,low
345,male,36,0,0,229236,13,,S,,A,,12,B,low,98,A,
346,female,24,0,0,248733,13,F33,S,25,C,high,88,,low,85,,high
347,female,40,0,0,31418,13,,S,99,,unknown,,,medium,4,,
348,female,,1,0,386525,16.1,,S,,,low,,C,unknown,11,A,medium
349,male,3,1,1,C.A. 37671,15.9,,S,,,high,48,,low,62,B,low
350,male,42,0,0,315088,8.6625,,S,16,B,low,48,,,92,B,low
351,male,23,0,0,7267,9.225,,S,,A,low,91,,medium,84,C,
352,male,,0,0,113510,35,C128,S,,B,unknown,96,A,high,90,,low
353,male,15,1,1,2695,7.2292,,C,29,C,high,80,A,low,14,C,
354,male,25,1,0,349237,17.8,,S,43,A,medium,65,B,low,51,B,
355,male,,0,0,2647,7.225,,C,96,C,high,10,B,low,72,D,
356,male,28,0,0,345783,9.5,,S,99,A,medium,91,C,medium,62,B,
357,female,22,0,1,113505,55,E33,S,15,D,medium,13,A,,77,B,high
358,female,38,0,0,237671,13,,S,89,C,medium,16,B,unknown,21,A,medium
