id,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5
354,S,43,A,medium,65,B
355,C,96,C,high,10,B
356,S,99,A,medium,91,C
357,S,15,D,medium,13,A
358,S,89,C,medium,16,B
359,Q,,B,medium,6,D
360,Q,,C,unknown,94,D
361,S,84,A,medium,,D
362,C,,A,medium,,
363,C,22,D,high,8,A
364,S,89,D,unknown,41,
365,Q,,,medium,72,A
366,S,,B,unknown,99,
367,C,46,A,medium,,
368,C,31,,high,60,D
369,Q,,B,unknown,83,C
370,C,77,,,90,B
371,C,33,C,low,27,B
372,S,66,A,high,,D
373,S,41,D,,51,D
374,C,,C,medium,93,C
375,S,,,unknown,11,D
376,C,9,,,9,B
377,S,,C,high,,B
378,C,74,,high,67,D
379,C,37,A,low,17,B
380,S,,,medium,89,D
381,C,0,B,high,10,B
382,C,,D,low,,B
383,S,94,B,medium,,A
384,S,,,,,C
385,S,3,A,unknown,,B
386,S,12,B,low,84,B
387,S,6,B,unknown,10,C
388,S,83,A,medium,,A
389,Q,89,B,high,61,
390,C,15,,high,2,D
391,S,74,A,,74,C
392,S,17,,unknown,,C
393,S,36,C,low,75,
394,C,59,D,low,,C
395,S,,C,unknown,19,B
396,S,87,A,high,,
397,S,4,,unknown,6,A
398,S,19,B,medium,53,C
399,S,,B,,,C
400,S,31,A,low,,
401,S,99,D,medium,20,
402,S,77,,low,76,D
403,S,,C,unknown,69,
404,S,97,,,,C
405,S,,D,unknown,,D
406,S,,A,low,6,
407,S,43,,low,44,A
408,S,14,B,,,B
409,S,,,,11,D
410,S,1,B,medium,55,B
411,S,17,A,medium,,D
412,Q,22,,,,
413,Q,27,B,,,
414,S,13,A,low,8,B
415,S,1,,,67,C
416,S,67,A,low,33,
417,S,96,,low,,
418,S,12,B,,19,C
419,S,,,medium,97,
420,S,50,C,,25,D
421,C,92,A,medium,68,D
422,Q,69,,medium,,B
423,S,,D,medium,18,
424,S,,A,high,30,
425,S,41,B,,1,B
426,S,,A,low,,C
427,S,86,,medium,33,
428,S,80,,low,49,A
429,Q,2,A,medium,15,B
430,S,71,A,,82,
431,S,8,B,medium,21,B
432,S,73,C,low,,
433,S,82,B,high,87,C
434,S,13,,low,71,
435,S,43,,low,60,B
436,S,12,D,,,A
437,S,56,A,unknown,,D
438,S,92,C,unknown,96,D
439,S,,D,high,,D
440,S,39,A,high,40,A
441,S,97,D,high,25,C
442,S,,,high,,
443,S,,B,high,97,D
444,S,48,,unknown,69,
445,S,50,C,,3,C
446,S,66,,low,46,A
447,S,,,medium,,C
448,S,,C,unknown,,D
449,C,52,D,medium,77,A
450,S,28,B,low,70,
451,S,,,unknown,6,
452,S,,B,high,55,A
453,C,,D,,,
454,C,2,D,medium,48,
455,S,59,,low,,B
456,C,,C,medium,,D
457,S,,D,medium,86,D
458,S,63,B,unknown,46,B
459,S,84,,,53,A
460,Q,10,,low,62,
461,S,72,A,,65,A
462,S,,,unknown,63,D
463,S,,A,medium,78,C
464,S,,,medium,98,C
465,S,0,,high,82,A
466,S,96,B,high,13,
467,S,16,B,medium,,C
468,S,59,B,unknown,,
469,Q,18,B,high,50,B
470,C,93,B,low,52,
471,S,,C,,71,
472,S,,D,unknown,,B
473,S,43,C,medium,26,C
474,C,46,C,high,45,B
475,S,,D,,,
476,S,78,D,,31,C
477,S,84,,unknown,2,
478,S,1,C,low,97,
479,S,,A,high,,B
480,S,,A,high,60,
481,S,,D,low,,A
482,S,82,,,27,
483,S,25,D,,34,
484,S,79,,medium,28,B
485,C,,D,,,
486,S,23,C,low,15,B
487,S,33,D,,,D
488,C,53,A,,45,
489,S,76,D,,53,B
490,S,,A,,1,
491,S,93,B,,84,C
492,S,,A,low,67,
493,S,75,B,medium,7,B
494,C,,,high,84,C
495,S,,B,unknown,3,C
496,C,41,,unknown,,A
497,C,,C,high,46,D
498,S,37,C,low,,C
499,S,92,D,,95,A
500,S,,,low,,C
501,S,11,B,low,,C
502,Q,65,D,high,57,D
503,Q,96,,,,
504,S,86,,low,72,B
505,S,27,B,low,88,A
506,C,,A,high,,C
507,S,,,medium,,
508,S,,,high,51,B
509,S,26,A,medium,,
510,S,23,C,high,,C
511,Q,99,A,,,B
512,S,74,C,,70,
513,S,84,,medium,51,B
514,C,81,,high,,
515,S,95,B,high,42,B
516,S,10,,high,49,D
517,S,,,,,C
518,Q,,A,low,55,C
519,S,47,C,,79,
520,S,59,C,high,2,C
521,S,35,A,high,75,A
522,S,,C,,50,
523,C,19,A,,,B
524,C,,A,high,47,C
525,C,,D,,47,C
526,Q,,D,,12,B
527,S,,B,high,,B
528,S,14,D,medium,70,C
529,S,91,D,high,,
530,S,92,,,9,A
531,S,59,A,unknown,21,B
532,C,16,,,87,
533,C,15,C,,,D
534,C,,,low,50,
535,S,57,,,,D
536,S,15,B,unknown,,C
537,S,45,A,,85,B
538,C,11,D,,89,
539,S,,,low,28,D
540,C,2,,unknown,58,A
541,S,70,D,,,A
542,S,,,,,B
543,S,19,,high,0,A
544,S,17,A,medium,97,D
545,C,83,,high,35,D
546,S,5,,,,C
547,S,42,B,low,61,
548,C,,C,,78,A
549,S,51,B,,,C
550,S,68,D,unknown,,B
551,C,80,D,low,89,B
552,S,,,unknown,93,B
553,Q,82,D,high,15,
554,C,,C,,90,C
555,S,,B,unknown,90,A
556,S,50,C,low,,C
557,C,,D,low,21,D
558,C,,,unknown,,A
559,S,79,,low,99,D
560,S,85,,,,C
561,Q,53,A,,,B
562,S,4,,unknown,19,C
563,S,49,C,,8,
564,S,18,,high,25,D
565,S,88,D,low,6,A
566,S,23,D,,19,A
567,S,22,,,7,C
568,S,24,,low,76,B
569,C,64,,high,58,A
570,S,,D,low,51,B
571,S,94,,medium,80,C
572,S,41,C,,41,
573,S,,D,high,40,D
574,Q,4,D,,20,B
575,S,0,A,low,,A
576,S,37,A,unknown,,
577,S,92,B,high,58,D
578,S,52,,,,A
579,C,89,C,,53,B
580,S,10,,,29,
581,S,9,B,high,,C
582,C,83,A,high,82,B
583,S,10,A,,,
584,C,5,A,medium,25,
585,C,40,,unknown,71,
586,S,92,C,,,A
587,S,68,B,,,
588,C,9,B,medium,31,C
589,S,83,B,unknown,35,A
590,S,84,C,medium,,B
591,S,80,D,low,1,A
592,C,90,,high,,D
593,S,23,C,unknown,12,
594,Q,,,low,,D
595,S,,C,medium,55,
596,S,80,A,medium,,
597,S,57,,low,34,B
598,S,77,A,high,77,
599,C,,B,medium,,
600,C,64,,low,1,A
601,S,,,medium,,D
602,S,77,,unknown,2,
603,S,73,,unknown,52,D
604,S,,A,high,87,A
605,C,82,A,medium,,D
606,S,,,unknown,,
607,S,,C,low,,B
608,S,,,high,78,A
609,C,,D,,,
610,S,85,D,high,28,
611,S,83,A,low,0,
612,S,,,high,44,B
613,Q,78,B,high,61,
614,Q,38,A,unknown,,C
615,S,68,,low,93,A
616,S,63,,,,
617,S,,,unknown,78,B
618,S,26,B,,2,
619,S,6,B,high,85,
620,S,13,A,low,75,A
621,C,43,B,high,,C
622,S,47,A,,58,D
623,C,,D,,,D
624,S,41,,low,90,
625,S,60,D,high,55,A
626,S,23,,,,
627,Q,33,D,medium,61,D
628,S,36,C,,68,C
629,S,50,B,unknown,,C
630,Q,36,C,high,81,B
631,S,73,B,,20,C
632,S,32,A,,89,A
633,C,43,B,low,55,
634,S,37,,high,32,
635,S,,,high,,
636,S,68,A,unknown,1,A
637,S,23,,unknown,74,A
638,S,29,C,,37,
639,S,79,,,84,D
640,S,94,,medium,23,C
641,S,67,A,,92,
642,C,91,,high,94,B
643,S,85,D,unknown,10,C
644,S,48,C,,64,D
645,C,,,,93,B
646,C,32,B,,32,C
647,S,,A,unknown,,C
648,C,,A,high,,D
649,S,96,A,low,47,D
650,S,84,D,low,2,C
651,S,,C,unknown,84,C
652,S,65,B,unknown,,D
653,S,20,D,unknown,,
654,Q,,A,low,25,
655,Q,,A,high,1,C
656,S,53,B,unknown,,C
657,S,76,D,high,2,A
658,Q,63,C,high,79,C
659,S,,D,,51,
660,C,28,,low,,
661,S,,,medium,81,C
662,C,73,A,,89,
663,S,3,A,low,12,D
664,S,,C,low,,C
665,S,,,,12,B
666,S,69,D,unknown,68,D
667,S,50,D,high,56,B
668,S,86,C,high,8,B
669,S,91,B,,23,
670,S,,A,low,53,D
671,S,,C,medium,,C
672,S,61,C,,34,
673,S,,D,unknown,,D
674,S,9,C,,99,A
675,S,62,A,,76,
676,S,,,medium,,C
677,S,58,,medium,,D
678,S,,A,unknown,,B
679,S,52,D,medium,51,D
680,C,93,A,unknown,44,A
681,Q,72,,,83,D
682,C,13,D,,,A
683,S,95,,,,
684,S,95,A,medium,,
685,S,16,D,,6,D
686,C,80,A,,69,D
687,S,,C,,65,
688,S,59,D,unknown,58,D
689,S,44,C,low,5,B
690,S,78,A,low,49,C
691,S,99,D,high,89,A
692,C,79,A,medium,23,A
693,S,,C,,69,A
694,C,94,,low,85,C
695,S,9,,,,
696,S,25,,medium,51,D
697,S,72,A,medium,,
698,Q,59,D,high,69,C
699,C,5,A,,,
700,S,9,,medium,,B
701,C,52,,low,,A
702,S,61,C,high,71,
703,C,16,C,low,24,C
704,Q,17,C,medium,75,
705,S,,C,,54,C
706,S,56,D,low,93,D
707,S,,,medium,65,C
708,S,,D,,,A
709,S,47,D,unknown,97,B
710,C,,D,unknown,99,D
711,C,,,low,74,A
712,S,,D,high,59,A
713,S,72,A,high,11,D
714,S,76,D,medium,,
715,S,,C,medium,47,D
716,S,79,,,78,
717,C,51,C,medium,58,C
718,S,,B,low,43,C
719,Q,,,,,A
720,S,59,D,medium,,
721,S,13,A,,,
722,S,93,B,low,,D
723,S,84,,low,,
724,S,,,unknown,87,D
725,S,78,D,low,11,D
726,S,11,A,high,40,A
727,S,,C,high,51,
728,Q,8,D,high,,C
729,S,48,D,unknown,16,C
730,S,65,A,,,D
731,S,72,,,59,
732,C,41,,low,,
733,S,,,,16,B
734,S,,B,high,42,D
735,S,20,,unknown,72,D
736,S,,,medium,73,
737,S,,B,,19,C
738,C,,,unknown,,
739,S,,,high,89,
740,S,89,A,unknown,22,A
741,S,81,A,,2,C
742,S,76,C,medium,95,
743,C,,B,,52,A
744,S,27,,high,77,
745,S,79,D,low,32,
746,S,36,A,unknown,,A
747,S,53,B,low,,D
748,S,31,C,medium,,A
749,S,31,D,,47,C
750,Q,,C,high,,
751,S,,B,high,,B
752,S,14,,unknown,,A
753,S,,D,,91,
754,S,93,B,,,A
755,S,55,D,,,
756,S,43,D,unknown,51,D
757,S,73,,medium,,D
758,S,38,A,,82,
759,S,,D,unknown,72,D
760,S,,A,,14,
761,S,17,B,low,58,D
762,S,55,,unknown,53,
763,C,,C,high,,
764,S,93,B,high,,B
765,S,36,C,unknown,,B
766,S,78,,medium,,
767,C,61,D,,51,B
768,Q,47,,high,,
769,Q,,A,low,,A
770,S,37,B,low,4,B
771,S,65,A,,35,
772,S,98,D,,,D
773,S,0,,high,,A
774,C,,B,medium,,C
775,S,,,low,,D
776,S,,,high,44,D
777,Q,42,B,unknown,75,D
778,S,11,,medium,33,A
779,Q,,A,low,15,B
780,S,85,B,,84,D
781,C,87,B,,77,D
782,S,63,D,,,C
783,S,12,D,medium,,D
784,S,,D,medium,77,C
785,S,,,low,74,A
786,S,58,,medium,,D
787,S,,B,unknown,,A
788,Q,68,B,medium,59,B
789,S,,,high,,A
790,C,,D,low,77,C
791,Q,,A,low,46,A
792,S,45,B,high,90,
793,S,,C,low,,D
794,C,,C,medium,,
795,S,43,B,medium,91,
796,S,29,C,low,47,D
797,S,96,,high,,B
798,S,,A,unknown,,C
799,C,31,,low,87,
800,S,,C,unknown,75,A
801,S,1,,high,16,A
802,S,,,,49,A
803,S,51,,low,37,D
804,C,91,C,unknown,64,D
805,S,,C,low,,
806,S,,,,71,
807,S,,D,high,74,
808,S,11,D,medium,,D
809,S,,A,low,15,
810,S,99,D,,62,
811,S,4,A,low,,
812,S,87,,high,94,
813,S,68,,unknown,77,B
814,S,28,B,medium,95,
815,S,,,,53,B
816,S,83,B,low,93,
817,S,4,C,,1,
818,C,10,A,low,28,
819,S,66,C,low,0,B
820,S,99,B,high,67,
821,S,,C,,51,A
822,S,66,D,,28,
823,S,13,,,30,C
824,S,65,,,,
825,S,62,B,high,18,B
826,Q,9,,,51,A
827,S,68,B,unknown,61,
828,C,89,A,,23,
829,Q,,C,,22,C
830,,2,B,medium,,
831,C,,A,,,
832,S,,A,high,25,D
833,C,45,,unknown,37,
834,S,14,D,unknown,54,C
835,S,85,,medium,18,B
836,C,77,A,,56,D
837,S,80,B,low,13,
838,S,19,D,unknown,14,B
839,S,1,C,low,23,C
840,C,91,A,,28,
841,S,28,,medium,2,D
842,S,65,B,unknown,96,B
843,C,90,D,,,D
844,C,3,A,medium,,
845,S,0,D,,,
846,S,0,C,low,80,B
847,S,15,,,83,D
848,C,5,,low,10,C
849,S,81,,,37,
850,C,60,D,medium,,D
851,S,,A,,57,
852,S,,B,medium,0,D
853,C,96,A,,,D
854,S,23,A,low,,
855,S,,A,,,
856,S,84,,,38,
857,S,24,A,,,B
858,S,,,,30,A
859,C,66,A,,29,B
860,C,80,A,unknown,34,A
861,S,96,D,high,30,C
862,S,92,A,,,C
863,S,,,medium,4,C
864,S,77,A,high,27,C
865,S,84,A,,31,B
866,S,69,C,high,,C
867,C,81,D,,87,D
868,S,,C,,67,A
869,S,,C,high,,B
870,S,4,A,high,,D
871,S,45,D,medium,,
872,S,,A,low,90,D
873,S,11,C,low,45,
874,S,12,B,,68,B
875,C,69,D,medium,38,A
876,C,50,B,,49,D
877,S,,,,48,
878,S,74,,,,A
879,S,54,C,medium,,A
880,C,63,D,high,73,C
881,S,8,C,,2,D
882,S,85,,high,13,D
883,S,,B,low,84,D
884,S,,C,medium,56,
885,S,81,B,,,D
886,Q,73,,high,60,D
887,S,5,B,,,
888,S,19,A,low,89,B
889,S,1,A,,66,D
890,C,27,B,,,D
891,Q,,D,unknown,,A
