id,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7
71,32,0,0,C.A. 33111,10.5,,S,79,D,,48,D,unknown,
72,16,5,2,CA 2144,46.9,,S,18,A,,52,C,high,
73,21,0,0,S.O.C. 14879,73.5,,S,,B,,25,D,high,1
74,26,1,0,2680,14.4542,,C,12,A,high,,D,medium,
75,32,0,0,1601,56.4958,,S,68,,unknown,24,D,,
76,25,0,0,348123,7.65,F G73,S,47,,unknown,34,A,unknown,
77,,0,0,349208,7.8958,,S,,,low,26,,medium,
78,,0,0,374746,8.05,,S,22,,low,33,,low,30
79,0.83,0,2,248738,29,,S,,A,,36,A,medium,89
80,30,0,0,364516,12.475,,S,66,C,,8,,,70
81,22,0,0,345767,9,,S,94,C,unknown,,,,56
82,29,0,0,345779,9.5,,S,43,D,low,44,,low,88
83,,0,0,330932,7.7875,,Q,16,D,low,94,,low,9
84,28,0,0,113059,47.1,,S,83,D,unknown,,A,medium,64
85,17,0,0,SO/C 14885,10.5,,S,62,C,unknown,66,B,medium,15
86,33,3,0,3101278,15.85,,S,70,,low,,,low,23
87,16,1,3,W./C. 6608,34.375,,S,9,B,medium,,B,medium,18
88,,0,0,SOTON/OQ 392086,8.05,,S,31,A,,49,,,54
89,23,3,2,19950,263,C23 C25 C27,S,,B,,44,A,low,62
90,24,0,0,343275,8.05,,S,,B,,65,,medium,75
91,29,0,0,343276,8.05,,S,43,A,,,B,,
92,20,0,0,347466,7.8542,,S,,A,low,31,B,,93
93,46,1,0,W.E.P. 5734,61.175,E31,S,,C,medium,,D,,37
94,26,1,2,C.A. 2315,20.575,,S,38,B,high,18,,,
95,59,0,0,364500,7.25,,S,89,,high,,,high,3
96,,0,0,374910,8.05,,S,28,B,,,,,12
97,71,0,0,PC 17754,34.6542,A5,C,23,D,unknown,95,A,unknown,
98,23,0,1,PC 17759,63.3583,D10 D12,C,68,C,unknown,,,,41
99,34,0,1,231919,23,,S,,A,,39,C,,
100,34,1,0,244367,26,,S,13,A,,,B,unknown,12
101,28,0,0,349245,7.8958,,S,83,C,high,80,B,,26
102,,0,0,349215,7.8958,,S,,C,,48,B,low,98
103,21,0,1,35281,77.2875,D26,S,80,B,medium,96,,unknown,2
104,33,0,0,7540,8.6542,,S,0,C,low,,B,,42
105,37,2,0,3101276,7.925,,S,79,,medium,70,,,19
106,28,0,0,349207,7.8958,,S,,,,75,C,high,53
107,21,0,0,343120,7.65,,S,,A,unknown,,A,unknown,97
108,,0,0,312991,7.775,,S,66,B,unknown,,,low,22
109,38,0,0,349249,7.8958,,S,,,,58,C,low,37
110,,1,0,371110,24.15,,Q,,D,low,,,unknown,44
111,47,0,0,110465,52,C110,S,,D,low,11,,high,79
112,14.5,1,0,2665,14.4542,,C,78,,medium,13,A,low,
113,22,0,0,324669,8.05,,S,55,A,,,C,unknown,
114,20,1,0,4136,9.825,,S,45,,unknown,65,B,,48
115,17,0,0,2627,14.4583,,C,,A,,28,C,medium,
116,21,0,0,STON/O 2. 3101294,7.925,,S,,,,73,A,medium,0
117,70.5,0,0,370369,7.75,,Q,3,,,69,,high,80
118,29,1,0,11668,21,,S,13,,medium,,,low,24
119,24,0,1,PC 17558,247.5208,B58 B60,C,24,A,,91,B,medium,
120,2,4,2,347082,31.275,,S,11,,high,88,,,97
121,21,2,0,S.O.C. 14879,73.5,,S,43,C,low,,C,low,63
122,,0,0,A4. 54510,8.05,,S,,,medium,76,,unknown,
123,32.5,1,0,237736,30.0708,,C,65,D,high,,,low,60
124,32.5,0,0,27267,13,E101,S,47,D,medium,40,A,unknown,21
125,54,0,1,35281,77.2875,D26,S,85,C,,,D,low,69
126,12,1,0,2651,11.2417,,C,56,,,60,A,medium,61
127,,0,0,370372,7.75,,Q,7,B,unknown,41,C,low,
128,24,0,0,C 17369,7.1417,,S,76,D,low,99,,,7
129,,1,1,2668,22.3583,F E69,C,57,,low,17,D,high,64
130,45,0,0,347061,6.975,,S,63,,high,9,,low,
131,33,0,0,349241,7.8958,,C,56,A,medium,2,A,high,77
132,20,0,0,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81,D,,12
133,47,1,0,A/5. 3337,14.5,,S,9,,low,40,C,medium,53
134,29,1,0,228414,26,,S,55,,,43,,low,81
135,25,0,0,C.A. 29178,13,,S,79,B,unknown,64,C,high,89
136,23,0,0,SC/PARIS 2133,15.0458,,C,30,D,,,A,,93
137,19,0,2,11752,26.2833,D47,S,,A,medium,57,C,low,
138,37,1,0,113803,53.1,C123,S,3,C,,5,,,
139,16,0,0,7534,9.2167,,S,34,B,high,,B,medium,57
140,24,0,0,PC 17593,79.2,B86,C,43,A,low,,,low,46
141,,0,2,2678,15.2458,,C,,D,,45,B,unknown,23
142,22,0,0,347081,7.75,,S,21,A,,16,,high,
143,24,1,0,STON/O2. 3101279,15.85,,S,,,unknown,,,unknown,14
144,19,0,0,365222,6.75,,Q,,,,33,D,medium,
145,18,0,0,231945,11.5,,S,99,D,medium,27,,,
146,19,1,1,C.A. 33112,36.75,,S,85,A,unknown,29,A,,
147,27,0,0,350043,7.7958,,S,3,,,72,A,low,10
148,9,2,2,W./C. 6608,34.375,,S,23,C,,10,B,medium,26
149,36.5,0,2,230080,26,F2,S,,D,unknown,30,D,unknown,
150,42,0,0,244310,13,,S,,A,low,46,B,medium,
151,51,0,0,S.O.P. 1166,12.525,,S,85,D,,54,,unknown,44
152,22,1,0,113776,66.6,C2,S,28,C,medium,88,B,medium,4
153,55.5,0,0,A.5. 11206,8.05,,S,91,D,unknown,,,medium,1
154,40.5,0,2,A/5. 851,14.5,,S,29,,low,,,,
155,,0,0,Fa 265302,7.3125,,S,43,D,unknown,53,,,44
156,51,0,1,PC 17597,61.3792,,C,66,C,low,2,A,,7
157,16,0,0,35851,7.7333,,Q,12,,low,61,D,low,83
158,30,0,0,SOTON/OQ 392090,8.05,,S,55,,high,15,D,medium,
159,,0,0,315037,8.6625,,S,50,,high,7,A,high,34
160,,8,2,CA. 2343,69.55,,S,78,B,unknown,67,C,,45
161,44,0,1,371362,16.1,,S,99,C,,,D,unknown,
162,40,0,0,C.A. 33595,15.75,,S,,,low,,,,93
163,26,0,0,347068,7.775,,S,40,C,,10,B,high,78
164,17,0,0,315093,8.6625,,S,40,D,,74,D,,19
165,1,4,1,3101295,39.6875,,S,41,,,76,C,medium,73
166,9,0,2,363291,20.525,,S,81,A,,,,,17
167,,0,1,113505,55,E33,S,32,,unknown,83,A,high,45
168,45,1,4,347088,27.9,,S,16,B,unknown,43,C,low,
169,,0,0,PC 17318,25.925,,S,,C,high,18,,unknown,3
170,28,0,0,1601,56.4958,,S,2,,,,,,
171,61,0,0,111240,33.5,B19,S,10,B,high,21,A,medium,22
172,4,4,1,382652,29.125,,Q,9,B,high,20,B,medium,
173,1,1,1,347742,11.1333,,S,,B,high,32,D,unknown,49
174,21,0,0,STON/O 2. 3101280,7.925,,S,,D,high,,,medium,2
175,56,0,0,17764,30.6958,A7,C,69,B,medium,,B,medium,
176,18,1,1,350404,7.8542,,S,46,,high,,,low,
177,,3,1,4133,25.4667,,S,71,B,unknown,62,B,medium,95
178,50,0,0,PC 17595,28.7125,C49,C,16,A,unknown,33,C,low,
179,30,0,0,250653,13,,S,90,B,high,,B,,19
180,36,0,0,LINE,0,,S,50,A,low,51,,unknown,60
181,,8,2,CA. 2343,69.55,,S,93,A,,,C,,36
182,,0,0,SC/PARIS 2131,15.05,,C,,,medium,43,D,unknown,60
183,9,4,2,347077,31.3875,,S,49,A,low,29,B,unknown,
184,1,2,1,230136,39,F4,S,69,,,,,,29
185,4,0,2,315153,22.025,,S,49,D,high,,A,high,65
186,,0,0,113767,50,A32,S,44,C,unknown,,D,high,26
187,,1,0,370365,15.5,,Q,,B,,,,medium,90
188,45,0,0,111428,26.55,,S,38,A,,47,A,,94
189,40,1,1,364849,15.5,,Q,,D,,,A,medium,
190,36,0,0,349247,7.8958,,S,,D,high,,A,low,72
191,32,0,0,234604,13,,S,68,C,,90,B,high,
192,19,0,0,28424,13,,S,63,A,unknown,67,D,low,
193,19,1,0,350046,7.8542,,S,60,,unknown,,A,,73
194,3,1,1,230080,26,F2,S,36,,unknown,96,D,,93
195,44,0,0,PC 17610,27.7208,B4,C,95,A,medium,71,,high,22
196,58,0,0,PC 17569,146.5208,B80,C,8,D,,5,C,medium,
197,,0,0,368703,7.75,,Q,,A,,72,B,medium,
198,42,0,1,4579,8.4042,,S,,,unknown,,D,low,33
199,,0,0,370370,7.75,,Q,33,D,,,,medium,23
200,24,0,0,248747,13,,S,96,D,,48,B,high,
201,28,0,0,345770,9.5,,S,,A,low,51,A,,33
202,,8,2,CA. 2343,69.55,,S,90,,,31,D,medium,72
203,34,0,0,3101264,6.4958,,S,49,C,low,,B,,37
204,45.5,0,0,2628,7.225,,C,,C,unknown,61,B,high,37
205,18,0,0,A/5 3540,8.05,,S,45,,high,,C,high,94
206,2,0,1,347054,10.4625,G6,S,26,D,medium,89,C,low,
207,32,1,0,3101278,15.85,,S,76,D,high,77,C,high,92
208,26,0,0,2699,18.7875,,C,,,high,60,B,low,71
209,16,0,0,367231,7.75,,Q,26,,high,,A,medium,
210,40,0,0,112277,31,A31,C,77,C,high,33,,high,
211,24,0,0,SOTON/O.Q. 3101311,7.05,,S,26,A,,76,A,,93
212,35,0,0,F.C.C. 13528,21,,S,,,medium,31,,high,94
213,22,0,0,A/5 21174,7.25,,S,78,A,,26,,unknown,4
214,30,0,0,250646,13,,S,44,D,,86,C,,35
215,,1,0,367229,7.75,,Q,,,,,D,unknown,41
216,31,1,0,35273,113.275,D36,C,27,A,low,,A,,
217,27,0,0,STON/O2. 3101283,7.925,,S,,A,unknown,86,D,medium,77
218,42,1,0,243847,27,,S,,A,low,,D,unknown,69
219,32,0,0,11813,76.2917,D15,C,44,C,low,,C,medium,21
220,30,0,0,W/C 14208,10.5,,S,90,B,,52,C,low,
221,16,0,0,SOTON/OQ 392089,8.05,,S,12,D,low,,,,
222,27,0,0,220367,13,,S,45,B,medium,,A,,44
223,51,0,0,21440,8.05,,S,,,medium,,,,
224,,0,0,349234,7.8958,,S,20,C,,,,,
225,38,1,0,19943,90,C93,S,,C,,79,,high,92
226,22,0,0,PP 4348,9.35,,S,30,,high,59,A,low,90
227,19,0,0,SW/PP 751,10.5,,S,80,,low,,A,high,1
228,20.5,0,0,A/5 21173,7.25,,S,57,C,high,40,A,high,
229,18,0,0,236171,13,,S,54,,high,38,C,unknown,
230,,3,1,4133,25.4667,,S,17,,high,42,C,,82
231,35,1,0,36973,83.475,C83,S,46,,high,99,,,80
232,29,0,0,347067,7.775,,S,85,C,,,A,low,
233,59,0,0,237442,13.5,,S,,D,,15,A,high,6
234,5,4,2,347077,31.3875,,S,75,C,,4,A,unknown,
235,24,0,0,C.A. 29566,10.5,,S,,,high,51,,low,
236,,0,0,W./C. 6609,7.55,,S,,,unknown,80,,medium,
237,44,1,0,26707,26,,S,,B,high,,B,,8
238,8,0,2,C.A. 31921,26.25,,S,43,A,low,56,,,
239,19,0,0,28665,10.5,,S,30,A,medium,79,B,,43
240,33,0,0,SCO/W 1585,12.275,,S,62,,high,51,D,medium,76
241,,1,0,2665,14.4542,,C,14,,low,90,,medium,31
242,,1,0,367230,15.5,,Q,58,,unknown,63,,unknown,
243,29,0,0,W./C. 14263,10.5,,S,9,B,unknown,73,B,,
244,22,0,0,STON/O 2. 3101275,7.125,,S,64,C,unknown,78,A,low,
245,30,0,0,2694,7.225,,C,,D,low,62,D,unknown,29
246,44,2,0,19928,90,C78,Q,8,D,high,5,,medium,25
247,25,0,0,347071,7.775,,S,,B,high,42,,unknown,
248,24,0,2,250649,14.5,,S,41,B,high,14,A,,28
249,37,1,1,11751,52.5542,D35,S,78,,unknown,51,B,,68
250,54,1,0,244252,26,,S,4,A,,,,low,
251,,0,0,362316,7.25,,S,17,C,high,,C,unknown,
252,29,1,1,347054,10.4625,G6,S,49,B,high,,A,high,
253,62,0,0,113514,26.55,C87,S,18,,,2,C,medium,
254,30,1,0,A/5. 3336,16.1,,S,,C,unknown,,D,unknown,58
255,41,0,2,370129,20.2125,,S,,B,,50,D,unknown,
256,29,0,2,2650,15.2458,,C,14,,unknown,7,,,25
257,,0,0,PC 17585,79.2,,C,,C,low,,,,98
258,30,0,0,110152,86.5,B77,S,10,A,,75,C,high,20
259,35,0,0,PC 17755,512.3292,,C,,,high,70,A,medium,13
260,50,0,1,230433,26,,S,58,A,low,17,A,,82
261,,0,0,384461,7.75,,Q,79,B,medium,,D,,89
262,3,4,2,347077,31.3875,,S,17,D,,63,,,9
263,52,1,1,110413,79.65,E67,S,29,A,high,39,,,59
264,40,0,0,112059,0,B94,S,92,,low,0,,,
265,,0,0,382649,7.75,,Q,98,C,medium,,,,22
266,36,0,0,C.A. 17248,10.5,,S,58,D,,79,C,medium,
267,16,4,1,3101295,39.6875,,S,44,,high,3,C,low,68
268,25,1,0,347083,7.775,,S,34,C,medium,,D,unknown,57
269,58,0,1,PC 17582,153.4625,C125,S,61,D,high,38,D,high,51
270,35,0,0,PC 17760,135.6333,C99,S,,,high,,A,high,88
271,,0,0,113798,31,,S,29,A,,47,,low,
272,25,0,0,LINE,0,,S,,D,,42,A,low,62
273,41,0,1,250644,19.5,,S,15,A,unknown,,B,low,31
274,37,0,1,PC 17596,29.7,C118,C,95,C,low,5,B,,97
275,,0,0,370375,7.75,,Q,41,B,,3,D,unknown,25
276,63,1,0,13502,77.9583,D7,S,48,C,low,9,,medium,
277,45,0,0,347073,7.75,,S,,,low,69,,high,63
278,,0,0,239853,0,,S,78,,,78,,,
279,7,4,1,382652,29.125,,Q,,C,,,B,unknown,75
280,35,1,1,C.A. 2673,20.25,,S,,,high,7,,medium,24
281,65,0,0,336439,7.75,,Q,,B,medium,41,,medium,26
282,28,0,0,347464,7.8542,,S,,,,98,,,34
283,16,0,0,345778,9.5,,S,67,D,medium,,D,low,68
284,19,0,0,A/5. 10482,8.05,,S,49,A,low,,A,unknown,39
285,,0,0,113056,26,A19,S,44,B,medium,53,C,,56
286,33,0,0,349239,8.6625,,C,,C,high,,B,medium,55
287,30,0,0,345774,9.5,,S,,,high,,,high,19
288,22,0,0,349206,7.8958,,S,57,D,medium,47,C,high,23
289,42,0,0,237798,13,,S,,B,,,,,30
290,22,0,0,370373,7.75,,Q,47,D,high,,,high,
291,26,0,0,19877,78.85,,S,,,,,D,unknown,
292,19,1,0,11967,91.0792,B49,C,26,C,medium,5,,,
293,36,0,0,SC/Paris 2163,12.875,D,C,95,C,,0,,,
294,24,0,0,349236,8.85,,S,33,A,unknown,41,A,,67
295,24,0,0,349233,7.8958,,S,,A,,,D,,
296,,0,0,PC 17612,27.7208,,C,,,,,,unknown,68
297,23.5,0,0,2693,7.2292,,C,84,C,,7,B,medium,
298,2,1,2,113781,151.55,C22 C26,S,,,high,67,D,,
299,,0,0,19988,30.5,C106,S,28,A,high,45,,high,89
300,50,0,1,PC 17558,247.5208,B58 B60,C,2,,,23,,,20
301,,0,0,9234,7.75,,Q,36,D,unknown,20,D,medium,16
302,,2,0,367226,23.25,,Q,82,,unknown,66,D,unknown,39
303,19,0,0,LINE,0,,S,0,B,unknown,52,B,unknown,83
304,,0,0,226593,12.35,E101,Q,89,,unknown,,B,medium,96
305,,0,0,A/5 2466,8.05,,S,,D,unknown,28,,medium,
306,0.92,1,2,113781,151.55,C22 C26,S,14,B,,52,A,,
307,,0,0,17421,110.8833,,C,,B,low,86,C,,23
308,17,1,0,PC 17758,108.9,C65,C,55,C,,31,,medium,59
309,30,1,0,P/PP 3381,24,,C,31,A,low,39,D,,18
310,30,0,0,PC 17485,56.9292,E36,C,,D,low,16,,low,53
311,24,0,0,11767,83.1583,C54,C,66,D,unknown,,C,,
312,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3,C,medium,7
313,26,1,1,250651,26,,S,,C,high,24,C,unknown,96
314,28,0,0,349243,7.8958,,S,28,C,high,,A,unknown,89
315,43,1,1,F.C.C. 13529,26.25,,S,24,,,1,B,unknown,
316,26,0,0,347470,7.8542,,S,,D,,98,,,62
317,24,1,0,244367,26,,S,,,unknown,40,B,,
318,54,0,0,29011,14,,S,,,medium,,D,high,57
319,31,0,2,36928,164.8667,C7,S,93,C,high,53,,unknown,
320,40,1,1,16966,134.5,E34,C,,,,,B,low,53
321,22,0,0,A/5 21172,7.25,,S,,D,low,,,high,
322,27,0,0,349219,7.8958,,S,,D,,88,A,low,39
323,30,0,0,234818,12.35,,Q,,C,,,B,,84
324,22,1,1,248738,29,,S,91,B,,,B,medium,25
325,,8,2,CA. 2343,69.55,,S,,B,medium,70,D,high,96
326,36,0,0,PC 17760,135.6333,C32,C,23,B,high,30,,unknown,75
327,61,0,0,345364,6.2375,,S,23,C,unknown,99,A,low,89
328,36,0,0,28551,13,D,S,3,,high,25,,high,50
329,31,1,1,363291,20.525,,S,,C,medium,29,,low,22
330,16,0,1,111361,57.9792,B18,C,55,D,medium,71,A,low,3
331,,2,0,367226,23.25,,Q,54,,high,78,C,,53
332,45.5,0,0,113043,28.5,C124,S,,C,medium,12,C,high,39
333,38,0,1,PC 17582,153.4625,C91,S,30,,high,55,,low,11
334,16,2,0,345764,18,,S,82,C,,,B,medium,
335,,1,0,PC 17611,133.65,,S,,,,61,,,97
336,,0,0,349225,7.8958,,S,80,,unknown,55,,medium,
337,29,1,0,113776,66.6,C2,S,96,,medium,,B,unknown,
338,41,0,0,16966,134.5,E40,C,31,,medium,,,,
339,45,0,0,7598,8.05,,S,20,,high,65,,,
340,45,0,0,113784,35.5,T,S,95,,,67,D,,62
341,2,1,1,230080,26,F2,S,63,,unknown,,C,high,41
342,24,3,2,19950,263,C23 C25 C27,S,29,,low,,,medium,
343,28,0,0,248740,13,,S,62,B,unknown,72,B,,18
344,25,0,0,244361,13,,S,51,C,,77,,medium,66
345,36,0,0,229236,13,,S,,A,,12,B,low,98
346,24,0,0,248733,13,F33,S,25,C,high,88,,low,85
347,40,0,0,31418,13,,S,99,,unknown,,,medium,4
348,,1,0,386525,16.1,,S,,,low,,C,unknown,11
349,3,1,1,C.A. 37671,15.9,,S,,,high,48,,low,62
350,42,0,0,315088,8.6625,,S,16,B,low,48,,,92
351,23,0,0,7267,9.225,,S,,A,low,91,,medium,84
352,,0,0,113510,35,C128,S,,B,unknown,96,A,high,90
353,15,1,1,2695,7.2292,,C,29,C,high,80,A,low,14
354,25,1,0,349237,17.8,,S,43,A,medium,65,B,low,51
355,,0,0,2647,7.225,,C,96,C,high,10,B,low,72
356,28,0,0,345783,9.5,,S,99,A,medium,91,C,medium,62
357,22,0,1,113505,55,E33,S,15,D,medium,13,A,,77
358,38,0,0,237671,13,,S,89,C,medium,16,B,unknown,21
359,,0,0,330931,7.8792,,Q,,B,medium,6,D,,45
360,,0,0,330980,7.8792,,Q,,C,unknown,94,D,,44
361,40,1,4,347088,27.9,,S,84,A,medium,,D,,93
362,29,1,0,SC/PARIS 2167,27.7208,,C,,A,medium,,,,20
363,45,0,1,2691,14.4542,,C,22,D,high,8,A,medium,32
364,35,0,0,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41,,medium,
365,,1,0,370365,15.5,,Q,,,medium,72,A,high,15
366,30,0,0,C 7076,7.25,,S,,B,unknown,99,,,
367,60,1,0,110813,75.25,D37,C,46,A,medium,,,medium,84
368,,0,0,2626,7.2292,,C,31,,high,60,D,medium,
369,,0,0,14313,7.75,,Q,,B,unknown,83,C,high,70
370,24,0,0,PC 17477,69.3,B35,C,77,,,90,B,high,59
371,25,1,0,11765,55.4417,E50,C,33,C,low,27,B,low,
372,18,1,0,3101267,6.4958,,S,66,A,high,,D,,30
373,19,0,0,323951,8.05,,S,41,D,,51,D,high,99
374,22,0,0,PC 17760,135.6333,,C,,C,medium,93,C,high,
375,3,3,1,349909,21.075,,S,,,unknown,11,D,,71
376,,1,0,PC 17604,82.1708,,C,9,,,9,B,high,
377,22,0,0,C 7077,7.25,,S,,C,high,,B,high,
378,27,0,2,113503,211.5,C82,C,74,,high,67,D,medium,
379,20,0,0,2648,4.0125,,C,37,A,low,17,B,high,84
380,19,0,0,347069,7.775,,S,,,medium,89,D,medium,63
381,42,0,0,PC 17757,227.525,,C,0,B,high,10,B,medium,28
382,1,0,2,2653,15.7417,,C,,D,low,,B,low,96
383,32,0,0,STON/O 2. 3101293,7.925,,S,94,B,medium,,A,medium,70
384,35,1,0,113789,52,,S,,,,,C,low,42
385,,0,0,349227,7.8958,,S,3,A,unknown,,B,,13
386,18,0,0,S.O.C. 14879,73.5,,S,12,B,low,84,B,medium,97
387,1,5,2,CA 2144,46.9,,S,6,B,unknown,10,C,high,
388,36,0,0,27849,13,,S,83,A,medium,,A,unknown,
389,,0,0,367655,7.7292,,Q,89,B,high,61,,low,83
390,17,0,0,SC 1748,12,,C,15,,high,2,D,unknown,60
391,36,1,2,113760,120,B96 B98,S,74,A,,74,C,medium,
392,21,0,0,350034,7.7958,,S,17,,unknown,,C,,23
393,28,2,0,3101277,7.925,,S,36,C,low,75,,,7
394,23,1,0,35273,113.275,D36,C,59,D,low,,C,unknown,
395,24,0,2,PP 9549,16.7,G6,S,,C,unknown,19,B,low,
396,22,0,0,350052,7.7958,,S,87,A,high,,,,
397,31,0,0,350407,7.8542,,S,4,,unknown,6,A,,16
398,46,0,0,28403,26,,S,19,B,medium,53,C,,57
399,23,0,0,244278,10.5,,S,,B,,,C,high,12
400,28,0,0,240929,12.65,,S,31,A,low,,,medium,
401,39,0,0,STON/O 2. 3101289,7.925,,S,99,D,medium,20,,medium,79
402,26,0,0,341826,8.05,,S,77,,low,76,D,,
403,21,1,0,4137,9.825,,S,,C,unknown,69,,,94
404,28,1,0,STON/O2. 3101279,15.85,,S,97,,,,C,,31
405,20,0,0,315096,8.6625,,S,,D,unknown,,D,unknown,94
406,34,1,0,28664,21,,S,,A,low,6,,,78
407,51,0,0,347064,7.75,,S,43,,low,44,A,unknown,33
408,3,1,1,29106,18.75,,S,14,B,,,B,unknown,
409,21,0,0,312992,7.775,,S,,,,11,D,medium,10
410,,3,1,4133,25.4667,,S,1,B,medium,55,B,high,
411,,0,0,349222,7.8958,,S,17,A,medium,,D,,20
412,,0,0,394140,6.8583,,Q,22,,,,,,26
413,33,1,0,19928,90,C78,Q,27,B,,,,high,41
414,,0,0,239853,0,,S,13,A,low,8,B,medium,
415,44,0,0,STON/O 2. 3101269,7.925,,S,1,,,67,C,high,80
416,,0,0,343095,8.05,,S,67,A,low,33,,medium,69
417,34,1,1,28220,32.5,,S,96,,low,,,high,15
418,18,0,2,250652,13,,S,12,B,,19,C,medium,16
419,30,0,0,28228,13,,S,,,medium,97,,medium,
420,10,0,2,345773,24.15,,S,50,C,,25,D,,94
421,,0,0,349254,7.8958,,C,92,A,medium,68,D,,
422,21,0,0,A/5. 13032,7.7333,,Q,69,,medium,,B,,
