id,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol1_ef_bin,ExtraCol1_ef_bin_num,ExtraCol4_ef_bin,ExtraCol4_ef_bin_num,ExtraCol7_ef_bin,ExtraCol7_ef_bin_num,ExtraCol10_ef_bin,ExtraCol10_ef_bin_num,ExtraCol13_ef_bin,ExtraCol13_ef_bin_num,ExtraCol5_freq,ExtraCol6_freq,ExtraCol7_freq,ExtraCol8_freq,ExtraCol9_freq,ExtraCol10_freq
20,7.225,B96 B98,C,45,D,low,32,NA,low,96,A,medium,70,Z,medium,129,Y,low,490,Y,low,144,Z,low,182,Y,low,365,Y,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_4,4,ExtraCol13_2,2,0,140,7,178,140,13
21,26,B96 B98,S,50,A,low,72,C,unknown,86,B,NA,72,Y,medium,253,Y,low,213,X,medium,31,Z,medium,395,Z,medium,429,Y,ExtraCol1_4,4,ExtraCol4_4,4,ExtraCol7_5,5,ExtraCol10_4,4,ExtraCol13_3,3,152,159,7,137,0,8
22,13,D56,S,37,D,high,89,C,unknown,59,B,NA,96,Z,medium,388,Z,NA,436,Y,medium,306,X,high,175,Y,low,67,Z,ExtraCol1_2,2,ExtraCol4_4,4,ExtraCol7_3,3,ExtraCol10_5,5,ExtraCol13_4,4,152,159,9,137,0,6
23,8.0292,B96 B98,Q,43,B,high,51,B,unknown,NA,C,NA,57,Z,high,5,Y,medium,144,Y,high,95,X,low,57,Z,low,NA,Y,ExtraCol1_2,2,ExtraCol4_2,2,NA,NA,ExtraCol10_3,3,ExtraCol13_1,1,147,159,0,166,0,4
24,35.5,A6,S,92,A,medium,98,B,medium,59,B,high,34,X,high,437,X,low,180,Y,high,123,X,low,60,X,medium,426,Z,ExtraCol1_5,5,ExtraCol4_4,4,ExtraCol7_3,3,ExtraCol10_2,2,ExtraCol13_5,5,147,165,9,137,142,4
25,21.075,B96 B98,S,78,A,high,19,C,medium,69,NA,NA,NA,Z,low,92,X,NA,412,Z,low,293,Z,medium,450,X,medium,190,NA,ExtraCol1_5,5,ExtraCol4_1,1,ExtraCol7_4,4,NA,NA,ExtraCol13_1,1,152,165,6,0,0,0
26,31.3875,B96 B98,S,64,A,high,41,NA,low,NA,D,low,NA,Z,high,458,Z,high,262,Z,low,162,X,NA,188,X,high,244,Y,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,NA,NA,ExtraCol13_5,5,0,140,0,147,149,0
27,7.225,B96 B98,C,43,A,medium,31,B,medium,14,D,low,80,X,high,481,X,medium,338,X,low,325,Y,medium,207,X,low,371,X,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_1,1,ExtraCol10_5,5,ExtraCol13_5,5,147,165,7,147,149,4
28,263,C23 C25 C27,S,43,A,low,42,D,high,56,A,high,NA,Z,low,466,Y,low,160,Z,low,465,NA,high,152,X,high,467,X,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_3,3,NA,NA,ExtraCol13_5,5,163,162,8,178,142,0
29,7.8792,B96 B98,Q,43,A,high,51,B,medium,80,D,NA,NA,Y,medium,325,Y,high,307,X,medium,465,Y,low,368,NA,low,125,Y,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_4,4,NA,NA,ExtraCol13_4,4,147,165,6,147,0,0
30,7.8958,B96 B98,S,44,A,high,73,C,medium,31,A,unknown,31,Z,NA,452,NA,high,243,Y,high,364,Z,low,302,X,NA,477,Y,ExtraCol1_3,3,ExtraCol4_4,4,ExtraCol7_2,2,ExtraCol10_2,2,ExtraCol13_5,5,152,165,8,178,169,5
31,27.7208,B96 B98,C,45,D,high,51,A,NA,45,NA,unknown,5,NA,medium,429,X,low,465,Z,high,484,Y,medium,449,Y,low,354,Y,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_3,3,ExtraCol10_1,1,ExtraCol13_5,5,144,0,8,0,169,12
32,146.5208,B78,C,22,A,high,25,NA,NA,NA,D,high,NA,NA,medium,319,X,low,246,Z,high,368,Y,low,447,Y,low,15,Z,ExtraCol1_1,1,ExtraCol4_1,1,NA,NA,NA,NA,ExtraCol13_3,3,0,0,0,147,142,0
33,7.75,B96 B98,Q,9,B,medium,51,D,high,70,A,NA,12,Y,high,445,Z,high,44,X,medium,33,Z,low,494,X,medium,430,NA,ExtraCol1_1,1,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_1,1,ExtraCol13_5,5,163,162,7,178,0,4
34,10.5,B96 B98,S,55,C,high,51,NA,high,86,A,high,8,Y,medium,171,X,high,368,X,medium,477,Y,low,NA,Y,low,192,Y,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_1,1,ExtraCol13_2,2,0,162,7,178,142,7
35,82.1708,B96 B98,C,88,B,high,65,D,high,NA,NA,medium,70,Y,high,417,X,high,476,X,high,283,X,low,291,Z,low,141,Z,ExtraCol1_5,5,ExtraCol4_3,3,NA,NA,ExtraCol10_4,4,ExtraCol13_5,5,163,162,0,0,140,13
36,52,B96 B98,S,43,C,high,69,NA,unknown,NA,NA,high,43,X,medium,462,Z,NA,NA,X,low,2,Y,high,173,Y,medium,263,Y,ExtraCol1_2,2,ExtraCol4_3,3,NA,NA,ExtraCol10_3,3,ExtraCol13_5,5,0,159,0,0,142,6
37,7.2292,B96 B98,C,85,D,medium,66,B,low,4,D,low,NA,Z,medium,NA,X,low,50,X,NA,310,Z,high,352,X,low,288,X,ExtraCol1_5,5,ExtraCol4_3,3,ExtraCol7_1,1,NA,NA,NA,NA,147,140,5,147,149,0
38,8.05,B96 B98,S,82,A,high,60,D,medium,NA,C,unknown,NA,NA,low,61,Y,NA,499,NA,medium,122,Z,medium,374,Z,high,269,Y,ExtraCol1_5,5,ExtraCol4_3,3,NA,NA,NA,NA,ExtraCol13_1,1,163,165,0,166,169,0
39,18,B96 B98,S,43,A,high,51,B,high,94,C,unknown,NA,X,low,107,X,medium,173,X,medium,267,X,NA,125,Y,low,27,X,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_5,5,NA,NA,ExtraCol13_1,1,147,162,11,166,169,0
40,11.2417,B96 B98,C,63,D,unknown,51,NA,NA,8,D,medium,61,Y,medium,NA,Z,high,416,Y,medium,328,NA,high,429,Y,high,411,X,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_1,1,ExtraCol10_4,4,NA,NA,0,0,5,147,140,7
41,9.475,B96 B98,S,16,C,low,90,A,unknown,NA,NA,medium,53,X,low,266,X,high,315,Z,NA,13,Y,low,145,X,medium,170,Z,ExtraCol1_1,1,ExtraCol4_4,4,NA,NA,ExtraCol10_3,3,ExtraCol13_3,3,144,159,0,0,140,6
42,21,B96 B98,S,43,C,unknown,38,B,NA,83,NA,medium,58,Y,high,216,Y,low,NA,Y,low,219,Z,medium,491,X,high,70,Y,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_3,3,ExtraCol13_2,2,147,0,8,0,140,3
43,7.8958,B96 B98,C,70,B,medium,51,B,low,NA,D,NA,70,Y,low,413,Y,low,170,X,high,27,Y,high,425,X,low,282,Z,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,ExtraCol10_4,4,ExtraCol13_5,5,147,140,0,147,0,13
44,41.5792,B96 B98,C,35,A,high,18,NA,medium,17,NA,NA,38,X,low,141,Z,low,303,Y,high,NA,Y,medium,9,Z,low,311,Z,ExtraCol1_2,2,ExtraCol4_1,1,ExtraCol7_1,1,ExtraCol10_2,2,ExtraCol13_2,2,0,165,9,0,0,7
45,7.8792,B96 B98,Q,6,C,low,35,A,medium,2,A,medium,NA,Z,high,82,X,low,341,Y,high,105,Z,medium,199,X,low,51,X,ExtraCol1_1,1,ExtraCol4_2,2,ExtraCol7_1,1,NA,NA,ExtraCol13_1,1,144,165,8,178,140,0
46,8.05,B96 B98,S,97,C,low,51,D,unknown,NA,A,high,NA,Z,low,307,Y,NA,77,Z,high,390,Y,NA,194,Y,low,471,Z,ExtraCol1_5,5,ExtraCol4_2,2,NA,NA,NA,NA,ExtraCol13_3,3,163,159,0,178,142,0
47,15.5,B96 B98,Q,44,A,unknown,64,A,medium,59,B,NA,14,Z,low,69,NA,low,387,NA,medium,206,Z,medium,411,Z,medium,300,Z,ExtraCol1_3,3,ExtraCol4_3,3,ExtraCol7_3,3,ExtraCol10_1,1,ExtraCol13_1,1,144,165,9,137,0,11
48,7.75,B96 B98,Q,89,C,high,21,NA,NA,84,A,medium,21,Y,low,452,X,high,71,X,low,23,Y,medium,NA,Y,medium,498,X,ExtraCol1_5,5,ExtraCol4_1,1,ExtraCol7_5,5,ExtraCol10_2,2,ExtraCol13_5,5,0,0,7,178,140,4
49,21.6792,B96 B98,C,67,C,high,54,C,NA,88,NA,low,8,Y,high,40,X,medium,414,Z,low,373,Z,high,25,X,high,335,X,ExtraCol1_4,4,ExtraCol4_3,3,ExtraCol7_5,5,ExtraCol10_1,1,ExtraCol13_1,1,152,0,7,0,149,7
50,17.8,B96 B98,S,77,A,high,51,A,medium,45,NA,high,NA,Z,high,245,Z,low,63,NA,high,271,X,high,420,Z,high,5,Z,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_3,3,NA,NA,ExtraCol13_3,3,144,165,8,0,142,0
51,39.6875,B96 B98,S,75,B,unknown,12,NA,high,42,B,NA,43,Z,low,474,Y,NA,89,X,low,70,Z,medium,NA,X,high,104,Z,ExtraCol1_5,5,ExtraCol4_1,1,ExtraCol7_3,3,ExtraCol10_3,3,ExtraCol13_5,5,0,162,9,137,0,6
52,7.8,B96 B98,S,19,A,medium,6,D,high,93,B,unknown,NA,Z,medium,276,Y,medium,NA,Y,medium,281,Z,medium,184,Z,medium,486,X,ExtraCol1_1,1,ExtraCol4_1,1,ExtraCol7_5,5,NA,NA,ExtraCol13_3,3,163,162,13,137,169,0
53,76.7292,D33,C,36,A,unknown,51,D,NA,NA,NA,low,92,X,medium,404,NA,low,91,X,low,124,NA,low,85,Z,medium,279,Y,ExtraCol1_2,2,ExtraCol4_2,2,NA,NA,ExtraCol10_5,5,ExtraCol13_4,4,163,0,0,0,149,5
54,26,B96 B98,S,46,A,unknown,65,A,medium,20,NA,NA,NA,Z,high,211,NA,low,38,Y,low,317,X,low,78,Y,high,61,Z,ExtraCol1_4,4,ExtraCol4_3,3,ExtraCol7_1,1,NA,NA,ExtraCol13_2,2,144,165,8,0,0,0
55,61.9792,B30,C,49,A,unknown,31,C,low,NA,NA,medium,55,Y,medium,377,Z,medium,26,X,low,473,Z,high,263,X,NA,37,Z,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,ExtraCol10_3,3,ExtraCol13_4,4,152,140,0,0,140,6
56,35.5,C52,S,4,C,high,82,NA,low,71,B,high,NA,Z,medium,353,Z,low,143,X,low,NA,X,low,42,Y,medium,268,NA,ExtraCol1_1,1,ExtraCol4_4,4,ExtraCol7_4,4,NA,NA,ExtraCol13_4,4,0,140,5,137,142,0
57,10.5,B96 B98,S,54,B,high,84,NA,NA,23,D,low,NA,Z,medium,256,Y,medium,245,Y,low,372,Y,high,40,X,high,297,Y,ExtraCol1_4,4,ExtraCol4_4,4,ExtraCol7_2,2,NA,NA,ExtraCol13_3,3,0,0,10,147,149,0
58,7.2292,B96 B98,C,15,D,high,53,C,high,97,A,low,76,X,low,50,X,medium,22,X,medium,11,X,low,392,Z,low,123,X,ExtraCol1_1,1,ExtraCol4_3,3,ExtraCol7_5,5,ExtraCol10_4,4,ExtraCol13_1,1,152,162,11,178,149,10
59,27.75,B96 B98,S,74,A,low,51,C,NA,29,B,NA,90,X,medium,485,Y,low,68,X,high,203,Y,NA,171,Z,high,97,Y,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_2,2,ExtraCol10_5,5,ExtraCol13_5,5,152,0,11,137,0,4
60,46.9,B96 B98,S,68,D,high,51,C,unknown,NA,NA,NA,96,X,medium,NA,X,low,305,Y,low,444,Z,NA,324,Z,high,NA,Z,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,ExtraCol10_5,5,NA,NA,152,159,0,0,0,6
61,7.2292,B96 B98,C,92,A,high,82,NA,NA,49,C,NA,38,Y,high,178,Z,NA,159,Y,high,37,Y,high,493,Z,medium,217,Z,ExtraCol1_5,5,ExtraCol4_4,4,ExtraCol7_3,3,ExtraCol10_2,2,ExtraCol13_2,2,0,0,5,166,0,7
62,80,B28,S,74,B,unknown,89,NA,low,69,NA,NA,48,Z,medium,320,X,medium,NA,Z,medium,464,X,medium,25,X,medium,18,Y,ExtraCol1_4,4,ExtraCol4_4,4,ExtraCol7_4,4,ExtraCol10_3,3,ExtraCol13_3,3,0,140,6,0,0,7
63,83.475,C83,S,36,A,high,51,NA,high,90,D,unknown,NA,X,high,384,Z,low,420,X,high,46,Y,high,397,X,low,28,X,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_5,5,NA,NA,ExtraCol13_4,4,0,162,5,147,169,0
64,27.9,B96 B98,S,43,C,high,51,C,NA,39,NA,NA,5,X,medium,267,Y,low,15,Y,medium,240,X,medium,54,Y,medium,119,Y,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_2,2,ExtraCol10_1,1,ExtraCol13_3,3,152,0,9,0,0,12
65,27.7208,B96 B98,C,43,A,high,51,A,high,NA,D,medium,11,Y,high,200,Y,low,474,X,high,90,Y,high,380,Y,low,NA,X,ExtraCol1_2,2,ExtraCol4_2,2,NA,NA,ExtraCol10_1,1,ExtraCol13_2,2,144,162,0,147,140,12
66,15.2458,B96 B98,C,32,B,high,51,A,medium,75,NA,NA,4,Y,high,203,NA,high,341,X,high,10,X,low,153,Z,high,150,NA,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_1,1,ExtraCol13_2,2,144,165,11,0,0,6
67,10.5,F33,S,43,B,high,13,C,unknown,NA,A,NA,73,X,low,487,X,high,411,X,high,NA,Y,NA,67,Y,low,NA,Y,ExtraCol1_2,2,ExtraCol4_1,1,NA,NA,ExtraCol10_4,4,ExtraCol13_5,5,152,159,0,178,0,7
68,8.1583,B96 B98,S,43,A,unknown,67,NA,high,NA,NA,NA,22,Y,medium,166,NA,medium,239,Z,medium,290,X,NA,NA,Z,low,457,Y,ExtraCol1_2,2,ExtraCol4_3,3,NA,NA,ExtraCol10_2,2,ExtraCol13_2,2,0,162,0,0,0,5
69,7.925,B96 B98,S,7,A,medium,92,A,NA,75,A,low,NA,Z,high,427,Z,medium,0,Z,high,361,X,high,182,Y,medium,NA,Y,ExtraCol1_1,1,ExtraCol4_4,4,ExtraCol7_4,4,NA,NA,ExtraCol13_5,5,144,0,11,178,149,0
70,8.6625,B96 B98,S,43,C,high,75,NA,medium,70,NA,high,37,X,medium,25,X,low,442,Y,high,157,X,high,364,X,high,291,Y,ExtraCol1_2,2,ExtraCol4_4,4,ExtraCol7_4,4,ExtraCol10_2,2,ExtraCol13_1,1,0,165,7,0,142,5
71,10.5,B96 B98,S,79,D,high,48,D,unknown,NA,C,low,79,NA,high,329,X,low,284,Y,low,246,Z,medium,340,X,high,122,NA,ExtraCol1_5,5,ExtraCol4_2,2,NA,NA,ExtraCol10_5,5,ExtraCol13_4,4,163,159,0,166,149,9
72,46.9,B96 B98,S,18,A,high,52,C,high,NA,B,NA,11,X,medium,340,X,high,18,Z,high,91,Z,medium,364,Y,medium,354,Z,ExtraCol1_1,1,ExtraCol4_3,3,NA,NA,ExtraCol10_1,1,ExtraCol13_4,4,152,162,0,137,0,12
73,73.5,B96 B98,S,43,B,high,25,D,high,1,NA,medium,32,X,NA,337,Z,low,NA,Y,low,364,Z,medium,10,X,low,473,Y,ExtraCol1_2,2,ExtraCol4_1,1,ExtraCol7_1,1,ExtraCol10_2,2,ExtraCol13_4,4,163,162,6,0,140,7
74,14.4542,B96 B98,C,12,A,high,51,D,medium,NA,NA,unknown,NA,Y,medium,210,Y,high,103,Y,medium,NA,Z,high,487,Y,high,338,Y,ExtraCol1_1,1,ExtraCol4_2,2,NA,NA,NA,NA,ExtraCol13_2,2,163,165,0,0,169,0
75,56.4958,B96 B98,S,68,A,unknown,24,D,NA,NA,C,low,NA,X,medium,345,X,low,187,Y,low,430,Y,low,216,Y,medium,147,Y,ExtraCol1_4,4,ExtraCol4_1,1,NA,NA,NA,NA,ExtraCol13_4,4,163,0,0,166,149,0
76,7.65,F G73,S,47,A,unknown,34,A,unknown,NA,A,NA,56,Y,low,222,NA,low,221,Y,high,89,X,low,55,X,medium,196,X,ExtraCol1_4,4,ExtraCol4_2,2,NA,NA,ExtraCol10_3,3,ExtraCol13_3,3,144,159,0,178,0,6
77,7.8958,B96 B98,S,43,A,low,26,NA,medium,NA,A,NA,16,X,low,296,X,high,213,Y,high,332,Z,medium,464,Y,high,464,Y,ExtraCol1_2,2,ExtraCol4_1,1,NA,NA,ExtraCol10_1,1,ExtraCol13_3,3,0,165,0,178,0,5
78,8.05,B96 B98,S,22,A,low,33,NA,low,30,NA,NA,66,Z,low,446,Z,high,434,Y,high,165,Z,low,396,Z,medium,NA,Y,ExtraCol1_1,1,ExtraCol4_2,2,ExtraCol7_2,2,ExtraCol10_4,4,ExtraCol13_5,5,0,140,6,0,0,4
79,29,B96 B98,S,43,A,high,36,A,medium,89,C,high,96,Y,high,336,Z,NA,471,X,low,NA,Y,low,41,X,medium,110,NA,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_5,5,ExtraCol13_4,4,144,165,8,166,142,6
80,12.475,B96 B98,S,66,C,high,8,NA,NA,70,NA,low,4,X,medium,368,Y,low,339,Z,low,140,X,medium,218,Y,NA,53,Y,ExtraCol1_4,4,ExtraCol4_1,1,ExtraCol7_4,4,ExtraCol10_1,1,ExtraCol13_4,4,0,0,7,0,149,6
81,9,B96 B98,S,94,C,unknown,51,NA,NA,56,NA,medium,8,X,medium,484,Z,medium,316,Z,medium,474,Y,low,453,Z,low,320,Y,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_3,3,ExtraCol10_1,1,ExtraCol13_5,5,0,0,8,0,140,7
82,9.5,B96 B98,S,43,D,low,44,NA,low,88,B,high,95,Y,medium,109,X,low,NA,Y,low,418,Y,low,341,X,high,229,X,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_5,5,ExtraCol10_5,5,ExtraCol13_1,1,0,140,7,137,142,5
83,7.7875,B96 B98,Q,16,D,low,94,NA,low,9,C,unknown,NA,Y,medium,293,Y,low,133,Z,medium,233,Z,medium,97,Z,high,66,Y,ExtraCol1_1,1,ExtraCol4_4,4,ExtraCol7_1,1,NA,NA,ExtraCol13_3,3,0,140,6,166,169,0
84,47.1,B96 B98,S,83,D,unknown,51,A,medium,64,NA,unknown,91,NA,high,328,NA,medium,279,X,low,247,X,high,350,Y,medium,470,Z,ExtraCol1_5,5,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_5,5,ExtraCol13_4,4,144,165,3,0,169,7
85,10.5,B96 B98,S,62,C,unknown,66,B,medium,15,D,NA,70,X,medium,NA,Z,low,321,Y,NA,176,Y,medium,94,X,medium,275,Y,ExtraCol1_4,4,ExtraCol4_3,3,ExtraCol7_1,1,ExtraCol10_4,4,NA,NA,147,165,6,147,0,13
86,15.85,B96 B98,S,70,A,low,51,NA,low,23,A,medium,NA,Y,medium,66,Y,low,NA,Z,medium,213,Z,high,175,Z,low,124,Y,ExtraCol1_4,4,ExtraCol4_2,2,ExtraCol7_2,2,NA,NA,ExtraCol13_1,1,0,140,10,178,140,0
87,34.375,B96 B98,S,9,B,medium,51,B,medium,18,D,NA,NA,Y,medium,380,Z,medium,NA,Z,medium,232,Z,low,97,Y,low,472,X,ExtraCol1_1,1,ExtraCol4_2,2,ExtraCol7_1,1,NA,NA,ExtraCol13_4,4,147,165,5,147,0,0
88,8.05,B96 B98,S,31,A,high,49,NA,NA,54,NA,NA,51,X,medium,97,Y,high,NA,Z,high,72,X,low,346,Z,high,349,Y,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_3,3,ExtraCol10_3,3,ExtraCol13_1,1,0,0,5,0,0,9
89,263,C23 C25 C27,S,43,B,high,44,A,low,62,C,NA,36,Y,medium,204,NA,low,29,Z,high,161,Y,NA,465,Y,medium,64,Z,ExtraCol1_2,2,ExtraCol4_2,2,ExtraCol7_4,4,ExtraCol10_2,2,ExtraCol13_2,2,144,140,8,166,0,5
90,8.05,B96 B98,S,43,B,high,65,NA,medium,75,A,medium,83,X,low,357,Z,medium,161,Y,low,437,Y,high,22,Z,high,413,Y,ExtraCol1_2,2,ExtraCol4_3,3,ExtraCol7_4,4,ExtraCol10_5,5,ExtraCol13_4,4,0,165,11,178,140,3
91,8.05,B96 B98,S,43,A,high,51,B,NA,NA,C,unknown,4,Z,high,131,Z,high,407,NA,medium,489,Y,low,301,Z,low,29,Z,ExtraCol1_2,2,ExtraCol4_2,2,NA,NA,ExtraCol10_1,1,ExtraCol13_2,2,147,0,0,166,169,6
